Sample
BA2000
BA2003
BA2004
BA2006
BA2011
BA2019
BA2020
BA2022
BA2023
BA2024
BA2025
BA2031
BA2032
BA2033
BA2034
BA2035
BA2036
BA2037
BA2041
BA2044
BA2046
BA2047
BA2050
BA2051
BA2052
BA2053
BA2054
BA2055
BA2063
BA2065
BA2066
BA2068
BA2069
BA2072
BA2079
BA2080
BA2081
BA2082
BA2087
BA2088
BA2089
BA2093
BA2094
BA2095
BA2096
BA2097
BA2098
BA2100
BA2101
BA2104
BA2106
BA2109
BA2110
BA2113
BA2116
BA2121
BA2122
BA2123
BA2124
BA2125
BA2132
BA2133
BA2134
BA2135
BA2139
BA2143
BA2148
BA2153
BA2155
BA2156
BA2162
BA2163
BA2168
BA2169
BA2171
BA2172
BA2174
BA2175
BA2184
BA2195
BA2198
BA2200
BA2201
BA2209
BA2211
BA2212
BA2217
BA2218
BA2220
BA2221
BA2224
BA2226
BA2227
BA2228
BA2229
BA2233
BA2234
BA2235
BA2236
BA2239
BA2240
BA2242
BA2244
BA2245
BA2248
BA2249
BA2251
BA2256
BA2260
BA2261
BA2269
BA2271
BA2272
BA2273
BA2275
BA2276
BA2277
BA2280
BA2281
BA2282
BA2286
BA2288
BA2292
BA2294
BA2296
BA2300
BA2301
BA2302
BA2304
BA2306
BA2308
BA2309
BA2311
BA2312
BA2316
BA2322
BA2325
BA2329
BA2334
BA2339
BA2344
BA2347
BA2348
BA2350
BA2354
BA2355
BA2357
BA2360
BA2361
BA2363
BA2369
BA2374
BA2375
BA2376
BA2377
BA2379
BA2385
BA2386
BA2387
BA2394
BA2399
BA2400
BA2402
BA2405
BA2406
BA2409
BA2410
BA2412
BA2413
BA2414
BA2415
BA2417
BA2418
BA2420
BA2421
BA2423
BA2425
BA2426
BA2427
BA2429
BA2440
BA2441
BA2442
BA2446
BA2449
BA2450
BA2452
BA2454
BA2455
BA2456
BA2459
BA2461
BA2463
BA2464
BA2469
BA2470
BA2472
BA2473
BA2474
BA2477
BA2479
BA2480
BA2481
BA2482
BA2483
BA2485
BA2488
BA2489
BA2492
BA2494
BA2496
BA2497
BA2499
BA2500
BA2501
BA2502
BA2505
BA2507
BA2510
BA2511
BA2512
BA2514
BA2515
BA2520
BA2521
BA2523
BA2524
BA2525
BA2526
BA2528
BA2532
BA2534
BA2538
BA2539
BA2540
BA2541
BA2545
BA2546
BA2552
BA2559
BA2561
BA2563
BA2564
BA2567
BA2570
BA2575
BA2577
BA2579
BA2583
BA2584
BA2587
BA2588
BA2589
BA2592
BA2593
BA2594
BA2595
BA2597
BA2600
BA2603
BA2618
BA2619
BA2620
BA2621
BA2622
BA2623
BA2629
BA2631
BA2634
BA2636
BA2639
BA2644
BA2645
BA2646
BA2649
BA2651
BA2653
BA2655
BA2656
BA2657
BA2658
BA2659
BA2660
BA2662
BA2663
BA2667
BA2670
BA2674
BA2675
BA2676
BA2677
BA2681
BA2682
BA2685
BA2688
BA2691
BA2694
BA2695
BA2697
BA2701
BA2704
BA2705
BA2707
BA2709
BA2712
BA2714
BA2715
BA2718
BA2720
BA2721
BA2722
BA2723
BA2724
BA2726
BA2727
BA2728
BA2731
BA2733
BA2735
BA2737
BA2742
BA2744
BA2746
BA2747
BA2748
BA2751
BA2756
BA2758
BA2760
BA2762
BA2764
BA2765
BA2769
BA2772
BA2775
BA2776
BA2778
BA2782
BA2786
BA2787
BA2789
BA2791
BA2792
BA2798
BA2801
BA2802
BA2804
BA2806
BA2808
BA2809
BA2811
BA2812
BA2813
BA2814
BA2816
BA2817
BA2820
BA2821
BA2822
BA2824
BA2828
BA2829
BA2830
BA2832
BA2836
BA2837
BA2839
BA2840
BA2841
BA2842
BA2843
BA2844
BA2846
BA2850
BA2851
BA2852
BA2855
BA2856
BA2858
BA2860
BA2861
BA2865
BA2866
BA2867
BA2868
BA2870
BA2871
BA2872
BA2876
BA2879
BA2880
BA2882
BA2883
BA2885
BA2887
BA2889
BA2893
BA2901
BA2902
BA2903
BA2904
BA2905
BA2906
BA2908
BA2909
BA2910
BA2911
BA2914
BA2915
BA2921
BA2922
BA2923
BA2926
BA2928
BA2930
BA2932
BA2934
BA2935
BA2937
BA2939
BA2944
BA2947
BA2948
BA2950
BA2951
BA2952
BA2953
BA2955
BA2956
BA2962
BA2970
BA2972
BA2976
BA2978
BA2981
BA2984
BA2986
BA2989
BA2992
BA2993
BA2994
BA2995
BA2999
BA3001
BA3002
BA3004
BA3006
BA3008
BA3009
BA3010
BA3011
BA3013
BA3023
BA3025
BA3027
BA3029
BA3030
BA3037
BA3038
BA3040
BA3042
BA3043
BA3049
BA3051
BA3053
BA3064
BA3067
BA3068
BA3070
BA3071
BA3072
BA2040
BA2160
BA2303
BA2353
BA2516
BA2590
BA2647
BA2891
BA2924
BA2971
BA3036
BA3059
BA3073
BA3078
BA3079
BA3083
BA3084
BA3085
BA3087
BA3089
BA3094
BA3095
BA3098
BA3099
BA3103
BA3108
BA3109
BA3110
BA3114
BA3116
BA3117
BA3118
BA3119
BA3123
BA3124
BA3126
BA3128
BA3130
BA3133
BA3135
BA3136
BA3137
BA3138
BA3139
BA3141
BA3142
BA3145
BA3146
BA3149
BA3152
BA3153
BA3154
BA3156
BA3157
BA3158
BA3162
BA3163
BA3164
BA3167
BA3169
BA3171
BA3173
BA3174
BA3175
BA3176
BA3177
BA3178
BA3180
BA3181
BA3182
BA3183
BA3185
BA3186
BA3187
BA3189
BA3190
BA3191
BA3192
BA3194
BA3195
BA3197
BA3199
