	SF3B1	NPM1
BA2000	5.868488939678021	529.0740751552895
BA2003	2.198908352987511	718.8454548403314
BA2004	4.138880806726062	320.416765868189
BA2006	2.325123064804804	9.731263616557731
BA2011	0.1380198320917367	349.1494593922488
BA2019	2.591253168618399	584.7298493866805
BA2020	3.566717303735739	1238.4508547008545
BA2022	1.6333312272570373	917.8624004605978
BA2023	0.695618182813505	432.430363504652
BA2024	2.2570122608614995	373.1442557723393
BA2025	1.0662814523867092	723.6161514674798
BA2031	4.244904914836965	804.2156041021317
BA2032	0.544077751470832	797.0029006308893
BA2033	0.5207126749297848	258.23198424669016
BA2034	3.739892901838597	811.2764224741454
BA2035	6.2327003775731	900.7865531930996
BA2036	9.325854998547795	779.9021105326607
BA2037	5.232376171077262	1905.212257740152
BA2041	0.8686250591145965	846.7808362661304
BA2044	2.7103441419906	586.7526892532584
BA2046	0.0966780257929719	1116.3443179422306
BA2047	2.5434799755482262	678.6308819474854
BA2050	1.5773960837625316	743.1948731463913
BA2051	1.9603346228298677	485.30915140801295
BA2052	2.2125302187734275	1123.444664742103
BA2053	0.5596398153343644	858.0353314195818
BA2054	2.902457441292173	798.0997645653246
BA2055	1.3580618091575545	43.69121161009207
BA2063	1.0228629180029227	584.475008784876
BA2065	3.3052441831997457	1203.8952158917054
BA2066	1.1212745563173925	820.948611719295
BA2068	1.42080896899582	591.6639941722485
BA2069	1.6861525559554815	669.1056490806965
BA2072	0.7505739552112843	444.2673762143402
BA2079	0.6569010874044472	148.75517388648316
BA2080	0.7577356790613439	829.9345694329564
BA2081	1.987437057210764	597.5572717148619
BA2082	0.0575538570088242	1006.1029619898692
BA2087	1.0741895787999471	646.277790211756
BA2088	1.1964608794427185	648.9600212458845
BA2089	2.2429851844755566	804.2096484968401
BA2093	2.504220728960906	718.9785651729675
BA2094	4.874152863123288	774.4474723884591
BA2095	2.000770656654821	743.3756410256409
BA2096	1.4035218689792446	844.926645204539
BA2097	5.529201492957189	1871.544588786714
BA2098	3.7885589952267344	447.058323196938
BA2100	0.3885650929638804	460.46480967904114
BA2101	1.4843159585840475	481.9798980413782
BA2104	1.4249106856380802	158.77373403179857
BA2106	2.635120076761539	1087.2221949215304
BA2109	0.1013629278870352	353.25556042102534
BA2110	1.195629336654395	228.4360225865918
BA2113	1.3489537058579335	619.5860880001297
BA2116	0.7321046849173004	204.49241959811215
BA2121	0.9023855229683968	830.565918465539
BA2122	0.6417203906201293	309.8565362180163
BA2123	3.840240130713588	1944.6786659963132
BA2124	5.547385135207057	1306.525201781843
BA2125	3.133815191424848	407.5005611508458
BA2132	2.629895091549692	579.7304751401525
BA2133	1.889343444020188	285.45101823469946
BA2134	1.3858377241602684	394.3391348654157
BA2135	1.0282469461893704	1086.0343934651337
BA2139	2.3384103077608533	173.99071803521517
BA2143	0.7740416288409281	307.85163506814365
BA2148	0.0754874236072144	255.70209620655535
BA2153	5.116721417047205	1332.816741811144
BA2155	0.0402624383953675	622.2423014753186
BA2156	2.5846917601475625	1074.5038515599235
BA2162	5.054337551568456	778.2497983533087
BA2163	4.424902398189839	223.2537483038432
BA2168	2.459866336385243	601.0720984230471
BA2169	2.2605231584757783	516.0195797315341
BA2171	3.878938050944237	1061.4786451829148
BA2172	0.1033096950979363	1287.0055436621851
BA2174	4.125021798269824	696.0172286284242
BA2175	1.6714606133319954	260.5439360028544
BA2184	10.628341810860665	2463.2686174497367
BA2195	0.8517477544056531	670.5622004357298
BA2198	9.032062076788913	1049.075510739173
BA2200	5.909373552547744	1261.8336568870727
BA2201	0.7405867057165145	528.392967233764
BA2209	1.939924439760896	570.0690307443629
BA2211	3.478055240024269	923.4013369229688
BA2212	1.9117243822809795	1007.770093849506
BA2217	1.8505187182282803	796.1217281067376
BA2218	0.084710669215247	980.2861304378382
BA2220	1.6409310910083468	1088.5479229850198
BA2221	2.243354454921604	462.6346118706649
BA2224	2.0797450735301943	450.7727293122928
BA2226	3.1108793742900542	1561.7267752207028
BA2227	4.466729377559415	1484.8600612508585
BA2228	1.4107074971754248	1002.7951329084158
BA2229	2.299403410170904	739.9451921049645
BA2233	3.843300609317525	705.738534250204
BA2234	4.0845688398028654	490.6901268806392
BA2235	3.773219992974677	814.7086737810646
BA2236	3.873751378073389	605.2559180330528
BA2239	1.4644137048543158	412.5526305973175
BA2240	5.302351818144493	745.4724319780298
BA2242	5.217936721911253	509.9414329889662
BA2244	2.109603304943121	629.1368278218373
BA2245	3.715063303939503	758.2510606724079
BA2248	0.5876281095038024	679.4893308357255
BA2249	3.458310637890213	658.7512101504512
BA2251	12.00484402870346	755.9943601096353
BA2256	2.33433740710835	1283.454827897522
BA2260	1.5779240094218403	602.2486722673628
BA2261	0.0481531079451538	260.3798915540851
BA2269	0.0224406991260923	156.37701984571055
BA2271	3.761306094239691	614.6193313222725
BA2272	2.964975913177955	591.9207587970398
BA2273	3.045841981931842	644.2525895111285
BA2275	2.7853284034421044	364.4297515366776
BA2276	3.42152463196887	697.587447898928
BA2277	6.531068769093444	943.3400328148904
BA2280	4.484736603606028	1004.94611384118
BA2281	5.114091505593648	863.6605245517009
BA2282	2.121523772811391	324.393978170259
BA2286	2.854157120894861	1328.999781594469
BA2288	1.2115094864671292	455.5463179206064
BA2292	3.7299817448043786	1298.6812646977733
BA2294	3.163226501282653	848.8785684166138
BA2296	4.481140748242528	1325.403998605232
BA2300	2.823341050544311	939.0940160128016
BA2301	1.4422802647725668	488.0176138114469
BA2302	2.4450587800572063	946.291846283592
BA2304	0.5735414547284834	211.8367791671397
BA2306	1.4378042824058233	903.1965430837348
BA2308	2.7371780782548	864.6272963665753
BA2309	5.374018728112393	701.0796877449628
BA2311	3.3142836831548874	410.7591668153338
BA2312	1.9396833890645215	595.3337787941205
BA2316	0.4984972271262627	413.38349335322766
BA2322	0.7196782721354701	859.3419127783453
BA2325	0.6144736710050318	220.1254937100288
BA2329	1.1931826614417729	512.6317147537262
BA2334	1.993478439709194	464.9170461733081
BA2339	0.4699942900241933	243.77804321618365
BA2344	2.2900026002819254	1340.8550906328896
BA2347	0.8088991835723007	364.3800229217686
BA2348	0.883377560935554	163.93391881152792
BA2350	0.9795546142839112	205.14012688063923
BA2354	3.580583535197325	1408.9573387502232
BA2355	3.44088195176249	862.0305989393275
BA2357	0.7466248340609561	794.657434437795
BA2360	2.6603320453574324	1030.7379387707658
BA2361	2.122537525413574	513.4423628342984
BA2363	1.6522726311963882	344.86871827308266
BA2369	1.1059227199253063	937.0679262827268
BA2374	2.4096833890645217	771.0671237505202
BA2375	2.100786539663423	710.0841410013136
BA2376	2.343366612380079	218.30598398719843
BA2377	0.0567111603796107	1622.4409367110504
BA2379	0.7103568696863393	327.67647896765544
BA2385	0.9035211314723832	629.0617584888932
BA2386	2.367782567770798	1106.665981716646
BA2387	4.035369110779613	736.6278426507079
BA2394	7.593742353118285	657.7855652324344
BA2399	3.685799556279377	864.3984968401477
BA2400	10.516791943992056	2254.040086605362
BA2402	6.407256444061246	1134.154095914627
BA2405	0.2110564671748621	820.4803562064473
BA2406	1.4467520730025347	456.6730382696226
BA2409	1.3682634830700355	385.228020780962
BA2410	4.5260095176401	1751.5486011774435
BA2412	1.3753158354127988	147.4767876546814
BA2413	3.558757620270642	925.7269136162876
BA2414	2.306433272355962	1176.179727209329
BA2415	3.756315385305518	353.0132654329998
BA2417	1.1675117582923902	669.4242768019808
BA2418	1.5321366334104294	446.6115652216221
BA2420	3.2029681153734444	676.1388948355741
BA2421	1.154419886226261	652.40884920828
BA2423	3.8067645573970417	454.8711856068592
BA2425	3.107183849055916	501.2239867659224
BA2426	0.1050925076905999	663.0178800607644
BA2427	0.1443236529855342	540.9455429593949
BA2429	4.061533740558772	601.2368535007055
BA2440	4.515118540922507	864.9314706693265
BA2441	7.48233802600586	426.286356952486
BA2442	3.410966293655464	879.8042389053774
BA2446	1.5344025510134254	510.3299158814339
BA2449	2.356064100751041	1681.7064353946707
BA2450	3.519331370196511	610.9593803553956
BA2452	2.951904546843851	1163.743883834206
BA2454	3.5800363507248094	746.6038066894803
BA2455	0.5393154871879091	391.66645988420186
BA2456	0.1207102191079664	398.93355741524624
BA2459	0.0323815313075464	1217.259273315061
BA2461	0.95278330527766	437.2737507906388
BA2463	1.416645689538503	360.23872832838674
BA2464	2.274301284478446	1016.4529736129356
BA2469	0.041105135024581	388.68277623704574
BA2470	1.5174264355913207	458.3478089167842
BA2472	0.1222859747483732	448.142230926007
BA2473	1.926382718921689	896.6319358622964
BA2474	4.932402265134477	576.5140768852344
BA2477	6.768566446326989	1492.919436200176
BA2479	2.963803300077096	400.1256540002271
BA2480	2.962812060442108	479.7529076587901
BA2481	0.1065127406211176	352.03703244187113
BA2482	4.55675387495229	806.8147480497577
BA2483	4.094619043491615	686.6408121009639
BA2485	6.688179817858615	623.2291195662164
BA2488	3.1325379968097127	455.1400430864378
BA2489	0.4959159455066064	833.1166755866947
BA2492	0.6517676062656149	305.4961462776453
BA2494	5.546111050285802	745.3470444974241
BA2496	0.936298316203406	350.98358687836867
BA2497	0.5076979597670999	459.7626223800796
BA2499	1.6321394161682796	1217.775132313747
BA2500	2.640884225108383	514.9298856073997
BA2501	3.3400008819669686	830.2044278477865
BA2502	2.2903437922450776	476.4838112305855
BA2505	3.3599098264806018	918.0959413873074
BA2507	1.126609034687153	550.1468014942398
BA2510	1.117650744121614	820.2867797077474
BA2511	0.5547863739144583	310.93955302551126
BA2512	2.4011947991320226	297.93169204820055
BA2514	3.45310423481002	723.5138127983478
BA2515	2.492897976189933	612.5478235131935
BA2520	1.384062484318475	564.1537758748386
BA2521	3.6303167173797672	806.8959630116178
BA2523	3.255909992229567	876.4798096520109
BA2524	1.182336976769294	932.2471493753278
BA2525	0.927868361868006	452.6349581299297
BA2526	1.5745202936037626	991.6935678489758
BA2528	2.664848081189622	1096.7780299712938
BA2532	1.586789054789917	503.9772779859117
BA2534	4.342877348807292	849.6433997199651
BA2538	5.459500768679832	629.4073879455286
BA2539	3.452706536135555	540.738273406964
BA2540	1.6834681450257822	590.9540621266428
BA2541	2.4779100728231005	728.8260535093553
BA2545	2.715710302742765	648.3802061877964
BA2546	1.1761256635660966	415.89057639598445
BA2552	4.987072698408354	1513.8748690377722
BA2559	0.7191279551595828	918.4328148905
BA2561	1.0089444147921067	739.2354252150267
BA2563	2.168817586421358	885.8825870243328
BA2564	1.1562404789384766	629.3532304016176
BA2567	2.944546980707733	277.4422268714489
BA2570	0.8088462579510084	1043.7081028992793
BA2575	0.5436999654816376	262.3730990879947
BA2577	4.324663598029868	1035.3017753558552
BA2579	3.419698922327602	450.1977121479968
BA2583	4.572907145605144	1189.1920127907792
BA2584	3.803381818707128	417.45356017234576
BA2587	3.168909295779788	700.5979416359871
BA2588	2.217265202905625	1028.234218578526
BA2589	1.3964120671328928	619.5497034766485
BA2592	5.069278178464495	1867.4451383144929
BA2593	0.0398129393678121	30.216245262924573
BA2594	1.55384779379004	471.76923698622
BA2595	1.1049828092472718	728.5423506706239
BA2597	1.0624154034010471	291.1802821431854
BA2600	1.0177168916442754	1026.358264270693
BA2603	3.448005834667688	997.7895295090742
BA2618	6.639709954517876	1059.6245403482594
BA2619	1.608222981017942	338.8937511150036
BA2620	7.257136306474398	1013.7357555263628
BA2621	2.302562167266556	568.0501856987626
BA2622	5.740018604941144	924.7093827881304
BA2623	3.1361912788673103	1685.5629243095086
BA2629	8.522674344341194	581.1126569789759
BA2631	3.2329857166970037	1104.972238981063
BA2634	1.1973282787502224	300.3963011617661
BA2636	0.6665113492421927	796.1060126394092
BA2639	1.362958086800756	844.8043216183632
BA2644	1.159654428614658	469.5073738897269
BA2645	1.6553232028782536	504.72606810576457
BA2646	2.292427173098183	960.7262432626762
BA2649	2.054793558903989	1080.6947366429338
BA2651	0.9328784512660028	611.5752231358493
BA2653	0.8253166337449686	479.9423668888565
BA2655	7.299985941750644	3006.760720792315
BA2656	1.3059148202384048	515.111804440552
BA2657	3.998831667480205	670.4658708920568
BA2658	1.8268710853211807	822.1004835736335
BA2659	2.2619259953681525	665.0327259605249
BA2660	5.050824973655039	633.3081399309104
BA2662	1.2953582838747546	563.9060399401005
BA2663	0.7875701277787662	384.0622309800679
BA2667	3.8148880510202687	699.1675473166935
BA2670	0.0964147890654343	556.247398865805
BA2674	3.0719907515118887	788.029841818172
BA2675	5.470604185389457	888.7174232472146
BA2676	2.955025113249121	594.9186609686609
BA2677	2.3230404214585607	723.0592208761088
BA2681	3.0673529206032044	852.3623939733047
BA2682	3.793461043671051	1025.8745054790595
BA2685	1.388581302908514	1397.4403485298174
BA2688	0.6458573099095072	543.2713361661179
BA2691	7.970834409180971	699.9592746665802
BA2694	6.238474858619174	604.8506779221202
BA2695	0.5278184851152868	228.327273120442
BA2697	1.3509235182574766	162.9009241689507
BA2701	1.360539490071029	404.0787105964525
BA2704	5.085740183175416	772.0218738005265
BA2705	3.501425882081017	822.3340004432984
BA2707	2.5197496582377994	1183.7208571876502
BA2709	1.3205904920919496	642.9937530071306
BA2712	1.4752564014835297	275.18527411516027
BA2714	7.656167967567946	1089.2757767181863
BA2715	0.4659300873907615	186.5656405931548
BA2718	5.882814926834757	751.0675140693169
BA2720	1.0380797982424526	334.11912913497355
BA2721	5.548940628416671	903.5602547884332
BA2722	3.9711216110799374	346.3585867432167
BA2723	1.877678906239308	563.9445790557744
BA2724	0.9589716341175236	491.9553020105202
BA2726	1.6021027613169287	143.37951907534452
BA2727	3.2411675798066057	1173.7689255961552
BA2728	3.304925770314513	465.0237751179877
BA2731	1.0221442669866077	365.5634246419825
BA2733	1.1356592170870456	514.8910059088427
BA2735	1.176214772642601	800.4159438741033
BA2737	1.817379873817898	264.6952388675349
BA2742	1.265688443647633	575.0250498710651
BA2744	0.6826428444347123	387.18518572579296
BA2746	2.246847036514953	423.7452704930883
