	NPM1	STXBP2
BA2505	9.09230819306279	6.05871195652162
BA2860	8.97485330936457	6.62136909185019
BA2707	9.12210512882866	7.84883391972247
BA2871	8.66689198102969	6.35670315117225
BA2655	9.36916799017741	6.46480031307091
BA2227	9.42251934116338	6.06721543880875
BA2125	7.76334677298606	6.5105672693692
BA2523	9.33455230246716	5.40590227988363
BA2603	8.99558616821901	7.09927444538542
BA2808	8.70112769787832	5.99034044706391
BA2282	7.26503778677364	7.51084212363206
BA2482	9.04501990946176	6.48013079701668
BA2812	8.81487669872437	7.57365573963701
BA2822	7.14998539597838	4.95610961322066
BA2594	8.42798766039968	6.65459904731643
BA2747	9.35176787188011	5.69757983119209
BA2561	9.09970659968869	6.94358580230343
BA2567	7.54085820588458	7.33073792117204
BA2906	8.80250309714617	6.33280116885594
BA2956	8.11104544817006	7.21300808308282
BA2474	9.08127310626888	6.62466206493959
BA2737	8.02685700006077	7.52082148621471
BA2110	7.71347289714959	7.23310611857777
BA2992	9.18338030789918	7.48933909555342
BA2220	9.00955709168753	6.26927993913723
BA2772	9.42251934116338	6.56942061445838
BA2935	8.55029123602985	7.34277993266588
BA2260	8.75098362594822	6.93219471408877
BA2676	8.7361512573159	6.12729526002833
BA2948	7.55189787670547	7.08741196449123
BA2524	9.2592593958878	6.59311218108753
BA2811	8.83676787171411	4.91372629041848
BA2540	8.86857724833819	6.82612058067876
BA2928	8.7214605815193	6.54978276410253
BA2302	9.38234175781362	6.36840696799515
BA2595	9.09230819306279	6.39599982532293
BA2792	8.66689198102969	6.64358377452482
BA2651	9.17948259034573	6.53543485984192
BA2619	7.88191833711993	6.73050676463962
BA3013	9.54457000922792	6.42575430557831
BA2405	9.64008823387741	5.68494283424888
BA2735	9.08494318011795	6.93692249333061
BA2856	7.56206988956539	7.24053779186389
BA2377	8.74389874448259	5.84508987578304
BA2499	9.66095938066438	7.12340588419214
BA2463	8.4179334910987	7.22625304922136
BA3023	9.17948259034573	6.07349886728139
BA2095	9.13342062895717	5.56816954142909
BA2901	8.51425498508966	7.13756401534747
BA2275	6.9401836518602	6.89778124838191
BA2387	8.68106286594684	5.42089748568897
BA2962	9.73079295605488	5.64352989350398
BA2195	8.69249597847146	6.84719227215285
BA2688	8.77262692606308	6.70141361221983
BA2787	6.35352478320916	7.60510330404292
BA2420	9.09970659968869	5.51310398165662
BA2756	9.56420444046175	5.67733203427573
BA2122	7.70840071464408	7.87281860469351
BA2053	9.16784487350203	6.19646958807837
BA2080	8.92748837970555	6.88614746987226
BA2081	9.00255657247606	6.31947287697639
BA2354	9.30238239860393	7.32217874930828
BA3273	7.24904224136933	6.00599295147661
BA2893	9.50601427714714	5.9223239988237
BA2044	8.43758065182973	6.05776567233175
BA2489	9.15628939970288	7.50105244518025
BA2309	9.05942450247106	6.13375733254388
BA2720	7.7605970351598	6.25044574056375
BA2908	9.83621907237271	4.73263297210475
BA2054	8.54508752883457	6.96026429862309
BA2872	8.00271116464237	6.34412105865143
BA2526	9.09600320401444	5.76218019652153
BA2041	9.02011485988608	6.16309999506727
BA2464	9.07395764638915	5.35633645133756
BA2902	8.82734862624236	5.80611475116593
BA2541	9.18338030789918	6.74039110508618
BA2143	7.22867709025789	7.17197273809379
BA2094	7.79956921933088	6.79520689964912
BA2769	8.904319577833	7.14840411383597
BA2843	8.88148184246882	5.35302745757832
BA2592	9.57909169555586	6.0844698592588
BA2497	8.09067732991193	7.81969894849543
BA2718	8.61151153389318	6.5550219238791
BA2575	7.3614587281193	6.77544790931264
BA2096	9.4000752436972	6.35399476116952
BA2593	10.3090915070605	6.95277524354107
BA2791	9.14481502348153	5.63243748418652
BA2620	8.61695773628636	6.77246010495607
BA2629	9.4000752436972	5.11255644719302
BA2870	9.26745559419095	7.26851020715081
BA2423	7.73861349646242	7.6160759273921
BA2682	9.14863087419242	6.14067117674287
BA2276	8.91090509269608	6.78255354390321
BA2348	7.52987979374564	7.69288267465993
BA2709	8.81177412986094	6.74039110508618
BA2789	9.36480042798147	5.56074426608132
BA2694	8.92748837970555	6.15961763122212
BA2538	8.40429460371975	5.45234424595149
BA2583	9.44070228005406	5.33831102144375
BA2415	7.67493502317828	7.33250978911574
BA2722	7.0623479587219	6.11207876458844
BA2806	9.01306871894599	5.92274484517742
BA2221	7.99413751864958	6.86082822034488
BA3025	9.2389471182711	6.19874995357892
BA2514	8.62153057515291	6.81145766315316
BA2520	9.08127310626888	4.72319738390663
BA2441	7.40108920011618	5.55547794596907
BA2153	9.57909169555586	5.7225158734594
BA2479	8.22832881693221	6.24864350807345
BA2281	9.01658796485945	5.13585150348145
BA2657	8.33560901482561	7.4576754868774
BA2932	9.12210512882866	5.61668949030342
BA2123	9.57909169555586	5.58757791228304
BA2844	9.22687989289351	6.19921427066261
BA2660	9.06304565250042	5.37711806863464
BA2836	8.74800571415782	6.10148550070927
BA3027	7.63041516939983	6.9944372976249
BA2714	8.89122942781574	6.08835914671386
BA2139	6.80299244523417	7.37396310701658
BA2251	8.32671267592458	6.5272776299756
BA2952	8.16254296358662	6.83151108322253
BA2440	8.39493145233583	6.51708902749809
BA2036	8.75695672842528	5.96425797978003
BA2828	8.09804401257278	6.46877968178344
BA2292	8.98173476670244	5.87456316002562
BA2410	9.34313727945847	5.77409344818299
BA2051	7.46363654414575	6.8614500005054
BA2532	7.45571345371651	5.79446889536676
BA2986	8.95099667095566	5.15174013749338
BA2494	8.39027400222105	7.04635072837336
BA2515	8.66407371953991	6.97042186538325
BA2748	9.33883912107995	6.06680993243889
BA2970	8.8589671548512	6.60955337824494
BA2622	8.65006116973985	6.56119717042577
BA2839	8.72438748273975	5.88566715694508
BA2052	9.10713869224013	6.11633596300958
BA3011	8.50277388292747	5.86057748465192
BA2868	9.00255657247606	6.35994759909125
BA2510	9.01658796485945	7.08440089746741
BA2065	9.20696376307392	5.6643875190661
BA2691	8.11104544817006	6.98958107037054
BA2374	8.21222936163239	5.97201044807817
BA2804	8.8879736022598	7.33250978911574
BA2670	7.93824432889201	7.19482368325309
BA2675	9.08494318011795	5.97400576389771
BA2589	8.38563253120242	6.30326841219344
BA2031	8.87824586229709	7.13282710739113
BA2198	9.39118419839355	5.15562361016681
BA2066	8.28097335559112	6.82247572050957
BA2344	9.57411368730524	6.47228949068298
BA2459	9.38404554334867	5.43657703696705
BA2229	8.53473617000875	5.37711806863464
BA2559	8.68391306436784	7.10851364264035
BA2093	9.23491479941431	5.5268548517384
BA2000	8.08701091285537	6.16783650104973
BA2425	8.47600328572046	6.98553956904008
BA2905	9.22687989289351	5.98792432171399
BA2304	7.16215175411855	7.94936162159169
BA2976	8.65285322774346	6.52170608095191
BA2386	9.09970659968869	6.46333894051768
BA2035	9.33455230246716	5.43185845277898
BA2760	8.29820901257083	7.08368088883067
BA2201	8.89776108628452	6.68477667416407
BA2355	8.59260663428802	6.58462737788517
BA2113	8.50026123971081	7.49672370749375
BA2155	8.99906762077278	6.06511011474783
BA2955	8.07971165578759	6.48705929163371
BA2502	8.05457002396872	6.53889895494815
BA2322	8.93082572022568	6.6886775034689
BA2376	6.97993778438247	6.96352997566574
BA2020	9.15245565249128	5.81201009033099
BA2226	8.81487669872437	7.14070376063247
BA2200	9.30065851731011	5.86658260779457
BA2121	8.92748837970555	8.43758065182973
BA2944	9.90525526471174	6.57247167015578
BA2033	7.17761745050204	7.7729524118183
BA2867	8.66126072825912	6.65069612456278
BA2089	7.65513327960109	8.91420804405317
BA2224	8.38331776349613	6.32267289165303
BA2046	9.3217592552912	5.78653274196094
BA2972	9.160132157513	6.50854787129231
BA2978	7.85205086731265	8.70980864868103
BA2829	8.79635277497105	6.20781827295602
BA2851	8.5529001392332	6.09471986603717
BA2587	8.72438748273975	6.64186594668035
BA2461	7.94314055717551	7.26424108951115
BA2695	7.68652733200955	8.06705838382499
BA2623	9.57411368730524	5.97970846844177
BA2024	7.58759859001841	7.84883391972247
BA2426	8.88148184246882	6.71501245136813
BA2271	7.95452812467512	6.54096638153352
BA3004	8.57129520837751	5.95765278561263
BA2579	7.85633367820174	6.23576326993081
BA3010	9.00605305286098	7.0549889553605
BA2662	8.34232080533324	6.84839040918598
BA2674	9.15245565249128	5.86298515288613
BA2280	8.50160207030541	5.92555008265751
BA2512	6.81629782268832	7.38257507273258
BA2658	9.070312190258	6.48756519390035
BA2394	8.21222936163239	7.31848514343172
BA2950	9.49651930986164	6.56532526138634
BA2981	8.63894476137773	7.36816809987369
BA2934	7.22625304922136	7.384595872256
BA2539	7.8925772722697	7.80543655113692
BA2249	8.63894476137773	5.94431286144935
BA2034	8.94268168369866	4.51506810292305
BA2109	7.61245153291675	8.74503353869987
BA2242	8.12041880838799	6.41603346705047
BA2277	8.68676863894814	5.83800900717186
BA2727	9.83304132704525	5.19521272494981
BA2132	8.672544374331	6.47813803224063
BA2618	8.61151153389318	7.50002964161751
BA2521	8.672544374331	6.24682640662524
BA2846	9.1755941413251	5.90637273927834
BA2885	8.02142525655183	7.00924527251429
BA2639	9.04860912314158	5.93410860815703
BA2775	8.84941498844258	6.49751592370516
BA2402	9.26335235036244	5.59544495006514
BA2097	9.44070228005406	6.03773130672776
BA2786	9.34313727945847	7.39444593270682
BA2399	9.44070228005406	5.60803848500502
BA2850	8.91090509269608	6.25584067626589
BA2174	8.34232080533324	6.88492067829042
BA2004	7.48933909555342	6.95213438220586
BA3001	9.69817061599593	5.42929400143586
BA2311	7.93028682049466	6.9766278154768
BA2483	8.48343527695382	7.49457772487061
BA3040	9.00605305286098	6.66888521161026
BA2837	9.37793858616158	6.36512999451549
BA2724	8.5607551950315	6.90753952267277
BA2911	9.35176787188011	5.74281190993701
BA2256	9.43613726309062	6.27426778231287
BA2821	9.69817061599593	5.80260778462263
BA2233	9.19906475607931	5.97691207859612
BA2744	9.34313727945847	6.1167480511433
BA2880	8.34906675857089	7.20386734649371
BA2621	8.28097335559112	7.07994856692804
BA3002	8.42744390017979	7.29599106177635
BA2501	8.48407580140491	5.72829583893467
BA2993	8.84624370479657	6.17860539471144
BA2301	8.06147774301482	7.26066025557169
BA2852	8.29820901257083	6.48317228455133
BA2133	7.83554388846121	7.33435286548196
BA2866	9.19906475607931	6.47329372187665
BA2212	9.33455230246716	6.90492530830845
BA2685	9.39562360946183	5.90312039371181
BA2273	8.83362186336888	5.40260210506482
BA2477	9.29229417829056	5.83331901871842
BA2659	8.45453034732936	6.68423874907307
BA2124	9.49819442110274	6.02657524046515
BA2363	8.84941498844258	6.63330728837913
BA2369	8.79328666582968	6.63537899034447
BA2534	9.0271917203024	5.60116902965989
BA2400	9.46836798648192	5.78692047501447
BA2762	8.96117775713075	6.63655252284443
BA2312	8.79635277497105	6.52170608095191
BA2813	9.54457000922792	6.24546760741925
BA2211	9.17734760232419	5.76994542170869
BA2171	9.17171491689544	5.49691431965408
BA2746	7.89401548128851	7.49256176412129
BA2798	9.67679810675791	5.89280070639154
BA2809	9.1872873383188	5.84508987578304
BA2288	8.55505298542423	7.53511002571526
BA2801	8.32449794408229	7.60280427832536
BA3030	8.66873090783595	6.57305438035027
BA2588	9.44070228005406	6.44947039282618
BA2296	9.28397254525379	6.6263105848456
BA2300	8.69249597847146	6.14149524736616
BA2903	6.47376016789819	8.27244095196937
BA2473	9.13518361120238	6.27332825884915
BA2545	8.25764420926654	6.92499248066896
BA2840	8.5971359914493	7.48382605156173
BA2528	9.14863087419242	6.81883552060849
BA2646	8.84941498844258	5.70069374807012
BA3407	8.40429460371975	7.40017541649469
BA2240	8.25554427681065	5.4780108909795
BA2926	9.48238177689826	5.97568950745141
BA2272	8.26607857536642	6.80545390529169
BA2306	8.87501645157825	7.86375133258917
BA2765	7.08068398565122	7.68134464101013
BA2904	8.52958832512444	6.23751631094724
BA2883	9.05581138653334	6.4930085337883
BA2726	6.49846429425474	7.53197491812839
BA2234	7.19816924570359	7.50647222464875
BA2022	8.91751782379931	5.56596083132182
BA2228	8.48906113697349	7.25696535562506
BA2037	9.49651930986164	5.71798453197329
BA2184	9.2592593958878	5.96023036518701
BA3009	9.06304565250042	6.87275038321774
BA2842	7.37484847247432	7.72417589543797
BA2442	8.86536741111737	6.1058059803294
BA2882	7.69790613813162	7.44143176676429
BA2758	8.01121552663761	7.3014086607396
BA2705	8.4594113881339	6.4108151402329
BA2663	7.58640399756741	8.05457002396872
BA2570	9.070312190258	7.03779348616319
BA2764	7.86519796261888	7.25176192852259
BA2209	8.23267071257109	5.98011491063707
BA2989	8.87824586229709	5.8395569214379
BA2855	7.70582137825133	7.13198010911185
BA2261	7.49565796423242	7.21621114040909
BA2721	8.41608983118813	6.66177361256097
BA2930	7.75371580805874	7.29872623007905
BA2728	7.74132890165977	6.67724465459247
BA2715	7.71215406681609	5.76958048788937
BA2469	7.96260346447077	7.10085014543415
BA2269	7.15633759792086	7.53511002571526
BA2098	8.09251475928632	7.02841397070837
BA2778	6.98621603600523	7.17595663951225
BA2951	9.78674968596522	6.02371028385454
BA2163	7.09568366825665	5.6590072041356
BA2379	7.31397253852267	6.9965338713589
BA2817	7.86671215518685	6.16992972400798
BA3153	7.92699657991781	6.92111028015582
BA2820	8.20414503388581	7.57949702449786
BA2723	8.22445433533228	6.89511146582289
BA2704	9.23491479941431	5.57412698420844
BA2088	8.3972661940189	6.90940702790402
BA2116	6.78491577385659	6.93420850135559
BA2584	7.87430709609213	6.0311101011047
BA3079	8.24717893447311	6.23751631094724
BA2417	8.47910806756512	6.98821538280907
BA2361	8.09067732991193	6.94881589861991
BA2450	8.75995195431454	5.94757169388019
BA2492	7.35202275514424	7.02554920178684
BA2552	9.4270458724936	6.08318959151969
BA2472	8.04060780611373	7.28351115402007
BA2994	9.04501990946176	6.03853366113736
BA2047	8.54249270039127	6.15523951187803
BA2101	8.5117153749805	6.20098661255903
BA2082	8.97829037472744	6.50854787129231
BA2879	7.48057619109315	6.96567270429015
BA2577	9.4000752436972	5.92714619342572
BA2456	8.22445433533228	7.15633759792086
BA2175	6.84399982384708	7.46577618872004
BA2824	8.58457840504288	5.7857780349214
BA2507	9.15245565249128	6.07349886728139
BA2563	9.21888429779212	5.6590072041356
BA2244	8.44966638628301	6.43493754543007
BA2470	8.66407371953991	5.92753747485825
BA2984	8.74503353869987	6.22588030863844
BA2414	9.11835064360706	6.28551672535244
BA2697	7.00782899353321	7.42090370210596
BA2079	6.63915578339387	7.6363131099363
BA2999	8.59529250724368	5.34655859478035
BA2644	8.30909856685695	6.59256890621003
BA2011	8.00619097456886	7.30055320563665
BA2217	9.35176787188011	5.73479862078324
BA2454	9.13720994130471	5.13768843009096
BA2776	9.1872873383188	5.50684581649132
BA2218	9.47302564786274	6.57772759538865
BA2135	9.53000194332933	6.29091935991155
BA2914	7.96905854853838	7.65393092338473
BA2500	7.68775219309565	6.2167212997473
BA2830	9.79819104218496	5.95354912364785
BA2406	8.13176351189552	7.24732283099868
BA3108	9.44528028465592	4.73017446924893
BA2924	8.76595984417136	6.78255354390321
BA2303	7.93352218493006	6.85832315809809
BA2160	8.82110029202306	5.90157614057374
BA2038	8.40194775982719	6.37928950311348
BA2602	8.32893113987774	6.97926113627939
BA2964	7.878761730409	6.66232694076894
BA2898	7.94635895319707	7.05721925341645
BA3003	7.88191833711993	6.95411223232461
BA2111	8.01457218763256	6.98756290986723
BA2827	8.18020169656618	7.12738803665014
BA2912	8.18217944661747	6.34457703412125
BA2437	8.21832699326225	6.6268478891503
BA2283	7.92868137841977	6.7478553015081
BA2057	7.89563066633541	6.77360382440632
BA2633	8.3603866090308	6.52072194410879
BA3034	7.97720455656684	6.91665453342353
BA2607	8.18813169577028	6.84657434431718
BA2761	8.40194775982719	6.69973279989381
BA2795	8.00271116464237	6.98275640527684
BA2182	8.19411260375688	6.67002543512013
BA2152	7.89401548128851	6.79640967556144
BA2381	9.55927298456459	5.34433907396084
BA2931	8.34456564828853	6.56840033593867
BA2040	7.72277870826456	7.49672370749375
BA2590	9.34744684153524	5.5543757274456
BA3195	9.4045391740165	5.39890865222561
BA2516	9.40177461105289	6.40688318423783
BA2353	9.62461563502098	5.25677566453511
BA3036	9.44070228005406	6.14800492227439
BA2971	8.05801802157941	7.62925234894777
BA3410	7.99739906746641	7.38361760058351
BA3118	8.8525926437112	6.64631169310032
BA3206	9.09600320401444	6.92833111291049
BA3202	8.84307877151568	6.56276898771766
BA3217	9.33455230246716	5.75101347604726
BA3405	7.61245153291675	7.47111652375221
BA3306	9.27982760161886	6.115497606055
BA3371	8.91420804405317	6.32915479459382
BA3413	9.33027676031699	6.25398693871105
BA3411	8.88148184246882	7.60395254604328
BA3133	7.55977224878375	6.19035368693945
BA3164	8.77804587995587	5.74049978130943
BA3451	7.44242521067177	6.85580435382138
BA3286	8.50412364911741	6.92625028034322
BA3212	7.50105244518025	5.89560402298733
BA3103	8.7420670822246	6.38171333036269
BA3271	8.92748837970555	6.31720357778214
BA3152	7.13359161213086	7.89108706846145
BA3095	8.61695773628636	5.62270762074318
BA3192	9.4000752436972	6.11039522609915
BA3251	8.7420670822246	6.82673548944024
BA3362	7.81686981561798	7.16215175411855
BA3400	8.15477520582082	6.20920563257666
BA3135	9.25517667754352	5.79121445090041
BA3408	8.42321613548815	6.90296785302656
BA3187	8.65006116973985	7.32779530563549
BA3098	8.77804587995587	6.45150431178519
BA3435	9.4000752436972	5.02690678584107
BA3261	9.06667487040862	6.39073862378253
BA3203	7.19738153999511	7.30225620212896
BA3174	7.89563066633541	7.37967634115988
BA3317	9.90525526471174	4.77310857541328
BA3299	8.268195867683	6.80299244523417
BA3221	7.54085820588458	7.15078589361001
BA3347	7.9003747386446	7.45167143306165
BA3235	6.9965338713589	7.14070376063247
BA3126	7.65148276489013	8.22240857358487
BA3380	9.05220627117217	6.26294056892688
BA3089	9.4917929010063	5.15597615770657
BA3109	7.91267481802265	7.392421781637
BA3114	8.27456876079558	7.34547705030654
BA3418	9.1755941413251	6.69580577134555
BA3245	6.72876764999848	6.56326897910348
BA3085	9.2109276242084	7.2456266527422
BA3128	9.4045391740165	5.99929451210714
BA3423	9.59916222255831	5.84112154107977
BA3173	9.26335235036244	5.98140357116426
BA3171	7.55754763062472	6.26294056892688
BA3277	8.79022656584331	6.08707291217101
BA3210	8.24301678047805	6.62245620960063
BA3157	10.1099887487995	5.10315757075363
BA3433	8.7214605815193	6.47477154385912
BA3322	8.25554427681065	6.60156923670466
BA3374	8.92415796681604	6.28095605412445
BA3450	8.63894476137773	6.82612058067876
BA3167	9.04501990946176	6.71443140013608
BA3269	7.80392510487274	6.36375841269391
BA3110	9.20870997646767	6.26474966230624
BA3156	9.73079295605488	8.05801802157941
BA3226	9.55927298456459	5.62195033213407
BA3421	8.25344779136567	7.36910502551481
BA3232	9.03786515454843	6.52938873500607
BA3289	7.61833712147791	7.59565623174131
BA3430	7.74666982029682	7.71999782727612
BA3145	8.61695773628636	5.91240742486635
BA3399	7.84567146798846	7.70840071464408
BA3449	9.45447558148811	5.88248029384315
BA3384	8.824221356442	7.15798365655759
BA3427	7.21134659078952	6.52120608932454
BA3163	7.08148396341999	7.99573716734119
BA3158	9.2592593958878	6.26429986711095
BA3436	9.67679810675791	5.42234890079115
BA3154	7.76749698582267	6.04898713449574
BA3162	8.60337970015667	6.55077235024982
BA3352	9.67313133431446	5.89999571306857
BA3084	8.78717245605116	6.97383568837724
BA3149	7.8210975174081	6.98275640527684
BA3169	8.24301678047805	6.66451367219681
BA3180	9.11460476788528	5.86170545233753
BA3255	8.64449262965366	6.18251802139279
BA3438	9.3735473533766	6.55336509971083
BA3345	7.67751428719864	7.00490622738367
BA3403	8.41372261793503	5.75871811902643
BA3431	7.86519796261888	7.45963779857083
BA3181	8.39960495989321	7.04775148018528
BA3341	7.99413751864958	5.90157614057374
BA3191	8.36494157515656	6.46777351288485
BA3197	8.97829037472744	5.55701809815102
BA3448	9.08494318011795	5.75101347604726
BA3453	8.80867768640892	6.04359329819671
BA3406	8.79635277497105	5.82541777312417
BA3308	9.38675693832204	4.9151312299137
BA3186	8.48399844841995	5.66740335166233
BA3334	8.7214605815193	7.88642489400613
BA3447	9.60422004710875	7.2245944685398
BA3116	8.70401585675217	7.47524977931761
BA3280	9.25110414260315	6.08278210679629
BA3185	8.5373170330564	6.17166961813264
BA3094	8.59798330037588	6.83843057067482
BA3318	8.47663077360064	5.57265147872459
BA3216	8.8879736022598	6.64186594668035
BA3332	9.36916799017741	6.28686276373049
BA3214	9.51245452204643	5.50793552756995
BA3099	8.8717935877338	5.77808284388984
BA3141	9.43158515365849	5.77528788033686
BA3373	8.78108213178214	5.31939718851273
BA3319	7.51413414557592	6.67058412961645
BA3328	8.07971165578759	6.26748667871903
BA3339	8.07425460403884	6.36982886713941
BA3240	8.97485330936457	5.02654059802702
BA3142	8.62516478231551	5.79084004808005
BA3333	8.98864564355709	6.25091484872834
BA3381	8.18217944661747	6.83344544574865
BA3290	8.25344779136567	7.00079089475897
BA3207	7.11965805588277	8.30473182450184
BA3296	7.05061628699762	7.72545959564587
BA3305	8.59260663428802	6.92764387831615
BA3434	9.18338030789918	6.16950493399515
BA3189	8.87824586229709	5.4622357789397
BA3264	8.69536777456055	5.6837918460088
BA3329	9.45616130594571	6.72640507458581
BA3417	8.57925061313916	6.39121229400113
BA3367	7.38257507273258	7.93502206043898
BA3225	6.41555515164963	7.11440294806697
BA3183	8.88148184246882	6.1419268433851
BA3222	8.70401585675217	6.07098245209084
BA3139	7.46894970580743	4.86919354703945
BA3397	6.732801148639	6.03612422779332
BA3311	7.04704814373678	7.74263536016322
BA3422	9.02011485988608	5.98546472831244
BA3228	8.92415796681604	6.12180366530222
BA3213	8.62516478231551	6.71095851013656
BA3270	8.31787605128572	7.3121239051118
BA3415	7.56784611916855	5.89048099649459
BA3324	8.5607551950315	6.42624085513256
BA3194	8.68106286594684	7.03196402344294
BA3335	8.19211577067672	6.47329372187665
BA3199	9.4000752436972	5.34760794102165
BA3326	8.22036612888066	7.34547705030654
BA3285	7.61362919863888	5.57820476090366
BA3297	8.05288390011611	5.50645735096181
BA3227	8.79022656584331	5.55170379118917
BA3394	9.39118419839355	6.18251802139279
BA3412	7.81249915728454	7.99068122497693
BA3293	8.85123237146193	5.60194416501247
BA3250	7.96260346447077	6.38306782429477
BA3177	8.77199110438686	5.7857780349214
BA3315	8.34906675857089	6.03404286985942
BA3182	7.94936162159169	6.52938873500607
BA3260	7.42825345365406	7.63511106991273
BA3369	8.66407371953991	6.08490728340658
BA3078	8.96297616127633	5.60877477912872
BA3386	8.89776108628452	6.24365480544028
BA3445	8.25135474465914	6.91457416198527
BA3452	8.77199110438686	6.36227514110898
BA3176	9.21490111990201	6.34503333401511
BA3258	7.18983138735934	7.15246698865564
BA3295	8.05972702484149	6.77076757748903
