	NPM1	STXBP2
BA2392	9.6874475749889	5.28434744849232
BA2611	9.60929418124753	5.34691482072856
BA2506	9.61949185438657	5.29733962996603
BA2430	9.61949185438657	5.22280034919153
BA2448	9.61438474364243	5.35378122072143
BA2730	9.62461563502098	5.26638051429339
BA2845	9.57909169555586	5.38913307968471
BA2326	9.58408544068247	5.3715755453953
BA2341	9.58909503454725	5.33645520893539
BA2612	9.55927298456459	5.42306900546803
BA2973	9.56915130536806	5.41572672514552
BA2390	9.55927298456459	5.44863314929001
BA3218	9.56420444046175	5.37049633306029
BA3105	9.53000194332933	5.24255862650171
BA3402	9.53484314535953	5.22820213125468
BA3276	9.51556606369543	5.21291531865443
BA2409	7.88494695067266	6.86708630662577
BA3037	9.1755941413251	5.52426227668902
BA2496	8.3156761580726	7.33073792117204
BA2172	9.2592593958878	7.42721767032965
BA2865	9.53484314535953	5.96585962161822
BA2923	6.98208266015901	6.69408720379773
BA2751	9.13897207935234	6.28997086497795
BA2480	8.38563253120242	5.73934974436077
BA2286	9.51078302100883	5.70335455446958
BA2922	9.78674968596522	5.00342496782883
BA2452	9.33027676031699	5.18440522570466
BA3379	9.31328611186612	5.65863949770921
BA2887	9.06304565250042	5.43185845277898
BA2712	7.82549928808227	6.94881589861991
BA2068	8.67821802831458	5.89480665962864
BA2236	8.75995195431454	5.82697757198733
BA2104	6.91599118004167	7.48933909555342
BA3124	8.84307877151568	5.62980424436949
BA3395	8.58457840504288	5.99034044706391
BA2921	9.00605305286098	5.8674136416209
BA2449	9.52036350053221	6.90877033903166
BA2003	9.04501990946176	6.95960331595656
BA2360	9.4000752436972	6.42953951724595
BA2802	7.15633759792086	6.34145730932297
BA2235	8.83362186336888	5.82697757198733
BA2858	8.91420804405317	7.25440312060941
BA3038	7.73462168625585	7.0420285397911
BA3006	9.15245565249128	5.95395062623658
BA2245	9.0307417478067	4.95986798390111
BA2667	9.13720994130471	6.83464418679852
BA2239	8.17428733914348	7.05570452227078
BA2782	7.59101188148724	7.11517726354172
BA2649	9.2429894144776	5.03042863350607
BA2488	7.91111348596979	6.0311101011047
BA2861	9.11460476788528	7.25790347094091
BA2909	7.83704881770087	7.5552619353094
BA2429	8.66493693752935	6.08621852980205
BA2653	8.41556616709075	6.78009238710876
BA2134	8.30037965468589	6.34923107690817
BA2947	9.91920628125652	7.19643196455649
BA2032	9.3735473533766	6.27603504625168
BA2162	8.85577669200061	6.02657524046515
BA2564	8.74800571415782	7.00218029229942
BA2597	8.13547459853116	6.37975842200095
BA3243	8.84307877151568	6.01456358339712
BA2106	9.54945587390153	6.14672505812723
BA2427	8.91090509269608	7.17913715940168
BA2841	9.13342062895717	6.2918184227424
BA2446	8.33784249776874	7.00565090016862
BA2645	8.42798766039968	6.54766219361137
BA2525	8.34456564828853	6.47182200391892
BA2876	8.61151153389318	6.80845562026412
BA2357	8.95777690896205	7.5098325342709
BA2546	8.0301567645062	7.06020993945392
BA2742	7.87584460904621	7.11440294806697
BA2316	8.22855584188171	6.93890773932704
BA2421	8.28526081080175	7.5932544466496
BA2087	9.10147698629206	6.94819581980106
BA2910	9.22287720595147	6.52679727819278
BA2148	7.95609226155088	6.75365272319271
BA2063	8.34232080533324	6.82369230677028
BA2329	8.3972661940189	7.85633367820174
BA3178	8.76897254396233	6.60368263326756
BA2072	8.41135949860071	6.51657057172327
BA3029	8.78717245605116	6.33046496181519
BA2733	8.96458579397726	6.98275640527684
BA2995	8.45209623715645	5.9931420196416
BA2069	8.46185834013681	6.68593691853273
BA2100	8.70690950167434	7.02200264661639
BA2681	9.52517542791568	6.56890360423702
BA2248	9.19906475607931	5.80534757980453
BA2832	8.18813169577028	5.95439094102815
BA2308	9.48708042008341	6.00473272078113
BA2413	9.4045391740165	5.50426621763009
BA2701	8.7361512573159	7.01543819204674
BA2634	8.22240857358487	6.6795007159625
BA2677	8.79635277497105	7.32489473499785
BA2937	8.25344779136567	6.99787187673434
BA2600	9.2429894144776	6.65958088429919
BA2019	8.12986534537924	5.81689436620779
BA2412	6.82309107200081	6.94758145894243
BA2334	8.94087956106744	6.26118056372206
BA2050	9.34744684153524	5.82934773365488
BA3230	8.78108213178214	6.86965319256556
BA2953	9.69817061599593	6.29315264064962
BA2481	8.58191208164573	7.2371970090631
BA2731	8.46185834013681	7.93187727167438
BA2294	9.25517667754352	6.54717354229814
BA2418	9.1410080593907	6.3144421792923
BA2816	9.14863087419242	6.31991412295615
BA2656	8.93082572022568	5.99395843173589
BA2814	7.63755645913212	7.44443985803447
BA2631	9.3561004357089	6.27064006981264
BA2023	8.3311533449718	8.04934885751887
BA2375	8.84941498844258	6.19732726364109
BA2485	8.78899864293157	5.42021412065381
BA2455	8.3156761580726	6.96419578199875
BA2025	8.56338303703764	6.37687982809383
BA2636	9.10713869224013	6.66730094916762
BA2325	7.29687122589928	6.94358580230343
BA2169	8.51934782702254	5.98180577093432
BA2156	9.48238177689826	5.80184732320877
BA2511	8.46430959418229	6.76656262392125
BA2939	9.41350421836705	6.06345159600226
BA2168	9.20300948929151	5.96023036518701
