	PTPN11	IDH2
BA2392	7.10534081557561	9.29647098090766
BA2611	6.97042186538325	9.30906602396076
BA2506	7.0594253136799	9.29647098090766
BA2430	7.07556396699123	9.27569316532541
BA2448	7.06596636229514	9.29229417829056
BA2730	7.09423229403913	9.23491479941431
BA2845	7.04424068249485	9.2109276242084
BA2326	7.05570452227078	9.23089240757758
BA2341	7.01847365520979	9.25517667754352
BA2612	7.08741196449123	9.2109276242084
BA2973	7.0420285397911	9.22287720595147
BA2390	7.07405167828484	9.25517667754352
BA3218	7.04344633578654	9.21490111990201
BA3105	7.00490622738367	9.2429894144776
BA3402	7.01983909137586	9.22687989289351
BA3276	7.01338554790523	9.28397254525379
BA2409	6.68698956921182	6.82851443258156
BA3037	7.26938021173089	8.03722226484621
BA2496	6.71610247691018	8.28311530497155
BA2172	6.91265400996675	9.30485684547982
BA2865	7.04276966075825	7.78959302181462
BA2923	6.20964310204874	7.82688083190866
BA2751	6.61925110660737	8.18796359837961
BA2480	6.55451548155805	8.39960495989321
BA2286	6.86903485569995	8.48158973981744
BA2922	7.26585264294213	8.46430959418229
BA2452	7.26503778677364	9.09230819306279
BA3379	7.09710413510838	8.50160207030541
BA2887	7.26238233832031	8.79635277497105
BA2712	7.05796014084047	8.63894476137773
BA2068	6.78009238710876	8.32228693534529
BA2236	6.78739149461742	8.19211577067672
BA2104	6.3190384639483	7.5725144548201
BA3124	6.27468820513848	7.54733361982974
BA3395	7.54970729199318	8.40664550150058
BA2921	7.46679247570854	8.8525926437112
BA2449	7.09710413510838	9.26335235036244
BA2003	5.98627491229184	7.84883391972247
BA2360	6.83403264485773	9.07761127342397
BA2802	7.15951987646114	8.34007975821985
BA2235	6.75309739437635	7.79956921933088
BA2858	6.71325528813671	8.67537853618004
BA3038	6.69136843496562	7.93502206043898
BA3006	6.87403385388121	8.15090969693391
BA2245	7.51849616731086	8.58992566833602
BA2667	6.70082648857542	8.40664550150058
BA2239	6.62136909185019	7.47952389617521
BA2782	6.3931237186825	7.29077391107671
BA2649	7.22705513643141	8.78108213178214
BA2488	7.03986452617139	7.92699657991781
BA2861	7.08598210070988	8.59798330037588
BA2909	6.55713498264667	7.35673455123978
BA2429	6.38694021270264	7.43426786956565
BA2653	8.09064390303592	8.88978486658959
BA2134	6.67231936736834	7.41497012248878
BA2947	7.04635072837336	8.22627943224245
BA2032	6.95550948162844	7.75510135803604
BA2162	7.16132716982423	7.46474071975909
BA2564	6.77246010495607	8.24301678047805
BA2597	7.34837532536667	7.85205086731265
BA3243	7.0549889553605	7.96905854853838
BA2106	6.44275689894875	8.44481942009045
BA2427	6.95895559810233	7.99413751864958
BA2841	6.8971019245288	9.26745559419095
BA2446	6.85962983110872	8.52190108216259
BA2645	7.16132716982423	9.14481502348153
BA2525	6.23708437608245	6.8791208631907
BA2876	6.6963494054774	7.46260985261637
BA2357	6.70250395591763	8.73910632748104
BA2546	7.03779348616319	8.06706072393759
BA2742	6.59094704308975	7.80094268898657
BA2316	6.68698956921182	8.04414638908848
BA2421	6.67231936736834	8.03197078783115
BA2087	7.08068398565122	8.4934060566155
BA2910	7.55300749734541	8.50664971851981
BA2148	7.22867709025789	7.08821062221174
BA2063	6.33509433573957	6.611693175134
BA2329	6.72062167573975	8.0095286113404
BA3178	6.54408446340443	8.03550248502968
BA2072	6.69807753006718	8.53215993801742
BA3029	6.81689630084604	7.69921272259806
BA2733	6.53989151011847	8.22650342209935
BA2995	6.54978276410253	8.41846114844672
BA2069	6.97731252665637	8.65565049707964
BA2100	6.74268846032395	7.63755645913212
BA2681	7.03126251610198	8.51679913189176
BA2248	7.33163994376767	8.30473182450184
BA2832	7.2509128285615	8.3695120975799
BA2308	7.17275321082541	8.26607857536642
BA2413	7.166329054571	8.32449794408229
BA2701	6.83403264485773	7.60395254604328
BA2634	7.23215951369131	7.81249915728454
BA2677	6.83029032072815	8.27670009201677
BA2937	7.08741196449123	8.23061160269424
BA2600	6.24819820835326	8.16254296358662
BA2019	7.18812871773308	8.7332018546727
BA2412	6.54766219361137	7.24218373520164
BA2334	6.86903485569995	8.12230223339654
BA2050	7.14070376063247	8.72731998420373
BA3230	6.88430660085161	8.51934782702254
BA2953	6.42575430557831	9.03786515454843
BA2481	6.61700352029779	8.41135949860071
BA2731	6.72355108630667	7.72809482559201
BA2294	7.07329793491951	8.69249597847146
