	PTPN11	IDH2
BA2418	6.6143322001923	7.83704881770087
BA2816	6.82309107200081	8.27244095196937
BA2656	6.78618260321054	8.50412364911741
BA2814	6.37031994316104	8.7332018546727
BA2631	6.93021683662514	8.03722226484621
BA2023	6.57921927462639	7.84567146798846
BA2375	6.84162430439576	7.84127876561754
BA2485	6.90877033903166	8.52886682883828
BA2455	6.77246010495607	7.18644077892568
BA2025	7.25008508374438	8.672544374331
BA2636	7.08068398565122	8.25554427681065
BA2325	6.76476869070353	7.05796014084047
BA2169	7.80392510487274	8.85577669200061
BA2156	6.77834045992494	8.78108213178214
BA2511	6.38217571781426	7.46784096415085
BA2939	6.28823715765654	7.72545959564587
BA2168	7.02698040559294	8.29820901257083
BA2505	7.21621114040909	8.14705635633251
BA2860	7.13596647021647	8.42321613548815
BA2707	7.01543819204674	8.66689198102969
BA2871	7.01759724929549	7.80682500789732
BA2655	7.09710413510838	8.7420670822246
BA2227	6.45750445904916	8.0301567645062
BA2125	7.32880266743386	8.3695120975799
BA2523	7.12664090320603	8.58992566833602
BA2603	6.7928687930301	7.97230357086309
BA2808	7.62925234894777	8.20213208675208
BA2282	6.03279032756297	7.09119041085949
BA2482	6.97042186538325	8.43037965011906
BA2812	6.40785243829132	8.25764420926654
BA2822	7.85777881958234	9.45324250904435
BA2594	7.22204702944845	8.40194775982719
BA2747	6.84839040918598	8.55813210635661
BA2561	6.23664169060856	8.07789379739417
BA2567	5.88005273032646	6.56478809528508
BA2906	7.23036606098158	8.95099667095566
BA2956	6.67446820413111	7.83985748399556
BA2474	6.71554173603585	7.82988769642495
BA2737	6.8175184307766	8.0301567645062
BA2110	6.42189529871828	7.17595663951225
BA2992	7.02978091514104	8.37180321609369
BA2220	7.18644077892568	8.79022656584331
BA2772	6.64072538795855	8.22445433533228
BA2935	6.48412876670839	8.03369173116136
BA2260	6.88993208075706	8.23267071257109
BA2676	6.9965338713589	8.5555137585582
BA2948	6.67339810625054	7.3014086607396
BA2524	6.87150487669772	8.30037965468589
BA2811	7.33796606665151	8.49156043324924
BA2540	6.6322579586067	7.64636707538027
BA2928	6.81569990825769	9.16398396797258
BA2302	6.75716311747521	8.06706072393759
BA2595	6.73108967735957	8.86857724833819
BA2792	6.80239867331755	8.38795127420314
BA2651	7.43037850226792	7.83268389248944
BA2619	7.281719536851	8.57129520837751
BA3013	6.8072812584581	9.13342062895717
BA2405	6.61979235879454	8.57394218930808
BA2735	6.59311218108753	8.01965582601105
BA2856	6.62245620960063	6.83661488155882
BA2377	7.47952389617521	8.70296361717243
BA2499	7.33163994376767	8.30909856685695
BA2463	6.1281715906941	8.46370355203629
BA3023	7.07180826529373	8.57129520837751
BA2095	7.27636680044251	9.33883912107995
BA2901	6.75831323775631	7.69288267465993
BA2275	6.90492530830845	8.24717893447311
BA2387	6.9068542300968	7.88494695067266
BA2962	7.12040364606583	8.59529250724368
BA2195	6.71384139703977	8.20012237793382
BA2688	6.43193622663115	7.81385914418798
BA2787	5.683055970914	6.53792906948021
BA2420	7.09927444538542	8.65006116973985
BA2756	6.73922514739457	8.77804587995587
BA2122	6.21887740590051	7.22786001580346
BA2053	6.74097656792209	8.13938594647296
BA2080	6.6892157543699	8.7420670822246
BA2081	7.04635072837336	8.62242404966029
BA2354	7.18398636132438	8.03197078783115
BA3273	6.61484329859941	8.71530617987172
BA2893	6.58991080721251	7.97069985635942
BA2044	6.98137959105818	8.60067902691643
BA2489	7.08227901596389	8.3311533449718
BA2309	6.84162430439576	8.77501554362266
BA2720	6.80239867331755	7.72941398094
BA2908	7.10160504306164	8.46065657230778
BA2054	6.53448056780642	7.90191887122195
BA2872	6.8072812584581	8.7420670822246
BA2526	6.71268468403438	7.97556074370465
BA2041	7.34082017175962	9.11460476788528
BA2464	7.01338554790523	8.03197078783115
BA2902	6.25676516705994	7.84883391972247
BA2541	7.08368088883067	8.09989277486394
BA2143	7.02052497875875	7.95296500400789
BA2094	6.56326897910348	8.51679913189176
BA2769	6.45847746962255	8.45696872743274
BA2843	6.29268793995786	9.00955709168753
BA2592	6.72757025712009	8.77804587995587
BA2497	7.05362684769664	8.52190108216259
BA2718	6.92559422045597	9.77539354132974
BA2575	6.55713498264667	8.0044307958278
BA2096	6.77304018403642	8.90103696609653
BA2593	5.14123425745589	7.29348678773891
BA2791	7.35578970076071	7.98067391429632
BA2620	6.88993208075706	7.72809482559201
BA2629	6.73637438056	8.34906675857089
BA2870	6.83843057067482	8.60608533344799
BA2423	6.46528423305325	7.46260985261637
BA2682	7.00642277827321	8.11478606741055
BA2276	6.60106588860888	8.5872495962732
BA2348	6.31115381839613	7.57949702449786
BA2709	6.80966373142259	8.36722488709977
BA2789	6.89441914208329	8.77501554362266
BA2694	6.37687982809383	7.95452812467512
BA2538	6.90492530830845	8.78108213178214
BA2583	7.47634089236666	8.68676863894814
BA2415	6.25354722820146	7.4333053034535
BA2722	7.79240622395492	8.55813210635661
BA2806	6.95550948162844	8.20012237793382
BA2221	6.65792194443728	8.33560901482561
BA3025	7.25696535562506	9.00255657247606
BA2514	6.6886775034689	8.09800077099819
BA2520	6.74670042339904	8.96458579397726
BA2441	7.29872623007905	8.31347995218337
BA2153	7.37002936753922	7.85777881958234
BA2479	6.11118909883084	7.08297551023298
BA2281	7.33529770605395	8.48906113697349
BA2657	6.83029032072815	7.76200686781066
BA2932	6.88492067829042	8.48906113697349
BA2123	7.53867754134672	9.3735473533766
BA2844	6.7316871446616	8.96800104667789
BA2660	7.15633759792086	8.65565049707964
BA2836	6.7058515766051	8.06147774301482
BA3027	6.26203648745747	7.12040364606583
BA2714	6.60106588860888	7.85633367820174
BA2139	6.47376016789819	6.79931174111644
BA2251	6.88553914900191	9.4000752436972
BA2952	7.06094242567649	7.71347289714959
BA2440	7.23974353995359	7.89883083701412
BA2036	6.96567270429015	7.88793681406652
BA2828	6.71443140013608	8.0095286113404
BA2292	6.71155130794723	9.64008823387741
BA2410	6.87847286019697	8.30255392241405
BA2051	6.75309739437635	7.5032888272442
BA2532	7.166329054571	7.76614073791854
BA2986	6.95017040445475	8.4424022836884
BA2494	7.28268371584317	8.41135949860071
BA2515	6.91918219556931	8.77804587995587
BA2748	6.92898560318184	8.85577669200061
BA2970	6.71950765088023	8.42798766039968
BA2622	6.41603346705047	7.29431703031285
BA2839	7.39444593270682	8.62516478231551
BA2052	6.83661488155882	8.74800571415782
BA3011	6.52889213798317	7.85205086731265
BA2868	6.8867637487898	8.84624370479657
BA2510	6.81145766315316	8.79942491234482
BA2065	7.08068398565122	8.24509615455004
BA2691	6.91457416198527	7.21224786715344
BA2374	6.87025397395673	9.14863087419242
BA2804	6.53989151011847	8.83362186336888
BA2670	6.55965463360655	6.96289154217268
BA2675	7.07180826529373	8.34456564828853
BA2589	6.79699042284113	7.41008797800013
BA2031	6.77360382440632	7.68134464101013
BA2198	7.25611345915688	8.64171611871059
BA2066	6.69300731767576	7.64377441186557
BA2344	6.87337102503918	8.97142354261209
BA2459	6.79520689964912	8.80432724529814
BA2229	6.82188197814107	7.46065818949753
BA2559	6.51154576024005	7.72417589543797
BA2093	7.67359575985668	8.51679913189176
BA2000	6.78865136154736	9.25517667754352
BA2425	7.60395254604328	8.29571260021178
BA2905	7.22543117773692	8.42798766039968
BA2304	6.57041549701901	7.59101188148724
BA2976	6.6562779760327	8.13938594647296
BA2386	6.54875546973009	8.05626383418968
BA2035	7.6112304020112	8.904319577833
BA2760	7.21956573793108	7.83268389248944
BA2201	6.62952631509886	7.88494695067266
BA2355	6.95017040445475	7.42415546195164
BA2113	7.06371663624663	9.00613487905274
BA2155	7.08671523409321	9.23089240757758
BA2955	6.76898394569665	7.60765864505298
BA2502	6.68355614720783	7.56321071069528
BA2322	6.6430484484285	8.41608983118813
BA2376	6.46333894051768	6.9944372976249
BA2020	6.94945791531145	8.87824586229709
BA2226	6.81394894542996	7.35863482899504
BA2200	6.97176870633362	7.94145634611773
BA2121	7.04133576078419	8.45696872743274
BA2944	7.26150324021213	8.7420670822246
BA2033	6.56014980461976	6.87847286019697
BA2867	6.66177361256097	8.68391306436784
BA2089	6.3688389446517	7.5725144548201
BA2224	6.83535757136623	8.09804401257278
BA2046	6.79874731374986	9.16784487350203
BA2972	6.54042498941119	8.54249270039127
BA2978	6.34007878045522	7.48490734822992
BA2829	6.85895592875875	7.62925234894777
BA2851	6.78491577385659	7.99068122497693
BA2587	6.75946045637828	8.42083657982967
BA2461	6.40454724548096	7.51191595859432
BA2695	6.50854787129231	7.10693286579065
BA2623	7.1445927897216	8.50918028997297
BA2024	6.09557546472806	7.248181873002
BA2426	6.82970946742006	8.38795127420314
BA2271	6.81329812446179	8.0301567645062
BA3004	6.45300101587846	8.34007975821985
BA2579	6.40170617544637	7.81538872947805
BA3010	6.66067320636594	8.03884116383771
BA2662	6.36600938491696	8.43758065182973
BA2674	6.91733301258099	7.58991392876001
BA2280	6.97042186538325	7.90803356905227
BA2512	6.25491135905161	7.00146186913291
BA2658	6.88802086010583	7.49358396361658
BA2394	6.56014980461976	7.93502206043898
BA2950	6.79581543973709	7.67625068419832
BA2981	6.90360620539941	8.20818067427413
BA2934	5.89400600049609	6.47279065497325
BA2539	6.20140158235265	7.49256176412129
BA2249	6.89180239315318	7.74263536016322
BA2034	6.67112647924208	7.96905854853838
BA2109	6.26294056892688	7.73332620572976
BA2242	6.08879387607679	7.66613976188412
BA2277	6.93219471408877	7.81538872947805
BA2727	7.37103549421363	7.94145634611773
BA2132	6.75946045637828	8.60067902691643
BA2618	6.51402356062823	7.70961368830257
BA2521	6.76002445528346	8.13747585819058
BA2846	6.81203867711984	8.63341745058943
BA2885	6.64915964619014	7.45866975783138
BA2639	6.97592290315855	8.73910632748104
BA2775	6.57821130696448	8.11853831041796
BA2402	6.96091622827791	7.68775219309565
BA2097	6.58783674116998	7.9003747386446
BA2786	6.84900595542396	8.7332018546727
BA2399	6.93954050250455	8.31787605128572
BA2850	6.43493754543007	7.5552619353094
BA2174	6.73222274372854	8.11104544817006
BA2004	6.87652414386981	7.17275321082541
BA3001	7.00713971211596	8.23061160269424
BA2311	6.57095981156775	7.9609725092348
BA2483	6.95895559810233	8.00271116464237
BA3040	6.20356343645269	9.05581138653334
BA2837	7.03196402344294	8.37639721534742
BA2724	6.70026474055664	7.66369633945432
BA2911	6.73404028171299	7.8210975174081
BA2256	6.85640581689667	8.7420670822246
BA2821	7.166329054571	8.41372261793503
BA2233	6.30187774864901	8.74800571415782
BA2744	6.32126637219132	8.3972661940189
BA2880	6.87025397395673	8.3311533449718
BA2621	6.4442145827922	7.28438406463884
BA3002	6.90558799283489	8.55997698305646
BA2501	6.94421494122577	8.34681429629083
BA2993	6.86965319256556	7.77713213848426
BA2301	6.6100656847185	7.75780436658957
BA2852	6.03322281740518	7.53734841909383
BA2133	6.16651995068436	6.96975356458038
BA2866	6.76777472760262	8.99906762077278
BA2212	6.6568137663596	8.64171611871059
BA2685	7.20800173217813	9.08862153045619
BA2273	7.21621114040909	8.71853926395486
BA2477	7.10693286579065	8.48407580140491
BA2659	6.87025397395673	8.15090969693391
BA2124	6.68070832768596	8.70296361717243
BA2363	6.77360382440632	7.80235955590607
BA2369	6.49198171831508	8.62242404966029
BA2534	7.23390393878716	8.74800571415782
BA2400	6.93090952480088	8.09804401257278
BA2762	6.67894286315779	8.16840116234166
BA2312	6.61484329859941	7.54970729199318
BA2813	6.79754404909056	8.04060780611373
BA2211	6.79699042284113	8.61335419813792
BA2171	6.83661488155882	8.29387857030758
BA2746	6.62521439483861	7.28712238553665
BA2798	6.63383351459938	8.39493145233583
BA2809	7.11517726354172	7.88191833711993
BA2288	6.48655837104488	8.17565360284926
BA2801	5.71628948447083	7.5932544466496
BA3030	6.67837784799198	8.02685700006077
BA2588	6.59569193185131	7.83407017601998
BA2296	6.90161368403515	8.64449262965366
BA2300	7.57834177713667	8.34232080533324
BA2903	5.70908891657494	7.15557221270197
BA2473	6.7630173908565	9.20081280674415
BA2545	6.73745939965324	8.10545619155905
BA2840	6.78618260321054	7.36527517561591
BA2528	6.26075536574437	7.81249915728454
BA2646	6.97042186538325	8.27244095196937
BA3407	7.08974258985974	8.23267071257109
BA2240	7.22379610574448	8.01121552663761
BA2926	6.91665453342353	8.34456564828853
BA2272	6.32267289165303	7.33250978911574
BA2306	6.97926113627939	8.34906675857089
BA2765	6.42907602157434	7.00642277827321
BA2904	6.73404028171299	8.01121552663761
BA2883	7.14840411383597	8.52445890903765
BA2726	6.42907602157434	6.93827202821145
BA2234	6.77605663940291	8.2960419873451
BA2022	7.22786001580346	8.66407371953991
BA2228	7.19482368325309	8.79022656584331
BA2037	7.45167143306165	8.46185834013681
BA2184	6.945568125872	9.1872873383188
BA3009	6.92174677642902	8.07064998624987
BA2842	6.30695343234241	7.21053357648558
BA2442	6.7928687930301	8.01616932095142
BA2882	6.50598160592548	7.51299557490928
BA2758	5.94678819915787	6.90161368403515
BA2705	6.98821538280907	7.53303259081949
BA2663	6.16309999506727	7.25790347094091
BA2570	6.99719018449603	9.21888429779212
BA2764	5.94307491514827	8.04060780611373
BA2209	6.80845562026412	8.22240857358487
BA2989	6.87212018212394	8.68676863894814
BA2855	6.82734034498185	7.77444024847
BA2261	6.91599118004167	7.99739906746641
BA2721	5.92917652580144	7.80956394588893
BA2930	6.09128064758952	6.82612058067876
BA2728	6.68070832768596	8.15671254170946
BA2715	7.56206988956539	8.06884590575294
BA2469	6.84776495812423	7.12664090320603
BA2269	6.30887529708536	6.99377561399407
BA2098	5.90196356256727	7.65632337592004
BA2778	6.2445717796939	6.68355614720783
BA2951	7.29687122589928	8.49908497066643
BA2163	7.57131151688563	8.23473317956582
BA2379	6.47571845442986	7.06166102601644
BA2817	7.06302085430374	6.97794904447586
BA3153	6.89839628157059	9.30065851731011
BA2820	6.46824522688611	7.60280427832536
BA2723	7.22379610574448	7.51299557490928
BA2704	6.92764387831615	9.01658796485945
BA2088	7.25611345915688	8.46430959418229
BA2116	7.58759859001841	7.1940059259717
BA2584	7.11072300969941	8.98864564355709
BA3079	7.09190952990899	7.71867822819813
BA2417	6.40314188601748	8.95099667095566
BA2361	6.57456923029337	8.13747585819058
BA2450	6.82066158800154	8.1017443875296
BA2492	7.0594253136799	7.47524977931761
BA2552	6.12904074966952	9.0307417478067
BA2472	6.46680230521735	7.93502206043898
BA2994	6.84098754890722	8.49406416345013
BA2047	6.95685605328487	8.45209623715645
BA2101	6.38550593619779	7.70330320958059
BA2082	6.65187762334033	8.94761722776196
BA2879	6.47025472959033	6.90877033903166
BA2577	7.03549223810054	9.16398396797258
BA2456	6.6897450758778	7.34929269675225
BA2175	6.56428369493048	8.4424022836884
BA2824	6.59895239127683	7.878761730409
BA2507	6.72991592484699	8.46922505155083
BA2563	6.80299244523417	8.5373170330564
BA2244	6.63330728837913	7.34929269675225
BA2470	6.99787187673434	8.26607857536642
BA2984	6.59311218108753	7.77015373984418
BA2414	6.9766278154768	8.95777690896205
BA2697	5.95806732051197	6.89968682755392
BA2079	5.91637612602088	6.39786567345431
BA2999	7.04058248557274	8.41846114844672
BA2644	6.38646200740092	7.66495366812555
BA2011	6.08148760261427	7.31127241928996
BA2217	6.93021683662514	9.00955709168753
BA2454	7.59565623174131	8.86216405394702
BA2776	6.85454256896604	8.91751782379931
BA2218	5.99645810395014	8.09619809378225
BA2135	6.81203867711984	7.95296500400789
BA2914	6.36695225743452	7.50002964161751
BA2500	6.72062167573975	8.32893113987774
BA2830	6.49846429425474	8.66407371953991
BA2406	6.95751613947387	7.8894951557827
BA3108	7.26585264294213	9.37793858616158
BA2924	6.69750566900229	7.61362919863888
BA2303	6.44802101478473	7.20465709297985
BA2160	6.67558655089664	8.32007964073217
BA2038	6.83344544574865	8.43998936441936
BA2602	6.68423874907307	7.83268389248944
BA2964	6.81453593095305	8.50160207030541
BA2898	6.47329372187665	7.92215119859177
BA3003	6.32546109149907	7.98220941306141
BA2111	6.45799676814181	8.24717893447311
BA2827	6.46528423305325	8.34681429629083
BA2912	6.35352478320916	7.99739906746641
BA2437	6.50546050499068	8.49908497066643
BA2283	6.40549948389557	7.86671215518685
BA2057	6.38888273500531	8.09619809378225
BA2633	6.50546050499068	8.50412364911741
BA3034	6.45552187143232	8.05288390011611
BA2607	6.3878866435171	8.40664550150058
BA2761	6.41701283707656	7.87281860469351
BA2795	6.37358566074055	7.96577419756633
BA2182	6.5105672693692	8.1336646480907
BA2152	6.46580356265107	8.22036612888066
BA2381	7.09423229403913	9.34313727945847
BA2931	6.62737493861003	8.21020338316209
BA2040	6.62737493861003	7.92364245319313
BA2590	7.19225834495813	9.28812805203208
BA3195	6.59785150913547	8.47910806756512
BA2516	6.72524597427468	8.32191640184945
BA2353	6.97731252665637	8.68676863894814
BA3036	7.023488210081	8.0095286113404
BA2971	6.70309367478267	8.14502683997756
BA3410	6.85895592875875	7.98220941306141
BA3118	6.81629782268832	8.30691336971867
BA3206	7.08974258985974	8.09804401257278
BA3202	6.97318609681243	8.6279105840654
BA3217	6.51917819512762	8.27670009201677
BA3405	6.57720688521491	7.92364245319313
BA3306	6.52375465899181	8.37180321609369
BA3371	6.56739724791344	8.62516478231551
BA3413	6.88232132236019	8.81487669872437
BA3411	6.72991592484699	7.98898804212453
BA3133	7.35298985161002	8.34232080533324
BA3164	7.04851156959908	8.30255392241405
BA3451	6.56942061445838	7.51413414557592
BA3286	6.73345379130114	8.7361512573159
BA3212	7.58879646153396	8.57865830342714
BA3103	6.77421514705842	8.7361512573159
BA3271	6.93152855508892	7.97894297933459
BA3152	6.94819581980106	7.94314055717551
BA3095	6.82008128976274	8.46430959418229
BA3192	7.09190952990899	8.43998936441936
BA3251	6.90940702790402	8.42798766039968
BA3362	6.78550767222755	8.88653621315296
BA3400	6.45847746962255	8.02508710399741
BA3135	6.3878866435171	8.83676787171411
BA3408	6.54766219361137	7.02274319881886
BA3187	6.75309739437635	8.53215993801742
BA3098	7.07919944865791	8.73025810259064
BA3435	7.07103568667065	7.96744532914178
BA3261	6.83535757136623	8.66407371953991
BA3203	6.48120572889895	8.15090969693391
BA3174	6.8576823032308	7.617186143553
BA3317	6.86708630662577	8.42559982560594
BA3299	6.49051077750921	7.92868137841977
BA3221	6.36600938491696	7.07556396699123
BA3347	6.45401948854285	7.68134464101013
BA3235	6.40025463094879	6.732801148639
BA3126	6.89968682755392	7.15557221270197
BA3380	6.50152491798344	8.41608983118813
BA3089	7.04562502354572	7.89883083701412
BA3109	6.69027313849037	7.04851156959908
BA3114	6.07391847012236	7.58991392876001
BA3418	7.3548407117676	8.19611264417946
BA3245	6.98621603600523	8.05457002396872
BA3085	7.48057619109315	8.11104544817006
BA3128	6.6952290990594	8.78717245605116
BA3423	6.86708630662577	8.29820901257083
BA3173	7.11288822976142	8.84307877151568
BA3171	7.86087718753597	7.27205163282357
BA3277	6.59203093136997	8.56601564488201
BA3210	7.09779989974783	7.80094268898657
BA3157	7.00079089475897	8.51934782702254
BA3433	6.47715255483626	8.27244095196937
BA3322	6.65403117957095	8.17625565039323
BA3374	7.18644077892568	8.43758065182973
BA3450	7.03048318855786	8.52190108216259
BA3167	7.12814379144502	8.40900046313029
BA3269	6.50854787129231	7.24647814947882
BA3110	7.03404295294828	8.54953218061743
BA3156	6.71895435387141	7.51732737025111
BA3226	6.93827202821145	7.87430709609213
BA3421	6.45699666582514	7.45670028367566
BA3232	6.86346274491745	8.16840116234166
BA3289	6.34503333401511	6.86648111845466
BA3430	6.63486341869675	7.16953610700443
BA3145	7.03474280183588	8.21629115879124
BA3399	6.31068973576453	7.41107466475047
BA3449	7.36724009431295	8.19012213724112
BA3384	6.71895435387141	8.16059641320183
BA3427	6.69300731767576	7.3548407117676
BA3163	6.48560018665895	7.550843282623
BA3158	7.32779530563549	8.81487669872437
BA3436	6.80545390529169	8.18416035809344
BA3154	7.18235291359456	7.9003747386446
BA3162	6.95960331595656	8.3558471237735
BA3352	6.66781105206711	8.70008120144039
BA3084	6.7892246921242	8.8717935877338
BA3149	7.07919944865791	7.40108920011618
BA3169	7.03267038157323	8.25974759702626
BA3180	7.1639233124779	8.81487669872437
BA3255	6.61979235879454	8.01284698319857
BA3438	7.30411511402805	8.57394218930808
BA3345	5.98917879350321	7.574849932275
BA3403	7.11817234858432	7.99413751864958
BA3431	6.61592394796106	7.06807720975175
BA3181	6.43493754543007	7.3445927403943
BA3341	6.88034277223335	7.9003747386446
BA3191	6.67612658139253	7.47212920454885
BA3197	6.8194770973329	8.78412431760784
BA3448	7.05570452227078	8.37180321609369
BA3453	6.6952290990594	8.23473317956582
BA3406	7.07405167828484	7.99246857024867
BA3308	6.98688341334907	8.69824500910271
BA3186	6.82908216215166	8.55765692487222
BA3334	6.21584775215817	8.08518191159815
BA3447	5.78152676577258	8.22036612888066
BA3116	6.60051001058414	8.28956252610494
BA3280	6.53989151011847	7.69790613813162
BA3185	6.04192947928388	8.60337970015667
BA3094	6.98958107037054	7.97720455656684
BA3318	6.97993778438247	8.21629115879124
BA3216	6.32959875231621	7.72417589543797
BA3332	6.95550948162844	8.97829037472744
BA3214	6.85335943019892	8.59445024196475
BA3099	7.12505562496802	8.24926512843891
BA3141	6.65295694076347	8.30691336971867
BA3373	7.77581260088951	8.59260663428802
BA3319	6.44374763893835	7.78401208165605
BA3328	6.58991080721251	7.99915514777274
BA3339	6.31765450633365	7.35673455123978
BA3240	6.89839628157059	9.43158515365849
BA3142	7.74397164014646	7.7605970351598
BA3333	6.62245620960063	8.61968837224666
BA3381	6.80116720365205	8.58992566833602
BA3290	6.63330728837913	7.82549928808227
BA3207	6.20186257831003	6.40170617544637
BA3296	6.16229657509821	7.7045927999637
BA3305	6.732801148639	8.25554427681065
BA3434	6.57095981156775	8.25554427681065
BA3189	7.13671405241938	8.30909856685695
BA3264	6.92499248066896	8.7361512573159
BA3329	7.18891809205662	9.25691151442812
BA3417	6.89058644352535	8.12986534537924
BA3367	6.21316864027758	7.43931413643912
BA3225	6.13032258367322	7.00991256129177
BA3183	6.93090952480088	8.19411260375688
BA3222	7.43138197639579	8.79635277497105
BA3139	7.60395254604328	10.1620355969132
BA3397	7.54512561180818	9.07395764638915
BA3311	6.53396722315737	6.91793209354363
BA3422	6.30098784091473	8.37409825216549
BA3228	6.57407550686427	8.40429460371975
BA3213	6.96091622827791	8.42083657982967
BA3270	6.46528423305325	7.35764711965898
BA3415	7.68652733200955	9.74736666094391
BA3324	7.37396310701658	8.53215993801742
BA3194	6.98063449004179	8.85577669200061
BA3335	6.50956258535332	7.63878607715114
BA3199	6.60792383481337	9.50125973784097
BA3326	6.94358580230343	7.66495366812555
BA3285	7.6112304020112	9.89455064759087
BA3297	6.83464418679852	8.18217944661747
BA3227	6.79520689964912	8.58457840504288
BA3394	6.80845562026412	7.31937809888862
BA3412	6.9924430115513	8.90103696609653
BA3293	6.78255354390321	8.31751248525734
BA3250	6.86209164981008	8.3926007250059
BA3177	7.05362684769664	8.9076089453561
BA3315	7.40900238551148	7.91895915389096
BA3182	6.67112647924208	8.45453034732936
BA3260	6.48756519390035	7.54625616208849
BA3369	6.83661488155882	8.32893113987774
BA3078	7.01060112681321	8.65749029731641
BA3386	6.68355614720783	8.57129520837751
BA3445	6.46040057966304	8.04765964150367
BA3452	6.52072194410879	8.40429460371975
BA3176	6.85962983110872	8.16644533071452
BA3258	6.37732984108365	7.69023500088856
BA3295	6.75483486169623	8.38100696139026
