	DNMT3A	NF1
BA2000	0.3903477782106476	142.75490360837196
BA2003	0.2200672016907105	153.6363602362335
BA2004	1.7421872222743082	186.3131826561012
BA2006	0.3787236170572983	0.0
BA2011	0.5217608164496809	72.85716052294515
BA2019	0.4474708417173635	204.9947885795207
BA2020	0.6765599205677996	274.7370236131756
BA2022	1.035164212553083	126.77737922849806
BA2023	0.1201300703143848	57.57670274404444
BA2024	0.4794653993658658	129.19307576825068
BA2025	0.2548711482159886	135.04261049402936
BA2031	0.2223031448406812	47.7445319683995
BA2032	0.2822289193149458	215.03490271417868
BA2033	0.1425292972381716	92.53923653042108
BA2034	0.5984234647814147	153.47329527828623
BA2035	0.8654681646619956	124.98326638084282
BA2036	0.4402468738806289	238.32690231687388
BA2037	0.783361127172473	298.2964495900539
BA2041	0.1026100021630555	135.22863046072317
BA2044	0.3145954640236001	82.04710015020497
BA2046	0.1527200400277926	144.0633694963439
BA2047	1.1000234462904164	123.2929360773152
BA2050	0.2208361160071591	95.22651628154628
BA2051	0.1202876109750209	90.68870047977845
BA2052	0.4628891424904828	110.66973675190388
BA2053	0.2357331583528511	129.04169527931813
BA2054	0.1897970889603141	115.25580563960666
BA2055	0.1016623185336721	1.861283467889972
BA2063	0.2337397032375142	56.62966505689601
BA2065	0.4009166650099477	201.62135608839577
BA2066	0.3777119351024847	124.09319568255268
BA2068	0.2375133220008568	78.65829945488635
BA2069	0.1693877031808799	57.54297490294547
BA2072	0.2069594922820808	86.57166007727321
BA2079	0.2431485328158669	61.12137145648837
BA2080	0.2891593639359263	157.83351245834615
BA2081	0.2574487849552282	109.72745843655122
BA2082	0.3355754225575059	81.44008518006407
BA2087	0.1543080697173639	39.44265347415752
BA2088	0.0833651298577288	122.118312008315
BA2089	0.2758816049602879	166.7588903652543
BA2093	0.4683773986052874	120.06260334565768
BA2094	0.4592247829364606	80.35342502132465
BA2095	0.3875435221016316	125.72932620776494
BA2096	0.1225796696216249	38.14635019971428
BA2097	0.6727738141640198	274.9535971649002
BA2098	0.4725877035538304	26.433437712180453
BA2100	0.1089824664887933	66.13538217435533
BA2101	0.6971560439731584	72.0511876030681
BA2104	0.053740668846797	88.2053799306977
BA2106	0.2311583327849795	153.3726439647684
BA2109	0.1313450186921277	115.04825583911432
BA2110	0.0840286651574152	74.36471936282452
BA2113	0.6525721360605183	223.4154468177113
BA2116	0.2417840970771943	171.4319149038356
BA2121	0.6760584898167601	72.40096351612218
BA2122	0.0656029871370471	54.47294224439686
BA2123	0.0959275918604528	190.53116384213277
BA2124	0.6896924988931303	184.66017011723795
BA2125	0.4016538372629313	25.534304216960667
BA2132	0.5098245010712235	170.7127216635003
BA2133	0.2320013726547507	80.18133477228218
BA2134	0.0978162703224511	49.273239517076505
BA2135	0.5230946747168397	15.131785600875178
BA2139	0.094658854443762	41.481996912376765
BA2143	0.1901286905887505	96.97194172507986
BA2148	0.1653780428761621	89.68429975044664
BA2153	0.5962602133140623	146.4827052853341
BA2155	0.325684159573431	71.92339924235235
BA2156	0.6192501045771407	168.64129625232474
BA2162	0.5336746564791711	147.29495642603302
BA2163	2.3304985680705173	217.2043669052266
BA2168	0.4042478250562519	130.512102414608
BA2169	0.8900870917871619	178.1356567294738
BA2171	0.5006416354314442	234.8583259532597
BA2172	0.3534923133742886	185.11095536230036
BA2174	0.4419089652347314	238.4854486070038
BA2175	0.177572143431386	31.956107621459708
BA2184	2.4937520176121484	330.1887594161088
BA2195	0.2030012891780013	94.9760301511449
BA2198	0.8296965103200213	126.84489183593952
BA2200	0.879303672917371	253.9343726061422
BA2201	0.0986654105296367	76.38543599082593
BA2209	0.8738033339078843	207.73969039082704
BA2211	1.7814047286024255	193.69321339903547
BA2212	0.358849828842352	150.1149855232797
BA2217	2.0109583228318337	173.74162856094
BA2218	0.3445802528520448	85.42607037036069
BA2220	0.2158140627418481	105.89447496974996
BA2221	0.1123345902334619	87.92724303286738
BA2224	0.50439950982126	99.58333873414824
BA2226	0.8732113967481294	286.37231184395824
BA2227	1.1770681874430475	327.7142740138492
BA2228	0.1756566002668675	148.83302195542166
BA2229	0.4751961882078786	230.9272500432621
BA2233	0.652611372360466	198.79246681895413
BA2234	0.1253648500016553	133.53026760274443
BA2235	0.175866222457809	137.30408373585547
BA2236	0.3285167351903352	236.6977944710083
BA2239	0.1714125851037873	93.44595003721206
BA2240	0.5717301014229117	349.65596137257995
BA2242	0.5819394119805501	288.5091193991156
BA2244	0.2843519009376707	189.13614877568463
BA2245	0.3750327072183909	206.20598869395417
BA2248	0.3118143728257943	103.99306477060202
BA2249	0.4332410668101266	131.64751962240132
BA2251	1.0331853833965587	168.5185793587882
BA2256	0.5170178480586665	177.37594734399633
BA2260	0.1635494751200925	91.46311349201132
BA2261	0.7411661772531666	95.638364990932
BA2269	0.0514481175701506	127.34637686870389
BA2271	0.3975245005379642	178.74582923309202
BA2272	0.2766335588647716	155.30969220772613
BA2273	0.3883456318198185	82.10327672445598
BA2275	0.7906998485809084	179.28463600626125
BA2276	0.1930645223276748	77.65718078840119
BA2277	0.8546168491637717	203.6065735095337
BA2280	1.3403744661128272	384.3268511749896
BA2281	0.3742486776379176	148.70915295462936
BA2282	0.1848252696301412	67.04868900711168
BA2286	0.2924677972517953	201.80223865128715
BA2288	0.8689960641896194	132.16680416497255
BA2292	0.0383764464488665	106.58922238443596
BA2294	0.8926650952809216	154.65930575825166
BA2296	0.7958449564827293	124.91800887503584
BA2300	0.8105652707227917	127.68776719943128
BA2301	0.1512653313907045	102.8235989089254
BA2302	0.1781291916276537	143.47247258145103
BA2304	0.1342898984526482	58.26545447919322
BA2306	0.5401721990788467	191.29686259218525
BA2308	0.918211471699353	211.6825983608057
BA2309	0.1763206638680505	67.00275595385449
BA2311	0.1760659011994245	104.19731581066932
BA2312	0.6757120776156089	156.40969992181428
BA2316	0.1292452424412816	78.52938685382075
BA2322	0.7836452764609124	67.9089880251087
BA2325	0.059416367332984	84.63892612993457
BA2329	0.1829182068266463	58.569892419639714
BA2334	0.5601448744652351	105.09829684011098
BA2339	0.1039325783070219	75.60546526741308
BA2344	0.7171623628083545	141.96156499550946
BA2347	0.0733246332693876	66.77803076811274
BA2348	0.0563834165382755	55.136801578737725
BA2350	0.0687448652717671	91.19479049601118
BA2354	0.5649239948038823	113.2548155663928
BA2355	0.2402441112801165	120.526364356186
BA2357	0.0769123129206903	114.73993656372434
BA2360	0.6835659009126082	169.86331229535077
BA2361	0.9467138467155864	101.58710933354486
BA2363	0.2013801892904489	35.095611280938215
BA2369	0.414873241135215	189.42521296233164
BA2374	0.4334668550253931	90.40492261621532
BA2375	0.512061926493074	178.2945435585226
BA2376	0.187392021027014	49.77597347964191
BA2377	0.1966266034983252	209.4103095988851
BA2379	0.1859523035553871	124.56604347639134
BA2385	0.152949964951423	47.80464009196283
BA2386	0.3828690029882881	231.55889311260623
BA2387	0.1326860295492633	153.3348976809124
BA2394	1.28729052993089	95.31685868127607
BA2399	0.4459573066888792	148.13163782499456
BA2400	0.7696569294530675	205.685906014256
BA2402	0.2305528668789867	180.8329650691468
BA2405	0.1687941960019158	79.99933475446306
BA2406	0.550402929983847	34.71633495236259
BA2409	0.204315745002997	129.54548333633426
BA2410	0.304621398174643	225.8440833603437
BA2412	0.1317688752634919	36.32016613028614
BA2413	0.4473235049280832	222.15236454691257
BA2414	1.599491958875364	198.15717400889827
BA2415	0.1148539006855739	34.29848221862546
BA2417	1.337533555314113	114.89562170147244
BA2418	0.2762351313664459	135.68566336616163
