#Boxplots d'expressions du gène TET2 en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23094.000, p-value = 0.01862
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2477     yes        0.003734
BA2685      no        0.001586
BA2273      no        0.126603
BA2124     yes        0.191703
BA2400     yes        0.150798
BA2762     yes        0.002524
BA2312     yes        0.002760
BA2813     yes        0.003048
BA2211     yes        0.003991
BA2171     yes        0.004270
BA2746     yes        0.006656
BA2798      no        0.001180
BA2588     yes        0.210976
BA2296     yes        0.453060
BA2300     yes        0.004267
BA2545      no        0.005508
BA2840     yes        0.127827
BA2528      no        0.108522
BA2646     yes        0.105245
BA3067     yes        0.002848
BA2926      no        0.080309
BA2272     yes        0.119335
BA2306     yes        0.081520
BA2726      no        0.092786
BA2234     yes        0.325915
BA2022     yes        0.003564
BA2037     yes        0.075792
BA2184     yes        0.050352
BA3009     yes        0.129469
BA2442     yes        0.002750
BA2882     yes        0.118929
BA2347     yes        0.003434
BA2570     yes        0.001567
BA2721     yes        0.003654
BA2728      no        0.004988
BA2098     yes        0.003179
BA2951     yes        0.002713
BA2778     yes        0.005570
BA3153     yes        0.171316
BA2820     yes        0.215456
BA2704     yes        0.323506
BA2584     yes        0.002804
BA3079     yes        0.177967
BA2361     yes        0.003260
BA2472     yes        0.003667
BA2047      no        0.073417
BA2101      no        0.003007
BA2082     yes        0.002352
BA2456     yes        0.002888
BA2175     yes        0.000616
BA2507     yes        0.001399
BA2563     yes        0.004590
BA2984     yes        0.006060
BA2414     yes        0.004491
BA2697     yes        0.006782
BA2644      no        0.006784
BA2011     yes        0.003848
BA2217     yes        0.002957
BA2454     yes        0.002071
BA2776     yes        0.087030
BA2135     yes        0.001362
BA2914     yes        0.126948
BA2500     yes        0.008154
BA3108      no        0.075127
BA2303      no        0.004455
BA2160      no        0.276687
BA2590      no        0.077029
BA3195     yes        0.002158
BA3036      no        0.002672
BA2971      no        0.004388
BA3410      no        0.002340
BA3118     yes        0.002127
BA3206     yes        0.002818
BA3217     yes        0.002335
BA3405      no        0.221793
BA3306     yes        0.000877
BA3413      no        0.002035
BA3411     yes        0.094345
BA3133     yes        0.161693
BA3451     yes        0.005897
BA3286     yes        0.075762
BA3212     yes        0.001939
BA3103      no        0.076104
BA3271     yes        0.101249
BA3152     yes        0.005388
BA3095     yes        0.002286
BA3251     yes        0.079509
BA3362     yes        0.002534
BA3135     yes        0.001716
BA3408      no        0.002426
BA3098     yes        0.003506
BA3435      no        0.002708
BA3261     yes        0.160049
BA3203     yes        0.001176
BA3299     yes        0.002166
BA3347     yes        0.154801
BA3126     yes        0.291912
BA3418     yes        0.000408
BA3245     yes        0.002144
BA3085      no        0.153643
BA3171     yes        0.003548
BA3277     yes        0.264122
BA3157     yes        0.002785
BA3433     yes        0.002988
BA3374     yes        0.134160
BA3450      no        0.001235
BA3167     yes        0.311271
BA3269      no        0.071080
BA3110     yes        0.000172
BA3156      no        0.002357
BA3226     yes        0.131657
BA3421     yes        0.002088
BA3232     yes        0.184427
BA3289     yes        0.100308
BA3430      no        0.003224
BA3384     yes        0.224909
BA3427      no        0.127220
BA3449     yes        0.001125
BA3163     yes        0.176492
BA3158     yes        0.211339
BA3436     yes        0.083328
BA3154     yes        0.000990
BA3162     yes        0.123809
BA3352     yes        0.101902
BA3084     yes        0.090562
BA3149      no        0.158594
BA3169     yes        0.001493
BA3180      no        0.002939
BA3255     yes        0.078355
BA3438     yes        0.173772
BA3345     yes        0.172954
BA3431     yes        0.134325
BA3181     yes        0.174040
BA3341     yes        0.082047
BA3191     yes        0.091841
BA3197     yes        0.091505
BA3448     yes        0.217898
BA3453      no        0.001226
BA3406     yes        0.003588
BA3334     yes        0.123479
BA3447      no        0.000760
BA3116      no        0.079385
BA3280      no        0.084022
BA3185     yes        0.143125
BA3094     yes        0.110786
BA3318     yes        0.001482
BA3216     yes        0.123319
BA3332     yes        0.055326
BA3373     yes        0.171043
BA3319     yes        0.363476
BA3328     yes        0.274616
BA3240     yes        0.186056
BA3142     yes        0.269536
BA3333     yes        0.277704
BA3381     yes        0.163914
BA3290     yes        0.235728
BA3207     yes        0.268677
BA3305     yes        0.274534
BA3434     yes        0.380484
BA3189     yes        0.058175
BA3264     yes        0.150112
BA3329     yes        0.152678
BA3225     yes        0.250186
BA3397     yes        0.259729
BA3311     yes        0.312071
BA3422     yes        0.190003
BA3213     yes        0.086763
BA3415     yes        0.057322
BA3270     yes        0.391717
BA3324     yes        0.328592
BA3335     yes        0.063045
BA3199     yes        0.001830
BA3326     yes        0.096078
BA3297     yes        0.266863
BA3227     yes        0.238253
BA3412     yes        0.183648
BA3250     yes        0.005143
BA3177     yes        0.113209
BA3315     yes        0.487568
BA3182     yes        0.393643
BA3369     yes        0.188258
BA3078     yes        0.520131
BA3386     yes        0.110725
BA3176     yes        0.068518
BA3258     yes        0.410925
BA3295     yes        0.351230
