	WT1	KIT
BA2392	-0.949108598338083	8.48407580140491
BA2611	-1.34397869390183	8.46430959418229
BA2506	-2.05373083819241	8.46185834013681
BA2430	-1.22174941388341	8.48906113697349
BA2448	-1.15439319370764	8.46676516104844
BA2730	-2.31036330948229	8.46922505155083
BA2845	-1.14118673133773	8.53990253916599
BA2326	-1.31682085580989	8.52702131941912
BA2341	-1.33055940349561	8.54768703664719
BA2612	-1.36720517947145	8.50160207030541
BA2973	-1.51804371313603	8.53215993801742
BA2390	-1.50372570372901	8.49657233882556
BA3218	-1.3568562659869	8.48906113697349
BA3105	-1.72584860763551	8.45209623715645
BA3402	-1.11055379864118	8.44966638628301
BA3276	-1.72584860763551	8.40194775982719
BA2409	2.42527027407431	6.89778124838191
BA3037	5.89603275873882	5.49725940478877
BA2496	-1.85443649196731	5.51241676925768
BA2172	4.30240606521426	4.37272792121348
BA2865	5.13442321095142	8.38563253120242
BA2923	-4.41297117108437	-1.83754692529431
BA2751	0.230814197880978	2.3627073872351
BA2480	5.43991302011835	5.00103650264355
BA2286	2.85220606273854	8.5872495962732
BA2922	5.65028439106862	9.77539354132974
BA2452	6.02615955253131	9.0271917203024
BA3379	4.06768255183074	8.66689198102969
BA2887	5.11638292117158	8.0301567645062
BA2712	-4.21691190609306	0.402949581289092
BA2068	5.2868395453686	6.7421473941764
BA2236	5.73442845067299	8.09435501163422
BA2104	-2.90198965929373	0.598455727053896
BA3124	3.08537081267169	6.29048213777498
BA3395	3.48569837262195	6.84399982384708
BA2921	1.83912500107504	9.60422004710875
BA2449	1.62272533517422	6.87788091401863
BA2003	5.76722856076773	5.06527754778608
BA2360	2.83094506139995	7.94635895319707
BA2802	3.47498947045849	9.09230819306279
BA2235	4.54878748959104	8.0044307958278
BA2858	-2.05373083819241	6.02698748997862
BA3038	3.84606667062873	7.71347289714959
BA3006	4.0102959705863	5.2871864159011
BA2245	-0.711977832459023	9.85077214115986
BA2667	3.12161168962479	8.75396729152058
BA2239	2.07076624330663	5.0610421966443
BA2782	2.60775035053937	5.3063518272781
BA2649	5.96386071356046	6.45042558800672
BA2488	6.0908744011171	7.52428329559334
BA2861	2.47226396684629	7.79956921933088
BA2909	2.23163840559511	6.47866220517702
BA2429	2.18540487795531	6.57560815980456
BA2653	4.87551304793432	0.779913057719338
BA2134	-1.26036729993896	6.16187946786899
BA2947	3.46604952680908	6.64131489127646
BA2032	6.35536228255588	6.53646349390772
BA2162	-3.00488579996363	8.27031665707811
BA2564	3.55179272966768	6.76240903317338
BA2597	6.14759404853347	5.54658259376352
BA3243	3.87740393249645	7.38062061343463
BA2106	5.57448750435834	7.77713213848426
BA2427	5.05220075930866	5.71100608100859
BA2841	1.39625212579059	6.71667600372627
BA2446	1.23682676475754	2.69090003434147
BA2645	6.46040057966304	10.0958725482412
BA2525	-2.45561174580429	4.05402094746754
BA2876	-1.03653723642118	6.00881830211778
BA2357	1.53598005102551	5.46954197713849
BA2546	-1.30656643508874	6.5518017021576
BA2742	0.69745683162882	3.1321279031107
BA2316	0.899094483682124	3.27431420538309
BA2421	1.33242763824809	1.76094876809065
BA2087	-2.74343030506397	8.58375614592974
BA2910	6.99719018449603	7.45571345371651
BA2148	6.9848366218031	7.71472395965624
BA2063	-0.311019673586418	2.4375086335962
BA2329	2.56729980684005	6.61117532741348
BA3178	-3.69977436376083	6.71780036034788
BA2072	3.92905779716509	7.31397253852267
BA3029	6.97250726431014	6.52375465899181
BA2733	4.79905769578442	7.2371970090631
BA2995	-1.33761435343488	5.70643173596218
BA2069	-5.52091327378807	4.07958610816328
BA2100	2.94360662853157	5.76256437697443
BA2681	-2.3713037003904	6.69356109841864
BA2248	5.35117907046834	5.93163668749835
BA2832	4.42301685254278	7.30411511402805
BA2308	5.74861209266001	7.60989112051761
BA2413	5.71138116672011	7.69420627031986
BA2701	4.0672793038812	6.3314194986068
BA2634	3.4336264767336	6.86903485569995
BA2677	3.09979908032792	6.69580577134555
BA2937	1.39174765918177	7.32489473499785
BA2600	3.30695131155452	5.59027419096801
BA2019	3.40886684712213	-0.780448523359928
BA2412	0.282808392042098	5.79950973684786
BA2334	5.38151536241943	4.93436696034119
BA2050	5.04032746317028	6.1180523945273
BA3230	-1.21505154279673	6.93827202821145
BA2953	2.61162716808333	6.81086164089737
BA2481	2.61955658601987	5.46628439479905
BA2731	-0.387302959250216	6.4137172012398
BA2294	4.4462798870641	8.904319577833
BA2418	5.79950973684786	5.42857060288721
BA2816	1.00727712946517	5.36072833704901
BA2656	1.56426458726311	3.65263152336696
BA2814	-2.47214238978326	4.23701647161103
BA2631	3.92905779716509	7.37396310701658
BA2023	-4.79464204484053	-0.425828695317915
BA2375	3.92287499831834	7.47830743039593
BA2485	5.7175568767915	7.17116786854616
BA2455	-2.78034077718535	0.213349457050806
BA2025	1.76917277909169	5.99479766689368
BA2636	-3.29429542282984	6.64186594668035
BA2325	0.896118049614534	4.27232629182903
BA2169	5.97158629049038	7.30411511402805
BA2156	3.04704895342493	8.99558616821901
BA2511	3.55468554456962	4.81690090080098
BA2939	5.15740286046687	7.64377441186557
BA2168	5.643896541446	3.54447318338801
BA2505	3.83524914634314	6.69861654752334
BA2860	-1.19258977282178	6.10105446354612
BA2707	-1.26036729993896	4.47937233979517
BA2871	-0.399277296625941	6.4442145827922
BA2655	1.33464381417527	6.1522898333018
BA2227	5.05720665133944	6.87084783224833
BA2125	4.20135659440007	7.24473994098098
BA2523	5.39780333094655	8.62516478231551
BA2603	4.06201254185105	6.26033254809805
BA2808	4.89343215555138	6.80486837491
BA2282	-1.41890702362989	0.275450535390316
