	RAD21	NRAS
BA2000	9.381081344897805	5.043675734302264
BA2003	10.804738111151956	10.560686431397826
BA2004	13.335979114927524	4.441235364145998
BA2006	2.270388898058533	6.575705504189619
BA2011	4.533384234237969	6.488344675152857
BA2019	12.845973706067053	7.803800858255831
BA2020	10.474535979065164	10.709729421914986
BA2022	8.710936477994075	8.019621620352721
BA2023	10.766220668380647	4.375188854380848
BA2024	6.96521768918246	5.175163513879563
BA2025	10.505514139483594	6.074731218320892
BA2031	8.497243158696646	4.219114009776729
BA2032	6.366887987848954	8.583705251658827
BA2033	10.68218662349429	21.634045078260016
BA2034	6.3724050702506645	9.198614997934929
BA2035	9.09435826239406	6.8581726405028185
BA2036	11.528528001706562	5.895456678640012
BA2037	12.161082044759937	8.474187163433587
BA2041	15.208390411040217	10.108074498986811
BA2044	11.425941509678632	4.7535644907408665
BA2046	6.153405994615816	9.160481901497343
BA2047	7.212823003588878	7.613271283589593
BA2050	7.305722580287018	4.103686476329206
BA2051	10.076275553605024	20.82227021965971
BA2052	13.286222314454694	8.803722359895055
BA2053	7.685499593258364	9.031640140409914
BA2054	11.47302251367756	3.633549237992189
BA2055	0.8900090654720321	1.6282099596913011
BA2063	10.446657944155708	5.453141679979542
BA2065	11.84997670061323	7.008120709963036
BA2066	8.783252326731535	10.10974543956892
BA2068	8.054864759728023	6.301531117480288
BA2069	11.861180142963963	5.418720571825874
BA2072	5.724137968839168	3.975963751875416
BA2079	5.054760892054986	3.637880412457246
BA2080	10.124380642568726	10.09782677520544
BA2081	4.620438733254882	4.296904604494646
BA2082	8.105587557245181	11.946301068824308
BA2087	6.064210598186296	9.334338474733304
BA2088	11.119498790097158	13.1502236881413
BA2089	13.153433288445951	13.279025182733749
BA2093	13.89440940587197	3.900351353768402
BA2094	14.301152628574505	9.744641884173047
BA2095	9.161177992328549	6.152794819771235
BA2096	9.584242645222831	6.715911213656165
BA2097	16.873178231003937	13.917958079878336
BA2098	6.2107357582394345	10.387971166225924
BA2100	6.090356050041996	4.6475452234853565
BA2101	6.636690901812592	6.084070489319454
BA2104	5.107654904717963	5.135247990444217
BA2106	5.7185547695433705	10.134436245830772
BA2109	7.887808449114563	7.168784406456207
BA2110	4.875980173627301	3.345155971053532
BA2113	9.1025554010968	7.355297822797085
BA2116	17.398189447644924	11.5696457912037
BA2121	5.12776073278341	8.496779176483521
BA2122	11.690318294638107	4.026122374469674
BA2123	17.55701446978709	14.704105196105951
BA2124	12.868529500425566	5.235737433920034
BA2125	12.876343621232197	6.58007623618558
BA2132	9.340554458045636	7.287418557176935
BA2133	6.955488449442417	5.569103779560801
BA2134	6.682310630032674	3.1951470189520976
BA2135	6.849923340263783	10.07866878646148
BA2139	6.787244348233263	3.987310125081623
BA2143	13.400617340713	11.295737558973652
BA2148	5.204481045400393	7.237628309278444
BA2153	9.114530887927913	7.725737990865466
BA2155	5.233148408171361	4.1905827771309205
BA2156	8.392648810880598	4.879492323703967
BA2162	9.1097160557551	4.131192099621418
BA2163	14.314580633635316	7.40084545361058
BA2168	6.647345389277667	5.304324475960764
BA2169	8.745864067224826	8.809693564752845
BA2171	10.679439120860676	7.35983570213583
BA2172	13.50883390157314	7.799454036850744
BA2174	12.234477537030015	5.846511858146845
BA2175	21.02068584637091	12.59926604192168
BA2184	18.03765970365849	14.021418300866742
BA2195	9.349963706871057	8.728201249493587
BA2198	10.951500923300072	6.621456516309619
BA2200	8.66317838616753	7.825270796632329
BA2201	5.432057146746553	3.210905042782101
BA2209	10.51849185881264	13.608094661958637
BA2211	9.646568993096242	6.499249306980105
BA2212	12.173442452420591	8.737816618242173
BA2217	4.573645652451456	5.215639002629361
BA2218	4.492958654425742	9.040140075502665
BA2220	11.27168233076358	6.568462036017965
BA2221	9.893553288678971	6.168651920425615
BA2224	9.397529949966035	5.262801542565956
BA2226	10.908716981211048	13.813418165213225
BA2227	8.563166687493254	14.655231252770625
BA2228	13.65711061030867	13.848825906875648
BA2229	10.125749233382871	10.823771025224463
BA2233	6.323547682627363	8.992461331969217
BA2234	11.823723239347228	7.927532448144326
BA2235	8.606492986201966	5.807526607623976
BA2236	7.780395565488438	5.421816667461279
BA2239	6.552249451867215	3.623346886499976
BA2240	11.228756861285458	12.666749870098409
BA2242	9.596092148295025	6.392837846825661
BA2244	5.341309648977824	5.764306175984613
BA2245	9.699043191258031	6.29602671469508
BA2248	5.445572536474128	6.139345604158139
BA2249	6.731132320283495	8.565036261731409
BA2251	11.377710091638932	9.824081940256818
BA2256	9.18485529321266	9.382877083579444
BA2260	8.648831228976123	5.080990281668714
BA2261	13.913285434019771	4.797652161882078
BA2269	5.517119433614601	3.8558379466002592
BA2271	11.19055154461345	12.214789116709204
BA2272	9.716425007365958	5.075306755798043
BA2273	9.913637199534788	7.741660973665951
BA2275	13.934400427780313	9.36840960870265
BA2276	9.978364843676667	5.21724058926059
BA2277	12.040184337419634	8.740148523778734
BA2280	8.867506451898345	14.318248858664116
