	DNMT3A	IDH2
BA2392	6.55027156269161	9.29647098090766
BA2611	6.42139457326444	9.30906602396076
BA2506	6.38837422038712	9.29647098090766
BA2430	6.42233932973963	9.27569316532541
BA2448	6.36982886713941	9.29229417829056
BA2730	6.4369045674542	9.23491479941431
BA2845	6.55451548155805	9.2109276242084
BA2326	6.59041781660964	9.23089240757758
BA2341	6.54307132156237	9.25517667754352
BA2612	6.57247167015578	9.2109276242084
BA2973	6.54150806703429	9.22287720595147
BA2390	6.56633757408764	9.25517667754352
BA3218	6.52170608095191	9.21490111990201
BA3105	6.40170617544637	9.2429894144776
BA3402	6.40737616847402	9.22687989289351
BA3276	6.46333894051768	9.28397254525379
BA2409	4.92558404139259	6.82851443258156
BA3037	4.90640898586377	8.03722226484621
BA2496	5.03856627298611	8.28311530497155
BA2172	5.90037022570554	9.30485684547982
BA2865	6.44802101478473	7.78959302181462
BA2923	5.58458887284863	7.82688083190866
BA2751	5.98996157877142	8.18796359837961
BA2480	5.89765135115317	8.39960495989321
BA2286	5.42089748568897	8.48158973981744
BA2922	6.6639864599992	8.46430959418229
BA2452	5.90353378741165	9.09230819306279
BA3379	6.22675882110798	8.50160207030541
BA2887	6.29652207810065	8.79635277497105
BA2712	4.84562521936661	8.63894476137773
BA2068	5.85144934754927	8.32228693534529
BA2236	5.92513526908082	8.19211577067672
BA2104	4.27532548252001	7.5725144548201
BA3124	6.23033780733241	7.54733361982974
BA3395	4.90361056525495	8.40664550150058
BA2921	5.99605530428902	8.8525926437112
BA2449	5.3715755453953	9.26335235036244
BA2003	5.33364015180298	7.84883391972247
BA2360	6.90753952267277	9.07761127342397
BA2802	6.43335604753767	8.34007975821985
BA2235	4.92771047103252	7.79956921933088
BA2858	4.35648958622004	8.67537853618004
BA3038	5.29082273845723	7.93502206043898
BA3006	5.99970534098919	8.15090969693391
BA2245	6.01005588113279	8.58992566833602
BA2667	6.36134230536283	8.40664550150058
BA2239	5.21813047946163	7.47952389617521
BA2782	5.27325382286629	7.29077391107671
BA2649	5.99890598903284	8.78108213178214
BA2488	5.55888193371954	7.92699657991781
BA2861	6.61117532741348	8.59798330037588
BA2909	6.01784200578308	7.35673455123978
BA2429	5.69757983119209	7.43426786956565
BA2653	5.46484401503758	8.88978486658959
BA2134	4.6827458552578	7.41497012248878
BA2947	6.7903869995291	8.22627943224245
BA2032	6.13853683580785	7.75510135803604
BA2162	6.25945312566298	7.46474071975909
BA2564	5.50870400018428	8.24301678047805
BA2597	5.76760186750385	7.85205086731265
BA3243	5.43042530271375	7.96905854853838
BA2106	5.67317843136018	8.44481942009045
BA2427	5.48059363504872	7.99413751864958
BA2841	5.45711106423954	9.26745559419095
BA2446	4.90083067720818	8.52190108216259
BA2645	6.82793872143045	9.14481502348153
BA2525	4.89058431526758	6.8791208631907
BA2876	5.44640808199127	7.46260985261637
BA2357	5.02235718099048	8.73910632748104
BA2546	5.51500276467509	8.06706072393759
BA2742	4.92841190922266	7.80094268898657
BA2316	4.98581237116735	8.04414638908848
BA2421	4.63033110918827	8.03197078783115
BA2087	5.13368956327964	8.4934060566155
BA2910	6.40025463094879	8.50664971851981
BA2148	6.0688553647905	7.08821062221174
BA2063	5.18021866658889	6.611693175134
BA2329	5.09075247446604	8.0095286113404
BA3178	4.99923632979666	8.03550248502968
BA2072	5.4391470099726	8.53215993801742
