	SMC1A	STAG2
BA2000	0.7462069123289923	0.045373231419743
BA2003	0.0732785815434064	0.0190274841437632
BA2004	0.3863072303795603	0.0769230769230769
BA2006	0.0262961258180623	0.0443974630021141
BA2011	0.0723773414240564	0.040169133192389
BA2019	0.523339371811861	0.0617986664498292
BA2020	0.7269029971477832	0.0865181330297609
BA2022	0.443322630006295	0.0530167506911693
BA2023	0.2495570895047683	0.0211416490486257
BA2024	0.287155169944375	0.0845665961945031
BA2025	0.7480948467765653	0.0416327858188323
BA2031	0.5121456086847467	0.0066677508537973
BA2032	0.1039793903154649	0.0380549682875264
BA2033	0.1632966835095074	0.066352252398764
BA2034	0.3037435369718935	0.0110587087331273
BA2035	0.2139238826754796	0.0483005366726296
BA2036	0.4182774010351495	0.0395186209139697
BA2037	0.4109814903870589	0.0796877541063587
BA2041	0.3631849950003453	0.045373231419743
BA2044	0.4350917369616048	0.0426085542364612
BA2046	0.101481482767567	0.0606602699625955
BA2047	0.4789123837285003	0.0476500243942104
BA2050	0.3102335430687024	0.0213042771182306
BA2051	0.1054519895597969	0.0489510489510489
BA2052	0.1795116800701992	0.0442348349325093
BA2053	0.079902067313681	0.0393559928443649
BA2054	0.4074334016411099	0.0422832980972515
BA2055	0.0326916807866485	0.0203285087006017
BA2063	0.1168140629305023	0.0499268173686778
BA2065	0.390159335102721	0.0434216945844852
BA2066	0.922025420781572	0.0788746137583346
BA2068	0.155245402509188	0.0367539437306879
BA2069	0.5229027636462918	0.0377297121483168
BA2072	0.4090721059199481	0.0289477963896568
BA2079	0.1799575021313978	0.0591966173361522
BA2080	0.1230857485084649	0.0250447227191413
BA2081	0.4536414243684186	0.028785168320052
BA2082	0.1162295533206854	0.0456984875589526
BA2087	0.1188928086940584	0.0258578630671653
BA2088	0.2833929198271572	0.0616360383802244
BA2089	0.7049345073865925	0.0291104244592616
BA2093	0.2085745418008944	0.0352902911042445
BA2094	0.3974949642017643	0.0351276630346397
BA2095	0.4427808684462046	0.0396812489835745
BA2096	0.4238488908780826	0.024394210440722
BA2097	0.2734491493902399	0.0661896243291592
BA2098	0.4418320681385367	0.0201658806309969
BA2100	0.0518182790007006	0.0308993332249146
BA2101	0.1482072923351178	0.0335013823385916
BA2104	0.1650236484634113	0.0203285087006017
BA2106	0.2404122878180016	0.0279720279720279
BA2109	0.1385070484148851	0.0491136770206537
BA2110	0.2190038677505027	0.0291104244592616
BA2113	1.0902259540283143	0.0398438770531793
BA2116	0.1669632966647874	0.0713937225565132
BA2121	0.45416991707132	0.0546430313872174
BA2122	0.0944624458861666	0.0398438770531793
BA2123	0.3289941917044279	0.0494389331598633
BA2124	0.2576586418409293	0.0396812489835745
BA2125	0.5549049624963852	0.0546430313872174
BA2132	0.3380670016794452	0.0445600910717189
BA2133	0.1189663302955098	0.0455358594893478
BA2134	0.2258618878717793	0.0255326069279557
BA2135	0.1666776882535282	0.0380549682875264
BA2139	0.2703667211430057	0.031387217433729
BA2143	0.3534699019272844	0.0361034314522686
BA2148	0.0623963321637688	0.0273215156936087
BA2153	0.1839683970834274	0.0632623190762725
BA2155	0.1287229446308692	0.0278093999024231
BA2156	0.2915874160324228	0.0526914945519596
BA2162	0.2856224090238819	0.0489510489510489
BA2163	0.2476288848697591	0.0496015612294682
BA2168	0.1133917410225406	0.0139860139860139
BA2169	0.099865340034379	0.033176126199382
BA2171	0.6436778720960448	0.057570336640104
BA2172	0.1984505562456519	0.0336640104081964
BA2174	0.5673116238211867	0.0616360383802244
BA2175	0.4777821913841399	0.0754594242966336
BA2184	0.6443998756645007	0.0910717189786957
BA2195	0.1729249365321939	0.0369165718002927
BA2198	0.3557294189419911	0.0556187998048463
BA2200	0.4409612405890968	0.0725321190437469
BA2201	0.2371180788800523	0.0304114490161001
BA2209	0.1240002416844831	0.0559440559440559
BA2211	0.4491274919108555	0.0442348349325093
BA2212	0.1901517308897795	0.019190112213368
BA2217	0.3171809747929061	0.0466742559765815
BA2218	0.0622631388267454	0.0292730525288664
BA2220	0.3710972985476872	0.0416327858188323
BA2221	0.2464402599609664	0.0297609367376809
BA2224	0.1971415824224655	0.0406570174012034
BA2226	0.7868952677610815	0.0993657505285412
BA2227	0.2980568937860058	0.0354529191738494
BA2228	0.3839072162974903	0.0852171084729224
BA2229	0.1760641667933917	0.0650512278419255
BA2233	0.1546722445549899	0.0252073507887461
BA2234	0.9598569615118624	0.0572450805008944
BA2235	0.3506127985317646	0.0476500243942104
BA2236	0.2547194116470408	0.0422832980972515
BA2239	0.2535090743265992	0.033176126199382
BA2240	0.4908167731068273	0.0757846804358432
BA2242	0.2420015861239549	0.0502520735078874
BA2244	0.3580150598976017	0.0578955927793137
BA2245	0.2985101118313956	0.0580582208489185
BA2248	0.0954803811134522	0.0187022280045535
BA2249	0.3795539904703852	0.063750203285087
BA2251	0.1798147056189224	0.0440722068629045
BA2256	0.4246689381506453	0.0286225402504472
BA2260	0.1780099913415867	0.0242315823711172
BA2261	0.163637993041259	0.0413075296796227
BA2269	0.0381257500274562	0.0413075296796227
BA2271	0.4199710669654803	0.0774109611318913
BA2272	0.2600698008492104	0.0509025857863067
BA2273	0.1657232849119111	0.0322003577817531
BA2275	0.6891442021703473	0.1136770206537648
BA2276	0.2036555884723128	0.033176126199382
BA2277	0.4281794974115492	0.0725321190437469
BA2280	0.5649937171690479	0.0912343470483005
BA2281	0.2568893475089915	0.0359408033826638
BA2282	0.2248100876554353	0.0426085542364612
BA2286	0.2828993825110299	0.0536672629695885
BA2288	0.1126104562125291	0.0354529191738494
BA2292	0.397235682464465	0.0400065051227841
BA2294	0.2616251015647491	0.0391933647747601
BA2296	0.3631820988029091	0.061961294519434
BA2300	0.6125499806379009	0.0894454382826475
BA2301	0.1954328451951469	0.0448853472109286
BA2302	0.1006929967279396	0.0378923402179216
BA2304	0.3779940917641564	0.0250447227191413
BA2306	0.2708628105721385	0.0469995121157911
BA2308	0.1147444737003561	0.031387217433729
BA2309	0.3259388177248745	0.0398438770531793
BA2311	0.3702552667702572	0.0343145226866157
BA2312	0.1776912291549271	0.0419580419580419
BA2316	0.2466830138254239	0.0307367051553098
BA2322	0.4965962069120556	0.050577329647097
BA2325	0.2786110659952907	0.023581070092698
BA2329	0.2418367021205663	0.0302488209464953
BA2334	0.1157587700932795	0.0221174174662546
BA2339	0.1333731385406656	0.0391933647747601
BA2344	0.3579604799758853	0.033176126199382
BA2347	0.072188004292406	0.0538298910391933
BA2348	0.1092625283621437	0.017401203447715
BA2350	0.1186669020621158	0.0234184420230931
BA2354	0.3239181940245378	0.0603350138233859
BA2355	0.1556839884206953	0.0790372418279395
BA2357	0.1962496472241806	0.0222800455358594
BA2360	0.3260919528996724	0.0411449016100178
BA2361	0.2176691980457763	0.0365913156610831
BA2363	0.0848651731019468	0.017401203447715
BA2369	0.186279772257463	0.0426085542364612
BA2374	0.6926714774366002	0.063750203285087
BA2375	0.3351568159397747	0.0609855261018051
BA2376	0.3156022665371982	0.0434216945844852
BA2377	0.5388125382276377	0.090746462839486
BA2379	0.072004153479201	0.0629370629370629
BA2385	0.1148271054114098	0.0598471296145714
BA2386	0.1813473892149942	0.0591966173361522
BA2387	0.3246860534885605	0.0460237436981623
BA2394	0.2854004544670061	0.0660269962595544
BA2399	0.2153871654807925	0.0307367051553098
BA2400	0.6390816294612727	0.0611481541714099
BA2402	0.3383098845773419	0.050577329647097
BA2405	0.0942804089596048	0.0169133192389006
BA2406	0.2455983708575468	0.0312245893641242
BA2409	0.3967052557426072	0.0452106033501382
BA2410	0.2140673638973415	0.0346397788258253
BA2412	0.2520991459870992	0.0351276630346397
BA2413	0.1104649841257031	0.0304114490161001
BA2414	0.4389419646422597	0.0652138559115303
BA2415	0.2186034456985994	0.0365913156610831
BA2417	0.1722880439023834	0.0476500243942104
BA2418	0.0957289155259468	0.0178890876565295
BA2420	0.2378650357073441	0.0424459261668564
BA2421	0.1116138168270386	0.0609855261018051
BA2423	0.1170840694562422	0.023581070092698
BA2425	0.4026722048428054	0.0367539437306879
BA2426	0.1783209864042547	0.0305740770857049
BA2427	0.0812447405297825	0.0248820946495365
BA2429	0.2185211086455719	0.0583834769881281
BA2440	0.2487880973382376	0.040982273540413
BA2441	0.3780613279333296	0.094324280370792
BA2442	0.2711250618349438	0.0466742559765815
BA2446	0.7007455385303686	0.0367539437306879
BA2449	0.3145221648751091	0.0681411611644169
BA2450	0.2338310005546969	0.045373231419743
BA2452	0.518737558469498	0.0390307367051553
BA2454	0.4100739873433509	0.0588713611969425
BA2455	0.1584734708862251	0.0213042771182306
BA2456	0.0936955432674145	0.038380224426736
BA2459	0.1007335576054945	0.0372418279395023
BA2461	0.3559182958194719	0.070743210278094
BA2463	0.1431545638750629	0.0388681086355504
BA2464	0.2721092279091613	0.0520409822735404
BA2469	0.0635194425077364	0.0630996910066677
BA2470	0.3237007392970828	0.042771182306066
BA2472	0.1340409302019452	0.0458611156285574
BA2473	0.4307230041907692	0.0565945682224751
BA2474	0.2830003263520365	0.0320377297121483
BA2477	0.6630495346238549	0.0683037892340217
BA2479	0.0920500508177846	0.0260204911367702
BA2480	0.1875311634928654	0.040982273540413
BA2481	0.1300334748480292	0.0196779964221824
BA2482	0.3207334979475773	0.0456984875589526
BA2483	0.5082802911813132	0.0515530980647259
BA2485	0.2358318776855999	0.0278093999024231
BA2488	0.2950977067253594	0.0590339892665474
BA2489	0.0916632268438471	0.0196779964221824
BA2492	0.1270852193336748	0.0535046348999837
BA2494	0.1362629587937615	0.0361034314522686
BA2496	0.2534181130655416	0.0271588876240039
BA2497	0.3635030910318531	0.0294356805984712
BA2499	0.1196799548875576	0.0154496666124573
