	ASXL1	CBL
BA2392	6.54408446340443	5.58345571866186
BA2611	6.53249965977741	5.65372634921578
BA2506	6.5242368874556	5.64803687161425
BA2430	6.58462737788517	5.73284131564851
BA2448	6.52324588492183	5.71062850605643
BA2730	6.54408446340443	5.73699919077019
BA2845	6.42575430557831	5.51537822254039
BA2326	6.42858727965842	5.53387100376444
BA2341	6.42763769743183	5.53462725078282
BA2612	6.45455803457724	5.54319628882121
BA2973	6.40360502181603	5.52613507813266
BA2390	6.40264148496757	5.53130217583918
BA3218	6.44565569212713	5.57484353091513
BA3105	6.54096638153352	5.53022022640692
BA3402	6.52120608932454	5.63166253168885
BA3276	6.53695474326822	5.62154857269561
BA2409	5.50426621763009	6.92693139302054
BA3037	6.49002795768883	6.48412876670839
BA2496	5.62715965117615	6.95344802847081
BA2172	5.7983454299058	6.03067265261494
BA2865	6.1921407741856	6.00760401810435
BA2923	4.94273522337111	7.33890799019329
BA2751	6.05776567233175	6.31675170697475
BA2480	6.00011677121632	6.10148550070927
BA2286	6.04154865344481	6.45505097585003
BA2922	6.58783674116998	6.57560815980456
BA2452	6.28373604828764	5.96465349079709
BA3379	6.15698094792798	6.50804753914762
BA2887	6.0444352624309	6.97450183109637
BA2712	5.75681040063766	6.92833111291049
BA2068	6.08966256500214	5.45489161608543
BA2236	6.00513768153823	6.43095537419459
BA2104	5.3920043604829	7.23215951369131
BA3124	6.7478553015081	6.21887740590051
BA3395	6.06345159600226	7.04851156959908
BA2921	5.84190332625174	5.8258026321264
BA2449	6.06168577538942	5.72290783455204
BA2003	6.17121351437265	5.58682786591739
BA2360	6.04734642903678	6.29962436721057
BA2802	6.2850706491728	6.44227342376241
BA2235	5.74011278993299	6.7903869995291
BA2858	5.98876336939614	5.64461310314999
BA3038	5.48611835069995	6.89644993218602
BA3006	6.04816746430603	5.82392380814807
BA2245	6.25762029146855	6.05025616147561
BA2667	6.03566200297907	6.71895435387141
BA2239	5.69838933100617	6.93558317816731
BA2782	5.67546263774049	6.8911840063889
BA2649	6.31810358288684	6.16992972400798
BA2488	6.19690129645258	6.48013079701668
BA2861	5.9027386298111	6.64966424428309
BA2909	6.02245886806957	7.4827611671997
BA2429	6.42530173541054	6.24227196022735
BA2653	6.90161368403515	5.00447988229452
BA2134	5.5372259675426	6.59999610931592
BA2947	6.61700352029779	6.0228669992747
BA2032	6.05692203263316	6.08923274175156
BA2162	5.92314727428924	6.84335327492742
BA2564	5.6860968528657	6.64518894120786
BA2597	6.08666258593702	3.80075983876638
BA3243	6.03404286985942	6.99175546936536
BA2106	5.94392026663398	5.34794466566604
BA2427	6.46136172333021	5.87965665517008
BA2841	6.45648309857568	4.58048481229599
BA2446	5.8769475456825	7.14921380328589
BA2645	6.38738832095137	5.5977589538239
BA2525	7.40609048790591	5.28648765336968
BA2876	6.59838838471777	5.73014197003587
BA2357	6.53695474326822	6.13375733254388
BA2546	5.70452449404762	6.73222274372854
BA2742	5.61064071002875	6.1188645712048
BA2316	5.7725785925433	6.73745939965324
BA2421	5.83800900717186	6.78865136154736
BA2087	5.72480376191034	7.02698040559294
BA2910	6.00800870736247	6.21316864027758
BA2148	6.33368252669389	6.3674275206391
BA2063	6.97794904447586	5.67470446988703
BA2329	5.78856545869923	6.69408720379773
BA3178	5.51345714323729	7.25358458154246
BA2072	5.70757619671164	6.70026474055664
BA3029	6.00261866586335	5.22784345449983
BA2733	6.0688553647905	5.73362651887088
BA2995	6.95960331595656	5.19628685284198
BA2069	6.00392077224602	6.8090279726606
BA2100	6.11039522609915	5.89241706426442
BA2681	5.64993072157884	5.31829221630524
BA2248	5.92513526908082	5.72023465218825
BA2832	6.18950223686314	7.03623900558414
BA2308	6.17641644366945	6.50446999422617
BA2413	6.21539686316165	6.13375733254388
BA2701	5.57895756058083	6.8194770973329
BA2634	5.89048099649459	6.8036454676491
BA2677	5.97648507555777	6.33280116885594
BA2937	5.86940153677441	6.53543485984192
BA2600	5.60841425670287	6.35117266997331
BA2019	6.15834977750935	3.95682310890252
BA2412	5.60156210630339	7.2187812774904
BA2334	6.11294027816034	6.49650890866452
BA2050	6.10277314052035	6.18507158781402
BA3230	5.95938551876052	6.62521439483861
BA2953	6.33918453468976	5.16463165990358
BA2481	6.10497366667794	5.91554817043997
BA2731	5.40702626397137	6.75831323775631
BA2294	6.30740738637139	6.63058753997147
BA2418	5.82819619911188	5.65788997880482
BA2816	6.34923107690817	5.85615861273504
BA2656	6.26338772089894	6.08278210679629
BA2814	5.40625901568549	7.20635659773546
BA2631	6.02698748997862	6.39926285688665
BA2023	5.64727150122162	6.81394894542996
BA2375	5.97812067314416	6.65187762334033
BA2485	6.4432415747754	6.11503718341623
BA2455	5.55586804682645	7.16953610700443
BA2025	5.79603390583248	7.16215175411855
BA2636	5.80376596025215	6.27603504625168
BA2325	5.62116214065844	6.77246010495607
BA2169	6.58028734101557	5.58159000678894
BA2156	6.28642083726129	6.31205444786469
BA2511	6.6441169206914	5.30233735609804
BA2939	5.77409344818299	6.10190214742508
BA2168	6.0688553647905	5.72903451515424
BA2505	5.99273740349983	7.04851156959908
BA2860	5.01631466171857	6.33918453468976
BA2707	6.18507158781402	6.43289690445385
BA2871	5.04068213537324	5.79243605583809
BA2655	6.19438001519865	5.28177179122875
BA2227	6.06801263248952	5.12877017474867
BA2125	6.18904995277038	6.62033484572762
BA2523	6.02328497818552	6.2823542083032
BA2603	5.92875292821339	6.58623483162294
BA2808	6.24912819394912	6.45552187143232
BA2282	5.83560892628546	6.42530173541054
BA2482	5.69646062028678	6.75542557918572
BA2812	5.8625242189267	6.6143322001923
BA2822	6.36600938491696	6.71895435387141
BA2594	5.79758031043752	6.5857158816337
BA2747	5.99230630864101	5.65139228908545
BA2561	5.87580696816671	5.57784205345213
BA2567	6.66943948787905	6.15017409130302
BA2906	6.03938413348279	6.34737367069021
BA2956	6.16651995068436	5.82859548893421
BA2474	5.99645810395014	6.29781353915766
BA2737	5.72061360951374	7.01847365520979
BA2110	5.60841425670287	6.64358377452482
BA2992	5.94431286144935	5.90157614057374
BA2220	6.19646958807837	5.37493254523606
BA2772	6.08835914671386	5.95395062623658
BA2935	5.83483518369012	6.12097278529639
BA2260	5.55025760092161	6.85454256896604
BA2676	6.1180523945273	6.56583781452914
BA2948	6.09345357181028	6.83919348466817
BA2524	5.75756870973775	5.85734049093177
BA2811	6.20050527440426	6.27738452973272
BA2540	5.75023036618314	6.56326897910348
BA2928	5.54840893277706	7.21542521128511
BA2302	6.56065461359229	5.17875449236567
BA2595	5.70836568128015	5.3310234675941
BA2792	5.77845042719579	6.28281877541209
BA2651	6.32408741401117	6.10105446354612
BA2619	6.30326841219344	6.86209164981008
BA3013	5.88643954120856	5.89241706426442
BA2405	6.4915209071939	6.40217435211346
BA2735	6.25945312566298	6.40025463094879
BA2856	6.23533588980149	6.17903573796561
BA2377	6.01373604526196	6.50698545533974
BA2499	6.07438042977308	6.23299520957221
BA2463	5.75719364511349	5.69295647546023
BA3023	6.13725593051751	4.98548688523347
BA2095	6.3078817611491	6.49846429425474
BA2901	5.83522810280634	6.69408720379773
BA2275	5.83841841477399	7.3370513303313
BA2387	5.75528821055756	6.34878143548061
BA2962	5.62828464133832	6.52477924694933
BA2195	6.03523832777957	5.6655125977295
BA2688	6.83919348466817	5.40222355803693
BA2787	5.24575571846811	6.64862107605335
BA2420	6.19345543409726	6.62413100331839
BA2756	6.27694818574979	5.42819410723842
BA2122	5.6533576160666	5.87015044982701
BA2053	5.98917879350321	6.28823715765654
BA2080	6.24592732813786	6.06511011474783
BA2081	6.02496543297874	6.60051001058414
BA2354	6.08666258593702	6.54978276410253
BA3273	6.01912446509313	4.79206101179779
BA2893	5.97361430412984	5.93650668840212
BA2044	5.8546289142141	6.73345379130114
BA2489	6.37547648198029	5.5268548517384
BA2309	6.28139967131455	5.59736566113199
BA2720	6.57407550686427	4.70558310668457
BA2908	6.27158031478995	6.2969414166888
BA2054	5.64011484889975	6.66675437475145
BA2872	5.78815697396801	6.5181383405608
BA2526	6.24013217204255	5.72328663310628
BA2041	6.47228949068298	4.58048481229599
BA2464	6.26881149847343	5.98180577093432
BA2902	5.96907627794874	5.03358349696303
BA2541	6.01912446509313	6.61275930528802
BA2143	6.04775659278267	5.7964028219612
BA2094	5.56596083132182	6.94490055523594
BA2769	5.86341197424273	6.84776495812423
BA2843	6.6100656847185	5.9527582231115
BA2592	6.40688318423783	4.9207439830005
BA2497	5.81959741153124	7.15951987646114
BA2718	6.20525292176704	6.04401665671066
BA2575	5.47284204510325	6.34783039381028
BA2096	6.21410531502083	4.9819516092596
BA2593	7.15951987646114	4.81514527019492
BA2791	6.19874995357892	5.55664538738979
BA2620	5.46114309064973	6.3208153422885
BA2629	6.7472714933791	6.33963983784712
BA2870	6.14026668002857	6.63008743018599
BA2423	5.86536301251181	6.59679870213256
BA2682	5.96386071356046	6.8072812584581
BA2276	5.9361114629243	6.5679039967091
BA2348	5.62233299062586	6.19077861638542
BA2709	5.67583098043324	6.40549948389557
BA2789	6.12180366530222	6.5145040049866
BA2694	6.60421812247539	5.95848988053113
BA2538	6.74612605168156	6.75771576783705
BA2583	6.66119005251722	6.36840696799515
BA2415	5.50018182112328	7.12422017929786
BA2722	6.0582244402994	7.97894297933459
BA2806	6.02371028385454	5.90555861314736
BA2221	6.06552141810206	6.68477667416407
BA3025	6.07906325231323	6.03566200297907
BA2514	6.60209690951209	5.53314032561817
BA2520	6.54875546973009	6.19822146547957
BA2441	6.36467185423724	6.96975356458038
BA2153	6.21802371577529	5.69333061318898
BA2479	7.27636680044251	5.80651617633479
BA2281	6.52170608095191	6.62578562632488
BA2657	5.89918966262517	5.99395843173589
BA2932	6.1527015081476	6.60051001058414
BA2123	6.73527749858946	4.06363054666438
BA2844	6.36227514110898	5.44790183156178
BA2660	5.89400600049609	7.04704814373678
BA2836	6.25179190765508	6.45847746962255
