	NPM1	DNMT3A
BA2440	8.39493145233583	4.78017722753487
BA2036	8.75695672842528	6.25807759133934
BA2828	8.09804401257278	5.75062167266173
BA2292	8.98173476670244	4.11937931431274
BA2410	9.34313727945847	5.75415496254133
BA2051	7.46363654414575	4.68591344454784
BA2532	7.45571345371651	4.96266025809675
BA2986	8.95099667095566	5.59662502172316
BA2494	8.39027400222105	5.24647301398251
BA2515	8.66407371953991	5.18055221298724
BA2748	9.33883912107995	6.79158437688518
BA2970	8.8589671548512	5.58383676402354
BA2622	8.65006116973985	4.81831316874204
BA2839	8.72438748273975	4.66151584498319
BA2052	9.10713869224013	6.34832965907228
BA3011	8.50277388292747	5.11433165880832
BA2868	9.00255657247606	7.18812871773308
BA2510	9.01658796485945	5.21924696123963
BA2065	9.20696376307392	6.17379906817959
BA2691	8.11104544817006	4.77982414410044
BA2374	8.21222936163239	5.51691886633525
BA2804	8.8879736022598	5.82541777312417
BA2670	7.93824432889201	5.45893049861312
BA2675	9.08494318011795	6.34832965907228
BA2589	8.38563253120242	7.27555120012057
BA2031	8.87824586229709	5.12702075468941
BA2198	9.39118419839355	6.54928934120065
BA2066	8.28097335559112	4.56478976898356
BA2344	9.57411368730524	6.75597489483719
BA2459	9.38404554334867	5.41754429750073
BA2229	8.53473617000875	6.2290430058542
BA2559	8.68391306436784	5.02728430921221
BA2093	9.23491479941431	6.36086030376613
BA2000	8.08701091285537	5.82859548893421
BA2425	8.47600328572046	6.12637853560869
BA2905	9.22687989289351	5.90555861314736
BA2304	7.16215175411855	4.5391313162393
BA2976	8.65285322774346	5.89878476046271
BA2386	9.09970659968869	5.76181699229763
BA2035	9.33455230246716	7.38848640256579
BA2760	8.29820901257083	5.22317063501282
BA2201	8.89776108628452	4.76005725019894
BA2355	8.59260663428802	5.02764204989782
BA2113	8.50026123971081	5.95559861955689
BA2155	8.99906762077278	6.54150806703429
BA2955	8.07971165578759	4.80814964517647
BA2502	8.05457002396872	4.91792245118013
BA2322	8.93082572022568	6.24013217204255
BA2376	6.97993778438247	4.81549079833473
BA2020	9.15245565249128	5.67811655623058
BA2226	8.81487669872437	5.69683059962592
BA2200	9.30065851731011	6.16950493399515
BA2121	8.92748837970555	5.97608438156721
BA2944	9.90525526471174	7.24218373520164
BA2033	7.17761745050204	4.56407532031905
BA2867	8.66126072825912	6.13725593051751
BA2089	7.65513327960109	4.27079096532492
BA2224	8.38331776349613	6.16479221189801
BA2046	9.3217592552912	4.60401552568644
BA2972	9.160132157513	6.61484329859941
BA2978	7.85205086731265	5.38151536241943
BA2829	8.79635277497105	5.66740335166233
BA2851	8.5529001392332	6.02615955253131
BA2587	8.72438748273975	5.97523061949623
BA2461	7.94314055717551	5.15668163101419
BA2695	7.68652733200955	4.65902094233579
BA2623	9.57411368730524	6.63758201438047
BA2024	7.58759859001841	5.40260210506482
BA2426	8.88148184246882	5.91240742486635
BA2271	7.95452812467512	5.10834862967978
BA3004	8.57129520837751	6.38888273500531
BA2579	7.85633367820174	5.66051919592254
BA3010	9.00605305286098	5.53426887614694
BA2662	8.34232080533324	5.34255610443151
BA2674	9.15245565249128	6.40360502181603
BA2280	8.50160207030541	6.36182238595201
BA2512	6.81629782268832	4.68695768946558
BA2658	9.070312190258	5.76371292639746
BA2394	8.21222936163239	6.73922514739457
BA2950	9.49651930986164	6.02576365304124
BA2981	8.63894476137773	5.64089444218065
BA2934	7.22625304922136	5.56441490975965
BA2539	7.8925772722697	4.88365938121125
BA2249	8.63894476137773	5.48468121276611
BA2034	8.94268168369866	6.11503718341623
BA2109	7.61245153291675	4.87023108953253
BA2242	8.12041880838799	6.03404286985942
BA2277	8.68676863894814	5.97691207859612
BA2727	9.83304132704525	7.10771088589405
BA2132	8.672544374331	5.91874058491338
BA2618	8.61151153389318	5.46299801814277
BA2521	8.672544374331	5.49396648422183
BA2846	9.1755941413251	6.49002795768883
BA2885	8.02142525655183	4.92595904339551
BA2639	9.04860912314158	6.29137386576201
BA2775	8.84941498844258	5.60579685194834
BA2402	9.26335235036244	5.17065533146209
BA2097	9.44070228005406	5.66740335166233
BA2786	9.34313727945847	5.58682786591739
BA2399	9.44070228005406	6.16697408993369
BA2850	8.91090509269608	5.53758769155616
BA2174	8.34232080533324	5.56931523967556
BA2004	7.48933909555342	5.79282325358751
BA3001	9.69817061599593	6.55713498264667
BA2311	7.93028682049466	4.78361272995645
BA2483	8.48343527695382	6.25534556152395
BA3040	9.00605305286098	5.54431492495241
BA2837	9.37793858616158	6.13249003882685
BA2724	8.5607551950315	4.79523149626919
BA2911	9.35176787188011	6.13505858445244
BA2256	9.43613726309062	6.07438042977308
BA2821	9.69817061599593	6.06121727575126
BA2233	9.19906475607931	6.75074032756909
BA2744	9.34313727945847	6.69580577134555
BA2880	8.34906675857089	5.14825734566663
BA2621	8.28097335559112	5.31756660169569
BA3002	8.42744390017979	6.11593110685268
BA2501	8.48407580140491	5.71368801694621
BA2993	8.84624370479657	5.68833994254818
BA2301	8.06147774301482	4.60295748096679
BA2852	8.29820901257083	5.42453578520679
BA2133	7.83554388846121	5.51345714323729
BA2866	9.19906475607931	6.36930495814156
BA2212	9.33455230246716	5.89086317810063
BA2685	9.39562360946183	5.40778946397742
BA2273	8.83362186336888	5.9773343667847
BA2477	9.29229417829056	6.16697408993369
BA2659	8.45453034732936	5.05963791860408
BA2124	9.49819442110274	6.63383351459938
BA2363	8.84941498844258	6.0344495153559
BA2369	8.79328666582968	5.84631034661227
BA2534	9.0271917203024	7.56679847925559
BA2400	9.46836798648192	5.92432462638165
BA2762	8.96117775713075	6.03732004077161
BA2312	8.79635277497105	6.01745471553114
BA2813	9.54457000922792	5.79446889536676
BA2211	9.17734760232419	6.67837784799198
BA2171	9.17171491689544	5.78002501253586
BA2746	7.89401548128851	4.56145114497437
BA2798	9.67679810675791	4.85230183637924
BA2809	9.1872873383188	6.37079667059363
BA2288	8.55505298542423	6.21760589006463
BA2801	8.32449794408229	5.10733697094661
BA3030	8.66873090783595	5.98792432171399
BA2588	9.44070228005406	6.3730951356739
BA2296	9.28397254525379	6.57772759538865
BA2300	8.69249597847146	6.17423728477739
BA2903	6.47376016789819	5.46260848821559
BA2473	9.13518361120238	4.66541353379402
BA2545	8.25764420926654	5.29014927757584
BA2840	8.5971359914493	5.20757281722967
BA2528	9.14863087419242	5.49025573477232
BA2646	8.84941498844258	6.24227196022735
BA3407	8.40429460371975	4.41937585941747
BA2240	8.25554427681065	5.87772009379433
BA2926	9.48238177689826	5.48685812816546
BA2272	8.26607857536642	5.16389532747044
BA2306	8.87501645157825	6.16229657509821
BA2765	7.08068398565122	5.10733697094661
BA2904	8.52958832512444	6.23081198982986
BA2883	9.05581138653334	5.00552413095077
BA2726	6.49846429425474	5.10142924510394
BA2234	7.19816924570359	4.09352976766015
BA2022	8.91751782379931	6.00392077224602
BA2228	8.48906113697349	4.73692025392607
BA2037	9.49651930986164	6.37031994316104
BA2184	9.2592593958878	7.44644074627456
BA3009	9.06304565250042	6.32314377198831
BA2842	7.37484847247432	4.54377637973889
BA2442	8.86536741111737	5.54393492602013
BA2882	7.69790613813162	5.05929023106165
BA2758	8.01121552663761	4.51398396735729
BA2705	8.4594113881339	5.54355794441881
BA2663	7.58640399756741	5.4040564998537
BA2570	9.070312190258	6.3129901827468
BA2764	7.86519796261888	4.16479586623105
BA2209	8.23267071257109	6.20525292176704
BA2989	8.87824586229709	6.26705656087935
BA2855	7.70582137825133	5.04138595893264
BA2261	7.49565796423242	5.32664570587017
BA2721	8.41608983118813	5.42748213274228
BA2930	7.75371580805874	4.32076840742144
BA2728	7.74132890165977	5.46114309064973
BA2715	7.71215406681609	5.13442321095142
BA2469	7.96260346447077	4.04753383160948
BA2269	7.15633759792086	4.81095988420945
BA2098	8.09251475928632	3.59566377043115
BA2778	6.98621603600523	3.69392175101973
BA2951	9.78674968596522	6.93021683662514
BA2163	7.09568366825665	7.03196402344294
BA2379	7.31397253852267	5.14161615451425
BA2817	7.86671215518685	4.73585764384443
BA3153	7.92699657991781	6.35855944709052
BA2820	8.20414503388581	4.82534093200762
BA2723	8.22445433533228	4.46663819123563
BA2704	9.23491479941431	6.19169062886434
BA2088	8.3972661940189	4.23317948236661
BA2116	6.78491577385659	5.36689692587537
BA2584	7.87430709609213	6.19479612483736
BA3079	8.24717893447311	5.95765278561263
BA2417	8.47910806756512	5.79321150053106
BA2361	8.09067732991193	5.50498484264806
BA2450	8.75995195431454	6.67894286315779
BA2492	7.35202275514424	4.23203632866019
BA2552	9.4270458724936	5.91595003127845
BA2472	8.04060780611373	4.56799936889978
BA2994	9.04501990946176	6.38599164256093
BA2047	8.54249270039127	5.70146183160515
BA2101	8.5117153749805	5.79045455115976
BA2082	8.97829037472744	5.53865932247819
BA2879	7.48057619109315	5.11922365704846
BA2577	9.4000752436972	6.7058515766051
BA2456	8.22445433533228	4.85371906563251
BA2175	6.84399982384708	4.99738222665924
BA2824	8.58457840504288	6.40454724548096
BA2507	9.15245565249128	6.74039110508618
BA2563	9.21888429779212	6.49406704275497
BA2244	8.44966638628301	4.96127415225726
BA2470	8.66407371953991	6.2918184227424
BA2984	8.74503353869987	5.62868512576849
BA2414	9.11835064360706	6.58623483162294
BA2697	7.00782899353321	4.61150443110127
BA2079	6.63915578339387	5.08758890657065
BA2999	8.59529250724368	6.39738498406032
BA2644	8.30909856685695	5.65485837851428
BA2011	8.00619097456886	5.32664570587017
BA2217	9.35176787188011	7.20800173217813
BA2454	9.13720994130471	7.33073792117204
BA2776	9.1872873383188	6.74039110508618
BA2218	9.47302564786274	5.91717313414898
BA2135	9.53000194332933	6.06255807626612
BA2914	7.96905854853838	5.77070270325106
BA2500	7.68775219309565	5.48059363504872
BA2830	9.79819104218496	6.85144834736251
BA2406	8.13176351189552	5.29272133823875
BA3108	9.44528028465592	4.66717493535737
BA2924	8.76595984417136	5.31255258978501
BA2303	7.93352218493006	5.28256921751163
BA2160	8.82110029202306	6.655181196516
BA2038	8.40194775982719	4.35906524158071
BA2602	8.32893113987774	4.62321630772693
BA2964	7.878761730409	4.39407415685903
BA2898	7.94635895319707	5.13692147172974
BA3003	7.88191833711993	5.2450731397095
BA2111	8.01457218763256	5.12563283342855
BA2827	8.18020169656618	5.11569183564456
BA2912	8.18217944661747	5.81007696621955
BA2437	8.21832699326225	5.1122048652643
BA2283	7.92868137841977	5.36221790332293
BA2057	7.89563066633541	5.19592591955162
BA2633	8.3603866090308	5.44569104780308
BA3034	7.97720455656684	5.06279777386113
BA2607	8.18813169577028	4.98230143047781
BA2761	8.40194775982719	5.67432622931416
BA2795	8.00271116464237	5.22927128390671
BA2182	8.19411260375688	5.25109490120941
BA2152	7.89401548128851	5.23965795443685
BA2381	9.55927298456459	6.38306782429477
BA2931	8.34456564828853	5.49691431965408
BA2040	7.72277870826456	4.54056013941107
BA2590	9.34744684153524	6.56990345420697
BA3195	9.4045391740165	6.86838819773824
BA2516	9.40177461105289	5.78615399709568
BA2353	9.62461563502098	7.26851020715081
BA3036	9.44070228005406	6.3850340445232
BA2971	8.05801802157941	6.23664169060856
BA3410	7.99739906746641	5.66279307581164
BA3118	8.8525926437112	5.42234890079115
BA3206	9.09600320401444	6.83601210531875
BA3202	8.84307877151568	4.24693083065817
BA3217	9.33455230246716	6.01664395833904
BA3405	7.61245153291675	5.35117907046834
BA3306	9.27982760161886	5.44067594846619
BA3371	8.91420804405317	4.97317547511932
BA3413	9.33027676031699	6.83843057067482
BA3411	8.88148184246882	5.73738411344192
BA3133	7.55977224878375	6.15921420802907
BA3164	8.77804587995587	5.78192253760815
BA3451	7.44242521067177	4.90254409754431
BA3286	8.50412364911741	5.8761890408473
BA3212	7.50105244518025	6.15834977750935
BA3103	8.7420670822246	5.4040564998537
BA3271	8.92748837970555	5.49289037233673
BA3152	7.13359161213086	5.21327609576147
BA3095	8.61695773628636	6.20098661255903
BA3192	9.4000752436972	5.35415056636227
BA3251	8.7420670822246	6.35399476116952
BA3362	7.81686981561798	5.60540886857144
BA3400	8.15477520582082	5.490635893289
BA3135	9.25517667754352	5.89003355654074
BA3408	8.42321613548815	5.12063498746829
BA3187	8.65006116973985	5.39277292171201
BA3098	8.77804587995587	6.18590754539494
BA3435	9.4000752436972	5.67887021391384
BA3261	9.06667487040862	6.47915200705891
BA3203	7.19738153999511	5.61405116349114
BA3174	7.89563066633541	5.21397119518206
BA3317	9.90525526471174	6.81883552060849
BA3299	8.268195867683	4.41640814943071
BA3221	7.54085820588458	5.50684581649132
BA3347	7.9003747386446	4.5651470965606
BA3235	6.9965338713589	4.59152669861806
BA3126	7.65148276489013	4.09434749658679
BA3380	9.05220627117217	5.84353133766961
BA3089	9.4917929010063	6.50598160592548
BA3109	7.91267481802265	5.19197507986882
BA3114	8.27456876079558	4.61788631559245
BA3418	9.1755941413251	6.25221507266163
BA3245	6.72876764999848	5.72099925846855
BA3085	9.2109276242084	6.88232132236019
BA3128	9.4045391740165	5.6290939324601
BA3423	9.59916222255831	5.86057748465192
BA3173	9.26335235036244	5.93735639042332
BA3171	7.55754763062472	6.34878143548061
BA3277	8.79022656584331	5.44424859687628
BA3210	8.24301678047805	5.82971849546372
BA3157	10.1099887487995	6.43193622663115
BA3433	8.7214605815193	5.85578814032464
BA3322	8.25554427681065	5.08223929101889
BA3374	8.92415796681604	5.35519815996299
BA3450	8.63894476137773	5.34219904385068
BA3167	9.04501990946176	4.81095988420945
BA3269	7.80392510487274	4.99738222665924
BA3110	9.20870997646767	5.37014622702408
BA3156	9.73079295605488	5.45234424595149
BA3226	9.55927298456459	6.25000151049301
BA3421	8.25344779136567	4.8864219540017
BA3232	9.03786515454843	6.27426778231287
BA3289	7.61833712147791	4.85971090955896
BA3430	7.74666982029682	5.25385282871793
BA3145	8.61695773628636	6.73922514739457
BA3399	7.84567146798846	4.74148796294472
BA3449	9.45447558148811	4.95086713745968
BA3384	8.824221356442	5.9563978434584
BA3427	7.21134659078952	5.25714318052804
BA3163	7.08148396341999	4.59152669861806
BA3158	9.2592593958878	6.79581543973709
BA3436	9.67679810675791	6.93827202821145
BA3154	7.76749698582267	6.2850706491728
BA3162	8.60337970015667	5.92513526908082
BA3352	9.67313133431446	6.18861040169558
BA3084	8.78717245605116	5.89359904116522
BA3149	7.8210975174081	5.35709573192361
BA3169	8.24301678047805	4.99738222665924
BA3180	9.11460476788528	5.90885007986137
BA3255	8.64449262965366	5.37928711694374
BA3438	9.3735473533766	5.831768285151
BA3345	7.67751428719864	4.94207214987635
BA3403	8.41372261793503	5.24180259489468
BA3431	7.86519796261888	5.5327793179831
BA3181	8.39960495989321	5.01499035740301
BA3341	7.99413751864958	4.25037031677199
BA3191	8.36494157515656	5.50721271315311
BA3197	8.97829037472744	6.83344544574865
BA3448	9.08494318011795	6.60051001058414
BA3453	8.80867768640892	4.81972624226558
BA3406	8.79635277497105	5.89003355654074
BA3308	9.38675693832204	6.62952631509886
BA3186	8.48399844841995	6.7037023558772
BA3334	8.7214605815193	4.61468245344628
BA3447	9.60422004710875	7.53734841909383
BA3116	8.70401585675217	4.92736106288858
BA3280	9.25110414260315	5.34471469248409
BA3185	8.5373170330564	6.0765385205626
BA3094	8.59798330037588	5.44318329987226
BA3318	8.47663077360064	4.65263126814038
BA3216	8.8879736022598	5.88406214865442
BA3332	9.36916799017741	5.83917770608647
BA3214	9.51245452204643	6.52836297577895
BA3099	8.8717935877338	5.81839607751016
BA3141	9.43158515365849	6.6430484484285
BA3373	8.78108213178214	7.08521741719084
BA3319	7.51413414557592	4.99665147897099
BA3328	8.07971165578759	5.75023036618314
BA3339	8.07425460403884	5.90720734250747
BA3240	8.97485330936457	7.46784096415085
BA3142	8.62516478231551	6.49002795768883
BA3333	8.98864564355709	6.66451367219681
BA3381	8.18217944661747	5.12596382526423
BA3290	8.25344779136567	5.67811655623058
BA3207	7.11965805588277	3.30852387884075
BA3296	7.05061628699762	5.02619905861961
BA3305	8.59260663428802	5.71368801694621
BA3434	9.18338030789918	6.20525292176704
BA3189	8.87824586229709	6.72005859768329
BA3264	8.69536777456055	6.11294027816034
BA3329	9.45616130594571	6.39359148087619
BA3417	8.57925061313916	5.51691886633525
BA3367	7.38257507273258	5.03748167961273
BA3225	6.41555515164963	4.30837790148871
BA3183	8.88148184246882	5.77294291662078
BA3222	8.70401585675217	5.4780108909795
BA3139	7.46894970580743	6.25445222164076
BA3397	6.732801148639	6.5518017021576
BA3311	7.04704814373678	5.23032944318066
BA3422	9.02011485988608	6.54042498941119
BA3228	8.92415796681604	6.11633596300958
BA3213	8.62516478231551	5.8546289142141
BA3270	8.31787605128572	5.36939086109841
BA3415	7.56784611916855	6.08148760261427
BA3324	8.5607551950315	6.40503611780804
BA3194	8.68106286594684	6.77720928573593
BA3335	8.19211577067672	6.11633596300958
BA3199	9.4000752436972	7.06166102601644
BA3326	8.22036612888066	5.30886708091399
BA3285	7.61362919863888	6.35713479831954
BA3297	8.05288390011611	6.17989946486144
BA3227	8.79022656584331	7.03623900558414
BA3394	9.39118419839355	6.21933467933948
BA3412	7.81249915728454	6.21454243325922
BA3293	8.85123237146193	5.91637612602088
BA3250	7.96260346447077	5.83256616777847
BA3177	8.77199110438686	5.6412866944169
BA3315	8.34906675857089	4.798374704262
BA3182	7.94936162159169	5.85810717843667
BA3260	7.42825345365406	6.02077165309049
BA3369	8.66407371953991	5.69992958447881
BA3078	8.96297616127633	5.48023322260474
BA3386	8.89776108628452	6.57509033573893
BA3445	8.25135474465914	4.87235166783045
BA3452	8.77199110438686	5.46001022094073
BA3176	9.21490111990201	6.55914586158058
BA3258	7.18983138735934	4.16634381840989
BA3295	8.05972702484149	5.68573255517546
