	NPM1	DNMT3A
BA2392	9.6874475749889	6.55027156269161
BA2611	9.60929418124753	6.42139457326444
BA2506	9.61949185438657	6.38837422038712
BA2430	9.61949185438657	6.42233932973963
BA2448	9.61438474364243	6.36982886713941
BA2730	9.62461563502098	6.4369045674542
BA2845	9.57909169555586	6.55451548155805
BA2326	9.58408544068247	6.59041781660964
BA2341	9.58909503454725	6.54307132156237
BA2612	9.55927298456459	6.57247167015578
BA2973	9.56915130536806	6.54150806703429
BA2390	9.55927298456459	6.56633757408764
BA3218	9.56420444046175	6.52170608095191
BA3105	9.53000194332933	6.40170617544637
BA3402	9.53484314535953	6.40737616847402
BA3276	9.51556606369543	6.46333894051768
BA2409	7.88494695067266	4.92558404139259
BA3037	9.1755941413251	4.90640898586377
BA2496	8.3156761580726	5.03856627298611
BA2172	9.2592593958878	5.90037022570554
BA2865	9.53484314535953	6.44802101478473
BA2923	6.98208266015901	5.58458887284863
BA2751	9.13897207935234	5.98996157877142
BA2480	8.38563253120242	5.89765135115317
BA2286	9.51078302100883	5.42089748568897
BA2922	9.78674968596522	6.6639864599992
BA2452	9.33027676031699	5.90353378741165
BA3379	9.31328611186612	6.22675882110798
BA2887	9.06304565250042	6.29652207810065
BA2712	7.82549928808227	4.84562521936661
BA2068	8.67821802831458	5.85144934754927
BA2236	8.75995195431454	5.92513526908082
BA2104	6.91599118004167	4.27532548252001
BA3124	8.84307877151568	6.23033780733241
BA3395	8.58457840504288	4.90361056525495
BA2921	9.00605305286098	5.99605530428902
BA2449	9.52036350053221	5.3715755453953
BA2003	9.04501990946176	5.33364015180298
BA2360	9.4000752436972	6.90753952267277
BA2802	7.15633759792086	6.43335604753767
BA2235	8.83362186336888	4.92771047103252
BA2858	8.91420804405317	4.35648958622004
BA3038	7.73462168625585	5.29082273845723
BA3006	9.15245565249128	5.99970534098919
BA2245	9.0307417478067	6.01005588113279
BA2667	9.13720994130471	6.36134230536283
BA2239	8.17428733914348	5.21813047946163
BA2782	7.59101188148724	5.27325382286629
BA2649	9.2429894144776	5.99890598903284
BA2488	7.91111348596979	5.55888193371954
BA2861	9.11460476788528	6.61117532741348
BA2909	7.83704881770087	6.01784200578308
BA2429	8.66493693752935	5.69757983119209
BA2653	8.41556616709075	5.46484401503758
BA2134	8.30037965468589	4.6827458552578
BA2947	9.91920628125652	6.7903869995291
BA2032	9.3735473533766	6.13853683580785
BA2162	8.85577669200061	6.25945312566298
BA2564	8.74800571415782	5.50870400018428
BA2597	8.13547459853116	5.76760186750385
BA3243	8.84307877151568	5.43042530271375
BA2106	9.54945587390153	5.67317843136018
BA2427	8.91090509269608	5.48059363504872
BA2841	9.13342062895717	5.45711106423954
BA2446	8.33784249776874	4.90083067720818
BA2645	8.42798766039968	6.82793872143045
BA2525	8.34456564828853	4.89058431526758
BA2876	8.61151153389318	5.44640808199127
BA2357	8.95777690896205	5.02235718099048
BA2546	8.0301567645062	5.51500276467509
BA2742	7.87584460904621	4.92841190922266
BA2316	8.22855584188171	4.98581237116735
BA2421	8.28526081080175	4.63033110918827
BA2087	9.10147698629206	5.13368956327964
BA2910	9.22287720595147	6.40025463094879
BA2148	7.95609226155088	6.0688553647905
BA2063	8.34232080533324	5.18021866658889
BA2329	8.3972661940189	5.09075247446604
BA3178	8.76897254396233	4.99923632979666
BA2072	8.41135949860071	5.4391470099726
BA3029	8.78717245605116	5.38508153742644
BA2733	8.96458579397726	5.37965871348939
BA2995	8.45209623715645	6.74268846032395
BA2069	8.46185834013681	4.77701262518198
BA2100	8.70690950167434	4.98409448643986
BA2681	9.52517542791568	6.51154576024005
BA2248	9.19906475607931	6.0444352624309
BA2832	8.18813169577028	6.12682630802195
BA2308	9.48708042008341	6.22113787930576
BA2413	9.4045391740165	6.16609369248211
BA2701	8.7361512573159	5.64618047026692
BA2634	8.22240857358487	6.25091484872834
BA2677	8.79635277497105	5.69566002369261
BA2937	8.25344779136567	5.79045455115976
BA2600	9.2429894144776	5.50315192004078
BA2019	8.12986534537924	5.65448355973944
BA2412	6.82309107200081	4.71932990142095
BA2334	8.94087956106744	6.20697852343694
BA2050	9.34744684153524	5.92596043186298
BA3230	8.78108213178214	5.17381001168529
BA2953	9.69817061599593	5.84669771952697
BA2481	8.58191208164573	5.03079434015524
BA2731	8.46185834013681	5.42234890079115
BA2294	9.25517667754352	7.17520302946663
BA2418	9.1410080593907	6.01373604526196
BA2816	9.14863087419242	5.11433165880832
BA2656	8.93082572022568	6.45897655908302
BA2814	7.63755645913212	5.02974000658284
BA2631	9.3561004357089	6.2167212997473
BA2023	8.3311533449718	4.72738279030256
BA2375	8.84941498844258	6.08536052540414
BA2485	8.78899864293157	6.78074983432615
BA2455	8.3156761580726	4.69855961142677
BA2025	8.56338303703764	5.23673966789925
BA2636	9.10713869224013	5.92637395893393
BA2325	7.29687122589928	4.04879675825088
BA2169	8.51934782702254	6.19606446047222
BA2156	9.48238177689826	6.79640967556144
BA2511	8.46430959418229	5.26710389157619
BA2939	9.41350421836705	6.0158165147387
BA2168	9.20300948929151	6.41510646424492
BA2505	9.09230819306279	5.62195033213407
BA2860	8.97485330936457	6.33509433573957
BA2707	9.12210512882866	6.18632897661868
BA2871	8.66689198102969	5.96907627794874
BA2655	9.36916799017741	4.77872894002383
BA2227	9.42251934116338	6.55232565838748
BA2125	7.76334677298606	6.10829331712153
BA2523	9.33455230246716	5.74395799798389
BA2603	8.99558616821901	5.47138243938151
BA2808	8.70112769787832	6.31675170697475
BA2282	7.26503778677364	4.80111971961835
BA2482	9.04501990946176	6.17641644366945
BA2812	8.81487669872437	4.99775683802712
BA2822	7.14998539597838	5.98054442725547
BA2594	8.42798766039968	5.81201009033099
BA2747	9.35176787188011	6.18950223686314
BA2561	9.09970659968869	5.94641278080618
BA2567	7.54085820588458	5.34433907396084
BA2906	8.80250309714617	4.74957774721697
BA2956	8.11104544817006	5.64166399423883
BA2474	9.08127310626888	6.09936975927192
BA2737	8.02685700006077	5.70872171926613
BA2110	7.71347289714959	4.74182984575756
BA2992	9.18338030789918	5.05504885396523
BA2220	9.00955709168753	5.65448355973944
BA2772	9.42251934116338	6.0781745380856
BA2935	8.55029123602985	5.28177179122875
BA2260	8.75098362594822	5.01183343730558
BA2676	8.7361512573159	5.36293986474154
BA2948	7.55189787670547	5.85542200416075
BA2524	9.2592593958878	5.52135062216325
BA2811	8.83676787171411	6.24912819394912
BA2540	8.86857724833819	3.86156811832603
BA2928	8.7214605815193	5.34151860321391
BA2302	9.38234175781362	5.53940253028108
BA2595	9.09230819306279	5.14967422759909
BA2792	8.66689198102969	5.02056262861089
BA2651	9.17948259034573	6.03566200297907
BA2619	7.88191833711993	6.44227342376241
BA3013	9.54457000922792	6.16865049658773
BA2405	9.64008823387741	5.67317843136018
BA2735	9.08494318011795	5.32233498083344
BA2856	7.56206988956539	4.20674974606089
BA2377	8.74389874448259	4.1940893457466
BA2499	9.66095938066438	5.81959741153124
BA2463	8.4179334910987	6.22329037773919
BA3023	9.17948259034573	5.20440021667154
BA2095	9.13342062895717	6.14672505812723
BA2901	8.51425498508966	5.08758890657065
BA2275	6.9401836518602	5.75302384911337
BA2387	8.68106286594684	4.47173241334974
BA2962	9.73079295605488	5.58010200112807
BA2195	8.69249597847146	5.51500276467509
BA2688	8.77262692606308	4.72354417544082
BA2787	6.35352478320916	4.78223236558204
BA2420	9.09970659968869	5.5603638318114
BA2756	9.56420444046175	4.01681712942243
BA2122	7.70840071464408	4.87096387518994
BA2053	9.16784487350203	5.84787957757678
BA2080	8.92748837970555	5.86901047120639
BA2081	9.00255657247606	5.77033121359801
BA2354	9.30238239860393	6.23533588980149
BA3273	7.24904224136933	4.71789490848166
BA2893	9.50601427714714	6.19299832162761
BA2044	8.43758065182973	5.54245080282141
BA2489	9.15628939970288	4.74182984575756
BA2309	9.05942450247106	4.97387498404503
BA2720	7.7605970351598	4.52153193566258
BA2908	9.83621907237271	6.4243136710677
BA2054	8.54508752883457	5.07550246590364
BA2872	8.00271116464237	5.31756660169569
BA2526	9.09600320401444	4.92943275175156
BA2041	9.02011485988608	4.60901148734067
BA2464	9.07395764638915	6.09645228197541
BA2902	8.82734862624236	5.39890865222561
BA2541	9.18338030789918	6.22378350328208
BA2143	7.22867709025789	5.09390910729551
BA2094	7.79956921933088	5.80146381261149
BA2769	8.904319577833	5.91953516934334
BA2843	8.88148184246882	7.04918884608735
BA2592	9.57909169555586	5.39347949789235
BA2497	8.09067732991193	4.53554304554111
BA2718	8.61151153389318	7.87584460904621
BA2575	7.3614587281193	4.84562521936661
BA2096	9.4000752436972	4.66610967820232
BA2593	10.3090915070605	5.2635303158332
BA2791	9.14481502348153	5.91758639573652
BA2620	8.61695773628636	5.72903451515424
BA2629	9.4000752436972	6.23533588980149
BA2870	9.26745559419095	6.38599164256093
BA2423	7.73861349646242	4.43352231435234
BA2682	9.14863087419242	5.44640808199127
BA2276	8.91090509269608	5.42530018626189
BA2348	7.52987979374564	4.75764062057754
BA2709	8.81177412986094	5.2868395453686
BA2789	9.36480042798147	5.88684341274268
BA2694	8.92748837970555	6.22675882110798
BA2538	8.40429460371975	6.25807759133934
BA2583	9.44070228005406	6.36648969189247
BA2415	7.67493502317828	4.81585561124571
BA2722	7.0623479587219	5.89048099649459
BA2806	9.01306871894599	5.91595003127845
BA2221	7.99413751864958	4.65687977223113
BA3025	9.2389471182711	7.31039812260742
BA2514	8.62153057515291	5.17241204196236
BA2520	9.08127310626888	6.93890773932704
BA2441	7.40108920011618	6.92239609110895
BA2153	9.57909169555586	6.39926285688665
BA2479	8.22832881693221	5.61780736228049
BA2281	9.01658796485945	6.1921407741856
BA2657	8.33560901482561	6.04691526295528
BA2932	9.12210512882866	6.14718029862126
BA2123	9.57909169555586	4.48731198029739
BA2844	9.22687989289351	5.36000471761652
BA2660	9.06304565250042	5.62419273985357
BA2836	8.74800571415782	5.62530338833762
BA3027	7.63041516939983	5.36514025423526
BA2714	8.89122942781574	5.21363189314042
BA2139	6.80299244523417	4.53197710730373
BA2251	8.32671267592458	7.54970729199318
BA2952	8.16254296358662	4.36608295505138
