	RUNX1	NPM1
BA2392	8.22240857358487	9.6874475749889
BA2611	8.24509615455004	9.60929418124753
BA2506	8.23267071257109	9.61949185438657
BA2430	8.27031665707811	9.61949185438657
BA2448	8.26607857536642	9.61438474364243
BA2730	8.27670009201677	9.62461563502098
BA2845	8.32671267592458	9.57909169555586
BA2326	8.31347995218337	9.58408544068247
BA2341	8.35811493599106	9.58909503454725
BA2612	8.31347995218337	9.55927298456459
BA2973	8.32007964073217	9.56915130536806
BA2390	8.29387857030758	9.55927298456459
BA3218	8.31347995218337	9.56420444046175
BA3105	8.24926512843891	9.53000194332933
BA3402	8.27456876079558	9.53484314535953
BA3276	8.25764420926654	9.51556606369543
BA2409	6.75831323775631	7.88494695067266
BA3037	7.64377441186557	9.1755941413251
BA2496	7.0949820634578	8.3156761580726
BA2172	6.54875546973009	9.2592593958878
BA2865	8.40664550150058	9.53484314535953
BA2923	7.4382687261571	6.98208266015901
BA2751	9.45155824142257	9.13897207935234
BA2480	9.25110414260315	8.38563253120242
BA2286	7.82833379039141	9.51078302100883
BA2922	8.52958832512444	9.78674968596522
BA2452	8.84624370479657	9.33027676031699
BA3379	7.11145591609312	9.31328611186612
BA2887	7.53303259081949	9.06304565250042
BA2712	7.50436087643108	7.82549928808227
BA2068	8.0179995830141	8.67821802831458
BA2236	8.79022656584331	8.75995195431454
BA2104	7.2245944685398	6.91599118004167
BA3124	7.10925539195399	8.84307877151568
BA3395	8.68106286594684	8.58457840504288
BA2921	8.14513423086413	9.00605305286098
BA2449	7.18474506245045	9.52036350053221
BA2003	8.13747585819058	9.04501990946176
BA2360	6.17338143773516	9.4000752436972
BA2802	7.51299557490928	7.15633759792086
BA2235	7.56436701911919	8.83362186336888
BA2858	6.5181383405608	8.91420804405317
BA3038	7.39635430321553	7.73462168625585
BA3006	8.75098362594822	9.15245565249128
BA2245	9.09600320401444	9.0307417478067
BA2667	7.40804987020109	9.13720994130471
BA2239	7.09710413510838	8.17428733914348
BA2782	6.67339810625054	7.59101188148724
BA2649	8.91751782379931	9.2429894144776
BA2488	8.48407580140491	7.91111348596979
BA2861	6.18992574647122	9.11460476788528
BA2909	6.91854859965898	7.83704881770087
BA2429	7.12040364606583	8.66493693752935
BA2653	7.68013043810275	8.41556616709075
BA2134	7.06371663624663	8.30037965468589
BA2947	7.78123623973778	9.91920628125652
BA2032	7.95765939482996	9.3735473533766
BA2162	6.37358566074055	8.85577669200061
BA2564	7.79663560293131	8.74800571415782
BA2597	7.63393532286626	8.13547459853116
BA3243	7.40609048790591	8.84307877151568
BA2106	8.13938594647296	9.54945587390153
BA2427	7.38560317769133	8.91090509269608
BA2841	6.04647904010288	9.13342062895717
BA2446	6.23342882640082	8.33784249776874
BA2645	6.61649602743193	8.42798766039968
BA2525	5.30060514576655	8.34456564828853
BA2876	6.16229657509821	8.61151153389318
BA2357	7.01847365520979	8.95777690896205
BA2546	6.36695225743452	8.0301567645062
BA2742	7.41889646736553	7.87584460904621
BA2316	7.48163507084779	8.22855584188171
BA2421	7.48695721637732	8.28526081080175
BA2087	6.85707363149716	9.10147698629206
BA2910	8.25344779136567	9.22287720595147
BA2148	7.50861653894833	7.95609226155088
BA2063	5.38841032189554	8.34232080533324
BA2329	6.91733301258099	8.3972661940189
BA3178	6.42280633283907	8.76897254396233
BA2072	8.00619097456886	8.41135949860071
BA3029	7.92364245319313	8.78717245605116
BA2733	7.3212161814573	8.96458579397726
BA2995	9.09230819306279	8.45209623715645
BA2069	6.86281064555051	8.46185834013681
BA2100	7.54191215313676	8.70690950167434
BA2681	6.81883552060849	9.52517542791568
BA2248	7.92526519111295	9.19906475607931
BA2832	7.55189787670547	8.18813169577028
BA2308	7.4382687261571	9.48708042008341
BA2413	7.57003408038875	9.4045391740165
BA2701	6.83843057067482	8.7361512573159
BA2634	7.17761745050204	8.22240857358487
BA2677	7.16795764916514	8.79635277497105
BA2937	7.01983909137586	8.25344779136567
BA2600	7.53197491812839	9.2429894144776
BA2019	7.08227901596389	8.12986534537924
BA2412	6.15187477635529	6.82309107200081
BA2334	7.92699657991781	8.94087956106744
BA2050	8.20213208675208	9.34744684153524
BA3230	7.56567805381962	8.78108213178214
BA2953	7.79093203959201	9.69817061599593
BA2481	7.40510623344956	8.58191208164573
BA2731	6.17379906817959	8.46185834013681
BA2294	7.62205873798526	9.25517667754352
BA2418	8.5529001392332	9.1410080593907
BA2816	7.64636707538027	9.14863087419242
BA2656	7.64255001400601	8.93082572022568
BA2814	6.62033484572762	7.63755645913212
BA2631	7.78123623973778	9.3561004357089
