	RUNX1	NPM1
BA2023	7.36910502551481	8.3311533449718
BA2375	7.95452812467512	8.84941498844258
BA2485	9.12011695971816	8.78899864293157
BA2455	6.33092888167036	8.3156761580726
BA2025	5.70757619671164	8.56338303703764
BA2636	7.60876718089275	9.10713869224013
BA2325	6.69807753006718	7.29687122589928
BA2169	7.07180826529373	8.51934782702254
BA2156	6.54978276410253	9.48238177689826
BA2511	6.52072194410879	8.46430959418229
BA2939	7.85486380528094	9.41350421836705
BA2168	8.02685700006077	9.20300948929151
BA2505	6.93954050250455	9.09230819306279
BA2860	6.26429986711095	8.97485330936457
BA2707	8.33337930026134	9.12210512882866
BA2871	6.24864350807345	8.66689198102969
BA2655	6.47279065497325	9.36916799017741
BA2227	8.08518191159815	9.42251934116338
BA2125	7.67493502317828	7.76334677298606
BA2523	8.16644533071452	9.33455230246716
BA2603	7.52776715607633	8.99558616821901
BA2808	7.8894951557827	8.70112769787832
BA2282	5.9389872636167	7.26503778677364
BA2482	8.42559982560594	9.04501990946176
BA2812	6.79581543973709	8.81487669872437
BA2822	7.91267481802265	7.14998539597838
BA2594	6.62843695703125	8.42798766039968
BA2747	8.62242404966029	9.35176787188011
BA2561	8.58191208164573	9.09970659968869
BA2567	5.31326361994662	7.54085820588458
BA2906	6.70639038824238	8.80250309714617
BA2956	7.57003408038875	8.11104544817006
BA2474	7.94466831928416	9.08127310626888
BA2737	7.52879493976561	8.02685700006077
BA2110	6.84719227215285	7.71347289714959
BA2992	8.06884590575294	9.18338030789918
BA2220	7.60876718089275	9.00955709168753
BA2772	8.03550248502968	9.42251934116338
BA2935	7.26238233832031	8.55029123602985
BA2260	7.81686981561798	8.75098362594822
BA2676	7.29162764738793	8.7361512573159
BA2948	6.31251579014812	7.55189787670547
BA2524	7.6685963483501	9.2592593958878
BA2811	9.0307417478067	8.83676787171411
BA2540	6.20872841683922	8.86857724833819
BA2928	6.74268846032395	8.7214605815193
BA2302	7.28800386009291	9.38234175781362
BA2595	7.4262875873266	9.09230819306279
BA2792	7.46679247570854	8.66689198102969
BA2651	7.59930957213068	9.17948259034573
BA2619	7.5098325342709	7.88191833711993
BA3013	7.94466831928416	9.54457000922792
BA2405	7.79800939146032	9.64008823387741
BA2735	7.74951233053604	9.08494318011795
BA2856	6.69192414230504	7.56206988956539
BA2377	7.60044547310861	8.74389874448259
BA2499	7.80094268898657	9.66095938066438
BA2463	8.61880009680474	8.4179334910987
BA3023	8.07789379739417	9.17948259034573
BA2095	8.85577669200061	9.13342062895717
BA2901	7.34547705030654	8.51425498508966
BA2275	7.80817251236376	6.9401836518602
BA2387	8.43037965011906	8.68106286594684
BA2962	8.00271116464237	9.73079295605488
BA2195	7.53093612416627	8.69249597847146
BA2688	6.27332825884915	8.77262692606308
BA2787	5.82191269814631	6.35352478320916
BA2420	8.79635277497105	9.09970659968869
BA2756	7.3875616099495	9.56420444046175
BA2122	7.27378385953679	7.70840071464408
BA2053	8.23886821722062	9.16784487350203
BA2080	6.46633469347968	8.92748837970555
BA2081	8.83048212173684	9.00255657247606
BA2354	6.98553956904008	9.30238239860393
BA3273	4.90986474335253	7.24904224136933
BA2893	8.69824500910271	9.50601427714714
BA2044	8.37180321609369	8.43758065182973
BA2489	7.10534081557561	9.15628939970288
BA2309	7.31758513982701	9.05942450247106
BA2720	6.23576326993081	7.7605970351598
BA2908	7.69790613813162	9.83621907237271
BA2054	7.42090370210596	8.54508752883457
BA2872	6.4108151402329	8.00271116464237
BA2526	7.32779530563549	9.09600320401444
BA2041	7.68775219309565	9.02011485988608
BA2464	8.04060780611373	9.07395764638915
BA2902	8.36494157515656	8.82734862624236
BA2541	6.79640967556144	9.18338030789918
BA2143	7.40707286933197	7.22867709025789
BA2094	8.24926512843891	7.79956921933088
BA2769	6.96352997566574	8.904319577833
BA2843	1.29229534870093	8.88148184246882
BA2592	7.59808663804993	9.57909169555586
BA2497	7.35957852119331	8.09067732991193
BA2718	6.84657434431718	8.61151153389318
BA2575	7.07486831392374	7.3614587281193
BA2096	7.48594354331146	9.4000752436972
BA2593	8.74389874448259	10.3090915070605
BA2791	8.54249270039127	9.14481502348153
BA2620	7.11216085325929	8.61695773628636
BA2629	8.3156761580726	9.4000752436972
BA2870	8.28526081080175	9.26745559419095
BA2423	6.69080762366511	7.73861349646242
BA2682	7.75780436658957	9.14863087419242
BA2276	7.56321071069528	8.91090509269608
BA2348	6.2114515075537	7.52987979374564
BA2709	7.54085820588458	8.81177412986094
BA2789	8.67821802831458	9.36480042798147
BA2694	8.34681429629083	8.92748837970555
BA2538	7.89563066633541	8.40429460371975
BA2583	8.80867768640892	9.44070228005406
BA2415	6.04734642903678	7.67493502317828
BA2722	8.33784249776874	7.0623479587219
BA2806	8.94761722776196	9.01306871894599
BA2221	6.1921407741856	7.99413751864958
BA3025	6.29315264064962	9.2389471182711
BA2514	7.03986452617139	8.62153057515291
BA2520	8.3311533449718	9.08127310626888
BA2441	6.73745939965324	7.40108920011618
BA2153	8.06706072393759	9.57909169555586
BA2479	5.70908891657494	8.22832881693221
BA2281	8.68391306436784	9.01658796485945
BA2657	7.77846043065093	8.33560901482561
BA2932	8.3156761580726	9.12210512882866
BA2123	8.0760787079227	9.57909169555586
BA2844	6.30418081628279	9.22687989289351
BA2660	7.95104961478815	9.06304565250042
BA2836	7.61949698331246	8.74800571415782
BA3027	5.78731556681433	7.63041516939983
BA2714	7.93658206656699	8.89122942781574
BA2139	6.4489544024993	6.80299244523417
BA2251	6.1556592421586	8.32671267592458
BA2952	7.40406179513594	8.16254296358662
BA2440	7.04775148018528	8.39493145233583
BA2036	9.25517667754352	8.75695672842528
BA2828	7.22543117773692	8.09804401257278
BA2292	6.80845562026412	8.98173476670244
BA2410	8.52190108216259	9.34313727945847
BA2051	7.1956195388029	7.46363654414575
BA2532	7.01060112681321	7.45571345371651
BA2986	7.5075244144456	8.95099667095566
BA2494	7.25790347094091	8.39027400222105
BA2515	6.48803668934059	8.66407371953991
BA2748	6.5808607051832	9.33883912107995
BA2970	6.1821095995856	8.8589671548512
BA2622	8.03722226484621	8.65006116973985
BA2839	8.91090509269608	8.72438748273975
BA2052	7.98386019261508	9.10713869224013
BA3011	7.42313394469991	8.50277388292747
BA2868	6.46333894051768	9.00255657247606
BA2510	4.1972207613263	9.01658796485945
BA2065	8.39027400222105	9.20696376307392
BA2691	7.49358396361658	8.11104544817006
BA2374	7.02480711295981	8.21222936163239
BA2804	6.75251712721233	8.8879736022598
BA2670	7.57604503702852	7.93824432889201
BA2675	8.07426638068647	9.08494318011795
BA2589	7.26585264294213	8.38563253120242
BA2031	7.6112304020112	8.87824586229709
BA2198	8.99211218550823	9.39118419839355
BA2066	7.23036606098158	8.28097335559112
BA2344	7.53734841909383	9.57411368730524
BA2459	8.28924318234402	9.38404554334867
BA2229	7.33073792117204	8.53473617000875
BA2559	7.76200686781066	8.68391306436784
BA2093	9.37793858616158	9.23491479941431
BA2000	7.77161485169371	8.08701091285537
BA2425	7.53511002571526	8.47600328572046
BA2905	7.41889646736553	9.22687989289351
BA2304	6.41128456721012	7.16215175411855
BA2976	7.3212161814573	8.65285322774346
BA2386	8.33337930026134	9.09970659968869
BA2035	8.6306614688285	9.33455230246716
BA2760	6.77834045992494	8.29820901257083
BA2201	7.50539293842063	8.89776108628452
BA2355	7.33250978911574	8.59260663428802
BA2113	7.87430709609213	8.50026123971081
BA2155	6.8911840063889	8.99906762077278
BA2955	7.15876570695721	8.07971165578759
BA2502	7.21053357648558	8.05457002396872
BA2322	8.30691336971867	8.93082572022568
BA2376	6.52836297577895	6.97993778438247
BA2020	7.44544500262934	9.15245565249128
BA2226	7.86519796261888	8.81487669872437
BA2200	9.16398396797258	9.30065851731011
BA2121	7.67751428719864	8.92748837970555
BA2944	7.84127876561754	9.90525526471174
BA2033	6.83661488155882	7.17761745050204
BA2867	7.90342171341614	8.66126072825912
BA2089	6.3811905938473	7.65513327960109
BA2224	7.80392510487274	8.38331776349613
BA2046	8.3513230443853	9.3217592552912
BA2972	6.64684027167279	9.160132157513
BA2978	6.59622051144561	7.85205086731265
BA2829	8.5529001392332	8.79635277497105
BA2851	7.33339060020607	8.5529001392332
BA2587	8.5529001392332	8.72438748273975
BA2461	6.3423350524195	7.94314055717551
BA2695	7.02978091514104	7.68652733200955
BA2623	8.62242404966029	9.57411368730524
BA2024	6.81394894542996	7.58759859001841
BA2426	7.66015357873811	8.88148184246882
BA2271	8.23267071257109	7.95452812467512
BA3004	8.7629529869435	8.57129520837751
BA2579	6.18294422218273	7.85633367820174
BA3010	7.51413414557592	9.00605305286098
BA2662	7.3212161814573	8.34232080533324
BA2674	8.48158973981744	9.15245565249128
BA2280	9.08862153045619	8.50160207030541
BA2512	6.90877033903166	6.81629782268832
BA2658	5.53130217583918	9.070312190258
BA2394	8.89449191470128	8.21222936163239
BA2950	7.80094268898657	9.49651930986164
BA2981	8.1336646480907	8.63894476137773
BA2934	5.4943411471575	7.22625304922136
BA2539	6.38171333036269	7.8925772722697
BA2249	8.27456876079558	8.63894476137773
BA2034	7.878761730409	8.94268168369866
BA2109	6.62086223855277	7.61245153291675
BA2242	8.21020338316209	8.12041880838799
BA2277	8.14898150925669	8.68676863894814
BA2727	6.82309107200081	9.83304132704525
BA2132	7.631611105114	8.672544374331
BA2618	7.41308925427417	8.61151153389318
BA2521	8.40194775982719	8.672544374331
BA2846	8.58457840504288	9.1755941413251
BA2885	7.05570452227078	8.02142525655183
BA2639	8.7629529869435	9.04860912314158
BA2775	7.98898804212453	8.84941498844258
BA2402	7.68895709467278	9.26335235036244
BA2097	7.66735491479546	9.44070228005406
BA2786	6.07058706634591	9.34313727945847
BA2399	8.92415796681604	9.44070228005406
BA2850	8.89776108628452	8.91090509269608
BA2174	7.24904224136933	8.34232080533324
BA2004	6.70141361221983	7.48933909555342
BA3001	8.50160207030541	9.69817061599593
BA2311	5.77033121359801	7.93028682049466
BA2483	8.46125654532408	8.48343527695382
BA3040	7.28800386009291	9.00605305286098
BA2837	7.20544727648903	9.37793858616158
BA2724	6.84900595542396	8.5607551950315
BA2911	7.6954634086272	9.35176787188011
BA2256	7.88342196520891	9.43613726309062
BA2821	7.89717932578411	9.69817061599593
BA2233	8.23061160269424	9.19906475607931
BA2744	8.27456876079558	9.34313727945847
BA2880	6.38738832095137	8.34906675857089
BA2621	6.68242645093915	8.28097335559112
BA3002	8.21405263917023	8.42744390017979
BA2501	8.19611264417946	8.48407580140491
BA2993	8.06147774301482	8.84624370479657
BA2301	6.6441169206914	8.06147774301482
BA2852	6.54204262926234	8.29820901257083
BA2133	5.38803577864658	7.83554388846121
BA2866	7.64895583047878	9.19906475607931
BA2212	7.04918884608735	9.33455230246716
BA2685	7.15078589361001	9.39562360946183
BA2273	7.87430709609213	8.83362186336888
BA2477	7.94936162159169	9.29229417829056
BA2659	7.52196174027097	8.45453034732936
BA2124	8.25109369476589	9.49819442110274
BA2363	7.72127626045477	8.84941498844258
BA2369	7.12664090320603	8.79328666582968
BA2534	7.66369633945432	9.0271917203024
BA2400	8.12230223339654	9.46836798648192
BA2762	8.0044307958278	8.96117775713075
BA2312	7.23636521102564	8.79635277497105
BA2813	8.71562351354988	9.54457000922792
BA2211	9.1314039045803	9.17734760232419
BA2171	8.70690950167434	9.17171491689544
BA2746	6.76777472760262	7.89401548128851
BA2798	8.0301567645062	9.67679810675791
BA2809	8.2874098816496	9.1872873383188
BA2288	6.56942061445838	8.55505298542423
BA2801	6.40688318423783	8.32449794408229
BA3030	6.8958209414819	8.66873090783595
BA2588	7.74666982029682	9.44070228005406
BA2296	6.68242645093915	9.28397254525379
BA2300	7.42090370210596	8.69249597847146
BA2903	5.70452449404762	6.47376016789819
BA2473	7.19903013947942	9.13518361120238
BA2545	6.40549948389557	8.25764420926654
BA2840	7.37002936753922	8.5971359914493
BA2528	8.41846114844672	9.14863087419242
BA2646	8.12607789280928	8.84941498844258
BA3407	6.81145766315316	8.40429460371975
BA2240	8.38331776349613	8.25554427681065
BA2926	6.8791208631907	9.48238177689826
BA2272	6.91521402329812	8.26607857536642
BA2306	7.25527706310904	8.87501645157825
BA2765	7.17197273809379	7.08068398565122
BA2904	8.04414638908848	8.52958832512444
BA2883	7.68529642962647	9.05581138653334
BA2726	6.53298741802549	6.49846429425474
BA2234	6.48902852435197	7.19816924570359
BA2022	8.7214605815193	8.91751782379931
BA2228	6.87718695252014	8.48906113697349
BA2037	7.76884228347361	9.49651930986164
BA2184	6.85025853686514	9.2592593958878
BA3009	7.72809482559201	9.06304565250042
BA2842	6.54204262926234	7.37484847247432
BA2442	7.97720455656684	8.86536741111737
BA2882	6.12991458455326	7.69790613813162
BA2758	6.93954050250455	8.01121552663761
BA2705	8.51425498508966	8.4594113881339
BA2663	6.13505858445244	7.58640399756741
BA2570	7.40305574053771	9.070312190258
BA2764	6.36086030376613	7.86519796261888
BA2209	5.2557008751781	8.23267071257109
BA2989	8.91420804405317	8.87824586229709
BA2855	7.08671523409321	7.70582137825133
BA2261	7.06094242567649	7.49565796423242
BA2721	7.95104961478815	8.41608983118813
BA2930	7.05213628356552	7.75371580805874
BA2728	7.07845414922519	7.74132890165977
BA2715	8.27031665707811	7.71215406681609
BA2469	6.43146976668751	7.96260346447077
BA2269	6.72932018001604	7.15633759792086
BA2098	7.45053981568106	8.09251475928632
BA2778	7.28268371584317	6.98621603600523
BA2951	8.81177412986094	9.78674968596522
BA2163	7.47212920454885	7.09568366825665
BA2379	6.96912043899967	7.31397253852267
BA2817	2.99842729770843	7.86671215518685
BA3153	5.62607242115432	7.92699657991781
BA2820	8.04242466385173	8.20414503388581
BA2723	6.11928256232472	8.22445433533228
BA2704	9.07761127342397	9.23491479941431
BA2088	5.98220791058853	8.3972661940189
BA2116	6.76359470107912	6.78491577385659
BA2584	6.72183111998027	7.87430709609213
BA3079	6.87718695252014	8.24717893447311
BA2417	8.17232215906216	8.47910806756512
BA2361	6.56065461359229	8.09067732991193
BA2450	8.57394218930808	8.75995195431454
BA2492	6.17598273714894	7.35202275514424
BA2552	8.25135474465914	9.4270458724936
BA2472	7.70582137825133	8.04060780611373
BA2994	8.904319577833	9.04501990946176
BA2047	7.37002936753922	8.54249270039127
BA2101	7.07770710445007	8.5117153749805
BA2082	6.68127929274665	8.97829037472744
BA2879	7.30768711424343	7.48057619109315
BA2577	6.62413100331839	9.4000752436972
BA2456	6.57560815980456	8.22445433533228
BA2175	7.30948834304819	6.84399982384708
BA2824	9.22687989289351	8.58457840504288
BA2507	8.60067902691643	9.15245565249128
BA2563	8.93417001363455	9.21888429779212
BA2244	7.50539293842063	8.44966638628301
BA2470	8.27031665707811	8.66407371953991
BA2984	8.46185834013681	8.74503353869987
BA2414	8.26607857536642	9.11835064360706
BA2697	5.85542200416075	7.00782899353321
BA2079	5.88526249443146	6.63915578339387
BA2999	8.87824586229709	8.59529250724368
BA2644	6.6795007159625	8.30909856685695
BA2011	6.00051445317703	8.00619097456886
BA2217	6.39408540771364	9.35176787188011
BA2454	8.69249597847146	9.13720994130471
BA2776	9.44528028465592	9.1872873383188
BA2218	7.59694470359064	9.47302564786274
BA2135	7.68134464101013	9.53000194332933
BA2914	7.07251029744415	7.96905854853838
BA2500	8.5117153749805	7.68775219309565
BA2830	7.71088637463883	9.79819104218496
BA2406	6.74612605168156	8.13176351189552
BA3108	8.36266215228094	9.44528028465592
BA2924	7.64778904816974	8.76595984417136
BA2303	6.94294359338222	7.93352218493006
BA2160	8.30473182450184	8.82110029202306
BA2038	6.98756290986723	8.40194775982719
BA2602	6.98419090856441	8.32893113987774
BA2964	7.1158850415745	7.878761730409
BA2898	6.69750566900229	7.94635895319707
BA3003	6.52889213798317	7.88191833711993
BA2111	6.8867637487898	8.01457218763256
BA2827	6.732801148639	8.18020169656618
BA2912	6.37975842200095	8.18217944661747
BA2437	6.78618260321054	8.21832699326225
BA2283	6.46528423305325	7.92868137841977
BA2057	6.51205995717627	7.89563066633541
BA2633	6.82908216215166	8.3603866090308
BA3034	6.61380571566026	7.97720455656684
BA2607	6.59094704308975	8.18813169577028
BA2761	6.48462547088391	8.40194775982719
BA2795	6.58028734101557	8.00271116464237
BA2182	6.6952290990594	8.19411260375688
BA2152	6.59569193185131	7.89401548128851
BA2381	8.32449794408229	9.55927298456459
BA2931	6.84162430439576	8.34456564828853
BA2040	6.47228949068298	7.72277870826456
BA2590	8.70112769787832	9.34744684153524
BA3195	8.60337970015667	9.4045391740165
BA2516	7.54191215313676	9.40177461105289
BA2353	8.23267071257109	9.62461563502098
BA3036	7.44839655086442	9.44070228005406
BA2971	7.38361760058351	8.05801802157941
BA3410	7.42928783450574	7.99739906746641
BA3118	7.45275636284168	8.8525926437112
BA3206	7.32679901700122	9.09600320401444
BA3202	6.06255807626612	8.84307877151568
BA3217	8.60337970015667	9.33455230246716
BA3405	7.67359575985668	7.61245153291675
BA3306	7.96744532914178	9.27982760161886
BA3371	6.95150045701844	8.91420804405317
BA3413	7.17595663951225	9.33027676031699
BA3411	6.81811142246577	8.88148184246882
BA3133	7.51630069461518	7.55977224878375
BA3164	8.32671267592458	8.77804587995587
BA3451	7.13359161213086	7.44242521067177
BA3286	7.57724219112205	8.50412364911741
BA3212	7.69023500088856	7.50105244518025
BA3103	8.00271116464237	8.7420670822246
BA3271	8.49406416345013	8.92748837970555
BA3152	6.71035314821396	7.13359161213086
BA3095	8.49657233882556	8.61695773628636
BA3192	8.70112769787832	9.4000752436972
BA3251	7.85205086731265	8.7420670822246
BA3362	6.62413100331839	7.81686981561798
BA3400	8.13747585819058	8.15477520582082
BA3135	8.09619809378225	9.25517667754352
BA3408	5.26602721557854	8.42321613548815
BA3187	7.73200199894925	8.65006116973985
BA3098	8.57925061313916	8.77804587995587
BA3435	8.31347995218337	9.4000752436972
BA3261	6.36467185423724	9.06667487040862
BA3203	6.71610247691018	7.19738153999511
BA3174	7.60395254604328	7.89563066633541
BA3317	8.73025810259064	9.90525526471174
BA3299	7.5075244144456	8.268195867683
BA3221	5.80067915322974	7.54085820588458
BA3347	6.87589317842963	7.9003747386446
BA3235	6.86648111845466	6.9965338713589
BA3126	6.89511146582289	7.65148276489013
BA3380	7.73071674907066	9.05220627117217
BA3089	8.2960419873451	9.4917929010063
BA3109	7.06166102601644	7.91267481802265
BA3114	6.5435898741168	8.27456876079558
BA3418	6.8602531678363	9.1755941413251
BA3245	7.2456266527422	6.72876764999848
BA3085	7.5725144548201	9.2109276242084
BA3128	8.14705635633251	9.4045391740165
BA3423	8.25764420926654	9.59916222255831
BA3173	6.97383568837724	9.26335235036244
BA3171	7.36724009431295	7.55754763062472
BA3277	8.18020169656618	8.79022656584331
BA3210	7.54295367203655	8.24301678047805
BA3157	8.92083445647999	10.1099887487995
BA3433	8.44724078411408	8.7214605815193
BA3322	6.43046914091516	8.25554427681065
BA3374	6.44227342376241	8.92415796681604
BA3450	7.94145634611773	8.63894476137773
BA3167	7.30768711424343	9.04501990946176
BA3269	7.33529770605395	7.80392510487274
BA3110	7.27982858914582	9.20870997646767
BA3156	6.32868471625961	9.73079295605488
BA3226	8.77804587995587	9.55927298456459
BA3421	7.03474280183588	8.25344779136567
BA3232	8.35358316301659	9.03786515454843
BA3289	6.92559422045597	7.61833712147791
BA3430	6.39027254472215	7.74666982029682
BA3145	7.77015373984418	8.61695773628636
BA3399	6.76002445528346	7.84567146798846
BA3449	7.70197141870837	9.45447558148811
BA3384	8.0301567645062	8.824221356442
BA3427	7.18556384102574	7.21134659078952
BA3163	5.74129207216541	7.08148396341999
BA3158	7.65513327960109	9.2592593958878
BA3436	8.84307877151568	9.67679810675791
BA3154	6.40549948389557	7.76749698582267
BA3162	8.25554427681065	8.60337970015667
BA3352	8.61607464234973	9.67313133431446
BA3084	7.00146186913291	8.78717245605116
BA3149	8.17428733914348	7.8210975174081
BA3169	6.91326402535282	8.24301678047805
BA3180	8.61968837224666	9.11460476788528
BA3255	8.2409408040855	8.64449262965366
BA3438	7.72809482559201	9.3735473533766
BA3345	6.04484767922597	7.67751428719864
BA3403	6.73865750312275	8.41372261793503
BA3431	6.71095851013656	7.86519796261888
BA3181	7.55754763062472	8.39960495989321
BA3341	7.61949698331246	7.99413751864958
BA3191	7.63278489020753	8.36494157515656
BA3197	8.25764420926654	8.97829037472744
BA3448	7.76884228347361	9.08494318011795
BA3453	7.46894970580743	8.80867768640892
BA3406	7.83268389248944	8.79635277497105
BA3308	9.19120372633416	9.38675693832204
BA3186	7.58065740201547	8.48399844841995
BA3334	7.29431703031285	8.7214605815193
BA3447	7.14687001357008	9.60422004710875
BA3116	6.41947371786185	8.70401585675217
BA3280	8.5529001392332	9.25110414260315
BA3185	6.25854276374572	8.5373170330564
BA3094	6.2379984984627	8.59798330037588
BA3318	6.87212018212394	8.47663077360064
BA3216	8.0760787079227	8.8879736022598
BA3332	7.93502206043898	9.36916799017741
BA3214	6.59838838471777	9.51245452204643
BA3099	8.79635277497105	8.8717935877338
BA3141	8.19611264417946	9.43158515365849
BA3373	7.42090370210596	8.78108213178214
BA3319	7.37299295258264	7.51413414557592
BA3328	7.97388709664949	8.07971165578759
BA3339	5.72866766844001	8.07425460403884
BA3240	8.17822710034905	8.97485330936457
BA3142	9.10341841676742	8.62516478231551
BA3333	8.32449794408229	8.98864564355709
BA3381	7.30768711424343	8.18217944661747
BA3290	7.12664090320603	8.25344779136567
BA3207	7.10693286579065	7.11965805588277
BA3296	6.1842076331656	7.05061628699762
BA3305	7.53093612416627	8.59260663428802
BA3434	8.49908497066643	9.18338030789918
BA3189	8.68106286594684	8.87824586229709
BA3264	8.41846114844672	8.69536777456055
BA3329	6.64579190444665	9.45616130594571
BA3417	6.54307132156237	8.57925061313916
BA3367	6.70309367478267	7.38257507273258
BA3225	7.07025966230358	6.41555515164963
BA3183	7.92699657991781	8.88148184246882
BA3222	6.58940815390926	8.70401585675217
BA3139	8.70874486254081	7.46894970580743
BA3397	8.06884590575294	6.732801148639
BA3311	7.08368088883067	7.04704814373678
BA3422	7.98898804212453	9.02011485988608
BA3228	8.3972661940189	8.92415796681604
BA3213	8.09251475928632	8.62516478231551
BA3270	7.18474506245045	8.31787605128572
BA3415	8.672544374331	7.56784611916855
BA3324	7.65148276489013	8.5607551950315
BA3194	6.92239609110895	8.68106286594684
BA3335	8.6697155276332	8.19211577067672
BA3199	7.41600983782201	9.4000752436972
BA3326	5.81007696621955	8.22036612888066
BA3285	8.42744390017979	7.61362919863888
BA3297	8.1981158996604	8.05288390011611
BA3227	8.99211218550823	8.79022656584331
BA3394	7.13831231065164	9.39118419839355
BA3412	5.20189485084995	7.81249915728454
BA3293	9.22062772367926	8.85123237146193
BA3250	7.63755645913212	7.96260346447077
BA3177	8.54508752883457	8.77199110438686
BA3315	7.10534081557561	8.34906675857089
BA3182	7.62683244469809	7.94936162159169
BA3260	6.00431982068801	7.42825345365406
BA3369	7.84567146798846	8.66407371953991
BA3078	8.29355254161206	8.96297616127633
BA3386	9.19512951707567	8.89776108628452
BA3445	7.26066025557169	8.25135474465914
BA3452	7.46577618872004	8.77199110438686
BA3176	8.00107447892983	9.21490111990201
BA3258	6.64862107605335	7.18983138735934
BA3295	7.58290428004672	8.05972702484149
