	PTPN11	SF3B1
BA2000	18.33296095742878	5.868488939678021
BA2003	7.823075791431777	2.198908352987511
BA2004	23.47420820016641	4.138880806726062
BA2006	1.599279212987121	2.325123064804804
BA2011	9.225160864995647	0.1380198320917367
BA2019	25.598812631833862	2.591253168618399
BA2020	31.59595324254756	3.566717303735739
BA2022	27.51591386957487	1.6333312272570373
BA2023	11.535227276580512	0.695618182813505
BA2024	13.850349536088828	2.2570122608614995
BA2025	25.182250566504557	1.0662814523867092
BA2031	17.168571781077897	4.244904914836965
BA2032	15.901849480276256	0.544077751470832
BA2033	18.392220963768025	0.5207126749297848
BA2034	16.75767370192132	3.739892901838597
BA2035	26.829544816139027	6.2327003775731
BA2036	21.002511009591736	9.325854998547795
BA2037	41.28393670453848	5.232376171077262
BA2041	20.85594645881212	0.8686250591145965
BA2044	18.514651646389066	2.7103441419906
BA2046	17.74777341783675	0.0966780257929719
BA2047	23.775755698786437	2.5434799755482262
BA2050	14.032474625170588	1.5773960837625316
BA2051	23.501722762533824	1.9603346228298677
BA2052	19.346997032607323	2.2125302187734275
BA2053	13.034239391027915	0.5596398153343644
BA2054	15.071847659067448	2.902457441292173
BA2055	1.0119939151741806	1.3580618091575545
BA2063	14.18531242809262	1.0228629180029227
BA2065	23.213042788974004	3.3052441831997457
BA2066	27.549712577286414	1.1212745563173925
BA2068	15.169594363553628	1.42080896899582
BA2069	19.64144687919452	1.6861525559554815
BA2072	12.509935270285276	0.7505739552112843
BA2079	8.072035025066661	0.6569010874044472
BA2080	14.96790543407779	0.7577356790613439
BA2081	15.613771421052876	1.987437057210764
BA2082	16.516465158266154	0.0575538570088242
BA2087	14.418054675323518	1.0741895787999471
BA2088	24.432406247519264	1.1964608794427185
BA2089	26.42817527039773	2.2429851844755566
BA2093	24.761557552881506	2.504220728960906
BA2094	22.84219653932653	4.874152863123288
BA2095	22.24726061747656	2.000770656654821
BA2096	9.782062235194408	1.4035218689792446
BA2097	29.00078867269143	5.529201492957189
BA2098	4.89760845693884	3.7885589952267344
BA2100	12.578431475402214	0.3885650929638804
BA2101	12.241955188427031	1.4843159585840475
BA2104	9.678008579946416	1.4249106856380802
BA2106	11.404555741858657	2.635120076761539
BA2109	10.752236348741445	0.1013629278870352
BA2110	9.173325205003731	1.195629336654395
BA2113	24.25003415351566	1.3489537058579335
BA2116	34.54667256955986	0.7321046849173004
BA2121	24.484211565819702	0.9023855229683968
BA2122	8.187921438696502	0.6417203906201293
BA2123	32.82053187434948	3.840240130713588
BA2124	17.461741457522745	5.547385135207057
BA2125	26.753085869426155	3.133815191424848
BA2132	20.169400258241318	2.629895091549692
BA2133	9.257241245749476	1.889343444020188
BA2134	11.564212451003634	1.3858377241602684
BA2135	16.330691859452898	1.0282469461893704
BA2139	11.507169535521824	2.3384103077608533
BA2143	20.26836326082831	0.7740416288409281
BA2148	15.675843108585529	0.0754874236072144
BA2153	24.095696669288905	5.116721417047205
BA2155	13.399294045807633	0.0402624383953675
BA2156	16.931888260327074	2.5846917601475625
BA2162	23.524442921627767	5.054337551568456
BA2163	32.49912164853597	4.424902398189839
BA2168	13.863873737481438	2.459866336385243
BA2169	30.814991909118284	2.2605231584757783
BA2171	23.18947927011344	3.878938050944237
BA2172	16.795517788395873	0.1033096950979363
BA2174	23.163838646228943	4.125021798269824
BA2175	22.39949600661436	1.6714606133319954
BA2184	39.81395373361203	10.628341810860665
BA2195	14.438988301694582	0.8517477544056531
BA2198	24.498350035075635	9.032062076788913
BA2200	27.20417627027473	5.909373552547744
BA2201	10.05949923649511	0.7405867057165145
BA2209	22.20851929911572	1.939924439760896
BA2211	21.02631899069189	3.478055240024269
