	ASXL1	PTPN11
BA2000	0.0156650526915408	18.33296095742878
BA2003	0.0155226431216177	7.823075791431777
BA2004	0.0254913130162346	23.47420820016641
BA2006	0.0561093705497009	1.599279212987121
BA2011	0.0160922814013101	9.225160864995647
BA2019	0.0243520364568499	25.598812631833862
BA2020	0.0357448020506978	31.59595324254756
BA2022	0.021646254628311	27.51591386957487
BA2023	0.0109655368840786	11.535227276580512
BA2024	0.0190828823696952	13.850349536088828
BA2025	0.015949871831387	25.182250566504557
BA2031	0.0135289091426943	17.168571781077897
BA2032	0.0149530048419253	15.901849480276256
BA2033	0.0229279407576189	18.392220963768025
BA2034	0.026060951295927	16.75767370192132
BA2035	0.0195101110794645	26.829544816139027
BA2036	0.0197949302193107	21.002511009591736
BA2037	0.0299060096838507	41.28393670453848
BA2041	0.0200797493591569	20.85594645881212
BA2044	0.0152378239817715	18.514651646389066
BA2046	0.0294787809740814	17.74777341783675
BA2047	0.0254913130162346	23.775755698786437
BA2050	0.0111079464540017	14.032474625170588
BA2051	0.0209342067786955	23.501722762533824
BA2052	0.0364568499003133	19.346997032607323
BA2053	0.013101680432925	13.034239391027915
BA2054	0.0126744517231557	15.071847659067448
BA2055	0.0113927655938479	1.0119939151741806
BA2063	0.0438621475363144	14.18531242809262
BA2065	0.0190828823696952	23.213042788974004
BA2066	0.0259185417260039	27.549712577286414
BA2068	0.0156650526915408	15.169594363553628
BA2069	0.0170891483907718	19.64144687919452
BA2072	0.0111079464540017	12.509935270285276
BA2079	0.0108231273141555	8.072035025066661
BA2080	0.017373967530618	14.96790543407779
BA2081	0.0139561378524636	15.613771421052876
BA2082	0.0178011962403873	16.516465158266154
BA2087	0.0099686698946169	14.418054675323518
BA2088	0.0226431216177727	24.432406247519264
BA2089	0.0229279407576189	26.42817527039773
BA2093	0.028909142694389	24.761557552881506
BA2094	0.0168043292509256	22.84219653932653
BA2095	0.017373967530618	22.24726061747656
BA2096	0.013101680432925	9.782062235194408
BA2097	0.0350327542010823	29.00078867269143
BA2098	0.0118199943036172	4.89760845693884
BA2100	0.0136713187126174	12.578431475402214
BA2101	0.027485046995158	12.241955188427031
BA2104	0.0078325263457704	9.678008579946416
BA2106	0.0160922814013101	11.404555741858657
BA2109	0.0121048134434634	10.752236348741445
BA2110	0.0099686698946169	9.173325205003731
BA2113	0.0313301053830817	24.25003415351566
BA2116	0.0273426374252349	34.54667256955986
BA2121	0.0250640843064653	24.484211565819702
BA2122	0.0093990316149245	8.187921438696502
BA2123	0.0227855311876958	32.82053187434948
BA2124	0.0197949302193107	17.461741457522745
BA2125	0.0186556536599259	26.753085869426155
BA2132	0.0225007120478496	20.169400258241318
BA2133	0.0262033608658501	9.257241245749476
BA2134	0.008686983765309	11.564212451003634
BA2135	0.0264881800056963	16.330691859452898
BA2139	0.0089718029051552	11.507169535521824
BA2143	0.0176587866704642	20.26836326082831
BA2148	0.013101680432925	15.675843108585529
BA2153	0.0196525206493876	24.095696669288905
BA2155	0.0163771005411563	13.399294045807633
BA2156	0.0186556536599259	16.931888260327074
BA2162	0.0172315579606949	23.524442921627767
BA2163	0.0212190259185417	32.49912164853597
BA2168	0.0139561378524636	13.863873737481438
BA2169	0.0233551694673882	30.814991909118284
BA2171	0.0259185417260039	23.18947927011344
BA2172	0.0133864995727712	16.795517788395873
BA2174	0.0189404727997721	23.163838646228943
BA2175	0.0294787809740814	22.39949600661436
BA2184	0.0398746795784676	39.81395373361203
BA2195	0.0156650526915408	14.438988301694582
BA2198	0.0153802335516946	24.498350035075635
BA2200	0.0293363714041583	27.20417627027473
BA2201	0.0092566220450014	10.05949923649511
BA2209	0.0582455140985474	22.20851929911572
BA2211	0.0270578182853887	21.02631899069189
BA2212	0.0182284249501566	16.10636029935567
BA2217	0.0242096268869268	17.405562540348775
BA2218	0.0155226431216177	6.878393864241168
BA2220	0.0135289091426943	20.14637088171025
BA2221	0.0138137282825405	13.92990006687362
BA2224	0.0146681857020791	15.825637213283208
BA2226	0.0320421532326972	35.989485894319195
BA2227	0.0344631159213899	20.910382367639677
BA2228	0.0283395044146966	31.927487025931413
BA2229	0.04044431785816	23.056486557637434
BA2233	0.0209342067786955	11.761458404505191
BA2234	0.0183708345200797	24.054342043995
BA2235	0.0136713187126174	17.067020253453286
BA2236	0.015949871831387	17.314869257465272
BA2239	0.0108231273141555	12.77104820432132
BA2240	0.0242096268869268	33.17334597209446
BA2242	0.0276274565650811	15.237455455980948
BA2244	0.0162346909712332	16.925820528737685
BA2245	0.0193677015095414	27.47398546311995
BA2248	0.0122472230133865	18.155268511562515
BA2249	0.0249216747365422	19.97463299408348
BA2251	0.0206493876388493	24.14242187116462
BA2256	0.0166619196810025	21.401582298666927
BA2260	0.0111079464540017	15.232493343082629
BA2261	0.0123896325833095	13.631458148123675
BA2269	0.0074052976360011	7.328556613973234
BA2271	0.0207917972087724	23.98460277768552
BA2272	0.0146681857020791	13.50913898194892
BA2273	0.0200797493591569	21.07546663553913
BA2275	0.0300484192537738	31.218741695811683
BA2276	0.0116775847336941	9.934136281708742
BA2277	0.0227855311876958	29.221652377436328
BA2280	0.0358872116206209	36.38874163228378
BA2281	0.0200797493591569	24.831129720843258
BA2282	0.0166619196810025	10.789451974244848
BA2286	0.0179436058103104	19.38545941760825
BA2288	0.0236399886072344	12.094613771990195
BA2292	0.0182284249501566	17.152450737298953
BA2294	0.0206493876388493	18.795163976802144
BA2296	0.0220734833380803	22.58795543731145
BA2300	0.0259185417260039	43.71814488147894
BA2301	0.0192252919396183	17.314482693030055
BA2302	0.0226431216177727	15.142153148377648
