	PTPN11	KRAS
BA2000	18.33296095742878	3.3836971111243868
BA2003	7.823075791431777	4.014852183319062
BA2004	23.47420820016641	7.518035805741788
BA2006	1.599279212987121	1.4759602284637354
BA2011	9.225160864995647	2.9764702068721984
BA2019	25.598812631833862	5.160280820392373
BA2020	31.59595324254756	4.544994361851094
BA2022	27.51591386957487	5.324298133885895
BA2023	11.535227276580512	1.835144329336911
BA2024	13.850349536088828	3.245164654062419
BA2025	25.182250566504557	4.368893180026906
BA2031	17.168571781077897	3.2522855283888856
BA2032	15.901849480276256	5.730829491703615
BA2033	18.392220963768025	5.173527870541233
BA2034	16.75767370192132	3.914876856324424
BA2035	26.829544816139027	3.1099427952431493
BA2036	21.002511009591736	6.121214630742673
BA2037	41.28393670453848	4.675090272102132
BA2041	20.85594645881212	4.757182979338932
BA2044	18.514651646389066	3.010011912928463
BA2046	17.74777341783675	4.929163679288072
BA2047	23.775755698786437	4.291588003374781
BA2050	14.032474625170588	2.1958664129994023
BA2051	23.501722762533824	13.932897428776403
BA2052	19.346997032607323	11.076830685833263
BA2053	13.034239391027915	7.179162326710417
BA2054	15.071847659067448	1.88397156875176
BA2055	1.0119939151741806	0.5163086932955492
BA2063	14.18531242809262	11.878742352338724
BA2065	23.213042788974004	4.709459162983161
BA2066	27.549712577286414	4.58843490487509
BA2068	15.169594363553628	1.0796480997351472
BA2069	19.64144687919452	3.374270053532277
BA2072	12.509935270285276	3.1008031822093227
BA2079	8.072035025066661	2.7983494448591
BA2080	14.96790543407779	5.886285419771656
BA2081	15.613771421052876	2.38418961424661
BA2082	16.516465158266154	3.4924032820084148
BA2087	14.418054675323518	3.917030623224554
BA2088	24.432406247519264	7.004680788752677
BA2089	26.42817527039773	7.291872349620021
BA2093	24.761557552881506	1.7578389225148163
BA2094	22.84219653932653	7.903188528932866
BA2095	22.24726061747656	2.454555562270261
BA2096	9.782062235194408	2.1072502216250624
BA2097	29.00078867269143	9.091340105799269
BA2098	4.89760845693884	2.230917639934675
BA2100	12.578431475402214	5.275330529503402
BA2101	12.241955188427031	3.4638826169083035
BA2104	9.678008579946416	2.996660859475001
BA2106	11.404555741858657	3.161484912907255
BA2109	10.752236348741445	9.540899316685143
BA2110	9.173325205003731	2.2987931685922325
BA2113	24.25003415351566	2.6364578427557768
BA2116	34.54667256955986	6.107357577068696
BA2121	24.484211565819702	2.2078984581122234
BA2122	8.187921438696502	3.0534412888688838
BA2123	32.82053187434948	4.506886381838011
BA2124	17.461741457522745	3.484952671872221
BA2125	26.753085869426155	5.652914133071268
BA2132	20.169400258241318	5.0471863509910735
BA2133	9.257241245749476	10.65905362132722
BA2134	11.564212451003634	2.3488564434363868
BA2135	16.330691859452898	2.354831741553748
BA2139	11.507169535521824	2.5445168327484797
BA2143	20.26836326082831	1.959566124342219
BA2148	15.675843108585529	3.447503945046714
BA2153	24.095696669288905	3.28774314707458
BA2155	13.399294045807633	2.437405193862981
BA2156	16.931888260327074	2.2730237889538194
BA2162	23.524442921627767	5.712025100440885
BA2163	32.49912164853597	6.421326448173804
BA2168	13.863873737481438	2.5309999180927623
BA2169	30.814991909118284	8.12047461860416
BA2171	23.18947927011344	4.2769316901618994
BA2172	16.795517788395873	2.0611136117329
BA2174	23.163838646228943	4.468216769572149
BA2175	22.39949600661436	5.319868359290954
BA2184	39.81395373361203	4.673610193914149
BA2195	14.438988301694582	5.838200788758842
BA2198	24.498350035075635	4.103025938075901
BA2200	27.20417627027473	3.906002268152742
BA2201	10.05949923649511	2.44182533811413
BA2209	22.20851929911572	11.81900292593489
BA2211	21.02631899069189	5.353146364806439
BA2212	16.10636029935567	2.6751209524724606
BA2217	17.405562540348775	2.075613723782153
BA2218	6.878393864241168	2.8138905589044483
BA2220	20.14637088171025	7.379396044865156
BA2221	13.92990006687362	3.4063344135082656
BA2224	15.825637213283208	3.1364189861786773
BA2226	35.989485894319195	4.532593424972631
BA2227	20.910382367639677	2.636795016303624
BA2228	31.927487025931413	7.840004887881429
BA2229	23.056486557637434	10.085359778713071
BA2233	11.761458404505191	3.2547013461580097
BA2234	24.054342043995	4.264432517362912
BA2235	17.067020253453286	5.236945518023253
BA2236	17.314869257465272	3.942916396323784
BA2239	12.77104820432132	2.4852062107862314
BA2240	33.17334597209446	8.12127767437851
BA2242	15.237455455980948	5.266699574897228
BA2244	16.925820528737685	3.2606905820924705
BA2245	27.47398546311995	9.019949708299915
BA2248	18.155268511562515	2.094823306896083
BA2249	19.97463299408348	4.956301122904592
BA2251	24.14242187116462	4.624605625284379
BA2256	21.401582298666927	2.540386093792922
BA2260	15.232493343082629	4.132932782016525
BA2261	13.631458148123675	2.001472965534394
