	ASXL1	NF1
BA2000	0.0156650526915408	142.75490360837196
BA2003	0.0155226431216177	153.6363602362335
BA2004	0.0254913130162346	186.3131826561012
BA2006	0.0561093705497009	0.0
BA2011	0.0160922814013101	72.85716052294515
BA2019	0.0243520364568499	204.9947885795207
BA2020	0.0357448020506978	274.7370236131756
BA2022	0.021646254628311	126.77737922849806
BA2023	0.0109655368840786	57.57670274404444
BA2024	0.0190828823696952	129.19307576825068
BA2025	0.015949871831387	135.04261049402936
BA2031	0.0135289091426943	47.7445319683995
BA2032	0.0149530048419253	215.03490271417868
BA2033	0.0229279407576189	92.53923653042108
BA2034	0.026060951295927	153.47329527828623
BA2035	0.0195101110794645	124.98326638084282
BA2036	0.0197949302193107	238.32690231687388
BA2037	0.0299060096838507	298.2964495900539
BA2041	0.0200797493591569	135.22863046072317
BA2044	0.0152378239817715	82.04710015020497
BA2046	0.0294787809740814	144.0633694963439
BA2047	0.0254913130162346	123.2929360773152
BA2050	0.0111079464540017	95.22651628154628
BA2051	0.0209342067786955	90.68870047977845
BA2052	0.0364568499003133	110.66973675190388
BA2053	0.013101680432925	129.04169527931813
BA2054	0.0126744517231557	115.25580563960666
BA2055	0.0113927655938479	1.861283467889972
BA2063	0.0438621475363144	56.62966505689601
BA2065	0.0190828823696952	201.62135608839577
BA2066	0.0259185417260039	124.09319568255268
BA2068	0.0156650526915408	78.65829945488635
BA2069	0.0170891483907718	57.54297490294547
BA2072	0.0111079464540017	86.57166007727321
BA2079	0.0108231273141555	61.12137145648837
BA2080	0.017373967530618	157.83351245834615
BA2081	0.0139561378524636	109.72745843655122
BA2082	0.0178011962403873	81.44008518006407
BA2087	0.0099686698946169	39.44265347415752
BA2088	0.0226431216177727	122.118312008315
BA2089	0.0229279407576189	166.7588903652543
BA2093	0.028909142694389	120.06260334565768
BA2094	0.0168043292509256	80.35342502132465
BA2095	0.017373967530618	125.72932620776494
BA2096	0.013101680432925	38.14635019971428
BA2097	0.0350327542010823	274.9535971649002
BA2098	0.0118199943036172	26.433437712180453
BA2100	0.0136713187126174	66.13538217435533
BA2101	0.027485046995158	72.0511876030681
BA2104	0.0078325263457704	88.2053799306977
BA2106	0.0160922814013101	153.3726439647684
BA2109	0.0121048134434634	115.04825583911432
BA2110	0.0099686698946169	74.36471936282452
BA2113	0.0313301053830817	223.4154468177113
BA2116	0.0273426374252349	171.4319149038356
BA2121	0.0250640843064653	72.40096351612218
BA2122	0.0093990316149245	54.47294224439686
BA2123	0.0227855311876958	190.53116384213277
BA2124	0.0197949302193107	184.66017011723795
BA2125	0.0186556536599259	25.534304216960667
BA2132	0.0225007120478496	170.7127216635003
BA2133	0.0262033608658501	80.18133477228218
BA2134	0.008686983765309	49.273239517076505
BA2135	0.0264881800056963	15.131785600875178
BA2139	0.0089718029051552	41.481996912376765
BA2143	0.0176587866704642	96.97194172507986
BA2148	0.013101680432925	89.68429975044664
BA2153	0.0196525206493876	146.4827052853341
BA2155	0.0163771005411563	71.92339924235235
BA2156	0.0186556536599259	168.64129625232474
BA2162	0.0172315579606949	147.29495642603302
BA2163	0.0212190259185417	217.2043669052266
BA2168	0.0139561378524636	130.512102414608
BA2169	0.0233551694673882	178.1356567294738
BA2171	0.0259185417260039	234.8583259532597
BA2172	0.0133864995727712	185.11095536230036
BA2174	0.0189404727997721	238.4854486070038
BA2175	0.0294787809740814	31.956107621459708
BA2184	0.0398746795784676	330.1887594161088
BA2195	0.0156650526915408	94.9760301511449
BA2198	0.0153802335516946	126.84489183593952
BA2200	0.0293363714041583	253.9343726061422
BA2201	0.0092566220450014	76.38543599082593
BA2209	0.0582455140985474	207.73969039082704
BA2211	0.0270578182853887	193.69321339903547
BA2212	0.0182284249501566	150.1149855232797
BA2217	0.0242096268869268	173.74162856094
BA2218	0.0155226431216177	85.42607037036069
BA2220	0.0135289091426943	105.89447496974996
BA2221	0.0138137282825405	87.92724303286738
BA2224	0.0146681857020791	99.58333873414824
BA2226	0.0320421532326972	286.37231184395824
BA2227	0.0344631159213899	327.7142740138492
BA2228	0.0283395044146966	148.83302195542166
BA2229	0.04044431785816	230.9272500432621
BA2233	0.0209342067786955	198.79246681895413
BA2234	0.0183708345200797	133.53026760274443
BA2235	0.0136713187126174	137.30408373585547
BA2236	0.015949871831387	236.6977944710083
BA2239	0.0108231273141555	93.44595003721206
BA2240	0.0242096268869268	349.65596137257995
BA2242	0.0276274565650811	288.5091193991156
BA2244	0.0162346909712332	189.13614877568463
BA2245	0.0193677015095414	206.20598869395417
BA2248	0.0122472230133865	103.99306477060202
BA2249	0.0249216747365422	131.64751962240132
BA2251	0.0206493876388493	168.5185793587882
BA2256	0.0166619196810025	177.37594734399633
BA2260	0.0111079464540017	91.46311349201132
BA2261	0.0123896325833095	95.638364990932
BA2269	0.0074052976360011	127.34637686870389
BA2271	0.0207917972087724	178.74582923309202
BA2272	0.0146681857020791	155.30969220772613
BA2273	0.0200797493591569	82.10327672445598
BA2275	0.0300484192537738	179.28463600626125
BA2276	0.0116775847336941	77.65718078840119
BA2277	0.0227855311876958	203.6065735095337
BA2280	0.0358872116206209	384.3268511749896
BA2281	0.0200797493591569	148.70915295462936
BA2282	0.0166619196810025	67.04868900711168
BA2286	0.0179436058103104	201.80223865128715
BA2288	0.0236399886072344	132.16680416497255
BA2292	0.0182284249501566	106.58922238443596
BA2294	0.0206493876388493	154.65930575825166
BA2296	0.0220734833380803	124.91800887503584
BA2300	0.0259185417260039	127.68776719943128
BA2301	0.0192252919396183	102.8235989089254
BA2302	0.0226431216177727	143.47247258145103
BA2304	0.0085445741953859	58.26545447919322
BA2306	0.0178011962403873	191.29686259218525
BA2308	0.0186556536599259	211.6825983608057
BA2309	0.0149530048419253	67.00275595385449
BA2311	0.0150954144118484	104.19731581066932
BA2312	0.0183708345200797	156.40969992181428
BA2316	0.0108231273141555	78.52938685382075
BA2322	0.02022215892908	67.9089880251087
BA2325	0.0098262603246938	84.63892612993457
BA2329	0.0123896325833095	58.569892419639714
BA2334	0.0146681857020791	105.09829684011098
BA2339	0.0153802335516946	75.60546526741308
BA2344	0.0119624038735403	141.96156499550946
BA2347	0.0126744517231557	66.77803076811274
BA2348	0.0066932497863856	55.136801578737725
BA2350	0.0095414411848476	91.19479049601118
BA2354	0.0200797493591569	113.2548155663928
BA2355	0.0367416690401595	120.526364356186
BA2357	0.018798063229849	114.73993656372434
BA2360	0.0166619196810025	169.86331229535077
BA2361	0.0225007120478496	101.58710933354486
BA2363	0.0059812019367701	35.095611280938215
BA2369	0.0243520364568499	189.42521296233164
BA2374	0.0301908288236969	90.40492261621532
BA2375	0.0215038450583879	178.2945435585226
BA2376	0.0139561378524636	49.77597347964191
BA2377	0.0400170891483907	209.4103095988851
BA2379	0.0210766163486186	124.56604347639134
BA2385	0.0143833665622329	47.80464009196283
BA2386	0.0233551694673882	231.55889311260623
BA2387	0.0143833665622329	153.3348976809124
BA2394	0.0316149245229279	95.31685868127607
BA2399	0.0148105952720022	148.13163782499456
BA2400	0.0338934776416975	205.685906014256
BA2402	0.0197949302193107	180.8329650691468
BA2405	0.0148105952720022	79.99933475446306
BA2406	0.0155226431216177	34.71633495236259
BA2409	0.0128168612930788	129.54548333633426
BA2410	0.0234975790373113	225.8440833603437
BA2412	0.0111079464540017	36.32016613028614
BA2413	0.0197949302193107	222.15236454691257
BA2414	0.0249216747365422	198.15717400889827
BA2415	0.0078325263457704	34.29848221862546
BA2417	0.0195101110794645	114.89562170147244
BA2418	0.0113927655938479	135.68566336616163
BA2420	0.0153802335516946	92.4940177792892
BA2421	0.0155226431216177	91.31185986416747
BA2423	0.0162346909712332	84.67758172475536
BA2425	0.0183708345200797	162.79491087118302
BA2426	0.0126744517231557	55.81249060280109
BA2427	0.0160922814013101	49.06504183977397
BA2429	0.0227855311876958	151.06596918946528
BA2440	0.02022215892908	135.89464622431606
BA2441	0.0401594987183138	303.9044042244336
BA2442	0.0185132440900028	213.18153533200555
BA2446	0.0152378239817715	68.07249241660844
BA2449	0.0180860153802335	171.94192740645337
BA2450	0.02022215892908	203.05409982012395
BA2452	0.0199373397892338	193.1247259182125
BA2454	0.0263457704357732	131.56553160502267
BA2455	0.0091142124750783	82.35449417281512
BA2456	0.0197949302193107	61.180971099669165
BA2459	0.0240672173170037	87.45011280306524
BA2461	0.0249216747365422	85.85159772017813
BA2463	0.0125320421532326	41.31280183229365
BA2464	0.018798063229849	107.24054284277707
BA2469	0.0125320421532326	251.0946035683642
BA2470	0.0213614354884648	124.4127267962813
BA2472	0.0175163771005411	96.75468631074348
BA2473	0.0233551694673882	135.90179155823498
BA2474	0.0143833665622329	90.10814805826662
BA2477	0.0242096268869268	251.96199370434655
BA2479	0.0286243235545428	58.5148987250125
BA2480	0.0182284249501566	185.00097066910075
BA2481	0.01011107946454	45.24202580176599
BA2482	0.0142409569923098	179.89138144862451
BA2483	0.0182284249501566	170.9383763555678
BA2485	0.015949871831387	174.4791578442435
BA2488	0.0178011962403873	125.0322329857764
BA2489	0.0149530048419253	60.39576113585825
BA2492	0.0119624038735403	63.18416194926038
BA2494	0.024636855596696	95.09040528581576
BA2496	0.0082597550555397	45.25937170899411
BA2497	0.0106807177442324	42.28054193054178
BA2499	0.0139561378524636	101.23626725514532
BA2500	0.0283395044146966	199.5066088787393
BA2501	0.0243520364568499	120.03527020920772
BA2502	0.0125320421532326	129.68288700469952
BA2505	0.0132440900028481	175.77268062103064
BA2507	0.0210766163486186	148.35611675642977
BA2510	0.013101680432925	37.039426921791566
BA2511	0.0166619196810025	43.14309877006726
BA2512	0.0250640843064653	84.18061058654125
BA2514	0.0213614354884648	136.22047089526455
BA2515	0.0116775847336941	63.079763869883294
BA2520	0.0142409569923098	91.07509546057814
BA2521	0.0210766163486186	188.9495712148245
BA2523	0.0139561378524636	231.1519510714657
BA2524	0.0118199943036172	89.18268298048588
BA2525	0.0408715465679293	33.4185441002891
BA2526	0.0206493876388493	193.6457426221941
BA2528	0.0217886641982341	156.4198357593167
BA2532	0.0225007120478496	136.4370444751564
BA2534	0.0213614354884648	252.0719388356896
BA2538	0.0270578182853887	163.56922986240653
BA2539	0.0136713187126174	89.42632790129001
BA2540	0.0109655368840786	102.9294284547094
BA2541	0.0136713187126174	65.6930492624528
BA2545	0.018798063229849	93.36255824417232
BA2546	0.0128168612930788	68.15655886655676
BA2552	0.0290515522643121	371.11845971912896
BA2559	0.017373967530618	139.1365522105781
BA2561	0.0098262603246938	39.73792927932083
BA2563	0.0212190259185417	174.09947387656885
BA2564	0.0112503560239248	85.07499451835139
BA2567	0.0205069780689262	30.7649353050662
BA2570	0.0233551694673882	289.1494765836638
BA2575	0.0074052976360011	49.55685552128676
BA2577	0.0210766163486186	118.70210933626588
BA2579	0.0290515522643121	141.5662109630884
BA2583	0.021646254628311	175.38868962690978
BA2584	0.0197949302193107	57.36722309793788
BA2587	0.0229279407576189	156.35443522543525
BA2588	0.0205069780689262	190.10730529365503
BA2589	0.0328966106522358	160.10103382389008
BA2592	0.0300484192537738	206.67516523469448
BA2593	0.0126744517231557	0.131948509740975
BA2594	0.013101680432925	115.70215184308827
BA2595	0.014525776132156	39.45864383623836
BA2597	0.0133864995727712	97.936434541528
BA2600	0.0166619196810025	183.1853616101156
BA2603	0.0166619196810025	132.7224555535752
BA2618	0.0180860153802335	125.13469547601136
BA2619	0.0133864995727712	65.80756208405029
BA2620	0.0111079464540017	136.00222939519455
BA2621	0.0166619196810025	163.23017498489295
BA2622	0.0219310737681572	121.40379419765218
BA2623	0.0243520364568499	201.24225278348143
BA2629	0.0237823981771575	40.404138271266014
BA2631	0.0165195101110794	109.59519540707544
BA2634	0.0148105952720022	178.5576422875698
BA2636	0.0146681857020791	119.06478603350848
BA2639	0.0195101110794645	180.8138917906739
BA2644	0.0178011962403873	91.2566416483229
BA2645	0.0209342067786955	76.16513839589086
BA2646	0.0247792651666191	159.00708462304976
BA2649	0.0197949302193107	103.47973972281912
BA2651	0.0126744517231557	69.82136680760968
BA2653	0.0269154087154656	97.22040551437576
BA2655	0.0377385360296211	274.1036597231043
BA2656	0.0135289091426943	91.65100885209748
BA2657	0.0175163771005411	109.05733959704034
BA2658	0.024494446026773	130.20636621989172
BA2659	0.0142409569923098	84.44632986861905
BA2660	0.0093990316149245	89.78421103698174
BA2662	0.0162346909712332	62.0646160314211
BA2663	0.017373967530618	135.66967309315947
BA2667	0.0155226431216177	131.0534229598689
BA2670	0.0140985474223867	162.34339961552118
BA2674	0.0220734833380803	147.0979160005437
BA2675	0.0155226431216177	171.949167646683
BA2676	0.0150954144118484	91.48180314484172
BA2677	0.0170891483907718	161.03891322846772
BA2681	0.0093990316149245	70.04019857231029
BA2682	0.0132440900028481	109.11172435395687
BA2685	0.0309028766733124	163.1492191604278
BA2688	0.0229279407576189	25.648700935483525
BA2691	0.0162346909712332	110.47005559851227
BA2694	0.0189404727997721	78.54970935159275
