	PTPN11	ASXL1
BA2000	18.33296095742878	0.0156650526915408
BA2003	7.823075791431777	0.0155226431216177
BA2004	23.47420820016641	0.0254913130162346
BA2006	1.599279212987121	0.0561093705497009
BA2011	9.225160864995647	0.0160922814013101
BA2019	25.598812631833862	0.0243520364568499
BA2020	31.59595324254756	0.0357448020506978
BA2022	27.51591386957487	0.021646254628311
BA2023	11.535227276580512	0.0109655368840786
BA2024	13.850349536088828	0.0190828823696952
BA2025	25.182250566504557	0.015949871831387
BA2031	17.168571781077897	0.0135289091426943
BA2032	15.901849480276256	0.0149530048419253
BA2033	18.392220963768025	0.0229279407576189
BA2034	16.75767370192132	0.026060951295927
BA2035	26.829544816139027	0.0195101110794645
BA2036	21.002511009591736	0.0197949302193107
BA2037	41.28393670453848	0.0299060096838507
BA2041	20.85594645881212	0.0200797493591569
BA2044	18.514651646389066	0.0152378239817715
BA2046	17.74777341783675	0.0294787809740814
BA2047	23.775755698786437	0.0254913130162346
BA2050	14.032474625170588	0.0111079464540017
BA2051	23.501722762533824	0.0209342067786955
BA2052	19.346997032607323	0.0364568499003133
BA2053	13.034239391027915	0.013101680432925
BA2054	15.071847659067448	0.0126744517231557
BA2055	1.0119939151741806	0.0113927655938479
BA2063	14.18531242809262	0.0438621475363144
BA2065	23.213042788974004	0.0190828823696952
BA2066	27.549712577286414	0.0259185417260039
BA2068	15.169594363553628	0.0156650526915408
BA2069	19.64144687919452	0.0170891483907718
BA2072	12.509935270285276	0.0111079464540017
BA2079	8.072035025066661	0.0108231273141555
BA2080	14.96790543407779	0.017373967530618
BA2081	15.613771421052876	0.0139561378524636
BA2082	16.516465158266154	0.0178011962403873
BA2087	14.418054675323518	0.0099686698946169
BA2088	24.432406247519264	0.0226431216177727
BA2089	26.42817527039773	0.0229279407576189
BA2093	24.761557552881506	0.028909142694389
BA2094	22.84219653932653	0.0168043292509256
BA2095	22.24726061747656	0.017373967530618
BA2096	9.782062235194408	0.013101680432925
BA2097	29.00078867269143	0.0350327542010823
BA2098	4.89760845693884	0.0118199943036172
BA2100	12.578431475402214	0.0136713187126174
BA2101	12.241955188427031	0.027485046995158
BA2104	9.678008579946416	0.0078325263457704
BA2106	11.404555741858657	0.0160922814013101
BA2109	10.752236348741445	0.0121048134434634
BA2110	9.173325205003731	0.0099686698946169
BA2113	24.25003415351566	0.0313301053830817
BA2116	34.54667256955986	0.0273426374252349
BA2121	24.484211565819702	0.0250640843064653
BA2122	8.187921438696502	0.0093990316149245
BA2123	32.82053187434948	0.0227855311876958
BA2124	17.461741457522745	0.0197949302193107
BA2125	26.753085869426155	0.0186556536599259
BA2132	20.169400258241318	0.0225007120478496
BA2133	9.257241245749476	0.0262033608658501
BA2134	11.564212451003634	0.008686983765309
BA2135	16.330691859452898	0.0264881800056963
BA2139	11.507169535521824	0.0089718029051552
BA2143	20.26836326082831	0.0176587866704642
BA2148	15.675843108585529	0.013101680432925
BA2153	24.095696669288905	0.0196525206493876
BA2155	13.399294045807633	0.0163771005411563
BA2156	16.931888260327074	0.0186556536599259
BA2162	23.524442921627767	0.0172315579606949
BA2163	32.49912164853597	0.0212190259185417
BA2168	13.863873737481438	0.0139561378524636
BA2169	30.814991909118284	0.0233551694673882
BA2171	23.18947927011344	0.0259185417260039
BA2172	16.795517788395873	0.0133864995727712
BA2174	23.163838646228943	0.0189404727997721
BA2175	22.39949600661436	0.0294787809740814
BA2184	39.81395373361203	0.0398746795784676
BA2195	14.438988301694582	0.0156650526915408
BA2198	24.498350035075635	0.0153802335516946
BA2200	27.20417627027473	0.0293363714041583
BA2201	10.05949923649511	0.0092566220450014
BA2209	22.20851929911572	0.0582455140985474
BA2211	21.02631899069189	0.0270578182853887
BA2212	16.10636029935567	0.0182284249501566
BA2217	17.405562540348775	0.0242096268869268
