	SRSF2	NRAS
BA2000	8.232855850924276	5.043675734302264
BA2003	9.4977144739766	10.560686431397826
BA2004	5.562522945896354	4.441235364145998
BA2006	4.6626359318395725	6.575705504189619
BA2011	8.33948154257171	6.488344675152857
BA2019	9.757790556231546	7.803800858255831
BA2020	24.05614468586043	10.709729421914986
BA2022	13.76175498824985	8.019621620352721
BA2023	6.170959052505648	4.375188854380848
BA2024	13.562153332917909	5.175163513879563
BA2025	8.058465426519131	6.074731218320892
BA2031	5.276629236644825	4.219114009776729
BA2032	4.763443017170353	8.583705251658827
BA2033	22.143794608866745	21.634045078260016
BA2034	10.006225712329805	9.198614997934929
BA2035	6.202410726195026	6.8581726405028185
BA2036	8.19574270719942	5.895456678640012
BA2037	11.49048044339966	8.474187163433587
BA2041	12.869687030810905	10.108074498986811
BA2044	8.48685376064178	4.7535644907408665
BA2046	9.108705272546237	9.160481901497343
BA2047	13.306666081934658	7.613271283589593
BA2050	9.513319286237095	4.103686476329206
BA2051	8.14805311574689	20.82227021965971
BA2052	8.873809201356487	8.803722359895055
BA2053	7.462370487579332	9.031640140409914
BA2054	10.430588127973053	3.633549237992189
BA2055	4.345256847097649	1.6282099596913011
BA2063	9.467873645094436	5.453141679979542
BA2065	6.373759297739962	7.008120709963036
BA2066	15.800296299117967	10.10974543956892
BA2068	18.355853161765303	6.301531117480288
BA2069	10.278331861243649	5.418720571825874
BA2072	5.902058256500613	3.975963751875416
BA2079	7.640222263953134	3.637880412457246
BA2080	9.191369278339211	10.09782677520544
BA2081	6.928636469183807	4.296904604494646
BA2082	8.40840134006508	11.946301068824308
BA2087	5.677796869229128	9.334338474733304
BA2088	11.410047337328768	13.1502236881413
BA2089	11.89864820678787	13.279025182733749
BA2093	5.464961303565389	3.900351353768402
BA2094	12.051205054450586	9.744641884173047
BA2095	8.463544127567214	6.152794819771235
BA2096	15.000673563143634	6.715911213656165
BA2097	17.792688397965705	13.917958079878336
BA2098	6.655929889318163	10.387971166225924
BA2100	3.718527822597228	4.6475452234853565
BA2101	8.1501091842613	6.084070489319454
BA2104	1.8852928899651	5.135247990444217
BA2106	7.204307756577358	10.134436245830772
BA2109	6.833888850170134	7.168784406456207
BA2110	3.806471086714524	3.345155971053532
BA2113	15.929650625391014	7.355297822797085
BA2116	6.781050008997795	11.5696457912037
BA2121	11.980554744241596	8.496779176483521
BA2122	5.858690587057699	4.026122374469674
BA2123	11.59072875024918	14.704105196105951
BA2124	16.611280928331222	5.235737433920034
BA2125	7.921142108252018	6.58007623618558
BA2132	13.946291139079216	7.287418557176935
BA2133	7.478491218664673	5.569103779560801
BA2134	4.036120566317373	3.1951470189520976
BA2135	20.82611375867676	10.07866878646148
BA2139	4.621744593017676	3.987310125081623
BA2143	8.73803235454996	11.295737558973652
BA2148	3.778912883468327	7.237628309278444
BA2153	7.671001886855401	7.725737990865466
BA2155	9.35317182362659	4.1905827771309205
BA2156	8.002415187656146	4.879492323703967
BA2162	8.849822115908271	4.131192099621418
BA2163	7.4857757015311535	7.40084545361058
BA2168	8.310485926369557	5.304324475960764
BA2169	8.737420101785885	8.809693564752845
BA2171	13.647857183453524	7.35983570213583
BA2172	6.624084898239265	7.799454036850744
BA2174	11.368590659871236	5.846511858146845
BA2175	16.88810084545601	12.59926604192168
BA2184	21.24939692545412	14.021418300866742
BA2195	7.23243772301538	8.728201249493587
BA2198	6.568389703284435	6.621456516309619
BA2200	22.72786822849741	7.825270796632329
BA2201	4.323026570237881	3.210905042782101
BA2209	6.408519354938519	13.608094661958637
BA2211	16.55230428257159	6.499249306980105
BA2212	10.236633063274152	8.737816618242173
BA2217	13.496358315863404	5.215639002629361
BA2218	12.93380471935965	9.040140075502665
BA2220	9.724200374077704	6.568462036017965
BA2221	7.3819992501371905	6.168651920425615
BA2224	8.450169624197642	5.262801542565956
BA2226	20.690926999003683	13.813418165213225
BA2227	22.4026748068776	14.655231252770625
BA2228	12.36714192755575	13.848825906875648
BA2229	10.30418039139401	10.823771025224463
BA2233	9.331255815320716	8.992461331969217
BA2234	10.042322926937322	7.927532448144326
BA2235	6.150150874326986	5.807526607623976
BA2236	6.349187771730446	5.421816667461279
BA2239	3.990381066613173	3.623346886499976
BA2240	11.81329733557186	12.666749870098409
BA2242	12.622925169745704	6.392837846825661
BA2244	8.685425007509856	5.764306175984613
BA2245	7.892885598424514	6.29602671469508
BA2248	7.032545897351294	6.139345604158139
BA2249	12.922706504656714	8.565036261731409
BA2251	8.235124274376565	9.824081940256818
BA2256	10.70430699737524	9.382877083579444
BA2260	6.82488810159893	5.080990281668714
BA2261	4.481930297566593	4.797652161882078
BA2269	2.974267049947534	3.8558379466002592
BA2271	12.268896653926028	12.214789116709204
BA2272	8.740305014970993	5.075306755798043
BA2273	13.281240851317271	7.741660973665951
BA2275	15.467941519326764	9.36840960870265
BA2276	7.392346085673904	5.21724058926059
BA2277	12.43586729245932	8.740148523778734
BA2280	20.29568025661283	14.318248858664116
BA2281	6.894733065138713	7.249787793480649
BA2282	7.732555617772172	3.9354517472565504
BA2286	6.7743114544895136	7.059774929748949
BA2288	9.746257016854276	5.030989192075231
BA2292	10.979030068640542	11.60869444588134
BA2294	9.96181839846229	5.909367305235669
BA2296	12.911623781720358	7.903710370609955
BA2300	18.75620070168782	9.118918702903615
BA2301	10.356558085101655	10.608034425539255
BA2302	7.71625786338462	8.506829643624565
BA2304	5.045093600102256	3.867613301263115
