	IDH2	ASXL1
BA2000	14.422731030738287	0.0156650526915408
BA2003	10.46101506681968	0.0155226431216177
BA2004	9.507336591024076	0.0254913130162346
BA2006	26.777386813756333	0.0561093705497009
BA2011	7.147394464393686	0.0160922814013101
BA2019	23.781624279667813	0.0243520364568499
BA2020	27.28690260245067	0.0357448020506978
BA2022	14.441530004072115	0.021646254628311
BA2023	9.587146929256283	0.0109655368840786
BA2024	12.981804439837608	0.0190828823696952
BA2025	17.1028831797036	0.015949871831387
BA2031	6.306251311097126	0.0135289091426943
BA2032	13.565881859351672	0.0149530048419253
BA2033	7.848218758869187	0.0229279407576189
BA2034	10.049705697256874	0.026060951295927
BA2035	21.183551129702984	0.0195101110794645
BA2036	11.461498167548957	0.0197949302193107
BA2037	15.171875886918643	0.0299060096838507
BA2041	30.11400745320154	0.0200797493591569
BA2044	10.677692222263357	0.0152378239817715
BA2046	20.178799096731208	0.0294787809740814
BA2047	13.89890978417799	0.0254913130162346
BA2050	17.437158035020172	0.0111079464540017
BA2051	9.83758005404805	0.0209342067786955
BA2052	17.653766087932972	0.0364568499003133
BA2053	11.668629918927923	0.013101680432925
BA2054	11.488037241328248	0.0126744517231557
BA2055	24.438431495946396	0.0113927655938479
BA2063	10.27777921741384	0.0438621475363144
BA2065	19.72439504436136	0.0190828823696952
BA2066	14.082868125223657	0.0259185417260039
BA2068	16.999299719887954	0.0156650526915408
BA2069	12.776817951850344	0.0170891483907718
BA2072	8.738209380668568	0.0111079464540017
BA2079	4.94197608558842	0.0108231273141555
BA2080	26.872454620614768	0.017373967530618
BA2081	14.33772689692617	0.0139561378524636
BA2082	26.84404484260665	0.0178011962403873
BA2087	23.791262231764957	0.0099686698946169
BA2088	15.483937363491652	0.0226431216177727
BA2089	14.463697108799463	0.0229279407576189
BA2093	14.93406816471082	0.028909142694389
BA2094	24.68671935734646	0.0168043292509256
BA2095	18.687929885610632	0.017373967530618
BA2096	27.095028936684805	0.013101680432925
BA2097	27.9884672811856	0.0350327542010823
BA2098	23.699586618788487	0.0118199943036172
BA2100	8.689808610668937	0.0136713187126174
BA2101	9.355504139981983	0.027485046995158
BA2104	8.624427127679265	0.0078325263457704
BA2106	18.442794827181974	0.0160922814013101
BA2109	11.647775145300413	0.0121048134434634
BA2110	3.519763940818618	0.0099686698946169
BA2113	16.848654351608484	0.0313301053830817
BA2116	5.472876022655759	0.0273426374252349
BA2121	15.662007181727317	0.0250640843064653
BA2122	6.435605079036021	0.0093990316149245
BA2123	35.42314811387111	0.0227855311876958
BA2124	22.243799281827272	0.0197949302193107
BA2125	11.7698077468873	0.0186556536599259
BA2132	22.34068288108195	0.0225007120478496
BA2133	5.938149532940931	0.0262033608658501
BA2134	8.097201347499352	0.008686983765309
BA2135	13.593541998297116	0.0264881800056963
BA2139	3.913932180801836	0.0089718029051552
BA2143	14.877437406680736	0.0176587866704642
BA2148	5.140954355310407	0.013101680432925
BA2153	9.1939529115611	0.0196525206493876
BA2155	12.58780031836523	0.0163771005411563
BA2156	16.009587976159626	0.0186556536599259
BA2162	7.1127339922753245	0.0172315579606949
BA2163	16.248279223583705	0.0212190259185417
BA2168	16.857940621182394	0.0139561378524636
BA2169	26.309464578783054	0.0233551694673882
BA2171	16.37407853009045	0.0259185417260039
BA2172	27.76005626920372	0.0133864995727712
BA2174	14.86361381557028	0.0189404727997721
BA2175	22.649483581979048	0.0294787809740814
BA2184	47.44985994397759	0.0398746795784676
BA2195	19.065947876948137	0.0156650526915408
BA2198	11.834580880810472	0.0153802335516946
BA2200	18.565741186342372	0.0293363714041583
BA2201	6.921861696220339	0.0092566220450014
BA2209	18.437230222485475	0.0582455140985474
BA2211	23.40375313120843	0.0270578182853887
BA2212	20.00714285714286	0.0182284249501566
BA2217	22.015475881982745	0.0242096268869268
BA2218	8.766187267858685	0.0155226431216177
BA2220	15.861102061970165	0.0135289091426943
BA2221	19.080722244845077	0.0138137282825405
BA2224	10.531453374301265	0.0146681857020791
BA2226	17.43460185836449	0.0320421532326972
BA2227	23.06404632337517	0.0344631159213899
BA2228	22.90205086439863	0.0283395044146966
BA2229	16.56234590752601	0.04044431785816
BA2233	18.54880057749972	0.0209342067786955
BA2234	14.453906760942262	0.0183708345200797
BA2235	10.474773257320548	0.0136713187126174
BA2236	9.022932168462098	0.015949871831387
BA2239	6.882286306593123	0.0108231273141555
BA2240	15.0181412653167	0.0242096268869268
BA2242	21.07878984192796	0.0276274565650811
BA2244	7.338727649650169	0.0162346909712332
BA2245	17.735584718468886	0.0193677015095414
BA2248	12.607627808832785	0.0122472230133865
BA2249	4.866595713175138	0.0249216747365422
BA2251	32.72111020619702	0.0206493876388493
BA2256	23.83729253816064	0.0166619196810025
BA2260	11.75933994743272	0.0111079464540017
BA2261	4.726779698663607	0.0123896325833095
BA2269	2.3715334591986577	0.0074052976360011
BA2271	16.915121731511988	0.0207917972087724
BA2272	7.111376004146153	0.0146681857020791
BA2273	20.446786732314077	0.0200797493591569
BA2275	25.124921951159315	0.0300484192537738
BA2276	15.797512925875198	0.0116775847336941
BA2277	20.682512123792247	0.0227855311876958
BA2280	19.994870988042795	0.0358872116206209
BA2281	17.698873998938783	0.0200797493591569
BA2282	9.815664679968904	0.0166619196810025
BA2286	22.135884574093957	0.0179436058103104
BA2288	12.385366922099236	0.0236399886072344
BA2292	27.960389442120466	0.0182284249501566
BA2294	13.756529572181297	0.0206493876388493
BA2296	20.800114759560213	0.0220734833380803
BA2300	15.136291785436642	0.0259185417260039
BA2301	10.394540283073583	0.0192252919396183
BA2302	13.14066992435741	0.0226431216177727
BA2304	7.343723392440677	0.0085445741953859
BA2306	8.83942916373598	0.0178011962403873
BA2308	12.930550105504755	0.0186556536599259
BA2309	11.648659287503548	0.0149530048419253
BA2311	11.29717728501092	0.0150954144118484
BA2312	11.177135083108132	0.0183708345200797
BA2316	9.165123582472637	0.0108231273141555
BA2322	20.114235738348203	0.02022215892908
BA2325	8.091929811572207	0.0098262603246938
BA2329	12.031388590678564	0.0123896325833095
BA2334	11.940487296240084	0.0146681857020791
BA2339	3.277290563802613	0.0153802335516946
BA2344	18.73964202421056	0.0119624038735403
BA2347	6.238688779476548	0.0126744517231557
