#Boxplots d'expressions du gène TP53 en fonction de la feature isTransformed
#Résultat du test statistique Mann-Whitney U : U = 34638.500, p-value = 0.002
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2452   FALSE        6.218024
BA2922   FALSE        7.584150
BA2707   FALSE        5.678870
BA2409   FALSE        6.724081
BA2480   FALSE        7.085982
BA2496    TRUE        6.455999
BA3037   FALSE        4.292680
BA2236   FALSE        7.249042
BA2865   FALSE        7.340820
BA2923    TRUE        6.419933
BA2003   FALSE        5.098579
BA2751   FALSE        7.226253
BA3395   FALSE        6.096002
BA2286   FALSE        7.033358
BA2488    TRUE        6.287337
BA3379   FALSE        7.104581
BA2887   FALSE        6.982756
BA2712   FALSE        5.930390
BA2858    TRUE        6.169930
BA2068   FALSE        5.895211
BA2104   FALSE        6.264300
BA3124   FALSE        6.492484
BA2921   FALSE        5.260663
BA2449   FALSE        5.899190
BA2360   FALSE        8.047660
BA2802   FALSE        5.980979
BA2235   FALSE        7.047048
BA3038   FALSE        6.430469
BA3006   FALSE        7.352023
BA2245   FALSE        7.530936
BA2667    TRUE        7.162152
BA2239   FALSE        6.928331
BA2782   FALSE        6.188149
BA2649   FALSE        7.308615
BA2592    TRUE        6.142351
BA2861   FALSE        7.217909
BA2134    TRUE        6.389795
BA2909   FALSE        6.007604
BA2429    TRUE        6.586736
BA2653   FALSE        6.649664
BA2947   FALSE        7.054989
BA2032   FALSE        5.683429
BA2162   FALSE        5.666616
BA2564   FALSE        6.336008
BA2597    TRUE        5.300257
BA3243   FALSE        6.799312
BA2106   FALSE        5.584941
BA2939   FALSE        5.425650
BA2427   FALSE        4.588348
BA2841   FALSE        5.645787
BA2446   FALSE        7.026248
BA2025   FALSE        7.067365
BA2645   FALSE        4.477554
BA2525   FALSE        5.333257
BA2876   FALSE        4.873071
BA2357   FALSE        5.739350
BA2546   FALSE        5.980979
BA2742   FALSE        6.877187
BA2316   FALSE        6.923035
BA2421   FALSE        5.730537
BA2087   FALSE        6.182110
BA2910   FALSE        6.652423
BA2148   FALSE        4.525524
BA2329   FALSE        6.763595
BA2677   FALSE        6.550272
BA3178   FALSE        7.168761
BA2072   FALSE        6.817518
BA3029   FALSE        4.515432
BA2735   FALSE        4.916854
BA2733   FALSE        5.015317
BA2995   FALSE        5.646538
BA2069   FALSE        7.490428
BA2100    TRUE        4.130498
BA2953    TRUE        5.272498
BA2681    TRUE        6.475718
BA2248   FALSE        5.359259
BA2832    TRUE        6.542553
BA2308   FALSE        6.134616
BA2413   FALSE        5.411349
BA2701   FALSE        4.637752
BA2634   FALSE        5.898026
BA2937    TRUE        6.883643
BA2600   FALSE        5.113281
BA2019   FALSE        6.630588
BA2412   FALSE        6.074793
BA2334   FALSE        5.696831
BA2050   FALSE        6.899025
BA3230   FALSE        6.639665
BA2481   FALSE        6.142782
BA2731   FALSE        5.437694
BA2418   FALSE        6.133319
BA2294   FALSE        7.273784
BA2816   FALSE        6.359518
BA2814   FALSE        6.732801
BA2631   FALSE        7.210534
BA2023   FALSE        6.663986
BA2375    TRUE        7.079949
BA2485   FALSE        7.514134
BA2455   FALSE        6.169505
BA2636    TRUE        5.632828
BA2325   FALSE        6.084470
BA2169    TRUE        5.155976
BA2156   FALSE        7.781236
BA2511   FALSE        5.132989
BA2168   FALSE        6.175561
BA2505   FALSE        6.064278
BA2860   FALSE        6.301878
