	RAD21	NPM1
BA2000	9.381081344897805	529.0740751552895
BA2003	10.804738111151956	718.8454548403314
BA2004	13.335979114927524	320.416765868189
BA2006	2.270388898058533	9.731263616557731
BA2011	4.533384234237969	349.1494593922488
BA2019	12.845973706067053	584.7298493866805
BA2020	10.474535979065164	1238.4508547008545
BA2022	8.710936477994075	917.8624004605978
BA2023	10.766220668380647	432.430363504652
BA2024	6.96521768918246	373.1442557723393
BA2025	10.505514139483594	723.6161514674798
BA2031	8.497243158696646	804.2156041021317
BA2032	6.366887987848954	797.0029006308893
BA2033	10.68218662349429	258.23198424669016
BA2034	6.3724050702506645	811.2764224741454
BA2035	9.09435826239406	900.7865531930996
BA2036	11.528528001706562	779.9021105326607
BA2037	12.161082044759937	1905.212257740152
BA2041	15.208390411040217	846.7808362661304
BA2044	11.425941509678632	586.7526892532584
BA2046	6.153405994615816	1116.3443179422306
BA2047	7.212823003588878	678.6308819474854
BA2050	7.305722580287018	743.1948731463913
BA2051	10.076275553605024	485.30915140801295
BA2052	13.286222314454694	1123.444664742103
BA2053	7.685499593258364	858.0353314195818
BA2054	11.47302251367756	798.0997645653246
BA2055	0.8900090654720321	43.69121161009207
BA2063	10.446657944155708	584.475008784876
BA2065	11.84997670061323	1203.8952158917054
BA2066	8.783252326731535	820.948611719295
BA2068	8.054864759728023	591.6639941722485
BA2069	11.861180142963963	669.1056490806965
BA2072	5.724137968839168	444.2673762143402
BA2079	5.054760892054986	148.75517388648316
BA2080	10.124380642568726	829.9345694329564
BA2081	4.620438733254882	597.5572717148619
BA2082	8.105587557245181	1006.1029619898692
BA2087	6.064210598186296	646.277790211756
BA2088	11.119498790097158	648.9600212458845
BA2089	13.153433288445951	804.2096484968401
BA2093	13.89440940587197	718.9785651729675
BA2094	14.301152628574505	774.4474723884591
BA2095	9.161177992328549	743.3756410256409
BA2096	9.584242645222831	844.926645204539
BA2097	16.873178231003937	1871.544588786714
BA2098	6.2107357582394345	447.058323196938
BA2100	6.090356050041996	460.46480967904114
BA2101	6.636690901812592	481.9798980413782
BA2104	5.107654904717963	158.77373403179857
BA2106	5.7185547695433705	1087.2221949215304
BA2109	7.887808449114563	353.25556042102534
BA2110	4.875980173627301	228.4360225865918
BA2113	9.1025554010968	619.5860880001297
BA2116	17.398189447644924	204.49241959811215
BA2121	5.12776073278341	830.565918465539
BA2122	11.690318294638107	309.8565362180163
BA2123	17.55701446978709	1944.6786659963132
BA2124	12.868529500425566	1306.525201781843
BA2125	12.876343621232197	407.5005611508458
BA2132	9.340554458045636	579.7304751401525
BA2133	6.955488449442417	285.45101823469946
BA2134	6.682310630032674	394.3391348654157
BA2135	6.849923340263783	1086.0343934651337
BA2139	6.787244348233263	173.99071803521517
BA2143	13.400617340713	307.85163506814365
