	SMC1A	JAK2
BA2000	0.7462069123289923	0.0291897060933032
BA2003	0.0732785815434064	0.0107620455582242
BA2004	0.3863072303795603	0.0294214844431332
BA2006	0.0262961258180623	0.0139203193029816
BA2011	0.0723773414240564	0.0335611846244865
BA2019	0.523339371811861	0.0393401558768148
BA2020	0.7269029971477832	0.0552586288569599
BA2022	0.443322630006295	0.0166194155703568
BA2023	0.2495570895047683	0.0349664877344926
BA2024	0.287155169944375	0.0931528403048237
BA2025	0.7480948467765653	0.0219148565970259
BA2031	0.5121456086847467	0.0230474730125086
BA2032	0.1039793903154649	0.0043383673383503
BA2033	0.1632966835095074	0.0425502860219604
BA2034	0.3037435369718935	0.0219667129974142
BA2035	0.2139238826754796	0.0136245081786248
BA2036	0.4182774010351495	0.0220219873273852
BA2037	0.4109814903870589	0.0256350593272467
BA2041	0.3631849950003453	0.0064258678310128
BA2044	0.4350917369616048	0.0383455917733852
BA2046	0.101481482767567	0.0164560492173315
BA2047	0.4789123837285003	0.0238842783036345
BA2050	0.3102335430687024	0.0068784764749781
BA2051	0.1054519895597969	0.0209268613270132
BA2052	0.1795116800701992	0.0127049249054168
BA2053	0.079902067313681	0.0072361307627227
BA2054	0.4074334016411099	0.0360063394048935
BA2055	0.0326916807866485	0.0186053928733818
BA2063	0.1168140629305023	0.0064899006055396
BA2065	0.390159335102721	0.0180103526950855
BA2066	0.922025420781572	0.0899149394818183
BA2068	0.155245402509188	0.0090487549497227
BA2069	0.5229027636462918	0.0310210754878587
BA2072	0.4090721059199481	0.0331869747403254
BA2079	0.1799575021313978	0.0556615707116759
BA2080	0.1230857485084649	0.010048926593874
BA2081	0.4536414243684186	0.0179463199205587
BA2082	0.1162295533206854	0.0210880380688996
BA2087	0.1188928086940584	0.0171051354071549
BA2088	0.2833929198271572	0.0175080772618709
BA2089	0.7049345073865925	0.0934386646661809
BA2093	0.2085745418008944	0.0093214416442462
BA2094	0.3974949642017643	0.0262797662947923
BA2095	0.4427808684462046	0.0099848938193472
BA2096	0.4238488908780826	0.0102432145285932
BA2097	0.2734491493902399	0.0313930957608807
BA2098	0.4418320681385367	0.028358508342899
BA2100	0.0518182790007006	0.0070727644096973
BA2101	0.1482072923351178	0.0310476178472747
BA2104	0.1650236484634113	0.0333712759120451
BA2106	0.2404122878180016	0.0102288485433157
BA2109	0.1385070484148851	0.019291969478316
BA2110	0.2190038677505027	0.0312009974373004
BA2113	1.0902259540283143	0.0361928301877522
BA2116	0.1669632966647874	0.0288408102501144
BA2121	0.45416991707132	0.035127664476379
BA2122	0.0944624458861666	0.0072030195698898
BA2123	0.3289941917044279	0.0093401868518016
BA2124	0.2576586418409293	0.0166359711667732
BA2125	0.5549049624963852	0.0235310032381678
BA2132	0.3380670016794452	0.0246967308464833
BA2133	0.1189663302955098	0.0173203581605685
BA2134	0.2258618878717793	0.033025797998439
