	JAK2	ASXL1
BA2832	6.1188645712048	6.18950223686314
BA2308	5.84234806468241	6.17641644366945
BA2413	5.70836568128015	6.21539686316165
BA2701	6.81329812446179	5.57895756058083
BA2634	7.09119041085949	5.89048099649459
BA2677	6.46380824438958	5.97648507555777
BA2937	6.60315866621686	5.86940153677441
BA2600	6.44128835620157	5.60841425670287
BA2019	6.81569990825769	6.15834977750935
BA2412	7.23470845982278	5.60156210630339
BA2334	6.41176296562855	6.11294027816034
BA2050	5.67279352334088	6.10277314052035
BA3230	6.45599883472476	5.95938551876052
BA2953	6.09980072152953	6.33918453468976
BA2481	6.43793151264448	6.10497366667794
BA2731	6.80425051325387	5.40702626397137
BA2294	6.26561634633026	6.30740738637139
BA2418	5.60693430911561	5.82819619911188
BA2816	6.84098754890722	6.34923107690817
BA2656	5.45378533976882	6.26338772089894
BA2814	6.51402356062823	5.40625901568549
BA2631	6.45945806358587	6.02698748997862
BA2023	7.27555120012057	5.64727150122162
BA2375	7.5032888272442	5.97812067314416
BA2485	5.88045550111629	6.4432415747754
BA2455	6.77486042127373	5.55586804682645
BA2025	6.47813803224063	5.79603390583248
BA2636	6.38888273500531	5.80376596025215
BA2325	6.63537899034447	5.62116214065844
BA2169	5.67695923349879	6.58028734101557
BA2156	5.69217660010952	6.28642083726129
BA2511	6.6963494054774	6.6441169206914
BA2939	6.03732004077161	5.77409344818299
BA2168	5.08188769059011	6.0688553647905
BA2505	6.97318609681243	5.99273740349983
BA2860	6.35352478320916	5.01631466171857
BA2707	6.50698545533974	6.18507158781402
BA2871	6.50103892537921	5.04068213537324
BA2655	5.63974092739285	6.19438001519865
BA2227	5.4168131671987	6.06801263248952
BA2125	6.48317228455133	6.18904995277038
BA2523	5.76686556527581	6.02328497818552
BA2603	6.41510646424492	5.92875292821339
BA2808	5.90396043152694	6.24912819394912
BA2282	6.91733301258099	5.83560892628546
BA2482	6.87718695252014	5.69646062028678
BA2812	5.97648507555777	5.8625242189267
BA2822	5.15597615770657	6.36600938491696
BA2594	6.59148541753236	5.79758031043752
BA2747	5.96305194548373	5.99230630864101
BA2561	6.18119276601149	5.87580696816671
BA2567	6.12432253652151	6.66943948787905
BA2906	6.56840033593867	6.03938413348279
BA2956	6.33555481831586	6.16651995068436
BA2474	6.35117266997331	5.99645810395014
BA2737	7.32309525533159	5.72061360951374
BA2110	7.58290428004672	5.60841425670287
BA2992	6.84776495812423	5.94431286144935
BA2220	5.64166399423883	6.19646958807837
BA2772	6.12385981288499	6.08835914671386
BA2935	6.90423057855148	5.83483518369012
BA2260	7.13121480456278	5.55025760092161
BA2676	6.02203823110219	6.1180523945273
BA2948	6.70639038824238	6.09345357181028
BA2524	6.14846279197281	5.75756870973775
BA2811	6.01912446509313	6.20050527440426
BA2540	6.43146976668751	5.75023036618314
BA2928	6.55763968463611	5.54840893277706
BA2302	5.77571318535643	6.56065461359229
BA2595	5.85542200416075	5.70836568128015
BA2792	6.19732726364109	5.77845042719579
BA2651	5.6655125977295	6.32408741401117
BA2619	6.34099882607851	6.30326841219344
BA3013	5.72866766844001	5.88643954120856
BA2405	5.87733009897837	6.4915209071939
BA2735	5.32629384115804	6.25945312566298
BA2856	5.75062167266173	6.23533588980149
BA2377	6.52938873500607	6.01373604526196
BA2499	6.15698094792798	6.07438042977308
BA2463	6.95017040445475	5.75719364511349
BA3023	5.26887133584046	6.13725593051751
BA2095	5.38803577864658	6.3078817611491
BA2901	6.20050527440426	5.83522810280634
BA2275	6.57560815980456	5.83841841477399
BA2387	6.4243136710677	5.75528821055756
BA2962	5.68039540990515	5.62828464133832
BA2195	6.38023120196824	6.03523832777957
BA2688	6.01664395833904	6.83919348466817
BA2787	7.63278489020753	5.24575571846811
BA2420	6.73527749858946	6.19345543409726
BA2756	5.20013137153335	6.27694818574979
BA2122	5.88327701539732	5.6533576160666
BA2053	5.5722787954592	5.98917879350321
BA2080	5.35965803846691	6.24592732813786
BA2081	6.6568137663596	6.02496543297874
BA2354	6.27784077147234	6.08666258593702
BA3273	5.09286972713313	6.01912446509313
BA2893	5.37965871348939	5.97361430412984
BA2044	6.82550917357801	5.8546289142141
BA2489	5.84150393894181	6.37547648198029
BA2309	6.96912043899967	6.28139967131455
BA2720	6.78739149461742	6.57407550686427
BA2908	5.76994542170869	6.27158031478995
BA2054	7.01917646703683	5.64011484889975
BA2872	6.80425051325387	5.78815697396801
BA2526	6.3282334089858	6.24013217204255
BA2041	5.25419658542836	6.47228949068298
BA2464	5.36035690673449	6.26881149847343
BA2902	5.75832214709053	5.96907627794874
BA2541	6.21584775215817	6.01912446509313
BA2143	6.34278372708773	6.04775659278267
BA2094	6.21976021821158	5.56596083132182
BA2769	6.75309739437635	5.86341197424273
BA2843	5.89603275873882	6.6100656847185
BA2592	5.60348204059795	6.40688318423783
BA2497	6.22284672145603	5.81959741153124
BA2718	6.26203648745747	6.20525292176704
BA2575	7.37577438257785	5.47284204510325
BA2096	5.67695923349879	6.21410531502083
BA2593	6.19690129645258	7.15951987646114
BA2791	5.75793531082724	6.19874995357892
BA2620	6.92625028034322	5.46114309064973
BA2629	6.02456199069166	6.7472714933791
BA2870	5.45598777768521	6.14026668002857
BA2423	7.36910502551481	5.86536301251181
BA2682	6.23969161748368	5.96386071356046
BA2276	6.02937141783307	5.9361114629243
BA2348	6.82851443258156	5.62233299062586
BA2709	6.86903485569995	5.67583098043324
BA2789	5.99072677808467	6.12180366530222
BA2694	6.26338772089894	6.60421812247539
BA2538	5.79321150053106	6.74612605168156
BA2583	6.64247138255774	6.66119005251722
BA2415	7.09047728148948	5.50018182112328
BA2722	6.31022816211408	6.0582244402994
BA2806	5.72213373131707	6.02371028385454
BA2221	6.72582978047913	6.06552141810206
BA3025	5.87851415939896	6.07906325231323
BA2514	6.08490728340658	6.60209690951209
BA2520	5.56477795201106	6.54875546973009
BA2441	5.93816710389573	6.36467185423724
BA2153	6.22989744594561	6.21802371577529
BA2479	5.30597429477844	7.27636680044251
BA2281	5.42125052108752	6.52170608095191
BA2657	6.24956354515351	5.89918966262517
BA2932	5.53058601108242	6.1527015081476
BA2123	5.56596083132182	6.73527749858946
BA2844	6.23969161748368	6.36227514110898
BA2660	6.65069612456278	5.89400600049609
BA2836	6.24592732813786	6.25179190765508
BA3027	6.4243136710677	6.30464556196735
BA2714	6.71155130794723	5.69757983119209
BA2139	7.48490734822992	5.39929335398575
BA2251	6.21013178100069	6.31251579014812
BA2952	6.74039110508618	5.88406214865442
BA2440	6.35211013226828	6.27158031478995
BA2036	6.2787278602742	6.40025463094879
BA2828	6.99030175438279	5.49725940478877
BA2292	5.80891216118178	6.51154576024005
BA2410	5.65448355973944	6.26033254809805
BA2051	6.42575430557831	5.94836876055586
BA2532	5.66778894823137	6.37031994316104
BA2986	5.47397012091034	6.52020957672534
BA2494	5.70182427600488	6.57247167015578
BA2515	5.65599688789121	6.17598273714894
BA2748	6.1036718931718	6.37975842200095
BA2970	5.71100608100859	6.02937141783307
BA2622	6.79404595569359	6.13597197195766
BA2839	5.66361114365051	6.41651938191685
BA2052	6.08362235286883	7.04775148018528
BA3011	4.84562521936661	6.35627429889414
BA2868	6.22503632366675	6.02819468374248
BA2510	6.05237874936092	5.81726345497192
BA2065	6.06468755944282	6.26517604030033
BA2691	6.88299295533337	5.85381815948029
BA2374	5.79758031043752	6.2877927663973
BA2804	5.92833030401015	6.05361973784087
BA2670	6.12302701419306	5.67924435783264
BA2675	5.83602224066433	5.99436956978052
BA2589	5.43221485285193	6.71837477507922
BA2031	6.62521439483861	5.68872421112857
BA2198	6.20481541845022	5.85182499561048
BA2066	7.10006965724524	5.37928711694374
BA2344	6.01664395833904	5.683055970914
BA2459	5.03358349696303	6.93219471408877
BA2229	5.68079307995248	6.84719227215285
BA2559	5.76218019652153	6.06078122712208
BA2093	5.28216189346069	7.15557221270197
BA2000	6.36792449266188	5.88606180557595
BA2425	6.80239867331755	5.99112678530118
BA2905	5.6590072041356	6.47426873472503
BA2304	6.82970946742006	5.36584838994078
BA2976	7.05796014084047	5.9785222997962
BA2386	5.84508987578304	6.1180523945273
BA2035	5.57338620444232	6.42953951724595
BA2760	6.54928934120065	5.88961440143981
BA2201	6.97450183109637	5.773700485866
BA2355	5.39854887648757	6.6656439229699
BA2113	6.46286097671524	6.18950223686314
BA2155	5.6571193282783	6.82309107200081
BA2955	7.87120844454502	5.96945929693027
BA2502	7.16215175411855	5.70452449404762
BA2322	6.59785150913547	5.61780736228049
BA2376	7.550843282623	5.46990488253098
BA2020	6.2445717796939	6.30050208589508
BA2226	6.67894286315779	5.65258967329686
BA2200	5.67963455085071	6.00841658197255
BA2121	6.05279557201734	6.05448659537988
BA2944	6.18463805749781	6.23533588980149
BA2033	6.93558317816731	5.98917879350321
BA2867	5.83331901871842	6.53145543602281
BA2089	6.75887216800442	5.42234890079115
BA2224	6.32729837510952	5.99849937933433
BA2046	5.39854887648757	6.50002459426286
BA2972	6.19690129645258	5.96023036518701
BA2978	7.11517726354172	5.69449320412197
BA2829	5.8395569214379	5.75606111415072
BA2851	5.91798611999628	5.96505632745959
BA2587	6.99925381802676	5.70872171926613
BA2461	6.78009238710876	5.92917652580144
BA2695	6.28139967131455	5.81839607751016
BA2623	6.6601420957489	6.02245886806957
BA2024	7.14221254704718	5.52061119799639
BA2426	6.82550917357801	5.68872421112857
BA2271	5.98054442725547	5.73401055203652
BA3004	5.66014078206684	6.33046496181519
BA2579	6.50248754607679	6.50152491798344
BA3010	6.71501245136813	5.82392380814807
BA2662	6.6897450758778	5.59174174629251
BA2674	6.4369045674542	6.01784200578308
BA2280	5.94221717949707	5.9207696282738
BA2512	7.0168789681798	5.45674649791294
BA2658	6.92174677642902	5.77182174756257
BA2394	7.33890799019329	6.07695623288107
BA2950	6.31205444786469	5.79603390583248
BA2981	5.69992958447881	5.84787957757678
BA2934	6.09808877325888	5.95891123308455
BA2539	6.90423057855148	5.57116929470375
BA2249	6.62086223855277	6.04898713449574
BA2034	6.09980072152953	6.1058059803294
BA2109	6.45249909303564	5.58836680284654
BA2242	6.29606229973496	6.07305710536308
BA2277	7.01759724929549	5.89124416348565
BA2727	5.64425897367774	6.29137386576201
BA2132	6.48655837104488	6.02077165309049
BA2618	6.74612605168156	5.57784205345213
BA2521	6.436391484782	5.71669470584693
BA2846	6.18549348202673	5.99605530428902
BA2885	6.87847286019697	5.46663574912202
BA2639	6.60634523087502	5.92274484517742
BA2775	6.26652649814407	5.92513526908082
BA2402	6.19966591698805	6.05529649425473
BA2097	6.00680494194609	6.12261931153674
BA2786	6.03523832777957	5.69683059962592
BA2399	5.37564857832482	5.95848988053113
BA2850	5.77107077621508	5.89400600049609
BA2174	7.42825345365406	5.69295647546023
BA2004	6.67837784799198	6.02412758639857
BA3001	5.92959760650397	6.19521896796153
BA2311	7.71215406681609	5.72290783455204
BA2483	6.50103892537921	5.66740335166233
BA3040	6.21630928183059	6.40264148496757
BA2837	6.25896920678185	5.75987481048265
BA2724	6.42672024198766	5.7171416432858
BA2911	6.14800492227439	6.04856537740908
BA2256	5.26850269480577	5.80732189831465
BA2821	5.98627491229184	5.93038956442244
BA2233	5.92432462638165	6.24100946664766
BA2744	5.77808284388984	6.04154865344481
BA2880	6.60743103833352	5.68986590376939
BA2621	7.31665510949842	5.84710176754198
BA3002	6.6897450758778	5.53462725078282
BA2501	5.83716487793583	6.06036727608855
BA2993	5.98835302463094	5.74510782456024
BA2301	6.76898394569665	5.91953516934334
BA2852	5.6765932151773	6.69247942029726
BA2133	6.49504433110095	6.57670086749662
BA2866	6.10747462593212	6.26561634633026
BA2212	5.90436368867117	6.1180523945273
BA2685	5.4219819546052	6.60106588860888
BA2273	5.97440821051446	6.36276922003241
BA2477	6.12637853560869	6.05488922575061
BA2659	6.76359470107912	5.70032456019922
BA2124	5.76568700898176	6.19874995357892
BA2363	7.22705513643141	5.74665789517333
BA2369	6.55763968463611	6.16992972400798
BA2534	5.81482124558208	6.10105446354612
BA2400	6.44802101478473	6.25896920678185
BA2762	5.94139776988852	5.78815697396801
BA2312	6.76594892950594	5.87096179619199
BA2813	5.32629384115804	5.84669771952697
BA2211	5.4113491881704	6.40122033716978
BA2171	5.69370906216796	6.24592732813786
BA2746	7.10612705087253	5.57675252591336
BA2798	6.39121229400113	6.37079667059363
BA2809	6.49897356885038	6.15101372135618
BA2288	5.77182174756257	6.54255345963774
BA2801	6.84596201012783	5.7857780349214
BA3030	6.50904089235684	5.77649310558936
BA2588	6.30142372411484	6.13597197195766
BA2296	6.14630933784289	6.07479305709891
BA2300	5.65258967329686	5.90968137145394
BA2903	7.65022254150033	5.30561743364852
BA2473	5.28216189346069	6.46136172333021
BA2545	6.72757025712009	5.78039940452266
BA2840	6.34783039381028	6.16651995068436
BA2528	6.11717160296269	6.04021038079235
BA2646	5.68685508446053	6.12593955851946
BA3407	5.35378122072143	6.23533588980149
BA2240	6.00800870736247	5.77728199716427
BA2926	6.21887740590051	5.87260128091849
BA2272	7.55754763062472	5.64203067730003
BA2306	6.53495824677914	5.86210066626784
BA2765	7.09710413510838	5.58345571866186
BA2904	7.33618294917006	5.85182499561048
BA2883	6.42479012495369	6.6100656847185
BA2726	6.16739291737488	5.55133978188627
BA2234	6.55863333147361	5.5977589538239
BA2022	5.46734103839207	6.13165710493441
BA2228	5.616270357549	6.33600766569699
BA2037	5.95316910567884	6.36182238595201
BA2184	5.98343537244457	6.3144421792923
BA3009	5.97812067314416	6.36695225743452
BA2842	5.97321758321267	5.82697757198733
BA2442	6.0158165147387	5.96345262806037
BA2882	7.49256176412129	5.59137657391383
BA2758	6.92369940347749	6.07520173413689
BA2705	6.33191637769617	5.97648507555777
BA2663	7.21542521128511	5.73552904725917
BA2570	5.69757983119209	6.45599883472476
BA2764	5.95600036566632	6.09808877325888
BA2209	6.03612422779332	7.36435791540221
BA2989	5.34151860321391	6.63915578339387
BA2855	5.55474564087748	6.0515207109664
BA2261	6.389795387917	6.09174069183038
BA2721	6.68298551627202	5.50315192004078
BA2930	7.03196402344294	5.81482124558208
BA2728	7.20712924024302	5.96823920514463
BA2715	5.88248029384315	6.70193954968785
BA2469	5.83678289113702	5.80971219847918
BA2269	6.33826437905032	5.63974092739285
BA2098	6.22462023570249	5.91084110589567
BA2778	6.91326402535282	5.30422441487673
BA2951	6.3764431266369	5.98747577885065
BA2163	6.20697852343694	5.98792432171399
BA2379	6.10703701818297	6.12991458455326
BA2817	5.77331420543403	6.85707363149716
BA3153	5.82076176816399	6.44995385247277
BA2820	6.92174677642902	5.48685812816546
BA2723	5.35814543619648	6.21316864027758
BA2704	5.33791952921801	6.41753927442656
BA2088	5.7725785925433	6.45847746962255
BA2116	6.69408720379773	6.4369045674542
BA2584	7.16876088952225	5.86781157381666
BA3079	6.94421494122577	6.25311199468293
BA2417	6.33280116885594	6.20227272504612
BA2361	6.49454808629482	6.2445717796939
BA2450	5.88961440143981	6.05529649425473
BA2492	5.94641278080618	5.64878460317562
BA2552	5.43258320293738	6.07349886728139
BA2472	5.63243748418652	5.89840678151491
BA2994	5.70032456019922	5.74740223582238
BA2047	6.04647904010288	6.17989946486144
BA2101	6.49406704275497	6.59148541753236
BA2082	6.34457703412125	5.96264354381231
BA2879	6.04401665671066	6.25896920678185
BA2577	5.91437229465113	6.2877927663973
BA2456	5.88085174617523	6.30418081628279
BA2175	6.57670086749662	6.19776851107361
BA2824	5.46520959762875	6.01215704616716
BA2507	6.0921968661524	5.96987848742324
BA2563	5.31682531575163	5.93293802015649
BA2244	7.27898774790875	5.43952524273383
BA2470	5.95983280142242	5.95848988053113
BA2984	6.17686048502122	6.19120375825818
BA2414	5.87965665517008	5.83483518369012
BA2697	7.51191595859432	5.60656322510578
BA2079	7.24647814947882	5.22500574588553
BA2999	6.44128835620157	6.00093229876932
BA2644	7.44741351807287	5.51382815263466
BA2011	6.90096747490557	5.65258967329686
BA2217	5.80299550783759	6.19822146547957
BA2454	6.4417602152858	5.96063563466876
BA2776	4.99354110892251	6.1281715906941
BA2218	5.25497927017155	6.31205444786469
BA2135	6.1167480511433	6.32267289165303
BA2914	6.78194925141946	5.54431492495241
BA2500	5.93735639042332	5.82392380814807
BA2830	6.11847233502019	5.9361114629243
BA2406	6.45648309857568	5.85542200416075
BA3108	5.57935496877716	6.39073862378253
BA2924	5.77728199716427	5.65411500641845
BA2303	7.25611345915688	5.6147813580075
BA2160	6.50152491798344	6.0765385205626
BA2038	4.74673296350921	6.43095537419459
BA2602	5.04444275985059	6.26033254809805
BA2964	5.48241842021019	6.42858727965842
BA2898	6.59418114772064	6.05488922575061
BA3003	6.22945844028102	6.10323904488586
BA2111	6.20697852343694	5.89241706426442
BA2827	6.5851771545889	6.00881830211778
BA2912	5.9785222997962	6.4338606092369
BA2437	6.14502031934272	6.11847233502019
BA2283	6.52630500155159	6.05279557201734
BA2057	6.27158031478995	6.13853683580785
BA2633	6.13853683580785	6.26972531039322
BA3034	6.28908084563445	6.1368245443414
BA2607	6.24819820835326	5.98996157877142
BA2761	6.11161537904966	6.20964310204874
BA2795	6.49248354368901	6.07098245209084
BA2182	6.29410623448101	6.26604717378172
BA2152	6.41274177487418	6.00800870736247
BA2381	5.57747658361311	6.08362235286883
BA2931	6.31115381839613	6.18549348202673
BA2040	6.68810200399149	5.99072677808467
BA2590	5.23746872667208	6.00638246473167
BA3195	6.54096638153352	6.43590316276273
BA2516	5.98386136715206	5.94757169388019
BA2353	6.25534556152395	6.15311168314809
BA3036	6.03732004077161	5.90396043152694
BA2971	6.98137959105818	5.97890641593254
BA3410	6.71325528813671	5.90720734250747
BA3118	6.58253832351054	5.8446879817315
BA3206	6.10662293034719	6.29871693912713
BA3202	6.08794135772437	6.48705929163371
BA3217	6.0072209431505	5.46410131409376
BA3405	7.62806217739621	5.6705066725732
BA3306	5.22065849428954	5.86781157381666
BA3371	5.53534040119425	6.26385719339892
BA3413	5.96585962161822	6.16479221189801
BA3411	6.13165710493441	5.81726345497192
BA3133	6.17121351437265	6.20398896796611
BA3164	5.25926318349682	6.19438001519865
BA3451	7.19903013947942	5.46734103839207
BA3286	6.68698956921182	5.6864679763228
BA3212	6.05912302323741	6.91733301258099
BA3103	5.70986425222156	5.83256616777847
BA3271	6.70809549173072	5.84826511265661
BA3152	7.00853195755675	5.99520828398439
BA3095	5.50942414006277	6.10408615184211
BA3192	4.88537399325768	6.04647904010288
BA3251	6.09345357181028	5.76568700898176
BA3362	6.12385981288499	5.84669771952697
BA3400	5.63782453216305	6.31492475633183
BA3135	5.72328663310628	5.96141985766576
BA3408	6.15187477635529	6.98137959105818
BA3187	6.65737778697747	6.0756397245943
BA3098	7.34547705030654	5.7225158734594
BA3435	6.32729837510952	6.18251802139279
BA3261	6.16141096550525	6.07182186589842
BA3203	6.56532526138634	5.78459303638823
BA3174	6.33002794213348	6.0840496796786
BA3317	5.33173488154361	6.1058059803294
BA3299	6.01623506432676	6.01867856463796
BA3221	7.01200936090574	5.87965665517008
BA3347	6.29137386576201	5.75302384911337
BA3235	7.62320575204897	5.23710808006626
BA3126	6.51657057172327	5.32164044187742
BA3380	5.98180577093432	5.65522675909671
BA3089	6.16824009925269	6.021192542846
BA3109	6.4204445396971	5.94431286144935
BA3114	6.5272776299756	6.17641644366945
BA3418	5.87139334737162	6.51302546929391
BA3245	5.67089201714434	6.22284672145603
BA3085	6.00513768153823	6.12947427780454
BA3128	5.55924075077695	5.89203625853857
BA3423	5.35265544520885	6.44756726036546
BA3173	5.83602224066433	6.20825574796756
BA3171	7.23310611857777	6.14934626765103
BA3277	5.73207630464099	6.55285609284704
BA3210	5.60803848500502	6.81145766315316
BA3157	5.50353774574014	5.96505632745959
BA3433	5.53426887614694	6.25091484872834
BA3322	5.72941496772039	6.46633469347968
BA3374	6.98137959105818	5.44790183156178
BA3450	5.63398998851589	6.41555515164963
BA3167	6.40549948389557	5.84710176754198
BA3269	6.22719727634407	6.10538403903875
BA3110	5.83640380634386	6.57095981156775
BA3156	5.73627139725326	6.56583781452914
BA3226	5.81122081776697	6.11633596300958
BA3421	6.33963983784712	5.99807250561422
BA3232	6.1188645712048	5.93534312096623
BA3289	5.80028394350004	5.9931420196416
BA3430	6.15059869214172	5.95983280142242
BA3145	6.08192723673296	6.3249851051031
BA3399	6.24592732813786	6.02456199069166
BA3449	6.13249003882685	6.21363363803942
BA3384	6.26972531039322	5.81161565339235
BA3427	6.65242333740906	6.16391479568772
BA3163	6.801788717217	5.68268021308212
BA3158	6.37031994316104	6.19438001519865
BA3436	6.37595873118392	6.436391484782
BA3154	4.79068369995582	6.21013178100069
BA3162	6.4338606092369	5.98343537244457
BA3352	5.15632938242022	6.25896920678185
BA3084	5.90720734250747	5.77331420543403
BA3149	5.79160717030847	6.18507158781402
BA3169	6.55863333147361	5.79282325358751
BA3180	5.58682786591739	6.03363601462633
BA3255	6.19299832162761	5.78933652729381
BA3438	5.77488348222962	5.11638292117158
BA3345	7.42928783450574	6.11294027816034
BA3403	6.95411223232461	5.42893594031004
BA3431	6.43046914091516	5.6098838682387
BA3181	6.95085389521077	5.7664756489083
BA3341	5.52461336373262	6.15101372135618
BA3191	7.17275321082541	5.55999957718043
BA3197	5.90799934087277	6.16141096550525
BA3448	5.93982972127244	6.19345543409726
BA3453	5.51950702685712	6.14547247746584
BA3406	6.50649211862862	6.08028059153902
BA3308	6.3129901827468	6.30050208589508
BA3186	6.61224021519215	6.57720688521491
BA3334	6.14235074085009	6.32314377198831
BA3447	6.52120608932454	6.22157033382946
BA3116	5.69566002369261	5.58682786591739
BA3280	5.52576079897821	6.16609369248211
BA3185	6.70422977407013	6.48952236006017
BA3094	7.2588778562729	5.17950354207122
BA3318	5.46337307822737	5.78115226086829
BA3216	6.2171644897831	5.91874058491338
BA3332	5.91677233397116	6.49799553338119
BA3214	5.21114894759575	6.32126637219132
BA3099	6.0506842235686	6.00599295147661
BA3141	5.41282200225543	6.25265344537738
BA3373	5.43585497001994	6.36326165874901
BA3319	7.67493502317828	5.56112145786682
BA3328	6.41128456721012	5.91554817043997
BA3339	5.94431286144935	6.65737778697747
BA3240	6.67612658139253	6.35713479831954
BA3142	6.22807535432375	6.55965463360655
BA3333	6.1058059803294	6.17121351437265
BA3381	6.79813530726845	5.76488394506669
BA3290	6.64358377452482	5.85694980213458
BA3207	7.25008508374438	5.47615849761807
BA3296	6.64131489127646	5.71553086944073
BA3305	6.39359148087619	5.93982972127244
BA3434	6.57613558769718	5.99685177199163
BA3189	6.38261014012489	5.83756838624294
BA3264	6.10872354813756	6.25445222164076
BA3329	5.74548824228958	6.6100656847185
BA3417	6.45750445904916	6.11971599118053
BA3367	6.55131094202148	5.50055254025843
BA3225	7.32583087724775	5.48685812816546
BA3183	5.89960125866496	6.0311101011047
BA3222	7.08368088883067	5.67963455085071
BA3139	6.23394092312001	6.01784200578308
BA3397	6.04113685727626	6.3811905938473
BA3311	7.11661408634118	5.53130217583918
BA3422	5.37638785070633	6.21316864027758
BA3228	6.41993290039897	5.94021025458643
BA3213	6.97450183109637	5.63359431703311
BA3270	6.92174677642902	5.79603390583248
BA3415	6.40025463094879	6.00921196587346
BA3324	6.11161537904966	6.08362235286883
BA3194	6.47764595644109	6.22157033382946
BA3335	5.66090400314826	6.04856537740908
BA3199	5.74510782456024	6.12904074966952
BA3326	6.47182200391892	5.56256719374486
BA3285	6.26972531039322	6.12385981288499
BA3297	6.7037023558772	6.04856537740908
BA3227	5.38984631837511	6.34322095252985
BA3394	6.33780634376445	5.78541513449237
BA3412	6.54307132156237	5.74090562795813
BA3293	4.64271832053246	6.20356343645269
BA3250	7.54733361982974	5.89003355654074
BA3177	6.75483486169623	5.72441309220803
BA3315	5.49981147623839	6.59785150913547
BA3182	7.41795204933222	5.74822587560422
BA3260	6.46333894051768	5.79243605583809
BA3369	7.43037850226792	5.70566190016674
BA3078	7.10612705087253	5.92875292821339
BA3386	5.62490937512472	6.05025616147561
BA3445	6.16524477136675	5.91835525147628
BA3452	6.89180239315318	6.06680993243889
BA3176	5.99436956978052	6.2751197185023
BA3258	7.53867754134672	5.67546263774049
BA3295	7.05570452227078	5.59699754908342
