	JAK2	ASXL1
BA2392	5.49361387353109	6.54408446340443
BA2611	5.38803577864658	6.53249965977741
BA2506	5.45268870343212	6.5242368874556
BA2430	5.33137556428865	6.58462737788517
BA2448	5.40295228642976	6.52324588492183
BA2730	5.32810180055979	6.54408446340443
BA2845	5.53865932247819	6.42575430557831
BA2326	5.57154615906059	6.42858727965842
BA2341	5.50315192004078	6.42763769743183
BA2612	5.55285643961997	6.45455803457724
BA2973	5.56556160430555	6.40360502181603
BA2390	5.55851041668359	6.40264148496757
BA3218	5.53130217583918	6.44565569212713
BA3105	5.4227029621497	6.54096638153352
BA3402	5.41320005218039	6.52120608932454
BA3276	5.38841032189554	6.53695474326822
BA2409	6.77486042127373	5.50426621763009
BA3037	5.10315757075363	6.49002795768883
BA2496	6.85394237356265	5.62715965117615
BA2172	5.3789226513503	5.7983454299058
BA2865	5.63859875243939	6.1921407741856
BA2923	6.61867340597626	4.94273522337111
BA2751	6.87847286019697	6.05776567233175
BA2480	5.85615861273504	6.00011677121632
BA2286	5.89203625853857	6.04154865344481
BA2922	5.28398914288075	6.58783674116998
BA2452	4.76109238764645	6.28373604828764
BA3379	5.99561264597437	6.15698094792798
BA2887	5.77451233227095	6.0444352624309
BA2712	6.63861770845571	5.75681040063766
BA2068	5.80651617633479	6.08966256500214
BA2236	6.413222743052	6.00513768153823
BA2104	7.62437772428186	5.3920043604829
BA3124	5.53130217583918	6.7478553015081
BA3395	6.78550767222755	6.06345159600226
BA2921	6.13119942059496	5.84190332625174
BA2449	5.1308809152012	6.06168577538942
BA2003	5.81122081776697	6.17121351437265
BA2360	6.19646958807837	6.04734642903678
BA2802	6.27289277243206	6.2850706491728
BA2235	6.50297201387594	5.74011278993299
BA2858	6.30978800081562	5.98876336939614
BA3038	7.61949698331246	5.48611835069995
BA3006	6.23620830247888	6.04816746430603
BA2245	6.33826437905032	6.25762029146855
BA2667	7.12738803665014	6.03566200297907
BA2239	7.66988409314176	5.69838933100617
BA2782	7.34547705030654	5.67546263774049
BA2649	5.21007881246748	6.31810358288684
BA2488	6.41031606152443	6.19690129645258
BA2861	6.39121229400113	5.9027386298111
BA2909	6.7928687930301	6.02245886806957
BA2429	6.23033780733241	6.42530173541054
BA2653	5.9361114629243	6.90161368403515
BA2134	7.35957852119331	5.5372259675426
BA2947	5.76994542170869	6.61700352029779
BA2032	4.86639351070548	6.05692203263316
BA2162	6.83661488155882	5.92314727428924
BA2564	7.02768073602554	5.6860968528657
BA2597	6.04401665671066	6.08666258593702
BA3243	7.08297551023298	6.03404286985942
BA2106	5.75339715282444	5.94392026663398
BA2427	6.1281715906941	6.46136172333021
BA2841	5.4943411471575	6.45648309857568
BA2446	6.57407550686427	5.8769475456825
BA2645	6.01784200578308	6.38738832095137
BA2525	4.84004894658634	7.40609048790591
BA2876	5.68494283424888	6.59838838471777
BA2357	6.01704720263967	6.53695474326822
BA2546	6.43542748974206	5.70452449404762
BA2742	6.59148541753236	5.61064071002875
BA2316	6.52270916866473	5.7725785925433
BA2421	6.39453514704598	5.83800900717186
BA2087	6.63486341869675	5.72480376191034
BA2910	5.74782936628199	6.00800870736247
BA2148	5.13585150348145	6.33368252669389
BA2063	4.89696755761679	6.97794904447586
BA2329	6.65295694076347	5.78856545869923
BA3178	6.732801148639	5.51345714323729
BA2072	7.19225834495813	5.70757619671164
BA3029	5.07445877032658	6.00261866586335
BA2733	6.66177361256097	6.0688553647905
BA2995	6.83029032072815	6.95960331595656
BA2069	6.76957967246072	6.00392077224602
BA2100	5.66204443579784	6.11039522609915
BA2681	6.27064006981264	5.64993072157884
BA2248	5.21778173093654	5.92513526908082
