	RUNX1	FLT3
BA2316	7.48163507084779	8.79328666582968
BA2421	7.48695721637732	8.57659398663682
BA2087	6.85707363149716	9.3884596253967
BA2910	8.25344779136567	8.2874098816496
BA2148	7.50861653894833	5.78615399709568
BA2063	5.38841032189554	1.69252928638777
BA2329	6.91733301258099	6.6892157543699
BA3178	6.42280633283907	10.0818938676199
BA2072	8.00619097456886	7.2925108116234
BA3029	7.92364245319313	7.6160759273921
BA2733	7.3212161814573	7.77161485169371
BA2995	9.09230819306279	10.0007468429699
BA2069	6.86281064555051	9.2592593958878
BA2100	7.54191215313676	6.78739149461742
BA2681	6.81883552060849	7.09568366825665
BA2248	7.92526519111295	8.69824500910271
BA2832	7.55189787670547	8.72438748273975
BA2308	7.4382687261571	9.4270458724936
BA2413	7.57003408038875	9.47302564786274
BA2701	6.83843057067482	8.18416035809344
BA2634	7.17761745050204	8.98173476670244
BA2677	7.16795764916514	7.55633666761795
BA2937	7.01983909137586	7.14998539597838
BA2600	7.53197491812839	9.01306871894599
BA2019	7.08227901596389	2.34653747220844
BA2412	6.15187477635529	6.0582244402994
BA2334	7.92699657991781	8.56865303112435
BA2050	8.20213208675208	8.60608533344799
BA3230	7.56567805381962	7.54295367203655
BA2953	7.79093203959201	8.39493145233583
BA2481	7.40510623344956	6.25179190765508
BA2731	6.17379906817959	7.98067391429632
BA2294	7.62205873798526	8.89449191470128
BA2418	8.5529001392332	9.27569316532541
BA2816	7.64636707538027	8.97142354261209
BA2656	7.64255001400601	8.08153228980509
BA2814	6.62033484572762	9.25517667754352
BA2631	7.78123623973778	9.22687989289351
BA2023	7.36910502551481	8.37180321609369
BA2375	7.95452812467512	8.3972661940189
BA2485	9.12011695971816	9.87029536698913
BA2455	6.33092888167036	9.95541459791256
BA2025	5.70757619671164	8.8879736022598
BA2636	7.60876718089275	7.24301197621157
BA2325	6.69807753006718	7.88342196520891
BA2169	7.07180826529373	6.55285609284704
BA2156	6.54978276410253	8.70690950167434
BA2511	6.52072194410879	4.75484190831669
BA2939	7.85486380528094	10.3575120670964
BA2168	8.02685700006077	9.39118419839355
BA2505	6.93954050250455	9.27156918109996
BA2860	6.26429986711095	5.64993072157884
BA2707	8.33337930026134	10.2282709856871
BA2871	6.24864350807345	9.17171491689544
BA2655	6.47279065497325	5.94221717949707
BA2227	8.08518191159815	9.90525526471174
BA2125	7.67493502317828	6.44756726036546
BA2523	8.16644533071452	9.44987135785787
BA2603	7.52776715607633	8.60608533344799
BA2808	7.8894951557827	8.67537853618004
BA2282	5.9389872636167	3.56095107813401
BA2482	8.42559982560594	7.80956394588893
BA2812	6.79581543973709	6.75946045637828
BA2822	7.91267481802265	8.42690176653796
BA2594	6.62843695703125	9.56915130536806
BA2747	8.62242404966029	9.16398396797258
BA2561	8.58191208164573	9.87474271994728
BA2567	5.31326361994662	2.50793166232776
BA2906	6.70639038824238	10.7149459001776
BA2956	7.57003408038875	8.44966638628301
BA2474	7.94466831928416	9.12586826213153
BA2737	7.52879493976561	11.5238128563748
BA2110	6.84719227215285	8.15671254170946
BA2992	8.06884590575294	7.48695721637732
BA2220	7.60876718089275	4.48295485202788
BA2772	8.03550248502968	8.89122942781574
BA2935	7.26238233832031	8.45209623715645
BA2260	7.81686981561798	8.34007975821985
BA2676	7.29162764738793	6.3078817611491
BA2948	6.31251579014812	5.20013137153335
BA2524	7.6685963483501	7.95765939482996
BA2811	9.0307417478067	8.89122942781574
BA2540	6.20872841683922	10.332335723606
BA2928	6.74268846032395	9.62975620855742
BA2302	7.28800386009291	8.86857724833819
BA2595	7.4262875873266	8.59260663428802
BA2792	7.46679247570854	7.49672370749375
BA2651	7.59930957213068	8.71853926395486
BA2619	7.5098325342709	8.08701091285537
BA3013	7.94466831928416	8.2618544484033
BA2405	7.79800939146032	8.96800104667789
BA2735	7.74951233053604	9.10341841676742
BA2856	6.69192414230504	5.75302384911337
BA2377	7.60044547310861	7.92215119859177
BA2499	7.80094268898657	7.49358396361658
BA2463	8.61880009680474	9.85235783310065
BA3023	8.07789379739417	7.31397253852267
BA2095	8.85577669200061	8.80867768640892
BA2901	7.34547705030654	7.36623727973933
BA2275	7.80817251236376	6.23576326993081
BA2387	8.43037965011906	9.20300948929151
BA2962	8.00271116464237	9.91143332054624
BA2195	7.53093612416627	6.65130744059523
BA2688	6.27332825884915	5.68948586565832
BA2787	5.82191269814631	7.05061628699762
BA2420	8.79635277497105	10.2913775804187
BA2756	7.3875616099495	8.12418859250955
BA2122	7.27378385953679	3.73646349943155
BA2053	8.23886821722062	7.12590219224429
BA2080	6.46633469347968	8.33560901482561
BA2081	8.83048212173684	8.86857724833819
BA2354	6.98553956904008	9.49346920759786
BA3273	4.90986474335253	8.61703204481685
BA2893	8.69824500910271	9.05220627117217
BA2044	8.37180321609369	9.18338030789918
BA2489	7.10534081557561	5.75528821055756
BA2309	7.31758513982701	4.75484190831669
BA2720	6.23576326993081	4.08116949406361
BA2908	7.69790613813162	9.73952391057151
BA2054	7.42090370210596	7.60989112051761
BA2872	6.4108151402329	5.75528821055756
BA2526	7.32779530563549	8.46922505155083
BA2041	7.68775219309565	6.92898560318184
BA2464	8.04060780611373	8.83048212173684
BA2902	8.36494157515656	8.35358316301659
BA2541	6.79640967556144	7.82406690467398
BA2143	7.40707286933197	6.53889895494815
BA2094	8.24926512843891	10.639379239193
BA2769	6.96352997566574	8.12986534537924
BA2843	1.29229534870093	9.31328611186612
BA2592	7.59808663804993	7.58177680428358
BA2497	7.35957852119331	7.52879493976561
BA2718	6.84657434431718	7.574849932275
BA2575	7.07486831392374	7.10851364264035
BA2096	7.48594354331146	7.74666982029682
BA2593	8.74389874448259	8.19393590095693
BA2791	8.54249270039127	8.4424022836884
BA2620	7.11216085325929	8.84307877151568
BA2629	8.3156761580726	10.7038723777592
BA2870	8.28526081080175	10.8192493812712
BA2423	6.69080762366511	7.02415111976065
BA2682	7.75780436658957	9.37793858616158
BA2276	7.56321071069528	5.93572487152612
BA2348	6.2114515075537	4.97069644629257
BA2709	7.54085820588458	6.77544790931264
BA2789	8.67821802831458	9.79245962144758
BA2694	8.34681429629083	8.6472743085318
BA2538	7.89563066633541	9.13720994130471
BA2583	8.80867768640892	9.9941844593607
BA2415	6.04734642903678	5.00864373238871
BA2722	8.33784249776874	6.4238257457666
BA2806	8.94761722776196	9.08127310626888
BA2221	6.1921407741856	4.06120523744264
BA3025	6.29315264064962	7.04562502354572
BA2514	7.03986452617139	7.75227162313381
BA2520	8.3311533449718	8.1981158996604
BA2441	6.73745939965324	9.33455230246716
BA2153	8.06706072393759	9.89297540900361
BA2479	5.70908891657494	5.8733548574054
BA2281	8.68391306436784	8.8525926437112
BA2657	7.77846043065093	5.86861161809713
BA2932	8.3156761580726	10.061177091926
BA2123	8.0760787079227	6.10872354813756
BA2844	6.30418081628279	7.07486831392374
BA2660	7.95104961478815	8.61423212805534
BA2836	7.61949698331246	9.38234175781362
BA3027	5.78731556681433	3.93384904957346
BA2714	7.93658206656699	9.4045391740165
BA2139	6.4489544024993	8.12230223339654
BA2251	6.1556592421586	6.48364202900439
BA2952	7.40406179513594	9.4917929010063
BA2440	7.04775148018528	6.23442968340786
BA2036	9.25517667754352	10.0007468429699
BA2828	7.22543117773692	7.5932544466496
BA2292	6.80845562026412	2.71814995189887
BA2410	8.52190108216259	9.1410080593907
BA2051	7.1956195388029	6.28007937385132
BA2532	7.01060112681321	7.15158559200513
BA2986	7.5075244144456	9.93012293296997
BA2494	7.25790347094091	1.62077265501119
BA2515	6.48803668934059	6.30650779394135
BA2748	6.5808607051832	6.71554173603585
BA2970	6.1821095995856	6.56119717042577
BA2622	8.03722226484621	8.25135474465914
BA2839	8.91090509269608	6.91793209354363
BA2052	7.98386019261508	9.67150060698144
BA3011	7.42313394469991	7.01472936087095
BA2868	6.46333894051768	7.51191595859432
BA2510	4.1972207613263	7.69790613813162
BA2065	8.39027400222105	9.2389471182711
BA2691	7.49358396361658	7.01613705435711
BA2374	7.02480711295981	8.03197078783115
BA2804	6.75251712721233	5.86575939790696
BA2670	7.57604503702852	7.94936162159169
BA2675	8.07426638068647	9.09600320401444
BA2589	7.26585264294213	7.3370513303313
BA2031	7.6112304020112	9.82717700787936
BA2198	8.99211218550823	9.46372381175102
BA2066	7.23036606098158	9.88079564639631
BA2344	7.53734841909383	8.48158973981744
BA2459	8.28924318234402	7.58290428004672
BA2229	7.33073792117204	4.60792606754863
BA2559	7.76200686781066	7.21956573793108
BA2093	9.37793858616158	9.00955709168753
BA2000	7.77161485169371	8.65006116973985
BA2425	7.53511002571526	4.04111103630614
BA2905	7.41889646736553	8.01121552663761
BA2304	6.41128456721012	5.09390910729551
BA2976	7.3212161814573	6.88932432366148
BA2386	8.33337930026134	10.040753132835
BA2035	8.6306614688285	7.76614073791854
BA2760	6.77834045992494	7.45167143306165
BA2201	7.50539293842063	8.94761722776196
BA2355	7.33250978911574	6.16391479568772
BA2113	7.87430709609213	8.38007775591671
BA2155	6.8911840063889	5.46663574912202
BA2955	7.15876570695721	8.61423212805534
BA2502	7.21053357648558	9.62461563502098
BA2322	8.30691336971867	7.57131151688563
BA2376	6.52836297577895	6.56326897910348
BA2020	7.44544500262934	8.60067902691643
BA2226	7.86519796261888	7.88494695067266
BA2200	9.16398396797258	8.42559982560594
BA2121	7.67751428719864	8.09804401257278
BA2944	7.84127876561754	8.48407580140491
BA2033	6.83661488155882	6.6628728137431
BA2867	7.90342171341614	7.04988485075939
BA2089	6.3811905938473	8.24301678047805
BA2224	7.80392510487274	6.09007059138125
BA2046	8.3513230443853	6.93764309063722
BA2972	6.64684027167279	7.72941398094
BA2978	6.59622051144561	8.03884116383771
BA2829	8.5529001392332	8.73910632748104
BA2851	7.33339060020607	9.1410080593907
BA2587	8.5529001392332	8.53473617000875
BA2461	6.3423350524195	5.10001075384759
BA2695	7.02978091514104	6.97592290315855
BA2623	8.62242404966029	8.15090969693391
BA2024	6.81394894542996	6.91854859965898
BA2426	7.66015357873811	7.57003408038875
BA2271	8.23267071257109	7.43037850226792
BA3004	8.7629529869435	8.87824586229709
BA2579	6.18294422218273	6.7240814115045
BA3010	7.51413414557592	7.82406690467398
BA2662	7.3212161814573	8.07064998624987
BA2674	8.48158973981744	9.7418222227506
BA2280	9.08862153045619	8.99906762077278
BA2512	6.90877033903166	7.84734534450722
BA2658	5.53130217583918	8.26607857536642
BA2394	8.89449191470128	9.10341841676742
BA2950	7.80094268898657	9.04860912314158
BA2981	8.1336646480907	6.3314194986068
BA2934	5.4943411471575	2.71506286109277
BA2539	6.38171333036269	5.35709573192361
BA2249	8.27456876079558	9.50601427714714
BA2034	7.878761730409	9.98270084399411
BA2109	6.62086223855277	5.79524607347208
BA2242	8.21020338316209	9.88687313292775
BA2277	8.14898150925669	10.332335723606
BA2727	6.82309107200081	9.50601427714714
BA2132	7.631611105114	7.51527675972318
BA2618	7.41308925427417	7.62437772428186
BA2521	8.40194775982719	9.16398396797258
BA2846	8.58457840504288	10.2205801589611
BA2885	7.05570452227078	9.50125973784097
BA2639	8.7629529869435	7.878761730409
BA2775	7.98898804212453	7.90342171341614
BA2402	7.68895709467278	8.13176351189552
BA2097	7.66735491479546	9.02364943472175
BA2786	6.07058706634591	6.36086030376613
BA2399	8.92415796681604	9.96180572661262
BA2850	8.89776108628452	9.0271917203024
BA2174	7.24904224136933	8.48656626341456
BA2004	6.70141361221983	7.10851364264035
BA3001	8.50160207030541	10.0272952150123
BA2311	5.77033121359801	7.07180826529373
BA2483	8.46125654532408	8.61607464234973
BA3040	7.28800386009291	5.418675896471
BA2837	7.20544727648903	8.88148184246882
BA2724	6.84900595542396	9.36044459889599
BA2911	7.6954634086272	10.061177091926
BA2256	7.88342196520891	8.95099667095566
BA2821	7.89717932578411	10.1605247834958
BA2233	8.23061160269424	9.73079295605488
BA2744	8.27456876079558	8.44724078411408
BA2880	6.38738832095137	4.510389059264
BA2621	6.68242645093915	6.06801263248952
BA3002	8.21405263917023	9.27330009217111
BA2501	8.19611264417946	8.91090509269608
BA2993	8.06147774301482	8.8525926437112
BA2301	6.6441169206914	7.8210975174081
BA2852	6.54204262926234	5.52097220276146
BA2133	5.38803577864658	3.80561258862819
BA2866	7.64895583047878	7.22543117773692
BA2212	7.04918884608735	8.90103696609653
BA2685	7.15078589361001	6.60526101233573
BA2273	7.87430709609213	9.03429954865997
BA2477	7.94936162159169	9.64527993925034
BA2659	7.52196174027097	7.1956195388029
BA2124	8.25109369476589	9.47937675072972
BA2363	7.72127626045477	8.52445890903765
BA2369	7.12664090320603	8.6697155276332
BA2534	7.66369633945432	9.3735473533766
BA2400	8.12230223339654	9.57411368730524
BA2762	8.0044307958278	9.54945587390153
BA2312	7.23636521102564	10.1099887487995
BA2813	8.71562351354988	9.38675693832204
BA2211	9.1314039045803	8.62975229101475
BA2171	8.70690950167434	9.54457000922792
BA2746	6.76777472760262	8.24509615455004
BA2798	8.0301567645062	7.37967634115988
BA2809	8.2874098816496	10.0139606390354
BA2288	6.56942061445838	8.05115312612603
BA2801	6.40688318423783	6.68646890696546
BA3030	6.8958209414819	7.44839655086442
BA2588	7.74666982029682	8.63341745058943
BA2296	6.68242645093915	7.52987979374564
BA2300	7.42090370210596	8.1336646480907
BA2903	5.70452449404762	5.56777378042055
BA2473	7.19903013947942	5.69876878834828
BA2545	6.40549948389557	5.16497113004583
BA2840	7.37002936753922	0.732935262992316
BA2528	8.41846114844672	8.30909856685695
BA2646	8.12607789280928	8.43998936441936
BA3407	6.81145766315316	4.35648958622004
BA2240	8.38331776349613	8.31787605128572
BA2926	6.8791208631907	8.80867768640892
BA2272	6.91521402329812	9.33455230246716
BA2306	7.25527706310904	9.70896839270888
BA2765	7.17197273809379	7.18154554634955
BA2904	8.04414638908848	8.15671254170946
BA2883	7.68529642962647	6.94358580230343
BA2726	6.53298741802549	8.84307877151568
BA2234	6.48902852435197	9.69817061599593
BA2022	8.7214605815193	9.18338030789918
BA2228	6.87718695252014	4.49849748067558
BA2037	7.76884228347361	9.2109276242084
BA2184	6.85025853686514	8.33337930026134
BA3009	7.72809482559201	8.43998936441936
BA2842	6.54204262926234	4.87624040809935
BA2442	7.97720455656684	9.65571538111022
BA2882	6.12991458455326	6.83919348466817
BA2758	6.93954050250455	5.59174174629251
BA2705	8.51425498508966	7.05292631391108
BA2663	6.13505858445244	5.66127358464685
BA2570	7.40305574053771	7.48382605156173
BA2764	6.36086030376613	3.01810452808214
BA2209	5.2557008751781	9.55435683089665
BA2989	8.91420804405317	7.46260985261637
BA2855	7.08671523409321	3.40020939469318
BA2261	7.06094242567649	6.16609369248211
BA2721	7.95104961478815	8.39027400222105
BA2930	7.05213628356552	7.56206988956539
BA2728	7.07845414922519	6.7513352539061
BA2715	8.27031665707811	4.81025360122033
BA2469	6.43146976668751	4.24541957876823
BA2269	6.72932018001604	2.92135532112461
BA2098	7.45053981568106	7.89563066633541
BA2778	7.28268371584317	6.16434498353066
BA2951	8.81177412986094	8.40194775982719
BA2163	7.47212920454885	7.74666982029682
BA2379	6.96912043899967	1.67574340958225
BA2817	2.99842729770843	9.54789329963925
BA3153	5.62607242115432	5.23928838607356
BA2820	8.04242466385173	9.8155160837716
BA2723	6.11928256232472	6.8614500005054
BA2704	9.07761127342397	9.60929418124753
BA2088	5.98220791058853	4.70031416168302
BA2116	6.76359470107912	5.6144197194819
BA2584	6.72183111998027	9.41800548205558
BA3079	6.87718695252014	8.72438748273975
BA2417	8.17232215906216	9.04501990946176
BA2361	6.56065461359229	5.09602373542166
BA2450	8.57394218930808	7.86375133258917
BA2492	6.17598273714894	7.384595872256
BA2552	8.25135474465914	8.98864564355709
BA2472	7.70582137825133	5.34011007418947
BA2994	8.904319577833	8.34906675857089
BA2047	7.37002936753922	8.88472441482659
BA2101	7.07770710445007	7.02200264661639
BA2082	6.68127929274665	7.68652733200955
BA2879	7.30768711424343	6.04021038079235
BA2577	6.62413100331839	6.15353258469632
BA2456	6.57560815980456	8.16449260027971
BA2175	7.30948834304819	5.35709573192361
BA2824	9.22687989289351	8.96800104667789
BA2507	8.60067902691643	9.72530780524389
BA2563	8.93417001363455	8.96117775713075
BA2244	7.50539293842063	9.1755941413251
BA2470	8.27031665707811	6.26033254809805
BA2984	8.46185834013681	10.0272952150123
BA2414	8.26607857536642	8.94424486652991
BA2697	5.85542200416075	7.41308925427417
BA2079	5.88526249443146	4.0140211348306
BA2999	8.87824586229709	9.91143332054624
BA2644	6.6795007159625	8.67537853618004
BA2011	6.00051445317703	7.63755645913212
BA2217	6.39408540771364	8.3558471237735
BA2454	8.69249597847146	8.15477520582082
BA2776	9.44528028465592	9.4045391740165
BA2218	7.59694470359064	6.39210318114874
BA2135	7.68134464101013	8.44724078411408
BA2914	7.07251029744415	6.4108151402329
BA2500	8.5117153749805	8.27244095196937
BA2830	7.71088637463883	7.7605970351598
BA2406	6.74612605168156	7.09423229403913
BA3108	8.36266215228094	8.28526081080175
BA2924	7.64778904816974	8.27031665707811
BA2303	6.94294359338222	8.60337970015667
BA2160	8.30473182450184	10.0680496747685
BA2038	6.98756290986723	3.19915451806038
BA2602	6.98419090856441	3.686686945389
BA2964	7.1158850415745	2.89057971156237
BA2898	6.69750566900229	5.72441309220803
BA3003	6.52889213798317	4.8864219540017
BA2111	6.8867637487898	5.57448750435834
BA2827	6.732801148639	5.84234806468241
BA2912	6.37975842200095	5.28790037249449
BA2437	6.78618260321054	5.66975458997346
BA2283	6.46528423305325	5.1280622240178
BA2057	6.51205995717627	5.19486917662899
BA2633	6.82908216215166	5.45711106423954
BA3034	6.61380571566026	4.63422441968448
BA2607	6.59094704308975	5.08617132532278
BA2761	6.48462547088391	5.43991302011835
BA2795	6.58028734101557	5.70146183160515
BA2182	6.6952290990594	5.54393492602013
BA2152	6.59569193185131	4.8459770442243
BA2381	8.32449794408229	8.46185834013681
BA2931	6.84162430439576	6.20570520203135
BA2040	6.47228949068298	4.04397400975098
BA2590	8.70112769787832	9.2109276242084
BA3195	8.60337970015667	10.1678932710614
BA2516	7.54191215313676	8.4735346762313
BA2353	8.23267071257109	8.52958832512444
BA3036	7.44839655086442	8.68676863894814
BA2971	7.38361760058351	6.04359329819671
BA3410	7.42928783450574	9.36916799017741
BA3118	7.45275636284168	6.83535757136623
BA3206	7.32679901700122	8.45453034732936
BA3202	6.06255807626612	5.22280034919153
BA3217	8.60337970015667	10.5880026699568
BA3405	7.67359575985668	7.76884228347361
BA3306	7.96744532914178	6.59041781660964
BA3371	6.95150045701844	5.35155520786327
BA3413	7.17595663951225	7.60280427832536
BA3411	6.81811142246577	5.78933652729381
BA3133	7.51630069461518	7.38159192503731
BA3164	8.32671267592458	9.27982760161886
BA3451	7.13359161213086	7.91426996698012
BA3286	7.57724219112205	8.86536741111737
BA3212	7.69023500088856	0.482015845548193
BA3103	8.00271116464237	6.92369940347749
BA3271	8.49406416345013	9.73629770852437
BA3152	6.71035314821396	8.24301678047805
BA3095	8.49657233882556	9.12210512882866
BA3192	8.70112769787832	8.36494157515656
BA3251	7.85205086731265	8.57129520837751
BA3362	6.62413100331839	10.4284775273914
BA3400	8.13747585819058	7.92364245319313
BA3135	8.09619809378225	9.6874475749889
BA3408	5.26602721557854	4.93052250433244
BA3187	7.73200199894925	6.63655252284443
BA3098	8.57925061313916	9.21490111990201
BA3435	8.31347995218337	9.50125973784097
BA3261	6.36467185423724	7.76884228347361
BA3203	6.71610247691018	7.72809482559201
BA3174	7.60395254604328	6.85271739062875
BA3317	8.73025810259064	9.66095938066438
BA3299	7.5075244144456	7.97230357086309
BA3221	5.80067915322974	4.6132752340943
BA3347	6.87589317842963	7.18474506245045
BA3235	6.86648111845466	9.29647098090766
BA3126	6.89511146582289	9.54457000922792
BA3380	7.73071674907066	9.21490111990201
BA3089	8.2960419873451	8.3603866090308
BA3109	7.06166102601644	6.25135664028146
BA3114	6.5435898741168	7.33796606665151
BA3418	6.8602531678363	6.87025397395673
BA3245	7.2456266527422	7.62080780455831
BA3085	7.5725144548201	9.36044459889599
BA3128	8.14705635633251	8.23061160269424
BA3423	8.25764420926654	9.83304132704525
BA3173	6.97383568837724	8.6279105840654
BA3171	7.36724009431295	7.27982858914582
BA3277	8.18020169656618	8.79942491234482
BA3210	7.54295367203655	3.89787249471578
BA3157	8.92083445647999	9.00955709168753
BA3433	8.44724078411408	8.12418859250955
BA3322	6.43046914091516	4.36239520307836
BA3374	6.44227342376241	8.76897254396233
BA3450	7.94145634611773	7.66253850261184
BA3167	7.30768711424343	8.97485330936457
BA3269	7.33529770605395	9.14863087419242
BA3110	7.27982858914582	9.6837417558498
BA3156	6.32868471625961	-0.534916744230106
BA3226	8.77804587995587	9.47302564786274
BA3421	7.03474280183588	7.65513327960109
BA3232	8.35358316301659	8.34906675857089
BA3289	6.92559422045597	6.95685605328487
BA3430	6.39027254472215	7.68895709467278
BA3145	7.77015373984418	9.73079295605488
BA3399	6.76002445528346	4.64980426174159
BA3449	7.70197141870837	7.02624764830014
BA3384	8.0301567645062	8.48906113697349
BA3427	7.18556384102574	6.00134650129498
BA3163	5.74129207216541	5.77182174756257
BA3158	7.65513327960109	8.67821802831458
BA3436	8.84307877151568	10.4723744199077
BA3154	6.40549948389557	6.26881149847343
BA3162	8.25554427681065	7.1956195388029
BA3352	8.61607464234973	9.90067643419793
BA3084	7.00146186913291	9.87474271994728
BA3149	8.17428733914348	7.07994856692804
BA3169	6.91326402535282	7.61833712147791
BA3180	8.61968837224666	8.17822710034905
BA3255	8.2409408040855	8.7420670822246
BA3438	7.72809482559201	10.1459017836458
BA3345	6.04484767922597	4.49669256281289
BA3403	6.73865750312275	5.73552904725917
BA3431	6.71095851013656	6.57613558769718
BA3181	7.55754763062472	6.3282334089858
BA3341	7.61949698331246	6.43241877433245
BA3191	7.63278489020753	7.09339132647188
BA3197	8.25764420926654	9.36916799017741
BA3448	7.76884228347361	9.05220627117217
BA3453	7.46894970580743	8.34906675857089
BA3406	7.83268389248944	9.50601427714714
BA3308	9.19120372633416	10.0958725482412
BA3186	7.58065740201547	5.61137441450638
BA3334	7.29431703031285	7.94145634611773
BA3447	7.14687001357008	9.08494318011795
BA3116	6.41947371786185	6.17556084584677
BA3280	8.5529001392332	9.38234175781362
BA3185	6.25854276374572	10.0888662099127
BA3094	6.2379984984627	8.68676863894814
BA3318	6.87212018212394	8.91090509269608
BA3216	8.0760787079227	9.88687313292775
BA3332	7.93502206043898	7.2977714926992
BA3214	6.59838838471777	6.77952101227859
BA3099	8.79635277497105	9.06667487040862
BA3141	8.19611264417946	8.34007975821985
BA3373	7.42090370210596	7.29872623007905
BA3319	7.37299295258264	8.56601564488201
BA3328	7.97388709664949	8.04765964150367
BA3339	5.72866766844001	3.33268141494615
BA3240	8.17822710034905	8.86857724833819
BA3142	9.10341841676742	8.37639721534742
BA3333	8.32449794408229	10.4270272319076
BA3381	7.30768711424343	7.33890799019329
BA3290	7.12664090320603	6.90032088066256
BA3207	7.10693286579065	8.95099667095566
BA3296	6.1842076331656	3.95847739460523
BA3305	7.53093612416627	8.22855584188171
BA3434	8.49908497066643	8.55029123602985
BA3189	8.68106286594684	9.53000194332933
BA3264	8.41846114844672	9.67679810675791
BA3329	6.64579190444665	2.64143235528429
BA3417	6.54307132156237	7.18891809205662
BA3367	6.70309367478267	3.21695289492634
BA3225	7.07025966230358	9.11086746340759
BA3183	7.92699657991781	8.91420804405317
BA3222	6.58940815390926	7.73332620572976
BA3139	8.70874486254081	12.5256596633099
BA3397	8.06884590575294	8.8525926437112
BA3311	7.08368088883067	8.5117153749805
BA3422	7.98898804212453	8.70401585675217
BA3228	8.3972661940189	8.82734862624236
BA3213	8.09251475928632	7.73462168625585
BA3270	7.18474506245045	6.98890006339199
BA3415	8.672544374331	9.53969913371194
BA3324	7.65148276489013	8.52190108216259
BA3194	6.92239609110895	5.89918966262517
BA3335	8.6697155276332	8.82734862624236
BA3199	7.41600983782201	8.60337970015667
BA3326	5.81007696621955	8.54508752883457
BA3285	8.42744390017979	12.2211956145486
BA3297	8.1981158996604	10.0958725482412
BA3227	8.99211218550823	9.85077214115986
BA3394	7.13831231065164	7.81832288003789
BA3412	5.20189485084995	10.1242456090787
BA3293	9.22062772367926	8.31971259652754
BA3250	7.63755645913212	8.46922505155083
BA3177	8.54508752883457	8.84624370479657
BA3315	7.10534081557561	7.17197273809379
BA3182	7.62683244469809	7.26503778677364
BA3260	6.00431982068801	4.24925618439469
BA3369	7.84567146798846	8.70112769787832
BA3078	8.29355254161206	9.81711055855458
BA3386	9.19512951707567	8.99558616821901
BA3445	7.26066025557169	1.34360690251231
BA3452	7.46577618872004	9.04860912314158
BA3176	8.00107447892983	9.2109276242084
BA3258	6.64862107605335	8.46676516104844
BA3295	7.58290428004672	7.19903013947942
