	RUNX1	FLT3
BA2392	8.22240857358487	8.40429460371975
BA2611	8.24509615455004	8.45453034732936
BA2506	8.23267071257109	8.3926007250059
BA2430	8.27031665707811	8.40194775982719
BA2448	8.26607857536642	8.40429460371975
BA2730	8.27670009201677	8.44966638628301
BA2845	8.32671267592458	8.29820901257083
BA2326	8.31347995218337	8.29387857030758
BA2341	8.35811493599106	8.28526081080175
BA2612	8.31347995218337	8.31128742473223
BA2973	8.32007964073217	8.27883495411433
BA2390	8.29387857030758	8.27883495411433
BA3218	8.31347995218337	8.30473182450184
BA3105	8.24926512843891	8.31347995218337
BA3402	8.27456876079558	8.33784249776874
BA3276	8.25764420926654	8.29387857030758
BA2409	6.75831323775631	8.8525926437112
BA3037	7.64377441186557	6.50698545533974
BA2496	7.0949820634578	6.65958088429919
BA2172	6.54875546973009	2.5120216939863
BA2865	8.40664550150058	9.61949185438657
BA2923	7.4382687261571	8.42559982560594
BA2751	9.45155824142257	9.48875791800016
BA2480	9.25110414260315	8.14321512557108
BA2286	7.82833379039141	9.18338030789918
BA2922	8.52958832512444	9.2592593958878
BA2452	8.84624370479657	9.9941844593607
BA3379	7.11145591609312	9.83892848550566
BA2887	7.53303259081949	8.24509615455004
BA2712	7.50436087643108	8.65565049707964
BA2068	8.0179995830141	8.38100696139026
BA2236	8.79022656584331	9.04860912314158
BA2104	7.2245944685398	9.13342062895717
BA3124	7.10925539195399	6.07264657026384
BA3395	8.68106286594684	6.54255345963774
BA2921	8.14513423086413	8.83992016748168
BA2449	7.18474506245045	5.80773323921587
BA2003	8.13747585819058	7.73595323737682
BA2360	6.17338143773516	8.43037965011906
BA2802	7.51299557490928	8.34456564828853
BA2235	7.56436701911919	9.4917929010063
BA2858	6.5181383405608	6.42718608083043
BA3038	7.39635430321553	6.73222274372854
BA3006	8.75098362594822	9.27569316532541
BA2245	9.09600320401444	9.29229417829056
BA2667	7.40804987020109	10.040753132835
BA2239	7.09710413510838	9.55927298456459
BA2782	6.67339810625054	7.1956195388029
BA2649	8.91751782379931	8.94424486652991
BA2488	8.48407580140491	8.79328666582968
BA2861	6.18992574647122	6.87718695252014
BA2909	6.91854859965898	7.12505562496802
BA2429	7.12040364606583	7.05570452227078
BA2653	7.68013043810275	-0.687378911865671
BA2134	7.06371663624663	6.92559422045597
BA2947	7.78123623973778	8.7174580058356
BA2032	7.95765939482996	8.68962960513866
BA2162	6.37358566074055	8.89122942781574
BA2564	7.79663560293131	8.08701091285537
BA2597	7.63393532286626	3.19146280756599
BA3243	7.40609048790591	9.75851596885508
BA2106	8.13938594647296	10.1170993958946
BA2427	7.38560317769133	7.550843282623
BA2841	6.04647904010288	5.61255399082521
BA2446	6.23342882640082	8.64171611871059
BA2645	6.61649602743193	5.43474590254893
BA2525	5.30060514576655	3.80426788372329
BA2876	6.16229657509821	3.5928295499371
BA2357	7.01847365520979	8.1981158996604
BA2546	6.36695225743452	7.13359161213086
BA2742	7.41889646736553	8.91420804405317
