	SRSF2	NPM1
BA2106	9.17171491689544	9.54945587390153
BA2427	9.16398396797258	8.91090509269608
BA2841	9.67679810675791	9.13342062895717
BA2446	9.47302564786274	8.33784249776874
BA2645	9.12586826213153	8.42798766039968
BA2525	9.18338030789918	8.34456564828853
BA2876	9.19120372633416	8.61151153389318
BA2357	9.26745559419095	8.95777690896205
BA2546	8.86536741111737	8.0301567645062
BA2742	8.66689198102969	7.87584460904621
BA2316	8.95099667095566	8.22855584188171
BA2421	8.268195867683	8.28526081080175
BA2087	8.81980741439546	9.10147698629206
BA2910	8.89776108628452	9.22287720595147
BA2148	8.72438748273975	7.95609226155088
BA2063	9.26745559419095	8.34232080533324
BA2329	8.8717935877338	8.3972661940189
BA3178	8.87501645157825	8.76897254396233
BA2072	9.13342062895717	8.41135949860071
BA3029	9.45447558148811	8.78717245605116
BA2733	9.22687989289351	8.96458579397726
BA2995	9.52517542791568	8.45209623715645
BA2069	9.47769688223901	8.46185834013681
BA2100	8.672544374331	8.70690950167434
BA2681	9.19512951707567	9.52517542791568
BA2248	9.36916799017741	9.19906475607931
BA2832	9.60422004710875	8.18813169577028
BA2308	9.75851596885508	9.48708042008341
BA2413	9.62975620855742	9.4045391740165
BA2701	9.05581138653334	8.7361512573159
BA2634	9.3561004357089	8.22240857358487
BA2677	9.48238177689826	8.79635277497105
BA2937	9.27156918109996	8.25344779136567
BA2600	9.04860912314158	9.2429894144776
BA2019	9.52036350053221	8.12986534537924
BA2412	8.75995195431454	6.82309107200081
BA2334	9.56420444046175	8.94087956106744
BA2050	9.94905102299885	9.34744684153524
BA3230	9.08494318011795	8.78108213178214
BA2953	9.20696376307392	9.69817061599593
BA2481	9.8155160837716	8.58191208164573
BA2731	8.78108213178214	8.46185834013681
BA2294	9.60929418124753	9.25517667754352
BA2418	9.45909303825332	9.1410080593907
BA2816	9.36916799017741	9.14863087419242
BA2656	9.94905102299885	8.93082572022568
BA2814	9.10713869224013	7.63755645913212
BA2631	9.26745559419095	9.3561004357089
BA2023	9.01306871894599	8.3311533449718
BA2375	9.27156918109996	8.84941498844258
BA2485	9.67842749251503	8.78899864293157
BA2455	8.8589671548512	8.3156761580726
BA2025	9.09600320401444	8.56338303703764
BA2636	9.04860912314158	9.10713869224013
BA2325	8.45209623715645	7.29687122589928
BA2169	9.50601427714714	8.51934782702254
BA2156	9.38675693832204	9.48238177689826
BA2511	9.36916799017741	8.46430959418229
BA2939	9.13342062895717	9.41350421836705
BA2168	9.73079295605488	9.20300948929151
BA2505	9.39118419839355	9.09230819306279
BA2860	8.71271331389775	8.97485330936457
BA2707	9.20696376307392	9.12210512882866
BA2871	8.99211218550823	8.66689198102969
BA2655	9.60422004710875	9.36916799017741
BA2227	9.59916222255831	9.42251934116338
BA2125	9.41800548205558	7.76334677298606
BA2523	9.53000194332933	9.33455230246716
BA2603	9.12586826213153	8.99558616821901
BA2808	9.17948259034573	8.70112769787832
BA2282	9.02364943472175	7.26503778677364
BA2482	8.91090509269608	9.04501990946176
BA2812	9.70356008854553	8.81487669872437
BA2822	9.31672506964559	7.14998539597838
BA2594	9.22287720595147	8.42798766039968
BA2747	9.47769688223901	9.35176787188011
BA2561	9.93012293296997	9.09970659968869
BA2567	10.0007468429699	7.54085820588458
BA2906	9.91143332054624	8.80250309714617
BA2956	9.90525526471174	8.11104544817006
BA2474	9.00955709168753	9.08127310626888
BA2737	9.80971908397822	8.02685700006077
BA2110	8.73025810259064	7.71347289714959
BA2992	9.14481502348153	9.18338030789918
BA2220	9.40901547409309	9.00955709168753
BA2772	8.71853926395486	9.42251934116338
BA2935	9.17171491689544	8.55029123602985
BA2260	9.12964008242639	8.75098362594822
BA2676	9.23089240757758	8.7361512573159
BA2948	8.6697155276332	7.55189787670547
BA2524	8.98864564355709	9.2592593958878
BA2811	9.24704173883127	8.83676787171411
BA2540	9.04501990946176	8.86857724833819
BA2928	9.36916799017741	8.7214605815193
BA2302	9.39562360946183	9.38234175781362
BA2595	8.68106286594684	9.09230819306279
BA2792	9.54457000922792	8.66689198102969
BA2651	8.92748837970555	9.17948259034573
BA2619	8.7332018546727	7.88191833711993
BA3013	9.50601427714714	9.54457000922792
BA2405	8.70980864868103	9.64008823387741
BA2735	8.59798330037588	9.08494318011795
BA2856	8.92415796681604	7.56206988956539
BA2377	7.83840005803793	8.74389874448259
BA2499	8.81487669872437	9.66095938066438
BA2463	9.52684328251404	8.4179334910987
BA3023	9.00605305286098	9.17948259034573
BA2095	9.61438474364243	9.13342062895717
BA2901	8.45209623715645	8.51425498508966
BA2275	8.70401585675217	6.9401836518602
BA2387	9.30065851731011	8.68106286594684
BA2962	9.36480042798147	9.73079295605488
BA2195	8.97142354261209	8.69249597847146
BA2688	9.00264729477778	8.77262692606308
BA2787	8.94424486652991	6.35352478320916
BA2420	9.4000752436972	9.09970659968869
BA2756	8.61423212805534	9.56420444046175
BA2122	8.73025810259064	7.70840071464408
BA2053	8.71562351354988	9.16784487350203
BA2080	9.34313727945847	8.92748837970555
BA2081	9.50601427714714	9.00255657247606
BA2354	9.03608369232641	9.30238239860393
BA3273	9.00443312215534	7.24904224136933
BA2893	9.85077214115986	9.50601427714714
BA2044	9.3735473533766	8.43758065182973
BA2489	9.57411368730524	9.15628939970288
BA2309	9.39562360946183	9.05942450247106
BA2720	8.46249696810185	7.7605970351598
BA2908	8.66493693752935	9.83621907237271
BA2054	9.3217592552912	8.54508752883457
BA2872	9.13720994130471	8.00271116464237
BA2526	9.31328611186612	9.09600320401444
BA2041	9.88079564639631	9.02011485988608
BA2464	8.85577669200061	9.07395764638915
BA2902	10.0680496747685	8.82734862624236
BA2541	9.04860912314158	9.18338030789918
BA2143	9.0307417478067	7.22867709025789
BA2094	9.45909303825332	7.79956921933088
BA2769	8.97485330936457	8.904319577833
BA2843	9.29229417829056	8.88148184246882
BA2592	9.86871412745455	9.57909169555586
BA2497	8.61423212805534	8.09067732991193
BA2718	9.30906602396076	8.61151153389318
BA2575	8.55813210635661	7.3614587281193
BA2096	10.0958725482412	9.4000752436972
BA2593	10.111511463709	10.3090915070605
BA2791	9.61438474364243	9.14481502348153
BA2620	8.8717935877338	8.61695773628636
BA2629	9.55435683089665	9.4000752436972
BA2870	9.53484314535953	9.26745559419095
BA2423	8.69824500910271	7.73861349646242
BA2682	9.51078302100883	9.14863087419242
BA2276	9.1410080593907	8.91090509269608
BA2348	8.38563253120242	7.52987979374564
BA2709	8.68676863894814	8.81177412986094
BA2789	9.09600320401444	9.36480042798147
BA2694	9.42251934116338	8.92748837970555
BA2538	9.00955709168753	8.40429460371975
BA2583	9.67679810675791	9.44070228005406
BA2415	8.94424486652991	7.67493502317828
BA2722	8.95099667095566	7.0623479587219
BA2806	9.66622107740225	9.01306871894599
BA2221	9.47769688223901	7.99413751864958
BA3025	9.50125973784097	9.2389471182711
BA2514	9.49819442110274	8.62153057515291
BA2520	9.53000194332933	9.08127310626888
BA2441	9.62461563502098	7.40108920011618
BA2153	9.11460476788528	9.57909169555586
BA2479	9.67313133431446	8.22832881693221
BA2281	9.64527993925034	9.01658796485945
BA2657	8.99211218550823	8.33560901482561
BA2932	9.47769688223901	9.12210512882866
BA2123	9.82717700787936	9.57909169555586
BA2844	9.66095938066438	9.22687989289351
BA2660	9.16784487350203	9.06304565250042
BA2836	9.14481502348153	8.74800571415782
BA3027	9.29647098090766	7.63041516939983
BA2714	8.89449191470128	8.89122942781574
BA2139	8.42559982560594	6.80299244523417
BA2251	9.3260124319477	8.32671267592458
BA2952	8.99211218550823	8.16254296358662
BA2440	9.83892848550566	8.39493145233583
BA2036	9.65571538111022	8.75695672842528
BA2828	9.06304565250042	8.09804401257278
BA2292	9.94271473100152	8.98173476670244
BA2410	9.64527993925034	9.34313727945847
BA2051	8.88472441482659	7.46363654414575
BA2532	8.94424486652991	7.45571345371651
BA2986	9.67150060698144	8.95099667095566
BA2494	9.52036350053221	8.39027400222105
BA2515	9.48238177689826	8.66407371953991
BA2748	9.45909303825332	9.33883912107995
BA2970	9.11835064360706	8.8589671548512
BA2622	9.01306871894599	8.65006116973985
BA2839	9.29229417829056	8.72438748273975
BA2052	9.55435683089665	9.10713869224013
BA3011	9.07750677038397	8.50277388292747
BA2868	9.47769688223901	9.00255657247606
BA2510	8.99211218550823	9.01658796485945
BA2065	9.09600320401444	9.20696376307392
BA2691	8.86536741111737	8.11104544817006
BA2374	9.67679810675791	8.21222936163239
BA2804	9.08494318011795	8.8879736022598
BA2670	8.28526081080175	7.93824432889201
BA2675	9.13342062895717	9.08494318011795
BA2589	9.03786515454843	8.38563253120242
BA2031	8.60608533344799	8.87824586229709
BA2198	9.07395764638915	9.39118419839355
BA2066	8.90103696609653	8.28097335559112
BA2344	9.43613726309062	9.57411368730524
BA2459	8.31312330931764	9.38404554334867
BA2229	9.38675693832204	8.53473617000875
BA2559	8.86857724833819	8.68391306436784
BA2093	9.22287720595147	9.23491479941431
BA2000	9.58408544068247	8.08701091285537
BA2425	9.50768698561149	8.47600328572046
BA2905	9.16784487350203	9.22687989289351
BA2304	8.61695773628636	7.16215175411855
BA2976	8.97485330936457	8.65285322774346
BA2386	8.79328666582968	9.09970659968869
BA2035	9.22287720595147	9.33455230246716
BA2760	8.49657233882556	8.29820901257083
BA2201	9.08494318011795	8.89776108628452
BA2355	9.52517542791568	8.59260663428802
BA2113	9.44407804044761	8.50026123971081
BA2155	9.88687313292775	8.99906762077278
BA2955	9.09600320401444	8.07971165578759
BA2502	9.14863087419242	8.05457002396872
BA2322	9.160132157513	8.93082572022568
BA2376	8.61423212805534	6.97993778438247
BA2020	9.83892848550566	9.15245565249128
BA2226	8.93417001363455	8.81487669872437
BA2200	9.73079295605488	9.30065851731011
BA2121	8.92415796681604	8.92748837970555
BA2944	9.2389471182711	9.90525526471174
BA2033	9.53484314535953	7.17761745050204
BA2867	9.30065851731011	8.66126072825912
BA2089	8.18416035809344	7.65513327960109
BA2224	9.12964008242639	8.38331776349613
BA2046	9.1872873383188	9.3217592552912
BA2972	9.44070228005406	9.160132157513
BA2978	8.40194775982719	7.85205086731265
BA2829	8.97485330936457	8.79635277497105
BA2851	9.2592593958878	8.5529001392332
BA2587	9.02364943472175	8.72438748273975
BA2461	9.21490111990201	7.94314055717551
BA2695	9.0468018581655	7.68652733200955
BA2623	9.3217592552912	9.57411368730524
BA2024	9.17171491689544	7.58759859001841
BA2426	9.0307417478067	8.88148184246882
BA2271	9.12964008242639	7.95452812467512
BA3004	9.80971908397822	8.57129520837751
BA2579	8.85577669200061	7.85633367820174
BA3010	8.87824586229709	9.00605305286098
BA2662	9.06304565250042	8.34232080533324
BA2674	9.25517667754352	9.15245565249128
BA2280	9.22287720595147	8.50160207030541
BA2512	8.54249270039127	6.81629782268832
BA2658	9.30065851731011	9.070312190258
BA2394	9.26335235036244	8.21222936163239
BA2950	9.31751716888528	9.49651930986164
BA2981	8.89449191470128	8.63894476137773
BA2934	9.3260124319477	7.22625304922136
BA2539	9.11835064360706	7.8925772722697
BA2249	9.22687989289351	8.63894476137773
BA2034	8.99390471507907	8.94268168369866
BA2109	8.65285322774346	7.61245153291675
BA2242	9.45909303825332	8.12041880838799
BA2277	9.2389471182711	8.68676863894814
BA2727	8.92415796681604	9.83304132704525
BA2132	9.8991027074875	8.672544374331
BA2618	8.70690950167434	8.61151153389318
BA2521	9.09970659968869	8.672544374331
BA2846	9.30906602396076	9.1755941413251
BA2885	8.57925061313916	8.02142525655183
BA2639	9.4270458724936	9.04860912314158
BA2775	9.44987135785787	8.84941498844258
BA2402	8.84307877151568	9.26335235036244
BA2097	9.28812805203208	9.44070228005406
BA2786	9.42251934116338	9.34313727945847
BA2399	9.63491369950168	9.44070228005406
BA2850	9.89297540900361	8.91090509269608
BA2174	9.04860912314158	8.34232080533324
BA2004	8.48407580140491	7.48933909555342
BA3001	9.67679810675791	9.69817061599593
BA2311	8.78412431760784	7.93028682049466
BA2483	8.63525880753156	8.48343527695382
BA3040	9.43158515365849	9.00605305286098
BA2837	9.0271917203024	9.37793858616158
BA2724	8.88472441482659	8.5607551950315
BA2911	8.99558616821901	9.35176787188011
BA2256	9.27569316532541	9.43613726309062
BA2821	9.34313727945847	9.69817061599593
BA2233	9.65571538111022	9.19906475607931
BA2744	9.14863087419242	9.34313727945847
BA2880	9.160132157513	8.34906675857089
BA2621	8.9076089453561	8.28097335559112
BA3002	8.69720423583871	8.42744390017979
BA2501	9.40901547409309	8.48407580140491
BA2993	9.35176787188011	8.84624370479657
BA2301	9.0307417478067	8.06147774301482
BA2852	9.3561004357089	8.29820901257083
BA2133	9.2389471182711	7.83554388846121
BA2866	9.8991027074875	9.19906475607931
BA2212	9.33027676031699	9.33455230246716
BA2685	9.26745559419095	9.39562360946183
BA2273	9.98114720830101	8.83362186336888
BA2477	9.26335235036244	9.29229417829056
BA2659	8.52958832512444	8.45453034732936
BA2124	9.87632246618632	9.49819442110274
BA2363	8.26607857536642	8.84941498844258
BA2369	9.25110414260315	8.79328666582968
BA2534	9.34313727945847	9.0271917203024
BA2400	9.43613726309062	9.46836798648192
BA2762	9.34313727945847	8.96117775713075
BA2312	9.53484314535953	8.79635277497105
BA2813	9.78106105276028	9.54457000922792
BA2211	9.85831326849695	9.17734760232419
BA2171	9.64008823387741	9.17171491689544
BA2746	8.98518651350313	7.89401548128851
BA2798	9.27569316532541	9.67679810675791
BA2809	9.39118419839355	9.1872873383188
BA2288	9.98087822775469	8.55505298542423
BA2801	8.83362186336888	8.32449794408229
BA3030	8.61063875058243	8.66873090783595
BA2588	9.60929418124753	9.44070228005406
BA2296	9.36916799017741	9.28397254525379
BA2300	9.88687313292775	8.69249597847146
BA2903	8.3926007250059	6.47376016789819
BA2473	9.93797001113285	9.13518361120238
BA2545	9.17171491689544	8.25764420926654
BA2840	9.22062772367926	8.5971359914493
BA2528	9.30485684547982	9.14863087419242
BA2646	8.95099667095566	8.84941498844258
BA3407	9.38234175781362	8.40429460371975
BA2240	9.28812805203208	8.25554427681065
BA2926	9.26745559419095	9.48238177689826
BA2272	8.97485330936457	8.26607857536642
BA2306	8.7420670822246	8.87501645157825
BA2765	8.55029123602985	7.08068398565122
BA2904	9.13720994130471	8.52958832512444
BA2883	9.01306871894599	9.05581138653334
BA2726	8.54249270039127	6.49846429425474
BA2234	8.97142354261209	7.19816924570359
BA2022	9.75851596885508	8.91751782379931
BA2228	9.25517667754352	8.48906113697349
BA2037	9.23089240757758	9.49651930986164
BA2184	9.45447558148811	9.2592593958878
BA3009	9.76974697360105	9.06304565250042
BA2842	8.61968837224666	7.37484847247432
BA2442	8.9076089453561	8.86536741111737
BA2882	8.5607551950315	7.69790613813162
BA2758	8.76897254396233	8.01121552663761
BA2705	9.20696376307392	8.4594113881339
BA2663	8.62516478231551	7.58640399756741
BA2570	8.79022656584331	9.070312190258
BA2764	8.18813169577028	7.86519796261888
BA2209	8.67821802831458	8.23267071257109
BA2989	9.10341841676742	8.87824586229709
BA2855	8.81487669872437	7.70582137825133
BA2261	8.53400537696188	7.49565796423242
BA2721	8.97829037472744	8.41608983118813
BA2930	8.43517613550052	7.75371580805874
BA2728	8.5373170330564	7.74132890165977
BA2715	9.56420444046175	7.71215406681609
BA2469	8.35811493599106	7.96260346447077
BA2269	8.18416035809344	7.15633759792086
BA2098	9.14863087419242	8.09251475928632
BA2778	8.52190108216259	6.98621603600523
BA2951	9.14863087419242	9.78674968596522
BA2163	9.36044459889599	7.09568366825665
BA2379	8.65845299235754	7.31397253852267
BA2817	8.68189146093676	7.86671215518685
BA3153	9.47302564786274	7.92699657991781
BA2820	8.86216405394702	8.20414503388581
BA2723	9.09600320401444	8.22445433533228
BA2704	9.58408544068247	9.23491479941431
BA2088	9.4917929010063	8.3972661940189
BA2116	8.77199110438686	6.78491577385659
BA2584	10.0475291689068	7.87430709609213
BA3079	10.0007468429699	8.24717893447311
BA2417	9.65571538111022	8.47910806756512
BA2361	9.1755941413251	8.09067732991193
BA2450	9.24704173883127	8.75995195431454
BA2492	8.19611264417946	7.35202275514424
BA2552	9.00955709168753	9.4270458724936
BA2472	8.68106286594684	8.04060780611373
BA2994	9.23491479941431	9.04501990946176
BA2047	9.58909503454725	8.54249270039127
BA2101	9.48238177689826	8.5117153749805
BA2082	8.77804587995587	8.97829037472744
BA2879	9.17171491689544	7.48057619109315
BA2577	9.54457000922792	9.4000752436972
BA2456	8.80250309714617	8.22445433533228
BA2175	9.59412059033195	6.84399982384708
BA2824	9.19512951707567	8.58457840504288
BA2507	9.88079564639631	9.15245565249128
BA2563	9.68211371581436	9.21888429779212
BA2244	8.84624370479657	8.44966638628301
BA2470	9.76974697360105	8.66407371953991
BA2984	9.6874475749889	8.74503353869987
BA2414	9.64008823387741	9.11835064360706
BA2697	9.44696832329653	7.00782899353321
BA2079	8.68391306436784	6.63915578339387
BA2999	9.03429954865997	8.59529250724368
BA2644	9.3735473533766	8.30909856685695
BA2011	9.09600320401444	8.00619097456886
BA2217	9.69279982690398	9.35176787188011
BA2454	9.86270964606403	9.13720994130471
BA2776	9.80971908397822	9.1872873383188
BA2218	9.59916222255831	9.47302564786274
BA2135	9.94271473100152	9.53000194332933
BA2914	8.83362186336888	7.96905854853838
BA2500	9.0307417478067	7.68775219309565
BA2830	9.44987135785787	9.79819104218496
BA2406	9.4270458724936	8.13176351189552
BA3108	9.43613726309062	9.44528028465592
BA2924	9.09230819306279	8.76595984417136
BA2303	8.83676787171411	7.93352218493006
BA2160	9.55927298456459	8.82110029202306
BA2038	9.0307417478067	8.40194775982719
BA2602	8.56338303703764	8.32893113987774
BA2964	8.8717935877338	7.878761730409
BA2898	9.44987135785787	7.94635895319707
BA3003	9.48238177689826	7.88191833711993
BA2111	9.58408544068247	8.01457218763256
BA2827	9.58909503454725	8.18020169656618
BA2912	9.55927298456459	8.18217944661747
BA2437	9.55927298456459	8.21832699326225
BA2283	9.58909503454725	7.92868137841977
BA2057	9.54457000922792	7.89563066633541
BA2633	9.58909503454725	8.3603866090308
BA3034	9.55435683089665	7.97720455656684
BA2607	9.3735473533766	8.18813169577028
BA2761	9.4270458724936	8.40194775982719
BA2795	9.54457000922792	8.00271116464237
BA2182	9.54457000922792	8.19411260375688
BA2152	9.49651930986164	7.89401548128851
BA2381	9.80971908397822	9.55927298456459
BA2931	9.53000194332933	8.34456564828853
BA2040	9.34313727945847	7.72277870826456
BA2590	9.60929418124753	9.34744684153524
BA3195	9.3561004357089	9.4045391740165
BA2516	8.94268168369866	9.40177461105289
BA2353	9.2429894144776	9.62461563502098
BA3036	9.11086746340759	9.44070228005406
BA2971	9.02543573403374	8.05801802157941
BA3410	9.47302564786274	7.99739906746641
BA3118	9.22287720595147	8.8525926437112
BA3206	9.57411368730524	9.09600320401444
BA3202	9.48238177689826	8.84307877151568
BA3217	9.4045391740165	9.33455230246716
BA3405	8.22445433533228	7.61245153291675
BA3306	9.00255657247606	9.27982760161886
BA3371	9.10341841676742	8.91420804405317
BA3413	9.58909503454725	9.33027676031699
BA3411	9.07395764638915	8.88148184246882
BA3133	9.3561004357089	7.55977224878375
BA3164	9.13342062895717	8.77804587995587
BA3451	8.52958832512444	7.44242521067177
BA3286	9.36916799017741	8.50412364911741
BA3212	9.56098320131876	7.50105244518025
BA3103	8.91751782379931	8.7420670822246
BA3271	9.1872873383188	8.92748837970555
BA3152	9.3735473533766	7.13359161213086
BA3095	9.79245962144758	8.61695773628636
BA3192	9.11086746340759	9.4000752436972
BA3251	9.40901547409309	8.7420670822246
BA3362	9.00434706477645	7.81686981561798
BA3400	9.65048894475304	8.15477520582082
BA3135	9.4000752436972	9.25517667754352
BA3408	9.63491369950168	8.42321613548815
BA3187	9.27569316532541	8.65006116973985
BA3098	9.12964008242639	8.77804587995587
BA3435	9.19120372633416	9.4000752436972
BA3261	9.54457000922792	9.06667487040862
BA3203	9.76974697360105	7.19738153999511
BA3174	8.89776108628452	7.89563066633541
BA3317	9.33883912107995	9.90525526471174
BA3299	8.75098362594822	8.268195867683
BA3221	8.78108213178214	7.54085820588458
BA3347	9.43158515365849	7.9003747386446
BA3235	8.20012237793382	6.9965338713589
BA3126	8.26607857536642	7.65148276489013
BA3380	9.04143859741613	9.05220627117217
BA3089	9.2389471182711	9.4917929010063
BA3109	8.46185834013681	7.91267481802265
BA3114	9.17171491689544	8.27456876079558
BA3418	8.97829037472744	9.1755941413251
BA3245	9.56915130536806	6.72876764999848
BA3085	9.07761127342397	9.2109276242084
BA3128	9.45909303825332	9.4045391740165
BA3423	9.67679810675791	9.59916222255831
BA3173	9.98114720830101	9.26335235036244
BA3171	8.83048212173684	7.55754763062472
BA3277	9.43158515365849	8.79022656584331
BA3210	9.19120372633416	8.24301678047805
BA3157	9.56420444046175	10.1099887487995
BA3433	9.53969913371194	8.7214605815193
BA3322	9.53484314535953	8.25554427681065
BA3374	8.79328666582968	8.92415796681604
BA3450	9.60422004710875	8.63894476137773
BA3167	8.47663077360064	9.04501990946176
BA3269	9.60929418124753	7.80392510487274
BA3110	9.66259277874038	9.20870997646767
BA3156	9.2592593958878	9.73079295605488
BA3226	9.39118419839355	9.55927298456459
BA3421	8.95777690896205	8.25344779136567
BA3232	9.27569316532541	9.03786515454843
BA3289	8.61423212805534	7.61833712147791
BA3430	8.38747453651413	7.74666982029682
BA3145	9.30906602396076	8.61695773628636
BA3399	8.96117775713075	7.84567146798846
BA3449	9.09230819306279	9.45447558148811
BA3384	9.17948259034573	8.824221356442
BA3427	9.28812805203208	7.21134659078952
BA3163	8.52958832512444	7.08148396341999
BA3158	9.55927298456459	9.2592593958878
BA3436	9.61438474364243	9.67679810675791
BA3154	9.62258533258528	7.76749698582267
BA3162	8.12230223339654	8.60337970015667
BA3352	8.92264013919218	9.67313133431446
BA3084	9.31751716888528	8.78717245605116
BA3149	8.71853926395486	7.8210975174081
BA3169	8.9076089453561	8.24301678047805
BA3180	9.2109276242084	9.11460476788528
BA3255	9.41350421836705	8.64449262965366
BA3438	9.62975620855742	9.3735473533766
BA3345	8.94087956106744	7.67751428719864
BA3403	8.47415784691615	8.41372261793503
BA3431	8.42559982560594	7.86519796261888
BA3181	8.03722226484621	8.39960495989321
BA3341	8.96458579397726	7.99413751864958
BA3191	8.77804587995587	8.36494157515656
BA3197	9.16398396797258	8.97829037472744
BA3448	9.38234175781362	9.08494318011795
BA3453	9.12586826213153	8.80867768640892
BA3406	9.82133532639013	8.79635277497105
BA3308	9.17948259034573	9.38675693832204
BA3186	9.40240975182614	8.48399844841995
BA3334	8.65565049707964	8.7214605815193
BA3447	9.52036350053221	9.60422004710875
BA3116	8.97485330936457	8.70401585675217
BA3280	9.53969913371194	9.25110414260315
BA3185	9.19906475607931	8.5373170330564
BA3094	8.6697155276332	8.59798330037588
BA3318	8.42559982560594	8.47663077360064
BA3216	9.40901547409309	8.8879736022598
BA3332	9.41800548205558	9.36916799017741
BA3214	9.25691151442812	9.51245452204643
BA3099	9.4045391740165	8.8717935877338
BA3141	9.39562360946183	9.43158515365849
BA3373	9.3217592552912	8.78108213178214
BA3319	8.43037965011906	7.51413414557592
BA3328	9.28812805203208	8.07971165578759
BA3339	9.732408696693	8.07425460403884
BA3240	9.08127310626888	8.97485330936457
BA3142	9.44070228005406	8.62516478231551
BA3333	9.46372381175102	8.98864564355709
BA3381	8.74800571415782	8.18217944661747
BA3290	8.8879736022598	8.25344779136567
BA3207	7.93502206043898	7.11965805588277
BA3296	8.8879736022598	7.05061628699762
BA3305	8.82110029202306	8.59260663428802
BA3434	9.27569316532541	9.18338030789918
BA3189	9.08862153045619	8.87824586229709
BA3264	9.55435683089665	8.69536777456055
BA3329	9.48406046211483	9.45616130594571
BA3417	9.23491479941431	8.57925061313916
BA3367	8.60436299215519	7.38257507273258
BA3225	8.11666073243668	6.41555515164963
BA3183	9.04143859741613	8.88148184246882
BA3222	9.08494318011795	8.70401585675217
BA3139	8.88653621315296	7.46894970580743
BA3397	9.64527993925034	6.732801148639
BA3311	8.07971165578759	7.04704814373678
BA3422	10.0888662099127	9.02011485988608
BA3228	8.68391306436784	8.92415796681604
BA3213	9.26335235036244	8.62516478231551
BA3270	8.8717935877338	8.31787605128572
BA3415	9.34744684153524	7.56784611916855
BA3324	8.8525926437112	8.5607551950315
BA3194	9.68211371581436	8.68106286594684
BA3335	9.96822468421139	8.19211577067672
BA3199	9.4917929010063	9.4000752436972
BA3326	9.27569316532541	8.22036612888066
BA3285	8.72329447406972	7.61362919863888
BA3297	9.09230819306279	8.05288390011611
BA3227	9.11460476788528	8.79022656584331
BA3394	8.65006116973985	9.39118419839355
BA3412	8.93752128537319	7.81249915728454
BA3293	9.44239146973819	8.85123237146193
BA3250	9.21888429779212	7.96260346447077
BA3177	9.47769688223901	8.77199110438686
BA3315	8.96117775713075	8.34906675857089
BA3182	8.91751782379931	7.94936162159169
BA3260	8.43758065182973	7.42825345365406
BA3369	9.24704173883127	8.66407371953991
BA3078	9.20475662343021	8.96297616127633
BA3386	9.71984209806913	8.89776108628452
BA3445	9.4000752436972	8.25135474465914
BA3452	8.57129520837751	8.77199110438686
BA3176	9.29229417829056	9.21490111990201
BA3258	8.64449262965366	7.18983138735934
BA3295	8.76897254396233	8.05972702484149
