	SRSF2	NPM1
BA2392	9.83892848550566	9.6874475749889
BA2611	9.86270964606403	9.60929418124753
BA2506	9.83892848550566	9.61949185438657
BA2430	9.85672905613112	9.61949185438657
BA2448	9.85672905613112	9.61438474364243
BA2730	9.83304132704525	9.62461563502098
BA2845	9.8991027074875	9.57909169555586
BA2326	9.87474271994728	9.58408544068247
BA2341	9.93012293296997	9.58909503454725
BA2612	9.90525526471174	9.55927298456459
BA2973	9.93012293296997	9.56915130536806
BA2390	9.92386690563917	9.55927298456459
BA3218	9.89297540900361	9.56420444046175
BA3105	9.95541459791256	9.53000194332933
BA3402	10.0007468429699	9.53484314535953
BA3276	9.98114720830101	9.51556606369543
BA2409	8.41135949860071	7.88494695067266
BA3037	8.23061160269424	9.1755941413251
BA2496	8.84307877151568	8.3156761580726
BA2172	8.71271331389775	9.2592593958878
BA2865	9.22287720595147	9.53484314535953
BA2923	7.64511152399424	6.98208266015901
BA2751	9.50293364970638	9.13897207935234
BA2480	8.73025810259064	8.38563253120242
BA2286	8.92083445647999	9.51078302100883
BA2922	9.3217592552912	9.78674968596522
BA2452	9.82133532639013	9.33027676031699
BA3379	9.46372381175102	9.31328611186612
BA2887	9.13342062895717	9.06304565250042
BA2712	9.39118419839355	7.82549928808227
BA2068	10.6289390647318	8.67821802831458
BA2236	9.22287720595147	8.75995195431454
BA2104	7.64511152399424	6.91599118004167
BA3124	9.38234175781362	8.84307877151568
BA3395	9.09970659968869	8.58457840504288
BA2921	9.54945587390153	9.00605305286098
BA2449	8.60608533344799	9.52036350053221
BA2003	9.75293118746352	9.04501990946176
BA2360	9.42251934116338	9.4000752436972
BA2802	9.53969913371194	7.15633759792086
BA2235	8.93082572022568	8.83362186336888
BA2858	9.30906602396076	8.91420804405317
BA3038	8.60879594020241	7.73462168625585
BA3006	9.64008823387741	9.15245565249128
BA2245	9.49651930986164	9.0307417478067
BA2667	8.95438322249582	9.13720994130471
BA2239	8.66407371953991	8.17428733914348
BA2782	8.89122942781574	7.59101188148724
BA2649	9.61438474364243	9.2429894144776
BA2488	8.90103696609653	7.91111348596979
BA2861	9.17948259034573	9.11460476788528
BA2909	8.79205235357759	7.83704881770087
BA2429	8.99222936727265	8.66493693752935
BA2653	9.26099325755712	8.41556616709075
BA2134	8.46430959418229	8.30037965468589
BA2947	9.415200229547	9.91920628125652
BA2032	8.73910632748104	9.3735473533766
BA2162	9.18338030789918	8.85577669200061
BA2564	8.9076089453561	8.74800571415782
BA2597	9.50768698561149	8.13547459853116
BA3243	9.04501990946176	8.84307877151568
