	PTPN11	KIT
BA2392	7.10534081557561	8.48407580140491
BA2611	6.97042186538325	8.46430959418229
BA2506	7.0594253136799	8.46185834013681
BA2430	7.07556396699123	8.48906113697349
BA2448	7.06596636229514	8.46676516104844
BA2730	7.09423229403913	8.46922505155083
BA2845	7.04424068249485	8.53990253916599
BA2326	7.05570452227078	8.52702131941912
BA2341	7.01847365520979	8.54768703664719
BA2612	7.08741196449123	8.50160207030541
BA2973	7.0420285397911	8.53215993801742
BA2390	7.07405167828484	8.49657233882556
BA3218	7.04344633578654	8.48906113697349
BA3105	7.00490622738367	8.45209623715645
BA3402	7.01983909137586	8.44966638628301
BA3276	7.01338554790523	8.40194775982719
BA2409	6.68698956921182	6.89778124838191
BA3037	7.26938021173089	5.49725940478877
BA2496	6.71610247691018	5.51241676925768
BA2172	6.91265400996675	4.37272792121348
BA2865	7.04276966075825	8.38563253120242
BA2923	6.20964310204874	-1.83754692529431
BA2751	6.61925110660737	2.3627073872351
BA2480	6.55451548155805	5.00103650264355
BA2286	6.86903485569995	8.5872495962732
BA2922	7.26585264294213	9.77539354132974
BA2452	7.26503778677364	9.0271917203024
BA3379	7.09710413510838	8.66689198102969
BA2887	7.26238233832031	8.0301567645062
BA2712	7.05796014084047	0.402949581289092
BA2068	6.78009238710876	6.7421473941764
BA2236	6.78739149461742	8.09435501163422
BA2104	6.3190384639483	0.598455727053896
BA3124	6.27468820513848	6.29048213777498
BA3395	7.54970729199318	6.84399982384708
BA2921	7.46679247570854	9.60422004710875
BA2449	7.09710413510838	6.87788091401863
BA2003	5.98627491229184	5.06527754778608
BA2360	6.83403264485773	7.94635895319707
BA2802	7.15951987646114	9.09230819306279
BA2235	6.75309739437635	8.0044307958278
BA2858	6.71325528813671	6.02698748997862
BA3038	6.69136843496562	7.71347289714959
BA3006	6.87403385388121	5.2871864159011
BA2245	7.51849616731086	9.85077214115986
BA2667	6.70082648857542	8.75396729152058
BA2239	6.62136909185019	5.0610421966443
BA2782	6.3931237186825	5.3063518272781
BA2649	7.22705513643141	6.45042558800672
BA2488	7.03986452617139	7.52428329559334
BA2861	7.08598210070988	7.79956921933088
BA2909	6.55713498264667	6.47866220517702
BA2429	6.38694021270264	6.57560815980456
BA2653	8.09064390303592	0.779913057719338
BA2134	6.67231936736834	6.16187946786899
BA2947	7.04635072837336	6.64131489127646
BA2032	6.95550948162844	6.53646349390772
BA2162	7.16132716982423	8.27031665707811
BA2564	6.77246010495607	6.76240903317338
BA2597	7.34837532536667	5.54658259376352
BA3243	7.0549889553605	7.38062061343463
BA2106	6.44275689894875	7.77713213848426
BA2427	6.95895559810233	5.71100608100859
BA2841	6.8971019245288	6.71667600372627
BA2446	6.85962983110872	2.69090003434147
BA2645	7.16132716982423	10.0958725482412
BA2525	6.23708437608245	4.05402094746754
BA2876	6.6963494054774	6.00881830211778
BA2357	6.70250395591763	5.46954197713849
BA2546	7.03779348616319	6.5518017021576
BA2742	6.59094704308975	3.1321279031107
BA2316	6.68698956921182	3.27431420538309
BA2421	6.67231936736834	1.76094876809065
BA2087	7.08068398565122	8.58375614592974
BA2910	7.55300749734541	7.45571345371651
BA2148	7.22867709025789	7.71472395965624
BA2063	6.33509433573957	2.4375086335962
BA2329	6.72062167573975	6.61117532741348
BA3178	6.54408446340443	6.71780036034788
BA2072	6.69807753006718	7.31397253852267
BA3029	6.81689630084604	6.52375465899181
BA2733	6.53989151011847	7.2371970090631
BA2995	6.54978276410253	5.70643173596218
BA2069	6.97731252665637	4.07958610816328
BA2100	6.74268846032395	5.76256437697443
BA2681	7.03126251610198	6.69356109841864
BA2248	7.33163994376767	5.93163668749835
BA2832	7.2509128285615	7.30411511402805
BA2308	7.17275321082541	7.60989112051761
BA2413	7.166329054571	7.69420627031986
BA2701	6.83403264485773	6.3314194986068
BA2634	7.23215951369131	6.86903485569995
BA2677	6.83029032072815	6.69580577134555
BA2937	7.08741196449123	7.32489473499785
BA2600	6.24819820835326	5.59027419096801
BA2019	7.18812871773308	-0.780448523359928
BA2412	6.54766219361137	5.79950973684786
BA2334	6.86903485569995	4.93436696034119
BA2050	7.14070376063247	6.1180523945273
BA3230	6.88430660085161	6.93827202821145
BA2953	6.42575430557831	6.81086164089737
BA2481	6.61700352029779	5.46628439479905
BA2731	6.72355108630667	6.4137172012398
BA2294	7.07329793491951	8.904319577833
BA2418	6.6143322001923	5.42857060288721
BA2816	6.82309107200081	5.36072833704901
BA2656	6.78618260321054	3.65263152336696
BA2814	6.37031994316104	4.23701647161103
BA2631	6.93021683662514	7.37396310701658
BA2023	6.57921927462639	-0.425828695317915
BA2375	6.84162430439576	7.47830743039593
BA2485	6.90877033903166	7.17116786854616
BA2455	6.77246010495607	0.213349457050806
BA2025	7.25008508374438	5.99479766689368
BA2636	7.08068398565122	6.64186594668035
BA2325	6.76476869070353	4.27232629182903
BA2169	7.80392510487274	7.30411511402805
BA2156	6.77834045992494	8.99558616821901
BA2511	6.38217571781426	4.81690090080098
BA2939	6.28823715765654	7.64377441186557
BA2168	7.02698040559294	3.54447318338801
BA2505	7.21621114040909	6.69861654752334
BA2860	7.13596647021647	6.10105446354612
BA2707	7.01543819204674	4.47937233979517
BA2871	7.01759724929549	6.4442145827922
BA2655	7.09710413510838	6.1522898333018
BA2227	6.45750445904916	6.87084783224833
BA2125	7.32880266743386	7.24473994098098
BA2523	7.12664090320603	8.62516478231551
BA2603	6.7928687930301	6.26033254809805
BA2808	7.62925234894777	6.80486837491
BA2282	6.03279032756297	0.275450535390316
BA2482	6.97042186538325	8.51425498508966
BA2812	6.40785243829132	0.390163792184238
BA2822	7.85777881958234	6.64684027167279
BA2594	7.22204702944845	7.31665510949842
BA2747	6.84839040918598	6.53543485984192
BA2561	6.23664169060856	1.51130448384538
BA2567	5.88005273032646	1.72847085742469
BA2906	7.23036606098158	6.151452910791
BA2956	6.67446820413111	5.88606180557595
BA2474	6.71554173603585	7.37771038448057
BA2737	6.8175184307766	3.93165864889064
BA2110	6.42189529871828	3.98774117772589
BA2992	7.02978091514104	5.40957494113667
BA2220	7.18644077892568	5.05504885396523
BA2772	6.64072538795855	5.93332587992066
BA2935	6.48412876670839	6.4108151402329
BA2260	6.88993208075706	4.5552347102947
BA2676	6.9965338713589	7.74536502725477
BA2948	6.67339810625054	7.64255001400601
BA2524	6.87150487669772	7.27555120012057
BA2811	7.33796606665151	5.21501701134356
BA2540	6.6322579586067	5.98011491063707
BA2928	6.81569990825769	6.05650405294687
BA2302	6.75716311747521	6.56685915377229
BA2595	6.73108967735957	7.36047250037276
BA2792	6.80239867331755	6.66177361256097
BA2651	7.43037850226792	6.88867708372879
BA2619	7.281719536851	8.67821802831458
BA3013	6.8072812584581	5.69333061318898
BA2405	6.61979235879454	5.94473215258657
BA2735	6.59311218108753	5.40147695209821
BA2856	6.62245620960063	5.36476332195428
BA2377	7.47952389617521	6.32635613681556
BA2499	7.33163994376767	8.03722226484621
BA2463	6.1281715906941	-0.256578476181957
BA3023	7.07180826529373	5.91320591729895
BA2095	7.27636680044251	5.73627139725326
BA2901	6.75831323775631	4.75201016058728
BA2275	6.90492530830845	7.82833379039141
BA2387	6.9068542300968	8.6279105840654
BA2962	7.12040364606583	6.10621461216555
BA2195	6.71384139703977	6.92111028015582
BA2688	6.43193622663115	5.64352989350398
BA2787	5.683055970914	3.13490199455068
BA2420	7.09927444538542	7.9003747386446
BA2756	6.73922514739457	6.19822146547957
BA2122	6.21887740590051	4.4543011664344
BA2053	6.74097656792209	7.50105244518025
BA2080	6.6892157543699	8.30255392241405
BA2081	7.04635072837336	8.48656626341456
BA2354	7.18398636132438	9.28155652487085
BA3273	6.61484329859941	0.651829022283505
BA2893	6.58991080721251	6.14672505812723
BA2044	6.98137959105818	7.70961368830257
BA2489	7.08227901596389	5.95233629524957
BA2309	6.84162430439576	7.13359161213086
BA2720	6.80239867331755	5.0932101529727
BA2908	7.10160504306164	7.7071077714624
BA2054	6.53448056780642	5.13193342655662
BA2872	6.8072812584581	6.41806054956223
BA2526	6.71268468403438	5.60348204059795
BA2041	7.34082017175962	6.14889515620208
BA2464	7.01338554790523	7.70197141870837
BA2902	6.25676516705994	5.85341733924409
BA2541	7.08368088883067	7.62080780455831
BA2143	7.02052497875875	7.12590219224429
BA2094	6.56326897910348	0.162179847700664
BA2769	6.45847746962255	6.82369230677028
BA2843	6.29268793995786	7.68775219309565
BA2592	6.72757025712009	6.28328278970437
BA2497	7.05362684769664	-1.79323399416306
BA2718	6.92559422045597	7.99739906746641
BA2575	6.55713498264667	5.99724316529864
BA2096	6.77304018403642	6.21496669116308
BA2593	5.14123425745589	5.69295647546023
BA2791	7.35578970076071	6.3688389446517
BA2620	6.88993208075706	7.19985683529985
BA2629	6.73637438056	5.91637612602088
BA2870	6.83843057067482	2.62348222679061
BA2423	6.46528423305325	2.36769406332286
BA2682	7.00642277827321	7.64895583047878
BA2276	6.60106588860888	5.42161592263156
BA2348	6.31115381839613	2.91773529558035
BA2709	6.80966373142259	6.00841658197255
BA2789	6.89441914208329	8.25344779136567
BA2694	6.37687982809383	6.30006188044534
BA2538	6.90492530830845	5.37928711694374
BA2583	7.47634089236666	7.81538872947805
BA2415	6.25354722820146	4.50065722085035
BA2722	7.79240622395492	7.10612705087253
BA2806	6.95550948162844	7.51084212363206
BA2221	6.65792194443728	4.19332061557143
BA3025	7.25696535562506	7.20800173217813
BA2514	6.6886775034689	5.86940153677441
BA2520	6.74670042339904	4.68486735962429
BA2441	7.29872623007905	7.72277870826456
BA2153	7.37002936753922	8.99906762077278
BA2479	6.11118909883084	3.64055833212888
BA2281	7.33529770605395	4.88780360986739
BA2657	6.83029032072815	4.35206524028425
BA2932	6.88492067829042	7.52657913903788
BA2123	7.53867754134672	6.19874995357892
BA2844	6.7316871446616	7.31484141146978
BA2660	7.15633759792086	5.87260128091849
BA2836	6.7058515766051	7.15078589361001
BA3027	6.26203648745747	2.43277955517649
BA2714	6.60106588860888	7.35673455123978
BA2139	6.47376016789819	1.49445405603774
BA2251	6.88553914900191	7.64135506224067
BA2952	7.06094242567649	4.05764463767079
BA2440	7.23974353995359	5.83560892628546
BA2036	6.96567270429015	5.0083041453619
BA2828	6.71443140013608	7.44544500262934
BA2292	6.71155130794723	5.99724316529864
BA2410	6.87847286019697	7.51527675972318
BA2051	6.75309739437635	5.25714318052804
BA2532	7.166329054571	4.7790741086654
BA2986	6.95017040445475	8.01965582601105
BA2494	7.28268371584317	6.43793151264448
BA2515	6.91918219556931	6.68127929274665
BA2748	6.92898560318184	7.62437772428186
BA2970	6.71950765088023	5.98303645552473
BA2622	6.41603346705047	4.83724303208421
BA2839	7.39444593270682	7.48490734822992
BA2052	6.83661488155882	5.78192253760815
BA3011	6.52889213798317	3.98080879790434
BA2868	6.8867637487898	6.52324588492183
BA2510	6.81145766315316	6.50804753914762
BA2065	7.08068398565122	8.25974759702626
BA2691	6.91457416198527	1.42234206716286
BA2374	6.87025397395673	7.01983909137586
BA2804	6.53989151011847	5.98220791058853
BA2670	6.55965463360655	5.55778136463102
BA2675	7.07180826529373	7.92045916247849
BA2589	6.79699042284113	5.29733962996603
BA2031	6.77360382440632	4.36276075031951
BA2198	7.25611345915688	6.53495824677914
BA2066	6.69300731767576	5.94221717949707
BA2344	6.87337102503918	5.28107931681894
BA2459	6.79520689964912	5.17241204196236
BA2229	6.82188197814107	7.33250978911574
BA2559	6.51154576024005	4.47062750328023
BA2093	7.67359575985668	8.6697155276332
BA2000	6.78865136154736	7.94314055717551
BA2425	7.60395254604328	5.65372634921578
BA2905	7.22543117773692	7.50539293842063
BA2304	6.57041549701901	-0.736047992509252
BA2976	6.6562779760327	6.62737493861003
BA2386	6.54875546973009	6.41227021268222
BA2035	7.6112304020112	5.79487700443781
BA2760	7.21956573793108	5.5985184260425
BA2201	6.62952631509886	5.93777047922961
BA2355	6.95017040445475	4.98897342757444
BA2113	7.06371663624663	8.53327685252825
BA2155	7.08671523409321	7.62437772428186
BA2955	6.76898394569665	4.5391313162393
BA2502	6.68355614720783	5.85381815948029
BA2322	6.6430484484285	7.97894297933459
BA2376	6.46333894051768	3.16972930293428
BA2020	6.94945791531145	5.28216189346069
BA2226	6.81394894542996	5.88838394030345
BA2200	6.97176870633362	6.80486837491
BA2121	7.04133576078419	5.77488348222962
BA2944	7.26150324021213	6.94758145894243
BA2033	6.56014980461976	5.59251221721887
BA2867	6.66177361256097	8.57394218930808
BA2089	6.3688389446517	3.23189129338738
BA2224	6.83535757136623	8.09067732991193
BA2046	6.79874731374986	7.94314055717551
BA2972	6.54042498941119	8.02685700006077
BA2978	6.34007878045522	4.44482165400227
BA2829	6.85895592875875	7.62320575204897
BA2851	6.78491577385659	8.58992566833602
BA2587	6.75946045637828	8.15284092667829
BA2461	6.40454724548096	4.86570889780568
BA2695	6.50854787129231	4.77523727497609
BA2623	7.1445927897216	7.62925234894777
BA2024	6.09557546472806	6.07479305709891
BA2426	6.82970946742006	6.97110220501606
