	NF1	RAD21
BA2000	142.75490360837196	9.381081344897805
BA2003	153.6363602362335	10.804738111151956
BA2004	186.3131826561012	13.335979114927524
BA2006	0.0	2.270388898058533
BA2011	72.85716052294515	4.533384234237969
BA2019	204.9947885795207	12.845973706067053
BA2020	274.7370236131756	10.474535979065164
BA2022	126.77737922849806	8.710936477994075
BA2023	57.57670274404444	10.766220668380647
BA2024	129.19307576825068	6.96521768918246
BA2025	135.04261049402936	10.505514139483594
BA2031	47.7445319683995	8.497243158696646
BA2032	215.03490271417868	6.366887987848954
BA2033	92.53923653042108	10.68218662349429
BA2034	153.47329527828623	6.3724050702506645
BA2035	124.98326638084282	9.09435826239406
BA2036	238.32690231687388	11.528528001706562
BA2037	298.2964495900539	12.161082044759937
BA2041	135.22863046072317	15.208390411040217
BA2044	82.04710015020497	11.425941509678632
BA2046	144.0633694963439	6.153405994615816
BA2047	123.2929360773152	7.212823003588878
BA2050	95.22651628154628	7.305722580287018
BA2051	90.68870047977845	10.076275553605024
BA2052	110.66973675190388	13.286222314454694
BA2053	129.04169527931813	7.685499593258364
BA2054	115.25580563960666	11.47302251367756
BA2055	1.861283467889972	0.8900090654720321
BA2063	56.62966505689601	10.446657944155708
BA2065	201.62135608839577	11.84997670061323
BA2066	124.09319568255268	8.783252326731535
BA2068	78.65829945488635	8.054864759728023
BA2069	57.54297490294547	11.861180142963963
BA2072	86.57166007727321	5.724137968839168
BA2079	61.12137145648837	5.054760892054986
BA2080	157.83351245834615	10.124380642568726
BA2081	109.72745843655122	4.620438733254882
BA2082	81.44008518006407	8.105587557245181
BA2087	39.44265347415752	6.064210598186296
BA2088	122.118312008315	11.119498790097158
BA2089	166.7588903652543	13.153433288445951
BA2093	120.06260334565768	13.89440940587197
BA2094	80.35342502132465	14.301152628574505
BA2095	125.72932620776494	9.161177992328549
BA2096	38.14635019971428	9.584242645222831
BA2097	274.9535971649002	16.873178231003937
BA2098	26.433437712180453	6.2107357582394345
BA2100	66.13538217435533	6.090356050041996
BA2101	72.0511876030681	6.636690901812592
BA2104	88.2053799306977	5.107654904717963
BA2106	153.3726439647684	5.7185547695433705
BA2109	115.04825583911432	7.887808449114563
BA2110	74.36471936282452	4.875980173627301
BA2113	223.4154468177113	9.1025554010968
BA2116	171.4319149038356	17.398189447644924
BA2121	72.40096351612218	5.12776073278341
BA2122	54.47294224439686	11.690318294638107
BA2123	190.53116384213277	17.55701446978709
BA2124	184.66017011723795	12.868529500425566
BA2125	25.534304216960667	12.876343621232197
BA2132	170.7127216635003	9.340554458045636
