#Boxplots d'expressions du gène SMC1A en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 22594.000, p-value = 0.01009
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2312     yes        6.141927
BA2813     yes        6.069300
BA2211     yes        7.082976
BA2171     yes        7.812499
BA2746     yes        7.029112
BA2798      no        6.007221
BA2588     yes        6.238855
BA2296     yes        6.902269
BA2300     yes        7.384596
BA2545      no        7.003555
BA2840     yes        6.580861
BA2528      no        6.758872
BA2646     yes        6.396900
BA2926      no        7.108514
BA2272     yes        6.417539
BA2306     yes        6.624131
BA2726      no        6.832143
BA2234     yes        8.208181
BA2022     yes        7.301409
BA2037     yes        6.669439
BA2184     yes        7.009913
BA3009     yes        7.126641
BA2442     yes        6.571951
BA2882     yes        6.394535
BA2570     yes        5.930390
BA2721     yes        6.940184
BA2728      no        7.436309
BA2098     yes        7.081484
BA2951     yes        6.740977
BA2778     yes        6.948816
BA3153     yes        4.791366
BA2820     yes        6.632258
BA2704     yes        7.741329
BA2584     yes        6.553365
BA3079     yes        5.915950
BA2361     yes        6.535965
BA2472     yes        5.942217
BA2047      no        7.280861
BA2101      no        5.830114
BA2082     yes        5.680395
BA2456     yes        5.653358
BA2175     yes        7.090477
BA2507     yes        6.457997
BA2563     yes        6.518138
BA2984     yes        6.705852
BA2414     yes        7.271107
BA2697     yes        6.325902
BA2644      no        6.408778
BA2011     yes        5.319763
BA2217     yes        6.987563
BA2454     yes        6.802399
BA2776     yes        7.878762
BA2135     yes        6.308875
BA2914     yes        7.420904
BA2500     yes        7.179997
BA3108      no        7.296871
BA2303      no        7.018474
BA2160      no        6.073057
BA2590      no        6.950854
BA3195     yes        5.958490
BA3036      no        6.356703
BA2971      no        5.287538
BA3410      no        6.064688
BA3118     yes        6.341457
BA3206     yes        6.627898
BA3217     yes        6.656814
BA3405      no        6.453001
BA3306     yes        5.437694
BA3413      no        6.673398
BA3411     yes        7.201524
BA3133     yes        6.873371
BA3451     yes        7.075564
BA3286     yes        7.799569
BA3212     yes        7.243903
BA3103      no        6.094720
BA3271     yes        7.581777
BA3152     yes        7.081484
BA3095     yes        6.432897
BA3251     yes        7.427218
BA3362     yes        7.553007
BA3135     yes        5.762180
BA3408      no        5.869402
BA3098     yes        6.760024
BA3435      no        6.412270
BA3261     yes        6.738011
BA3203     yes        5.285748
BA3299     yes        6.374046
BA3347     yes        6.624662
BA3126     yes        6.580287
BA3418     yes        5.037142
BA3245     yes        5.903120
BA3085      no        6.001735
BA3171     yes        6.182518
BA3277     yes        5.586462
BA3157     yes        6.799312
BA3433     yes        4.996651
BA3374     yes        7.111456
BA3450      no        6.368839
BA3167     yes        5.896464
BA3269      no        5.358886
BA3110     yes        5.682680
BA3156      no        6.174237
BA3226     yes        6.948196
BA3421     yes        6.171214
BA3232     yes        7.520821
BA3289     yes        5.303464
BA3430      no        6.502006
BA3384     yes        7.666140
BA3427      no        6.234430
BA3449     yes        6.763595
BA3163     yes        7.420904
BA3158     yes        6.637078
BA3436     yes        6.923035
BA3154     yes        5.940600
BA3162     yes        5.606934
BA3352     yes        5.771822
BA3084     yes        7.339786
BA3149      no        5.528401
BA3169     yes        5.982635
BA3180      no        5.436219
BA3255     yes        6.377330
BA3438     yes        6.620862
BA3345     yes        6.207402
BA3431     yes        5.163895
BA3181     yes        6.573054
BA3341     yes        5.549139
BA3191     yes        6.414654
BA3197     yes        7.043446
BA3448     yes        7.313012
BA3453      no        6.655181
BA3406     yes        5.912828
BA3334     yes        6.310690
BA3447      no        5.808912
BA3116      no        6.153971
BA3280      no        5.610641
BA3185     yes        5.222103
BA3094     yes        6.278728
BA3318     yes        6.151014
BA3216     yes        5.779656
BA3332     yes        7.211347
BA3373     yes        6.766563
BA3319     yes        6.493009
BA3328     yes        6.826735
BA3240     yes        6.606345
BA3142     yes        5.282933
BA3333     yes        5.700325
BA3381     yes        7.120404
BA3290     yes        6.317204
BA3207     yes        6.310228
BA3305     yes        5.794042
BA3434     yes        6.928986
BA3189     yes        6.447102
BA3264     yes        6.523755
BA3329     yes        6.455522
BA3225     yes        6.101902
BA3397     yes        6.722381
BA3311     yes        6.143736
BA3422     yes        5.341183
BA3213     yes        6.659581
BA3415     yes        8.756957
BA3270     yes        6.785508
BA3324     yes        6.582017
BA3335     yes        5.460372
BA3199     yes        7.254403
BA3326     yes        6.366009
BA3297     yes        6.799312
BA3227     yes        7.280861
BA3412     yes        7.142213
BA3250     yes        7.179997
BA3177     yes        7.333391
BA3315     yes        7.003555
BA3182     yes        6.624662
BA3369     yes        6.809028
BA3078     yes        6.512060
BA3386     yes        7.203867
BA3176     yes        7.398294
BA3258     yes        7.162995
BA3295     yes        6.861450
BA3136     yes        6.587276
BA3234     yes        6.295033
BA3087     yes        6.915214
BA3454     yes        7.213008
BA3302     yes        6.686990
BA3117     yes        6.819477
BA3266     yes        7.012713
BA3268     yes        7.014729
BA3229     yes        6.426241
BA3353     yes        6.670584
BA3312     yes        7.328803
BA3119     yes        7.091910
BA3219     yes        6.067617
BA3351     yes        7.136714
BA3357     yes        5.817263
BA3208     yes        6.490028
BA3310     yes        6.881622
BA3200     yes        6.426241
BA3146     yes        6.529883
BA3211     yes        6.619251
BA3130     yes        6.379758
BA3376     yes        6.473760
BA3137     yes        6.716676
BA3300     yes        6.599491
BA3375     yes        7.495658
BA3385     yes        7.120404
BA3416     yes        6.690273
BA3123      no        6.052796
