	IDH2	KIT
BA2429	7.43426786956565	6.57560815980456
BA2653	8.88978486658959	0.779913057719338
BA2134	7.41497012248878	6.16187946786899
BA2947	8.22627943224245	6.64131489127646
BA2032	7.75510135803604	6.53646349390772
BA2162	7.46474071975909	8.27031665707811
BA2564	8.24301678047805	6.76240903317338
BA2597	7.85205086731265	5.54658259376352
BA3243	7.96905854853838	7.38062061343463
BA2106	8.44481942009045	7.77713213848426
BA2427	7.99413751864958	5.71100608100859
BA2841	9.26745559419095	6.71667600372627
BA2446	8.52190108216259	2.69090003434147
BA2645	9.14481502348153	10.0958725482412
BA2525	6.8791208631907	4.05402094746754
BA2876	7.46260985261637	6.00881830211778
BA2357	8.73910632748104	5.46954197713849
BA2546	8.06706072393759	6.5518017021576
BA2742	7.80094268898657	3.1321279031107
BA2316	8.04414638908848	3.27431420538309
BA2421	8.03197078783115	1.76094876809065
BA2087	8.4934060566155	8.58375614592974
BA2910	8.50664971851981	7.45571345371651
BA2148	7.08821062221174	7.71472395965624
BA2063	6.611693175134	2.4375086335962
BA2329	8.0095286113404	6.61117532741348
BA3178	8.03550248502968	6.71780036034788
BA2072	8.53215993801742	7.31397253852267
BA3029	7.69921272259806	6.52375465899181
BA2733	8.22650342209935	7.2371970090631
BA2995	8.41846114844672	5.70643173596218
BA2069	8.65565049707964	4.07958610816328
BA2100	7.63755645913212	5.76256437697443
BA2681	8.51679913189176	6.69356109841864
BA2248	8.30473182450184	5.93163668749835
BA2832	8.3695120975799	7.30411511402805
BA2308	8.26607857536642	7.60989112051761
BA2413	8.32449794408229	7.69420627031986
BA2701	7.60395254604328	6.3314194986068
BA2634	7.81249915728454	6.86903485569995
BA2677	8.27670009201677	6.69580577134555
BA2937	8.23061160269424	7.32489473499785
BA2600	8.16254296358662	5.59027419096801
BA2019	8.7332018546727	-0.780448523359928
BA2412	7.24218373520164	5.79950973684786
BA2334	8.12230223339654	4.93436696034119
BA2050	8.72731998420373	6.1180523945273
BA3230	8.51934782702254	6.93827202821145
BA2953	9.03786515454843	6.81086164089737
BA2481	8.41135949860071	5.46628439479905
BA2731	7.72809482559201	6.4137172012398
BA2294	8.69249597847146	8.904319577833
BA2418	7.83704881770087	5.42857060288721
BA2816	8.27244095196937	5.36072833704901
BA2656	8.50412364911741	3.65263152336696
BA2814	8.7332018546727	4.23701647161103
BA2631	8.03722226484621	7.37396310701658
BA2023	7.84567146798846	-0.425828695317915
BA2375	7.84127876561754	7.47830743039593
BA2485	8.52886682883828	7.17116786854616
BA2455	7.18644077892568	0.213349457050806
BA2025	8.672544374331	5.99479766689368
BA2636	8.25554427681065	6.64186594668035
BA2325	7.05796014084047	4.27232629182903
BA2169	8.85577669200061	7.30411511402805
BA2156	8.78108213178214	8.99558616821901
BA2511	7.46784096415085	4.81690090080098
BA2939	7.72545959564587	7.64377441186557
BA2168	8.29820901257083	3.54447318338801
BA2505	8.14705635633251	6.69861654752334
BA2860	8.42321613548815	6.10105446354612
BA2707	8.66689198102969	4.47937233979517
BA2871	7.80682500789732	6.4442145827922
BA2655	8.7420670822246	6.1522898333018
BA2227	8.0301567645062	6.87084783224833
BA2125	8.3695120975799	7.24473994098098
BA2523	8.58992566833602	8.62516478231551
BA2603	7.97230357086309	6.26033254809805
BA2808	8.20213208675208	6.80486837491
BA2282	7.09119041085949	0.275450535390316
BA2482	8.43037965011906	8.51425498508966
BA2812	8.25764420926654	0.390163792184238
BA2822	9.45324250904435	6.64684027167279
BA2594	8.40194775982719	7.31665510949842
BA2747	8.55813210635661	6.53543485984192
BA2561	8.07789379739417	1.51130448384538
BA2567	6.56478809528508	1.72847085742469
BA2906	8.95099667095566	6.151452910791
BA2956	7.83985748399556	5.88606180557595
BA2474	7.82988769642495	7.37771038448057
BA2737	8.0301567645062	3.93165864889064
BA2110	7.17595663951225	3.98774117772589
BA2992	8.37180321609369	5.40957494113667
BA2220	8.79022656584331	5.05504885396523
BA2772	8.22445433533228	5.93332587992066
BA2935	8.03369173116136	6.4108151402329
BA2260	8.23267071257109	4.5552347102947
BA2676	8.5555137585582	7.74536502725477
BA2948	7.3014086607396	7.64255001400601
BA2524	8.30037965468589	7.27555120012057
BA2811	8.49156043324924	5.21501701134356
BA2540	7.64636707538027	5.98011491063707
BA2928	9.16398396797258	6.05650405294687
BA2302	8.06706072393759	6.56685915377229
BA2595	8.86857724833819	7.36047250037276
BA2792	8.38795127420314	6.66177361256097
BA2651	7.83268389248944	6.88867708372879
BA2619	8.57129520837751	8.67821802831458
BA3013	9.13342062895717	5.69333061318898
BA2405	8.57394218930808	5.94473215258657
BA2735	8.01965582601105	5.40147695209821
BA2856	6.83661488155882	5.36476332195428
BA2377	8.70296361717243	6.32635613681556
BA2499	8.30909856685695	8.03722226484621
BA2463	8.46370355203629	-0.256578476181957
BA3023	8.57129520837751	5.91320591729895
BA2095	9.33883912107995	5.73627139725326
BA2901	7.69288267465993	4.75201016058728
BA2275	8.24717893447311	7.82833379039141
BA2387	7.88494695067266	8.6279105840654
BA2962	8.59529250724368	6.10621461216555
BA2195	8.20012237793382	6.92111028015582
BA2688	7.81385914418798	5.64352989350398
BA2787	6.53792906948021	3.13490199455068
BA2420	8.65006116973985	7.9003747386446
BA2756	8.77804587995587	6.19822146547957
BA2122	7.22786001580346	4.4543011664344
BA2053	8.13938594647296	7.50105244518025
BA2080	8.7420670822246	8.30255392241405
BA2081	8.62242404966029	8.48656626341456
BA2354	8.03197078783115	9.28155652487085
BA3273	8.71530617987172	0.651829022283505
BA2893	7.97069985635942	6.14672505812723
BA2044	8.60067902691643	7.70961368830257
BA2489	8.3311533449718	5.95233629524957
BA2309	8.77501554362266	7.13359161213086
BA2720	7.72941398094	5.0932101529727
BA2908	8.46065657230778	7.7071077714624
BA2054	7.90191887122195	5.13193342655662
BA2872	8.7420670822246	6.41806054956223
BA2526	7.97556074370465	5.60348204059795
BA2041	9.11460476788528	6.14889515620208
BA2464	8.03197078783115	7.70197141870837
BA2902	7.84883391972247	5.85341733924409
BA2541	8.09989277486394	7.62080780455831
BA2143	7.95296500400789	7.12590219224429
BA2094	8.51679913189176	0.162179847700664
BA2769	8.45696872743274	6.82369230677028
BA2843	9.00955709168753	7.68775219309565
BA2592	8.77804587995587	6.28328278970437
BA2497	8.52190108216259	-1.79323399416306
BA2718	9.77539354132974	7.99739906746641
BA2575	8.0044307958278	5.99724316529864
BA2096	8.90103696609653	6.21496669116308
BA2593	7.29348678773891	5.69295647546023
BA2791	7.98067391429632	6.3688389446517
BA2620	7.72809482559201	7.19985683529985
BA2629	8.34906675857089	5.91637612602088
BA2870	8.60608533344799	2.62348222679061
BA2423	7.46260985261637	2.36769406332286
BA2682	8.11478606741055	7.64895583047878
BA2276	8.5872495962732	5.42161592263156
BA2348	7.57949702449786	2.91773529558035
BA2709	8.36722488709977	6.00841658197255
BA2789	8.77501554362266	8.25344779136567
BA2694	7.95452812467512	6.30006188044534
BA2538	8.78108213178214	5.37928711694374
BA2583	8.68676863894814	7.81538872947805
BA2415	7.4333053034535	4.50065722085035
BA2722	8.55813210635661	7.10612705087253
BA2806	8.20012237793382	7.51084212363206
BA2221	8.33560901482561	4.19332061557143
BA3025	9.00255657247606	7.20800173217813
BA2514	8.09800077099819	5.86940153677441
BA2520	8.96458579397726	4.68486735962429
BA2441	8.31347995218337	7.72277870826456
BA2153	7.85777881958234	8.99906762077278
BA2479	7.08297551023298	3.64055833212888
BA2281	8.48906113697349	4.88780360986739
BA2657	7.76200686781066	4.35206524028425
BA2932	8.48906113697349	7.52657913903788
BA2123	9.3735473533766	6.19874995357892
BA2844	8.96800104667789	7.31484141146978
BA2660	8.65565049707964	5.87260128091849
BA2836	8.06147774301482	7.15078589361001
BA3027	7.12040364606583	2.43277955517649
BA2714	7.85633367820174	7.35673455123978
BA2139	6.79931174111644	1.49445405603774
BA2251	9.4000752436972	7.64135506224067
BA2952	7.71347289714959	4.05764463767079
BA2440	7.89883083701412	5.83560892628546
BA2036	7.88793681406652	5.0083041453619
BA2828	8.0095286113404	7.44544500262934
BA2292	9.64008823387741	5.99724316529864
BA2410	8.30255392241405	7.51527675972318
BA2051	7.5032888272442	5.25714318052804
BA2532	7.76614073791854	4.7790741086654
BA2986	8.4424022836884	8.01965582601105
BA2494	8.41135949860071	6.43793151264448
BA2515	8.77804587995587	6.68127929274665
BA2748	8.85577669200061	7.62437772428186
BA2970	8.42798766039968	5.98303645552473
BA2622	7.29431703031285	4.83724303208421
BA2839	8.62516478231551	7.48490734822992
BA2052	8.74800571415782	5.78192253760815
BA3011	7.85205086731265	3.98080879790434
BA2868	8.84624370479657	6.52324588492183
BA2510	8.79942491234482	6.50804753914762
BA2065	8.24509615455004	8.25974759702626
BA2691	7.21224786715344	1.42234206716286
BA2374	9.14863087419242	7.01983909137586
BA2804	8.83362186336888	5.98220791058853
BA2670	6.96289154217268	5.55778136463102
BA2675	8.34456564828853	7.92045916247849
BA2589	7.41008797800013	5.29733962996603
BA2031	7.68134464101013	4.36276075031951
BA2198	8.64171611871059	6.53495824677914
BA2066	7.64377441186557	5.94221717949707
BA2344	8.97142354261209	5.28107931681894
BA2459	8.80432724529814	5.17241204196236
BA2229	7.46065818949753	7.33250978911574
BA2559	7.72417589543797	4.47062750328023
BA2093	8.51679913189176	8.6697155276332
BA2000	9.25517667754352	7.94314055717551
BA2425	8.29571260021178	5.65372634921578
BA2905	8.42798766039968	7.50539293842063
BA2304	7.59101188148724	-0.736047992509252
BA2976	8.13938594647296	6.62737493861003
BA2386	8.05626383418968	6.41227021268222
BA2035	8.904319577833	5.79487700443781
BA2760	7.83268389248944	5.5985184260425
BA2201	7.88494695067266	5.93777047922961
BA2355	7.42415546195164	4.98897342757444
BA2113	9.00613487905274	8.53327685252825
BA2155	9.23089240757758	7.62437772428186
BA2955	7.60765864505298	4.5391313162393
BA2502	7.56321071069528	5.85381815948029
BA2322	8.41608983118813	7.97894297933459
BA2376	6.9944372976249	3.16972930293428
BA2020	8.87824586229709	5.28216189346069
BA2226	7.35863482899504	5.88838394030345
BA2200	7.94145634611773	6.80486837491
BA2121	8.45696872743274	5.77488348222962
BA2944	8.7420670822246	6.94758145894243
BA2033	6.87847286019697	5.59251221721887
BA2867	8.68391306436784	8.57394218930808
BA2089	7.5725144548201	3.23189129338738
BA2224	8.09804401257278	8.09067732991193
BA2046	9.16784487350203	7.94314055717551
BA2972	8.54249270039127	8.02685700006077
BA2978	7.48490734822992	4.44482165400227
BA2829	7.62925234894777	7.62320575204897
BA2851	7.99068122497693	8.58992566833602
BA2587	8.42083657982967	8.15284092667829
BA2461	7.51191595859432	4.86570889780568
BA2695	7.10693286579065	4.77523727497609
BA2623	8.50918028997297	7.62925234894777
BA2024	7.248181873002	6.07479305709891
BA2426	8.38795127420314	6.97110220501606
BA2271	8.0301567645062	-0.425828695317915
BA3004	8.34007975821985	6.43437499992686
BA2579	7.81538872947805	4.6788765540465
BA3010	8.03884116383771	4.41460197309359
BA2662	8.43758065182973	5.59027419096801
BA2674	7.58991392876001	9.2429894144776
BA2280	7.90803356905227	7.13433489569232
BA2512	7.00146186913291	2.98186111032531
BA2658	7.49358396361658	5.58159000678894
BA2394	7.93502206043898	6.89644993218602
BA2950	7.67625068419832	4.65477615366599
BA2981	8.20818067427413	4.87586349576247
BA2934	6.47279065497325	2.17173440950598
BA2539	7.49256176412129	4.04879675825088
BA2249	7.74263536016322	7.01472936087095
BA2034	7.96905854853838	8.61607464234973
BA2109	7.73332620572976	4.81867438751018
BA2242	7.66613976188412	4.90326139384486
BA2277	7.81538872947805	8.35358316301659
BA2727	7.94145634611773	7.28438406463884
BA2132	8.60067902691643	6.09600230844392
BA2618	7.70961368830257	6.99925381802676
BA2521	8.13747585819058	6.90558799283489
BA2846	8.63341745058943	7.00565090016862
BA2885	7.45866975783138	1.13209845200278
BA2639	8.73910632748104	8.95438322249582
BA2775	8.11853831041796	3.52621202722456
BA2402	7.68775219309565	6.7630173908565
BA2097	7.9003747386446	7.10771088589405
BA2786	8.7332018546727	2.25371361358042
BA2399	8.31787605128572	6.48220324595878
BA2850	7.5552619353094	6.27245301532753
BA2174	8.11104544817006	6.06843510757967
BA2004	7.17275321082541	7.08821062221174
BA3001	8.23061160269424	7.12590219224429
BA2311	7.9609725092348	4.39292391038912
BA2483	8.00271116464237	3.32807645348226
BA3040	9.05581138653334	7.90803356905227
BA2837	8.37639721534742	7.52987979374564
BA2724	7.66369633945432	4.5990180150559
BA2911	7.8210975174081	6.75946045637828
BA2256	8.7420670822246	7.01129464656936
BA2821	8.41372261793503	8.00107447892983
BA2233	8.74800571415782	6.24592732813786
BA2744	8.3972661940189	6.45401948854285
BA2880	8.3311533449718	4.97805997780333
BA2621	7.28438406463884	3.5362979263788
BA3002	8.55997698305646	2.97228864719493
BA2501	8.34681429629083	5.07976129224881
BA2993	7.77713213848426	6.26748667871903
BA2301	7.75780436658957	3.86710818348133
BA2852	7.53734841909383	4.67708963797245
BA2133	6.96975356458038	4.28927616177022
BA2866	8.99906762077278	6.35306835134338
BA2212	8.64171611871059	6.32036876736161
BA2685	9.08862153045619	5.48468121276611
BA2273	8.71853926395486	7.37675245327076
BA2477	8.48407580140491	8.57659398663682
BA2659	8.15090969693391	7.88793681406652
BA2124	8.70296361717243	6.65845499115322
BA2363	7.80235955590607	6.91665453342353
BA2369	8.62242404966029	6.92764387831615
BA2534	8.74800571415782	6.74557828155057
BA2400	8.09804401257278	8.25764420926654
BA2762	8.16840116234166	7.60044547310861
BA2312	7.54970729199318	7.8894951557827
BA2813	8.04060780611373	6.33918453468976
BA2211	8.61335419813792	5.28073246291878
BA2171	8.29387857030758	6.40503611780804
BA2746	7.28712238553665	4.63527142594282
BA2798	8.39493145233583	7.01129464656936
BA2809	7.88191833711993	9.26335235036244
BA2288	8.17565360284926	6.31720357778214
BA2801	7.5932544466496	4.13824319852488
BA3030	8.02685700006077	7.15557221270197
BA2588	7.83407017601998	7.66735491479546
BA2296	8.64449262965366	7.55867055300222
BA2300	8.34232080533324	6.90492530830845
BA2903	7.15557221270197	2.6560583580885
BA2473	9.20081280674415	5.65139228908545
BA2545	8.10545619155905	5.62868512576849
BA2840	7.36527517561591	4.79032535890257
BA2528	7.81249915728454	6.79158437688518
BA2646	8.27244095196937	7.53867754134672
BA3407	8.23267071257109	4.94668602882429
BA2240	8.01121552663761	7.7729524118183
BA2926	8.34456564828853	7.01543819204674
BA2272	7.33250978911574	6.3423350524195
BA2306	8.34906675857089	5.04621645682115
BA2765	7.00642277827321	3.98649459567883
BA2904	8.01121552663761	7.79663560293131
BA2883	8.52445890903765	5.99890598903284
BA2726	6.93827202821145	-1.00974723907371
BA2234	8.2960419873451	2.12152501264232
BA2022	8.66407371953991	6.15311168314809
BA2228	8.79022656584331	5.62043017440298
BA2037	8.46185834013681	9.4045391740165
BA2184	9.1872873383188	8.44966638628301
BA3009	8.07064998624987	5.96264354381231
BA2842	7.21053357648558	2.25911507046517
BA2442	8.01616932095142	6.41897137635364
BA2882	7.51299557490928	3.53291440511488
BA2758	6.90161368403515	2.4978306958102
BA2705	7.53303259081949	6.8576823032308
BA2663	7.25790347094091	3.17350672344865
BA2570	9.21888429779212	7.24138386390375
BA2764	8.04060780611373	5.17699814732324
BA2209	8.22240857358487	7.02415111976065
BA2989	8.68676863894814	7.32679901700122
BA2855	7.77444024847	4.85724763111666
BA2261	7.99739906746641	7.74808252538179
BA2721	7.80956394588893	6.34190143280827
BA2930	6.82612058067876	2.84242237772409
BA2728	8.15671254170946	6.63655252284443
BA2715	8.06884590575294	6.53249965977741
BA2469	7.12664090320603	5.80492505261512
BA2269	6.99377561399407	3.10489818725874
BA2098	7.65632337592004	4.7941665840707
BA2778	6.68355614720783	3.17944274470636
BA2951	8.49908497066643	6.73467335194796
BA2163	8.23473317956582	5.72978046990601
BA2379	7.06166102601644	5.43621855884092
BA2817	6.97794904447586	3.81521123693014
BA3153	9.30065851731011	5.02619905861961
BA2820	7.60280427832536	6.19646958807837
BA2723	7.51299557490928	5.3277279235139
BA2704	9.01658796485945	7.27022547665066
BA2088	8.46430959418229	5.81570333041158
BA2116	7.1940059259717	6.54042498941119
BA2584	8.98864564355709	3.43900565903568
BA3079	7.71867822819813	6.59785150913547
BA2417	8.95099667095566	1.25696002199891
BA2361	8.13747585819058	5.51462217129908
BA2450	8.1017443875296	5.06562997256811
BA2492	7.47524977931761	3.30695131155452
BA2552	9.0307417478067	5.54506701473391
BA2472	7.93502206043898	4.23625755420962
BA2994	8.49406416345013	4.69471321352097
BA2047	8.45209623715645	5.53758769155616
BA2101	7.70330320958059	7.01271335596315
BA2082	8.94761722776196	8.0179995830141
BA2879	6.90877033903166	5.92036694036748
BA2577	9.16398396797258	8.44724078411408
BA2456	7.34929269675225	0.240701063558228
BA2175	8.4424022836884	5.41173058943586
BA2824	7.878761730409	4.91302715387873
BA2507	8.46922505155083	7.49457772487061
BA2563	8.5373170330564	3.16152901437988
BA2244	7.34929269675225	8.04591780353771
BA2470	8.26607857536642	8.74800571415782
BA2984	7.77015373984418	5.55778136463102
BA2414	8.95777690896205	8.45696872743274
BA2697	6.89968682755392	3.02935460711532
BA2079	6.39786567345431	2.04428550060962
BA2999	8.41846114844672	8.99906762077278
BA2644	7.66495366812555	6.33046496181519
BA2011	7.31127241928996	4.6706843537504
BA2217	9.00955709168753	8.64449262965366
BA2454	8.86216405394702	7.15951987646114
BA2776	8.91751782379931	5.87139334737162
BA2218	8.09619809378225	3.9200316734717
BA2135	7.95296500400789	7.52987979374564
BA2914	7.50002964161751	4.80249649532499
BA2500	8.32893113987774	5.25002967084118
BA2830	8.66407371953991	7.40017541649469
BA2406	7.8894951557827	5.17988483740919
BA3108	9.37793858616158	9.03429954865997
BA2924	7.61362919863888	6.97518866229435
BA2303	7.20465709297985	3.81737153202812
BA2160	8.32007964073217	7.32489473499785
BA2038	8.43998936441936	5.26497574003642
BA2602	7.83268389248944	5.31033947454173
BA2964	8.50160207030541	5.53350703365187
BA2898	7.92215119859177	5.73858169391831
BA3003	7.98220941306141	5.15703871631077
BA2111	8.24717893447311	6.09048118374774
BA2827	8.34681429629083	5.60231976530737
BA2912	7.99739906746641	4.7189671068174
BA2437	8.49908497066643	5.57895756058083
BA2283	7.86671215518685	5.17806224044823
BA2057	8.09619809378225	5.10629601616429
BA2633	8.50412364911741	5.33399944565982
BA3034	8.05288390011611	5.34471469248409
BA2607	8.40664550150058	5.58195119803049
BA2761	7.87281860469351	5.04377519736749
BA2795	7.96577419756633	4.93540010442141
BA2182	8.1336646480907	5.4501485597404
BA2152	8.22036612888066	5.45636731851438
BA2381	9.34313727945847	8.43517613550052
BA2931	8.21020338316209	5.82897025310715
BA2040	7.92364245319313	4.10430197787171
BA2590	9.28812805203208	7.03196402344294
BA3195	8.47910806756512	7.83268389248944
BA2516	8.32191640184945	6.90032088066256
BA2353	8.68676863894814	8.40664550150058
BA3036	8.0095286113404	7.26503778677364
BA2971	8.14502683997756	8.84806156927188
BA3410	7.98220941306141	6.36512999451549
BA3118	8.30691336971867	6.67724465459247
BA3206	8.09804401257278	9.08862153045619
BA3202	8.6279105840654	4.94702787792631
BA3217	8.27670009201677	4.81514527019492
BA3405	7.92364245319313	5.70948396756837
BA3306	8.37180321609369	4.17828103107484
BA3371	8.62516478231551	6.16270217963845
BA3413	8.81487669872437	8.43037965011906
BA3411	7.98898804212453	7.23805703314362
BA3133	8.34232080533324	8.44966638628301
BA3164	8.30255392241405	5.95559861955689
BA3451	7.51413414557592	4.06401487195903
BA3286	8.7361512573159	7.00490622738367
BA3212	8.57865830342714	1.8338629705864
BA3103	8.7361512573159	7.43138197639579
BA3271	7.97894297933459	7.53974354156668
BA3152	7.94314055717551	5.91992653150053
BA3095	8.46430959418229	7.10160504306164
BA3192	8.43998936441936	8.52190108216259
BA3251	8.42798766039968	6.08621852980205
BA3362	8.88653621315296	5.42125052108752
BA3400	8.02508710399741	5.89003355654074
BA3135	8.83676787171411	6.26881149847343
BA3408	7.02274319881886	2.57836343869641
BA3187	8.53215993801742	6.4417602152858
BA3098	8.73025810259064	8.32449794408229
BA3435	7.96744532914178	9.3735473533766
BA3261	8.66407371953991	8.07426638068647
BA3203	8.15090969693391	6.97250726431014
BA3174	7.617186143553	5.73207630464099
BA3317	8.42559982560594	8.78412431760784
BA3299	7.92868137841977	4.04672215210504
BA3221	7.07556396699123	-0.38969003685215
BA3347	7.68134464101013	1.22944543113974
BA3235	6.732801148639	1.81606762523089
BA3126	7.15557221270197	3.2401351714745
BA3380	8.41608983118813	6.34190143280827
BA3089	7.89883083701412	8.79022656584331
BA3109	7.04851156959908	5.96945929693027
BA3114	7.58991392876001	5.7641069155357
BA3418	8.19611264417946	6.62357481456438
BA3245	8.05457002396872	6.97993778438247
BA3085	8.11104544817006	7.56321071069528
BA3128	8.78717245605116	7.00991256129177
BA3423	8.29820901257083	5.53058601108242
BA3173	8.84307877151568	7.1445927897216
BA3171	7.27205163282357	9.14481502348153
BA3277	8.56601564488201	6.44947039282618
BA3210	7.80094268898657	5.28864753312789
BA3157	8.51934782702254	8.42559982560594
BA3433	8.27244095196937	5.70146183160515
BA3322	8.17625565039323	4.93470537442066
BA3374	8.43758065182973	5.53239656043462
BA3450	8.52190108216259	6.72640507458581
BA3167	8.40900046313029	8.40194775982719
BA3269	7.24647814947882	7.55189787670547
BA3110	8.54953218061743	3.17892025585561
BA3156	7.51732737025111	6.61592394796106
BA3226	7.87430709609213	7.7045927999637
BA3421	7.45670028367566	5.05080635120384
BA3232	8.16840116234166	7.12266775163133
BA3289	6.86648111845466	5.08151823941693
BA3430	7.16953610700443	2.4702039958371
BA3145	8.21629115879124	7.58759859001841
BA3399	7.41107466475047	5.58084969783205
BA3449	8.19012213724112	5.95439094102815
BA3384	8.16059641320183	7.56567805381962
BA3427	7.3548407117676	7.66369633945432
BA3163	7.550843282623	1.17134115218982
BA3158	8.81487669872437	7.45963779857083
BA3436	8.18416035809344	8.47663077360064
BA3154	7.9003747386446	-0.227067223199409
BA3162	8.3558471237735	8.49657233882556
BA3352	8.70008120144039	6.99719018449603
BA3084	8.8717935877338	6.95213438220586
BA3149	7.40108920011618	5.90555861314736
BA3169	8.25974759702626	2.62283712368534
BA3180	8.81487669872437	7.79093203959201
BA3255	8.01284698319857	6.40926123688896
BA3438	8.57394218930808	3.9216388561837
BA3345	7.574849932275	2.02417937472789
BA3403	7.99413751864958	4.68063578286025
BA3431	7.06807720975175	5.74901581721608
BA3181	7.3445927403943	4.39774491020096
BA3341	7.9003747386446	5.75832214709053
BA3191	7.47212920454885	6.79520689964912
BA3197	8.78412431760784	5.66936167999459
BA3448	8.37180321609369	8.51679913189176
BA3453	8.23473317956582	7.12738803665014
BA3406	7.99246857024867	6.73404028171299
BA3308	8.69824500910271	7.55977224878375
BA3186	8.55765692487222	8.10894763837049
BA3334	8.08518191159815	5.02586431491849
BA3447	8.22036612888066	5.94021025458643
BA3116	8.28956252610494	5.85542200416075
BA3280	7.69790613813162	6.01005588113279
BA3185	8.60337970015667	5.6098838682387
BA3094	7.97720455656684	5.75137733831877
BA3318	8.21629115879124	7.574849932275
BA3216	7.72417589543797	6.67285627660237
BA3332	8.97829037472744	6.47025472959033
BA3214	8.59445024196475	5.9785222997962
BA3099	8.24926512843891	7.20386734649371
BA3141	8.30691336971867	7.23894729675129
BA3373	8.59260663428802	7.56206988956539
BA3319	7.78401208165605	6.19521896796153
BA3328	7.99915514777274	4.62535414272787
BA3339	7.35673455123978	-0.08887661487244
BA3240	9.43158515365849	7.69023500088856
BA3142	7.7605970351598	5.56967790109069
BA3333	8.61968837224666	6.99516443206292
BA3381	8.58992566833602	6.39210318114874
BA3290	7.82549928808227	5.14045385048919
BA3207	6.40170617544637	3.08252840570975
BA3296	7.7045927999637	4.19910119394124
BA3305	8.25554427681065	3.81612780124423
BA3434	8.25554427681065	7.19312453230448
BA3189	8.30909856685695	7.06371663624663
BA3264	8.7361512573159	7.54625616208849
BA3329	9.25691151442812	8.05115312612603
BA3417	8.12986534537924	-1.04532144447794
BA3367	7.43931413643912	0.962688765366786
BA3225	7.00991256129177	2.72493519321927
BA3183	8.19411260375688	7.48057619109315
BA3222	8.79635277497105	4.25414001013237
BA3139	10.1620355969132	6.63599137571399
BA3397	9.07395764638915	7.35390839708449
BA3311	6.91793209354363	5.94099029232779
BA3422	8.37409825216549	5.54020534264446
BA3228	8.40429460371975	7.17116786854616
BA3213	8.42083657982967	7.8503248353151
BA3270	7.35764711965898	5.48358277984793
BA3415	9.74736666094391	9.88079564639631
BA3324	8.53215993801742	7.81101053195418
BA3194	8.85577669200061	6.63330728837913
BA3335	7.63878607715114	6.17773554711095
BA3199	9.50125973784097	7.59808663804993
BA3326	7.66495366812555	-0.0006124782671186
BA3285	9.89455064759087	7.78681257977187
BA3297	8.18217944661747	6.74447949059254
BA3227	8.58457840504288	7.40017541649469
BA3394	7.31937809888862	5.43546904513176
BA3412	8.90103696609653	4.96266025809675
BA3293	8.31751248525734	3.4550470720229
BA3250	8.3926007250059	7.12738803665014
BA3177	8.9076089453561	7.40108920011618
BA3315	7.91895915389096	5.33868120504246
BA3182	8.45453034732936	7.4382687261571
BA3260	7.54625616208849	4.43026354617328
BA3369	8.32893113987774	8.1073163967498
BA3078	8.65749029731641	8.74983670146495
BA3386	8.57129520837751	6.99516443206292
BA3445	8.04765964150367	2.9652424467697
BA3452	8.40429460371975	7.80094268898657
BA3176	8.16644533071452	8.42321613548815
BA3258	7.69023500088856	1.45644363841645
