	IDH2	KIT
BA2392	9.29647098090766	8.48407580140491
BA2611	9.30906602396076	8.46430959418229
BA2506	9.29647098090766	8.46185834013681
BA2430	9.27569316532541	8.48906113697349
BA2448	9.29229417829056	8.46676516104844
BA2730	9.23491479941431	8.46922505155083
BA2845	9.2109276242084	8.53990253916599
BA2326	9.23089240757758	8.52702131941912
BA2341	9.25517667754352	8.54768703664719
BA2612	9.2109276242084	8.50160207030541
BA2973	9.22287720595147	8.53215993801742
BA2390	9.25517667754352	8.49657233882556
BA3218	9.21490111990201	8.48906113697349
BA3105	9.2429894144776	8.45209623715645
BA3402	9.22687989289351	8.44966638628301
BA3276	9.28397254525379	8.40194775982719
BA2409	6.82851443258156	6.89778124838191
BA3037	8.03722226484621	5.49725940478877
BA2496	8.28311530497155	5.51241676925768
BA2172	9.30485684547982	4.37272792121348
BA2865	7.78959302181462	8.38563253120242
BA2923	7.82688083190866	-1.83754692529431
BA2751	8.18796359837961	2.3627073872351
BA2480	8.39960495989321	5.00103650264355
BA2286	8.48158973981744	8.5872495962732
BA2922	8.46430959418229	9.77539354132974
BA2452	9.09230819306279	9.0271917203024
BA3379	8.50160207030541	8.66689198102969
BA2887	8.79635277497105	8.0301567645062
BA2712	8.63894476137773	0.402949581289092
BA2068	8.32228693534529	6.7421473941764
BA2236	8.19211577067672	8.09435501163422
BA2104	7.5725144548201	0.598455727053896
BA3124	7.54733361982974	6.29048213777498
BA3395	8.40664550150058	6.84399982384708
BA2921	8.8525926437112	9.60422004710875
BA2449	9.26335235036244	6.87788091401863
BA2003	7.84883391972247	5.06527754778608
BA2360	9.07761127342397	7.94635895319707
BA2802	8.34007975821985	9.09230819306279
BA2235	7.79956921933088	8.0044307958278
BA2858	8.67537853618004	6.02698748997862
BA3038	7.93502206043898	7.71347289714959
BA3006	8.15090969693391	5.2871864159011
BA2245	8.58992566833602	9.85077214115986
BA2667	8.40664550150058	8.75396729152058
BA2239	7.47952389617521	5.0610421966443
BA2782	7.29077391107671	5.3063518272781
BA2649	8.78108213178214	6.45042558800672
BA2488	7.92699657991781	7.52428329559334
BA2861	8.59798330037588	7.79956921933088
BA2909	7.35673455123978	6.47866220517702
