	NPM1	SRSF2
BA2832	8.18813169577028	9.60422004710875
BA2308	9.48708042008341	9.75851596885508
BA2413	9.4045391740165	9.62975620855742
BA2701	8.7361512573159	9.05581138653334
BA2634	8.22240857358487	9.3561004357089
BA2677	8.79635277497105	9.48238177689826
BA2937	8.25344779136567	9.27156918109996
BA2600	9.2429894144776	9.04860912314158
BA2019	8.12986534537924	9.52036350053221
BA2412	6.82309107200081	8.75995195431454
BA2334	8.94087956106744	9.56420444046175
BA2050	9.34744684153524	9.94905102299885
BA3230	8.78108213178214	9.08494318011795
BA2953	9.69817061599593	9.20696376307392
BA2481	8.58191208164573	9.8155160837716
BA2731	8.46185834013681	8.78108213178214
BA2294	9.25517667754352	9.60929418124753
BA2418	9.1410080593907	9.45909303825332
BA2816	9.14863087419242	9.36916799017741
BA2656	8.93082572022568	9.94905102299885
BA2814	7.63755645913212	9.10713869224013
BA2631	9.3561004357089	9.26745559419095
BA2023	8.3311533449718	9.01306871894599
BA2375	8.84941498844258	9.27156918109996
BA2485	8.78899864293157	9.67842749251503
BA2455	8.3156761580726	8.8589671548512
BA2025	8.56338303703764	9.09600320401444
BA2636	9.10713869224013	9.04860912314158
BA2325	7.29687122589928	8.45209623715645
BA2169	8.51934782702254	9.50601427714714
BA2156	9.48238177689826	9.38675693832204
BA2511	8.46430959418229	9.36916799017741
BA2939	9.41350421836705	9.13342062895717
BA2168	9.20300948929151	9.73079295605488
BA2505	9.09230819306279	9.39118419839355
BA2860	8.97485330936457	8.71271331389775
BA2707	9.12210512882866	9.20696376307392
BA2871	8.66689198102969	8.99211218550823
BA2655	9.36916799017741	9.60422004710875
BA2227	9.42251934116338	9.59916222255831
BA2125	7.76334677298606	9.41800548205558
BA2523	9.33455230246716	9.53000194332933
BA2603	8.99558616821901	9.12586826213153
BA2808	8.70112769787832	9.17948259034573
BA2282	7.26503778677364	9.02364943472175
BA2482	9.04501990946176	8.91090509269608
BA2812	8.81487669872437	9.70356008854553
BA2822	7.14998539597838	9.31672506964559
BA2594	8.42798766039968	9.22287720595147
BA2747	9.35176787188011	9.47769688223901
BA2561	9.09970659968869	9.93012293296997
BA2567	7.54085820588458	10.0007468429699
BA2906	8.80250309714617	9.91143332054624
BA2956	8.11104544817006	9.90525526471174
BA2474	9.08127310626888	9.00955709168753
BA2737	8.02685700006077	9.80971908397822
BA2110	7.71347289714959	8.73025810259064
BA2992	9.18338030789918	9.14481502348153
BA2220	9.00955709168753	9.40901547409309
BA2772	9.42251934116338	8.71853926395486
BA2935	8.55029123602985	9.17171491689544
BA2260	8.75098362594822	9.12964008242639
BA2676	8.7361512573159	9.23089240757758
BA2948	7.55189787670547	8.6697155276332
BA2524	9.2592593958878	8.98864564355709
BA2811	8.83676787171411	9.24704173883127
BA2540	8.86857724833819	9.04501990946176
BA2928	8.7214605815193	9.36916799017741
BA2302	9.38234175781362	9.39562360946183
BA2595	9.09230819306279	8.68106286594684
BA2792	8.66689198102969	9.54457000922792
BA2651	9.17948259034573	8.92748837970555
BA2619	7.88191833711993	8.7332018546727
BA3013	9.54457000922792	9.50601427714714
BA2405	9.64008823387741	8.70980864868103
BA2735	9.08494318011795	8.59798330037588
BA2856	7.56206988956539	8.92415796681604
BA2377	8.74389874448259	7.83840005803793
BA2499	9.66095938066438	8.81487669872437
BA2463	8.4179334910987	9.52684328251404
BA3023	9.17948259034573	9.00605305286098
BA2095	9.13342062895717	9.61438474364243
BA2901	8.51425498508966	8.45209623715645
BA2275	6.9401836518602	8.70401585675217
BA2387	8.68106286594684	9.30065851731011
BA2962	9.73079295605488	9.36480042798147
BA2195	8.69249597847146	8.97142354261209
BA2688	8.77262692606308	9.00264729477778
BA2787	6.35352478320916	8.94424486652991
BA2420	9.09970659968869	9.4000752436972
BA2756	9.56420444046175	8.61423212805534
BA2122	7.70840071464408	8.73025810259064
BA2053	9.16784487350203	8.71562351354988
BA2080	8.92748837970555	9.34313727945847
BA2081	9.00255657247606	9.50601427714714
BA2354	9.30238239860393	9.03608369232641
BA3273	7.24904224136933	9.00443312215534
BA2893	9.50601427714714	9.85077214115986
BA2044	8.43758065182973	9.3735473533766
BA2489	9.15628939970288	9.57411368730524
BA2309	9.05942450247106	9.39562360946183
BA2720	7.7605970351598	8.46249696810185
BA2908	9.83621907237271	8.66493693752935
BA2054	8.54508752883457	9.3217592552912
BA2872	8.00271116464237	9.13720994130471
BA2526	9.09600320401444	9.31328611186612
BA2041	9.02011485988608	9.88079564639631
BA2464	9.07395764638915	8.85577669200061
BA2902	8.82734862624236	10.0680496747685
BA2541	9.18338030789918	9.04860912314158
BA2143	7.22867709025789	9.0307417478067
BA2094	7.79956921933088	9.45909303825332
BA2769	8.904319577833	8.97485330936457
BA2843	8.88148184246882	9.29229417829056
BA2592	9.57909169555586	9.86871412745455
BA2497	8.09067732991193	8.61423212805534
BA2718	8.61151153389318	9.30906602396076
BA2575	7.3614587281193	8.55813210635661
BA2096	9.4000752436972	10.0958725482412
BA2593	10.3090915070605	10.111511463709
BA2791	9.14481502348153	9.61438474364243
BA2620	8.61695773628636	8.8717935877338
BA2629	9.4000752436972	9.55435683089665
BA2870	9.26745559419095	9.53484314535953
BA2423	7.73861349646242	8.69824500910271
BA2682	9.14863087419242	9.51078302100883
BA2276	8.91090509269608	9.1410080593907
BA2348	7.52987979374564	8.38563253120242
BA2709	8.81177412986094	8.68676863894814
BA2789	9.36480042798147	9.09600320401444
BA2694	8.92748837970555	9.42251934116338
BA2538	8.40429460371975	9.00955709168753
BA2583	9.44070228005406	9.67679810675791
BA2415	7.67493502317828	8.94424486652991
BA2722	7.0623479587219	8.95099667095566
BA2806	9.01306871894599	9.66622107740225
BA2221	7.99413751864958	9.47769688223901
BA3025	9.2389471182711	9.50125973784097
BA2514	8.62153057515291	9.49819442110274
BA2520	9.08127310626888	9.53000194332933
BA2441	7.40108920011618	9.62461563502098
BA2153	9.57909169555586	9.11460476788528
BA2479	8.22832881693221	9.67313133431446
BA2281	9.01658796485945	9.64527993925034
BA2657	8.33560901482561	8.99211218550823
BA2932	9.12210512882866	9.47769688223901
BA2123	9.57909169555586	9.82717700787936
BA2844	9.22687989289351	9.66095938066438
BA2660	9.06304565250042	9.16784487350203
BA2836	8.74800571415782	9.14481502348153
BA3027	7.63041516939983	9.29647098090766
BA2714	8.89122942781574	8.89449191470128
BA2139	6.80299244523417	8.42559982560594
BA2251	8.32671267592458	9.3260124319477
BA2952	8.16254296358662	8.99211218550823
BA2440	8.39493145233583	9.83892848550566
BA2036	8.75695672842528	9.65571538111022
BA2828	8.09804401257278	9.06304565250042
BA2292	8.98173476670244	9.94271473100152
BA2410	9.34313727945847	9.64527993925034
BA2051	7.46363654414575	8.88472441482659
BA2532	7.45571345371651	8.94424486652991
BA2986	8.95099667095566	9.67150060698144
BA2494	8.39027400222105	9.52036350053221
BA2515	8.66407371953991	9.48238177689826
BA2748	9.33883912107995	9.45909303825332
BA2970	8.8589671548512	9.11835064360706
BA2622	8.65006116973985	9.01306871894599
BA2839	8.72438748273975	9.29229417829056
BA2052	9.10713869224013	9.55435683089665
BA3011	8.50277388292747	9.07750677038397
BA2868	9.00255657247606	9.47769688223901
BA2510	9.01658796485945	8.99211218550823
BA2065	9.20696376307392	9.09600320401444
BA2691	8.11104544817006	8.86536741111737
BA2374	8.21222936163239	9.67679810675791
BA2804	8.8879736022598	9.08494318011795
BA2670	7.93824432889201	8.28526081080175
BA2675	9.08494318011795	9.13342062895717
BA2589	8.38563253120242	9.03786515454843
BA2031	8.87824586229709	8.60608533344799
BA2198	9.39118419839355	9.07395764638915
BA2066	8.28097335559112	8.90103696609653
BA2344	9.57411368730524	9.43613726309062
BA2459	9.38404554334867	8.31312330931764
BA2229	8.53473617000875	9.38675693832204
BA2559	8.68391306436784	8.86857724833819
BA2093	9.23491479941431	9.22287720595147
BA2000	8.08701091285537	9.58408544068247
BA2425	8.47600328572046	9.50768698561149
BA2905	9.22687989289351	9.16784487350203
BA2304	7.16215175411855	8.61695773628636
BA2976	8.65285322774346	8.97485330936457
BA2386	9.09970659968869	8.79328666582968
BA2035	9.33455230246716	9.22287720595147
BA2760	8.29820901257083	8.49657233882556
BA2201	8.89776108628452	9.08494318011795
BA2355	8.59260663428802	9.52517542791568
BA2113	8.50026123971081	9.44407804044761
BA2155	8.99906762077278	9.88687313292775
BA2955	8.07971165578759	9.09600320401444
BA2502	8.05457002396872	9.14863087419242
BA2322	8.93082572022568	9.160132157513
BA2376	6.97993778438247	8.61423212805534
BA2020	9.15245565249128	9.83892848550566
BA2226	8.81487669872437	8.93417001363455
BA2200	9.30065851731011	9.73079295605488
BA2121	8.92748837970555	8.92415796681604
BA2944	9.90525526471174	9.2389471182711
BA2033	7.17761745050204	9.53484314535953
BA2867	8.66126072825912	9.30065851731011
BA2089	7.65513327960109	8.18416035809344
BA2224	8.38331776349613	9.12964008242639
BA2046	9.3217592552912	9.1872873383188
BA2972	9.160132157513	9.44070228005406
BA2978	7.85205086731265	8.40194775982719
BA2829	8.79635277497105	8.97485330936457
BA2851	8.5529001392332	9.2592593958878
BA2587	8.72438748273975	9.02364943472175
BA2461	7.94314055717551	9.21490111990201
BA2695	7.68652733200955	9.0468018581655
BA2623	9.57411368730524	9.3217592552912
BA2024	7.58759859001841	9.17171491689544
BA2426	8.88148184246882	9.0307417478067
BA2271	7.95452812467512	9.12964008242639
BA3004	8.57129520837751	9.80971908397822
BA2579	7.85633367820174	8.85577669200061
BA3010	9.00605305286098	8.87824586229709
BA2662	8.34232080533324	9.06304565250042
BA2674	9.15245565249128	9.25517667754352
BA2280	8.50160207030541	9.22287720595147
BA2512	6.81629782268832	8.54249270039127
BA2658	9.070312190258	9.30065851731011
BA2394	8.21222936163239	9.26335235036244
BA2950	9.49651930986164	9.31751716888528
BA2981	8.63894476137773	8.89449191470128
BA2934	7.22625304922136	9.3260124319477
BA2539	7.8925772722697	9.11835064360706
BA2249	8.63894476137773	9.22687989289351
BA2034	8.94268168369866	8.99390471507907
BA2109	7.61245153291675	8.65285322774346
BA2242	8.12041880838799	9.45909303825332
BA2277	8.68676863894814	9.2389471182711
BA2727	9.83304132704525	8.92415796681604
BA2132	8.672544374331	9.8991027074875
BA2618	8.61151153389318	8.70690950167434
BA2521	8.672544374331	9.09970659968869
BA2846	9.1755941413251	9.30906602396076
BA2885	8.02142525655183	8.57925061313916
BA2639	9.04860912314158	9.4270458724936
BA2775	8.84941498844258	9.44987135785787
BA2402	9.26335235036244	8.84307877151568
BA2097	9.44070228005406	9.28812805203208
BA2786	9.34313727945847	9.42251934116338
BA2399	9.44070228005406	9.63491369950168
BA2850	8.91090509269608	9.89297540900361
BA2174	8.34232080533324	9.04860912314158
BA2004	7.48933909555342	8.48407580140491
BA3001	9.69817061599593	9.67679810675791
BA2311	7.93028682049466	8.78412431760784
BA2483	8.48343527695382	8.63525880753156
BA3040	9.00605305286098	9.43158515365849
BA2837	9.37793858616158	9.0271917203024
BA2724	8.5607551950315	8.88472441482659
BA2911	9.35176787188011	8.99558616821901
BA2256	9.43613726309062	9.27569316532541
BA2821	9.69817061599593	9.34313727945847
BA2233	9.19906475607931	9.65571538111022
BA2744	9.34313727945847	9.14863087419242
BA2880	8.34906675857089	9.160132157513
BA2621	8.28097335559112	8.9076089453561
BA3002	8.42744390017979	8.69720423583871
BA2501	8.48407580140491	9.40901547409309
BA2993	8.84624370479657	9.35176787188011
BA2301	8.06147774301482	9.0307417478067
BA2852	8.29820901257083	9.3561004357089
BA2133	7.83554388846121	9.2389471182711
BA2866	9.19906475607931	9.8991027074875
BA2212	9.33455230246716	9.33027676031699
BA2685	9.39562360946183	9.26745559419095
BA2273	8.83362186336888	9.98114720830101
BA2477	9.29229417829056	9.26335235036244
BA2659	8.45453034732936	8.52958832512444
BA2124	9.49819442110274	9.87632246618632
BA2363	8.84941498844258	8.26607857536642
BA2369	8.79328666582968	9.25110414260315
BA2534	9.0271917203024	9.34313727945847
BA2400	9.46836798648192	9.43613726309062
BA2762	8.96117775713075	9.34313727945847
BA2312	8.79635277497105	9.53484314535953
BA2813	9.54457000922792	9.78106105276028
BA2211	9.17734760232419	9.85831326849695
BA2171	9.17171491689544	9.64008823387741
BA2746	7.89401548128851	8.98518651350313
BA2798	9.67679810675791	9.27569316532541
BA2809	9.1872873383188	9.39118419839355
BA2288	8.55505298542423	9.98087822775469
BA2801	8.32449794408229	8.83362186336888
BA3030	8.66873090783595	8.61063875058243
BA2588	9.44070228005406	9.60929418124753
BA2296	9.28397254525379	9.36916799017741
BA2300	8.69249597847146	9.88687313292775
BA2903	6.47376016789819	8.3926007250059
BA2473	9.13518361120238	9.93797001113285
BA2545	8.25764420926654	9.17171491689544
BA2840	8.5971359914493	9.22062772367926
BA2528	9.14863087419242	9.30485684547982
BA2646	8.84941498844258	8.95099667095566
BA3407	8.40429460371975	9.38234175781362
BA2240	8.25554427681065	9.28812805203208
BA2926	9.48238177689826	9.26745559419095
BA2272	8.26607857536642	8.97485330936457
BA2306	8.87501645157825	8.7420670822246
BA2765	7.08068398565122	8.55029123602985
BA2904	8.52958832512444	9.13720994130471
BA2883	9.05581138653334	9.01306871894599
BA2726	6.49846429425474	8.54249270039127
BA2234	7.19816924570359	8.97142354261209
BA2022	8.91751782379931	9.75851596885508
BA2228	8.48906113697349	9.25517667754352
BA2037	9.49651930986164	9.23089240757758
BA2184	9.2592593958878	9.45447558148811
BA3009	9.06304565250042	9.76974697360105
BA2842	7.37484847247432	8.61968837224666
BA2442	8.86536741111737	8.9076089453561
BA2882	7.69790613813162	8.5607551950315
BA2758	8.01121552663761	8.76897254396233
BA2705	8.4594113881339	9.20696376307392
BA2663	7.58640399756741	8.62516478231551
BA2570	9.070312190258	8.79022656584331
BA2764	7.86519796261888	8.18813169577028
BA2209	8.23267071257109	8.67821802831458
BA2989	8.87824586229709	9.10341841676742
BA2855	7.70582137825133	8.81487669872437
BA2261	7.49565796423242	8.53400537696188
BA2721	8.41608983118813	8.97829037472744
BA2930	7.75371580805874	8.43517613550052
BA2728	7.74132890165977	8.5373170330564
BA2715	7.71215406681609	9.56420444046175
BA2469	7.96260346447077	8.35811493599106
BA2269	7.15633759792086	8.18416035809344
BA2098	8.09251475928632	9.14863087419242
BA2778	6.98621603600523	8.52190108216259
BA2951	9.78674968596522	9.14863087419242
BA2163	7.09568366825665	9.36044459889599
BA2379	7.31397253852267	8.65845299235754
BA2817	7.86671215518685	8.68189146093676
BA3153	7.92699657991781	9.47302564786274
BA2820	8.20414503388581	8.86216405394702
BA2723	8.22445433533228	9.09600320401444
BA2704	9.23491479941431	9.58408544068247
BA2088	8.3972661940189	9.4917929010063
BA2116	6.78491577385659	8.77199110438686
BA2584	7.87430709609213	10.0475291689068
BA3079	8.24717893447311	10.0007468429699
BA2417	8.47910806756512	9.65571538111022
BA2361	8.09067732991193	9.1755941413251
BA2450	8.75995195431454	9.24704173883127
BA2492	7.35202275514424	8.19611264417946
BA2552	9.4270458724936	9.00955709168753
BA2472	8.04060780611373	8.68106286594684
BA2994	9.04501990946176	9.23491479941431
BA2047	8.54249270039127	9.58909503454725
BA2101	8.5117153749805	9.48238177689826
BA2082	8.97829037472744	8.77804587995587
BA2879	7.48057619109315	9.17171491689544
BA2577	9.4000752436972	9.54457000922792
BA2456	8.22445433533228	8.80250309714617
BA2175	6.84399982384708	9.59412059033195
BA2824	8.58457840504288	9.19512951707567
BA2507	9.15245565249128	9.88079564639631
BA2563	9.21888429779212	9.68211371581436
BA2244	8.44966638628301	8.84624370479657
BA2470	8.66407371953991	9.76974697360105
BA2984	8.74503353869987	9.6874475749889
BA2414	9.11835064360706	9.64008823387741
BA2697	7.00782899353321	9.44696832329653
BA2079	6.63915578339387	8.68391306436784
BA2999	8.59529250724368	9.03429954865997
BA2644	8.30909856685695	9.3735473533766
BA2011	8.00619097456886	9.09600320401444
BA2217	9.35176787188011	9.69279982690398
BA2454	9.13720994130471	9.86270964606403
BA2776	9.1872873383188	9.80971908397822
BA2218	9.47302564786274	9.59916222255831
BA2135	9.53000194332933	9.94271473100152
BA2914	7.96905854853838	8.83362186336888
BA2500	7.68775219309565	9.0307417478067
BA2830	9.79819104218496	9.44987135785787
BA2406	8.13176351189552	9.4270458724936
BA3108	9.44528028465592	9.43613726309062
BA2924	8.76595984417136	9.09230819306279
BA2303	7.93352218493006	8.83676787171411
BA2160	8.82110029202306	9.55927298456459
BA2038	8.40194775982719	9.0307417478067
BA2602	8.32893113987774	8.56338303703764
BA2964	7.878761730409	8.8717935877338
BA2898	7.94635895319707	9.44987135785787
BA3003	7.88191833711993	9.48238177689826
BA2111	8.01457218763256	9.58408544068247
BA2827	8.18020169656618	9.58909503454725
BA2912	8.18217944661747	9.55927298456459
BA2437	8.21832699326225	9.55927298456459
BA2283	7.92868137841977	9.58909503454725
BA2057	7.89563066633541	9.54457000922792
BA2633	8.3603866090308	9.58909503454725
BA3034	7.97720455656684	9.55435683089665
BA2607	8.18813169577028	9.3735473533766
BA2761	8.40194775982719	9.4270458724936
BA2795	8.00271116464237	9.54457000922792
BA2182	8.19411260375688	9.54457000922792
BA2152	7.89401548128851	9.49651930986164
BA2381	9.55927298456459	9.80971908397822
BA2931	8.34456564828853	9.53000194332933
BA2040	7.72277870826456	9.34313727945847
BA2590	9.34744684153524	9.60929418124753
BA3195	9.4045391740165	9.3561004357089
BA2516	9.40177461105289	8.94268168369866
BA2353	9.62461563502098	9.2429894144776
BA3036	9.44070228005406	9.11086746340759
BA2971	8.05801802157941	9.02543573403374
BA3410	7.99739906746641	9.47302564786274
BA3118	8.8525926437112	9.22287720595147
BA3206	9.09600320401444	9.57411368730524
BA3202	8.84307877151568	9.48238177689826
BA3217	9.33455230246716	9.4045391740165
BA3405	7.61245153291675	8.22445433533228
BA3306	9.27982760161886	9.00255657247606
BA3371	8.91420804405317	9.10341841676742
BA3413	9.33027676031699	9.58909503454725
BA3411	8.88148184246882	9.07395764638915
BA3133	7.55977224878375	9.3561004357089
BA3164	8.77804587995587	9.13342062895717
BA3451	7.44242521067177	8.52958832512444
BA3286	8.50412364911741	9.36916799017741
BA3212	7.50105244518025	9.56098320131876
BA3103	8.7420670822246	8.91751782379931
BA3271	8.92748837970555	9.1872873383188
BA3152	7.13359161213086	9.3735473533766
BA3095	8.61695773628636	9.79245962144758
BA3192	9.4000752436972	9.11086746340759
BA3251	8.7420670822246	9.40901547409309
BA3362	7.81686981561798	9.00434706477645
BA3400	8.15477520582082	9.65048894475304
BA3135	9.25517667754352	9.4000752436972
BA3408	8.42321613548815	9.63491369950168
BA3187	8.65006116973985	9.27569316532541
BA3098	8.77804587995587	9.12964008242639
BA3435	9.4000752436972	9.19120372633416
BA3261	9.06667487040862	9.54457000922792
BA3203	7.19738153999511	9.76974697360105
BA3174	7.89563066633541	8.89776108628452
BA3317	9.90525526471174	9.33883912107995
BA3299	8.268195867683	8.75098362594822
BA3221	7.54085820588458	8.78108213178214
BA3347	7.9003747386446	9.43158515365849
BA3235	6.9965338713589	8.20012237793382
BA3126	7.65148276489013	8.26607857536642
BA3380	9.05220627117217	9.04143859741613
BA3089	9.4917929010063	9.2389471182711
BA3109	7.91267481802265	8.46185834013681
BA3114	8.27456876079558	9.17171491689544
BA3418	9.1755941413251	8.97829037472744
BA3245	6.72876764999848	9.56915130536806
BA3085	9.2109276242084	9.07761127342397
BA3128	9.4045391740165	9.45909303825332
BA3423	9.59916222255831	9.67679810675791
BA3173	9.26335235036244	9.98114720830101
BA3171	7.55754763062472	8.83048212173684
BA3277	8.79022656584331	9.43158515365849
BA3210	8.24301678047805	9.19120372633416
BA3157	10.1099887487995	9.56420444046175
BA3433	8.7214605815193	9.53969913371194
BA3322	8.25554427681065	9.53484314535953
BA3374	8.92415796681604	8.79328666582968
BA3450	8.63894476137773	9.60422004710875
BA3167	9.04501990946176	8.47663077360064
BA3269	7.80392510487274	9.60929418124753
BA3110	9.20870997646767	9.66259277874038
BA3156	9.73079295605488	9.2592593958878
BA3226	9.55927298456459	9.39118419839355
BA3421	8.25344779136567	8.95777690896205
BA3232	9.03786515454843	9.27569316532541
BA3289	7.61833712147791	8.61423212805534
BA3430	7.74666982029682	8.38747453651413
BA3145	8.61695773628636	9.30906602396076
BA3399	7.84567146798846	8.96117775713075
BA3449	9.45447558148811	9.09230819306279
BA3384	8.824221356442	9.17948259034573
BA3427	7.21134659078952	9.28812805203208
BA3163	7.08148396341999	8.52958832512444
BA3158	9.2592593958878	9.55927298456459
BA3436	9.67679810675791	9.61438474364243
BA3154	7.76749698582267	9.62258533258528
BA3162	8.60337970015667	8.12230223339654
BA3352	9.67313133431446	8.92264013919218
BA3084	8.78717245605116	9.31751716888528
BA3149	7.8210975174081	8.71853926395486
BA3169	8.24301678047805	8.9076089453561
BA3180	9.11460476788528	9.2109276242084
BA3255	8.64449262965366	9.41350421836705
BA3438	9.3735473533766	9.62975620855742
BA3345	7.67751428719864	8.94087956106744
BA3403	8.41372261793503	8.47415784691615
BA3431	7.86519796261888	8.42559982560594
BA3181	8.39960495989321	8.03722226484621
BA3341	7.99413751864958	8.96458579397726
BA3191	8.36494157515656	8.77804587995587
BA3197	8.97829037472744	9.16398396797258
BA3448	9.08494318011795	9.38234175781362
BA3453	8.80867768640892	9.12586826213153
BA3406	8.79635277497105	9.82133532639013
BA3308	9.38675693832204	9.17948259034573
BA3186	8.48399844841995	9.40240975182614
BA3334	8.7214605815193	8.65565049707964
BA3447	9.60422004710875	9.52036350053221
BA3116	8.70401585675217	8.97485330936457
BA3280	9.25110414260315	9.53969913371194
BA3185	8.5373170330564	9.19906475607931
BA3094	8.59798330037588	8.6697155276332
BA3318	8.47663077360064	8.42559982560594
BA3216	8.8879736022598	9.40901547409309
BA3332	9.36916799017741	9.41800548205558
BA3214	9.51245452204643	9.25691151442812
BA3099	8.8717935877338	9.4045391740165
BA3141	9.43158515365849	9.39562360946183
BA3373	8.78108213178214	9.3217592552912
BA3319	7.51413414557592	8.43037965011906
BA3328	8.07971165578759	9.28812805203208
BA3339	8.07425460403884	9.732408696693
BA3240	8.97485330936457	9.08127310626888
BA3142	8.62516478231551	9.44070228005406
BA3333	8.98864564355709	9.46372381175102
BA3381	8.18217944661747	8.74800571415782
BA3290	8.25344779136567	8.8879736022598
BA3207	7.11965805588277	7.93502206043898
BA3296	7.05061628699762	8.8879736022598
BA3305	8.59260663428802	8.82110029202306
BA3434	9.18338030789918	9.27569316532541
BA3189	8.87824586229709	9.08862153045619
BA3264	8.69536777456055	9.55435683089665
BA3329	9.45616130594571	9.48406046211483
BA3417	8.57925061313916	9.23491479941431
BA3367	7.38257507273258	8.60436299215519
BA3225	6.41555515164963	8.11666073243668
BA3183	8.88148184246882	9.04143859741613
BA3222	8.70401585675217	9.08494318011795
BA3139	7.46894970580743	8.88653621315296
BA3397	6.732801148639	9.64527993925034
BA3311	7.04704814373678	8.07971165578759
BA3422	9.02011485988608	10.0888662099127
BA3228	8.92415796681604	8.68391306436784
BA3213	8.62516478231551	9.26335235036244
BA3270	8.31787605128572	8.8717935877338
BA3415	7.56784611916855	9.34744684153524
BA3324	8.5607551950315	8.8525926437112
BA3194	8.68106286594684	9.68211371581436
BA3335	8.19211577067672	9.96822468421139
BA3199	9.4000752436972	9.4917929010063
BA3326	8.22036612888066	9.27569316532541
BA3285	7.61362919863888	8.72329447406972
BA3297	8.05288390011611	9.09230819306279
BA3227	8.79022656584331	9.11460476788528
BA3394	9.39118419839355	8.65006116973985
BA3412	7.81249915728454	8.93752128537319
BA3293	8.85123237146193	9.44239146973819
BA3250	7.96260346447077	9.21888429779212
BA3177	8.77199110438686	9.47769688223901
BA3315	8.34906675857089	8.96117775713075
BA3182	7.94936162159169	8.91751782379931
BA3260	7.42825345365406	8.43758065182973
BA3369	8.66407371953991	9.24704173883127
BA3078	8.96297616127633	9.20475662343021
BA3386	8.89776108628452	9.71984209806913
BA3445	8.25135474465914	9.4000752436972
BA3452	8.77199110438686	8.57129520837751
BA3176	9.21490111990201	9.29229417829056
BA3258	7.18983138735934	8.64449262965366
BA3295	8.05972702484149	8.76897254396233
