	NPM1	SRSF2
BA2392	9.6874475749889	9.83892848550566
BA2611	9.60929418124753	9.86270964606403
BA2506	9.61949185438657	9.83892848550566
BA2430	9.61949185438657	9.85672905613112
BA2448	9.61438474364243	9.85672905613112
BA2730	9.62461563502098	9.83304132704525
BA2845	9.57909169555586	9.8991027074875
BA2326	9.58408544068247	9.87474271994728
BA2341	9.58909503454725	9.93012293296997
BA2612	9.55927298456459	9.90525526471174
BA2973	9.56915130536806	9.93012293296997
BA2390	9.55927298456459	9.92386690563917
BA3218	9.56420444046175	9.89297540900361
BA3105	9.53000194332933	9.95541459791256
BA3402	9.53484314535953	10.0007468429699
BA3276	9.51556606369543	9.98114720830101
BA2409	7.88494695067266	8.41135949860071
BA3037	9.1755941413251	8.23061160269424
BA2496	8.3156761580726	8.84307877151568
BA2172	9.2592593958878	8.71271331389775
BA2865	9.53484314535953	9.22287720595147
BA2923	6.98208266015901	7.64511152399424
BA2751	9.13897207935234	9.50293364970638
BA2480	8.38563253120242	8.73025810259064
BA2286	9.51078302100883	8.92083445647999
BA2922	9.78674968596522	9.3217592552912
BA2452	9.33027676031699	9.82133532639013
BA3379	9.31328611186612	9.46372381175102
BA2887	9.06304565250042	9.13342062895717
BA2712	7.82549928808227	9.39118419839355
BA2068	8.67821802831458	10.6289390647318
BA2236	8.75995195431454	9.22287720595147
BA2104	6.91599118004167	7.64511152399424
BA3124	8.84307877151568	9.38234175781362
BA3395	8.58457840504288	9.09970659968869
BA2921	9.00605305286098	9.54945587390153
BA2449	9.52036350053221	8.60608533344799
BA2003	9.04501990946176	9.75293118746352
BA2360	9.4000752436972	9.42251934116338
BA2802	7.15633759792086	9.53969913371194
BA2235	8.83362186336888	8.93082572022568
BA2858	8.91420804405317	9.30906602396076
BA3038	7.73462168625585	8.60879594020241
BA3006	9.15245565249128	9.64008823387741
BA2245	9.0307417478067	9.49651930986164
BA2667	9.13720994130471	8.95438322249582
BA2239	8.17428733914348	8.66407371953991
BA2782	7.59101188148724	8.89122942781574
BA2649	9.2429894144776	9.61438474364243
BA2488	7.91111348596979	8.90103696609653
BA2861	9.11460476788528	9.17948259034573
BA2909	7.83704881770087	8.79205235357759
BA2429	8.66493693752935	8.99222936727265
BA2653	8.41556616709075	9.26099325755712
BA2134	8.30037965468589	8.46430959418229
BA2947	9.91920628125652	9.415200229547
BA2032	9.3735473533766	8.73910632748104
BA2162	8.85577669200061	9.18338030789918
BA2564	8.74800571415782	8.9076089453561
BA2597	8.13547459853116	9.50768698561149
BA3243	8.84307877151568	9.04501990946176
BA2106	9.54945587390153	9.17171491689544
BA2427	8.91090509269608	9.16398396797258
BA2841	9.13342062895717	9.67679810675791
BA2446	8.33784249776874	9.47302564786274
BA2645	8.42798766039968	9.12586826213153
BA2525	8.34456564828853	9.18338030789918
BA2876	8.61151153389318	9.19120372633416
BA2357	8.95777690896205	9.26745559419095
BA2546	8.0301567645062	8.86536741111737
BA2742	7.87584460904621	8.66689198102969
BA2316	8.22855584188171	8.95099667095566
BA2421	8.28526081080175	8.268195867683
BA2087	9.10147698629206	8.81980741439546
BA2910	9.22287720595147	8.89776108628452
BA2148	7.95609226155088	8.72438748273975
BA2063	8.34232080533324	9.26745559419095
BA2329	8.3972661940189	8.8717935877338
BA3178	8.76897254396233	8.87501645157825
BA2072	8.41135949860071	9.13342062895717
BA3029	8.78717245605116	9.45447558148811
BA2733	8.96458579397726	9.22687989289351
BA2995	8.45209623715645	9.52517542791568
BA2069	8.46185834013681	9.47769688223901
BA2100	8.70690950167434	8.672544374331
BA2681	9.52517542791568	9.19512951707567
BA2248	9.19906475607931	9.36916799017741
