	DNMT3A	GATA2
BA2023	4.72738279030256	-0.126036792393191
BA2375	6.08536052540414	7.68273154484305
BA2485	6.78074983432615	9.30657970599922
BA2455	4.69855961142677	4.2507446186302
BA2025	5.23673966789925	2.32043052645812
BA2636	5.92637395893393	9.22287720595147
BA2325	4.04879675825088	4.5269559134182
BA2169	6.19606446047222	7.0623479587219
BA2156	6.79640967556144	8.22650342209935
BA2511	5.26710389157619	7.6112304020112
BA2939	6.0158165147387	8.22855584188171
BA2168	6.41510646424492	7.27636680044251
BA2505	5.62195033213407	7.27462693268534
BA2860	6.33509433573957	8.5529001392332
BA2707	6.18632897661868	6.27202284935672
BA2871	5.96907627794874	3.03505636097059
BA2655	4.77872894002383	5.94796425199258
BA2227	6.55232565838748	7.50002964161751
BA2125	6.10829331712153	6.27380663380772
BA2523	5.74395799798389	6.52219766315803
BA2603	5.47138243938151	7.93187727167438
BA2808	6.31675170697475	8.47415784691615
BA2282	4.80111971961835	2.39603844730184
BA2482	6.17641644366945	8.45696872743274
BA2812	4.99775683802712	2.68530372380301
BA2822	5.98054442725547	6.10829331712153
BA2594	5.81201009033099	4.34871319583887
BA2747	6.18950223686314	8.01284698319857
BA2561	5.94641278080618	0.106733079748621
BA2567	5.34433907396084	3.87651804611081
BA2906	4.74957774721697	2.27825644198579
BA2956	5.64166399423883	3.23073632692797
BA2474	6.09936975927192	8.0044307958278
BA2737	5.70872171926613	0.583388534420479
BA2110	4.74182984575756	4.92630002359127
BA2992	5.05504885396523	3.78491798790536
BA2220	5.65448355973944	9.160132157513
BA2772	6.0781745380856	8.79942491234482
BA2935	5.28177179122875	6.05993013058661
BA2260	5.01183343730558	4.49346190383121
BA2676	5.36293986474154	5.78078023650693
BA2948	5.85542200416075	8.35358316301659
BA2524	5.52135062216325	4.83023871763674
BA2811	6.24912819394912	8.47663077360064
BA2540	3.86156811832603	4.68836796933157
BA2928	5.34151860321391	4.17753260382741
BA2302	5.53940253028108	7.19225834495813
BA2595	5.14967422759909	5.88961440143981
BA2792	5.02056262861089	7.17761745050204
BA2651	6.03566200297907	6.92432887364054
BA2619	6.44227342376241	9.4917929010063
BA3013	6.16865049658773	5.87965665517008
BA2405	5.67317843136018	7.40510623344956
BA2735	5.32233498083344	8.43517613550052
BA2856	4.20674974606089	8.63894476137773
BA2377	4.1940893457466	2.36843137715683
BA2499	5.81959741153124	7.8503248353151
BA2463	6.22329037773919	2.17929512084737
BA3023	5.20440021667154	7.81686981561798
BA2095	6.14672505812723	8.05288390011611
BA2901	5.08758890657065	6.08192723673296
BA2275	5.75302384911337	6.35757561884313
BA2387	4.47173241334974	7.77444024847
BA2962	5.58010200112807	6.61649602743193
BA2195	5.51500276467509	8.31347995218337
BA2688	4.72354417544082	7.560948520145
BA2787	4.78223236558204	3.12103519528401
BA2420	5.5603638318114	6.08362235286883
BA2756	4.01681712942243	5.8081471591439
BA2122	4.87096387518994	4.82431105237604
BA2053	5.84787957757678	7.02841397070837
BA2080	5.86901047120639	5.89999571306857
BA2081	5.77033121359801	5.76181699229763
BA2354	6.23533588980149	5.88722354181861
BA3273	4.71789490848166	1.71633530219167
BA2893	6.19299832162761	8.07971165578759
BA2044	5.54245080282141	4.90950444103544
BA2489	4.74182984575756	5.30096102579671
BA2309	4.97387498404503	8.01457218763256
BA2720	4.52153193566258	7.5552619353094
BA2908	6.4243136710677	8.34151708484093
BA2054	5.07550246590364	5.69876878834828
BA2872	5.31756660169569	6.13505858445244
BA2526	4.92943275175156	8.34681429629083
BA2041	4.60901148734067	7.08598210070988
BA2464	6.09645228197541	7.31579076602089
BA2902	5.39890865222561	7.50436087643108
BA2541	6.22378350328208	7.65276972214058
BA2143	5.09390910729551	6.08318959151969
BA2094	5.80146381261149	-1.9002011047749
BA2769	5.91953516934334	7.3370513303313
BA2843	7.04918884608735	5.51382815263466
BA2592	5.39347949789235	5.87139334737162
BA2497	4.53554304554111	-0.200351841889843
BA2718	7.87584460904621	9.71984209806913
BA2575	4.84562521936661	5.35965803846691
BA2096	4.66610967820232	6.33465501524617
BA2593	5.2635303158332	6.50598160592548
BA2791	5.91758639573652	7.2245944685398
BA2620	5.72903451515424	6.6396645832219
BA2629	6.23533588980149	6.5105672693692
BA2870	6.38599164256093	1.06894896681523
BA2423	4.43352231435234	3.54497964521433
BA2682	5.44640808199127	7.53511002571526
BA2276	5.42530018626189	6.88553914900191
BA2348	4.75764062057754	4.47099076274074
BA2709	5.2868395453686	4.71407158331364
BA2789	5.88684341274268	8.85577669200061
BA2694	6.22675882110798	7.01613705435711
BA2538	6.25807759133934	6.04021038079235
BA2583	6.36648969189247	5.53534040119425
BA2415	4.81585561124571	3.41140290286834
BA2722	5.89048099649459	7.49794707202402
BA2806	5.91595003127845	7.96744532914178
BA2221	4.65687977223113	2.52007957747602
BA3025	7.31039812260742	9.53969913371194
BA2514	5.17241204196236	5.72754939375197
BA2520	6.93890773932704	2.91242066204713
BA2441	6.92239609110895	7.28268371584317
BA2153	6.39926285688665	5.7983454299058
BA2479	5.61780736228049	4.7941665840707
BA2281	6.1921407741856	7.82261702082019
BA2657	6.04691526295528	9.2429894144776
BA2932	6.14718029862126	7.63041516939983
BA2123	4.48731198029739	7.50105244518025
BA2844	5.36000471761652	4.95919380929034
BA2660	5.62419273985357	7.34370807957505
BA2836	5.62530338833762	6.93954050250455
BA3027	5.36514025423526	4.29639716866503
BA2714	5.21363189314042	7.06807720975175
BA2139	4.53197710730373	1.76917277909169
BA2251	7.54970729199318	10.3660086756332
BA2952	4.36608295505138	6.43493754543007
BA2440	4.78017722753487	5.98220791058853
BA2036	6.25807759133934	9.97467175015227
BA2828	5.75062167266173	7.70840071464408
BA2292	4.11937931431274	7.06020993945392
BA2410	5.75415496254133	7.93187727167438
BA2051	4.68591344454784	4.75937775414095
BA2532	4.96266025809675	7.83554388846121
BA2986	5.59662502172316	5.50315192004078
BA2494	5.24647301398251	9.8991027074875
BA2515	5.18055221298724	4.95086713745968
BA2748	6.79158437688518	7.63278489020753
BA2970	5.58383676402354	5.95193817538216
BA2622	4.81831316874204	4.99389750199927
BA2839	4.66151584498319	6.50494854074967
BA2052	6.34832965907228	4.39995076697618
BA3011	5.11433165880832	7.33163994376767
BA2868	7.18812871773308	9.1872873383188
BA2510	5.21924696123963	0.277265117709438
BA2065	6.17379906817959	8.15477520582082
BA2691	4.77982414410044	2.91665615356007
BA2374	5.51691886633525	6.50348265468803
BA2804	5.82541777312417	5.14161615451425
BA2670	5.45893049861312	5.72023465218825
BA2675	6.34832965907228	8.26396477173174
BA2589	7.27555120012057	9.2592593958878
BA2031	5.12702075468941	4.02452335153635
BA2198	6.54928934120065	6.44613094518311
BA2066	4.56478976898356	4.44555299237497
BA2344	6.75597489483719	7.58759859001841
BA2459	5.41754429750073	6.76898394569665
BA2229	6.2290430058542	6.60156923670466
BA2559	5.02728430921221	6.88867708372879
BA2093	6.36086030376613	9.38234175781362
BA2000	5.82859548893421	7.13121480456278
BA2425	6.12637853560869	9.81131500696184
BA2905	5.90555861314736	7.50647222464875
BA2304	4.5391313162393	-0.0150693070758923
BA2976	5.89878476046271	6.37878971540536
BA2386	5.76181699229763	9.44987135785787
BA2035	7.38848640256579	9.13342062895717
BA2760	5.22317063501282	5.61668949030342
BA2201	4.76005725019894	6.36792449266188
BA2355	5.02764204989782	5.32233498083344
BA2113	5.95559861955689	6.40170617544637
BA2155	6.54150806703429	10.332335723606
BA2955	4.80814964517647	3.4170840126625
BA2502	4.91792245118013	5.81083073745061
BA2322	6.24013217204255	7.08974258985974
BA2376	4.81549079833473	3.41561286956515
BA2020	5.67811655623058	7.53405377993628
BA2226	5.69683059962592	7.24647814947882
BA2200	6.16950493399515	8.3603866090308
BA2121	5.97608438156721	5.70530146482159
BA2944	7.24218373520164	8.14513423086413
BA2033	4.56407532031905	6.26705656087935
BA2867	6.13725593051751	6.47866220517702
BA2089	4.27079096532492	3.08537081267169
BA2224	6.16479221189801	7.33529770605395
BA2046	4.60401552568644	7.13433489569232
BA2972	6.61484329859941	6.63915578339387
BA2978	5.38151536241943	5.22173396238009
BA2829	5.66740335166233	7.55977224878375
BA2851	6.02615955253131	6.59041781660964
BA2587	5.97523061949623	5.15207050393233
BA2461	5.15668163101419	4.04229195612943
BA2695	4.65902094233579	6.21316864027758
BA2623	6.63758201438047	6.63383351459938
BA2024	5.40260210506482	5.51691886633525
BA2426	5.91240742486635	6.73745939965324
BA2271	5.10834862967978	5.03254935299147
BA3004	6.38888273500531	8.19012213724112
BA2579	5.66051919592254	3.94179623964938
BA3010	5.53426887614694	5.94914872700359
BA2662	5.34255610443151	5.1312402648846
BA2674	6.40360502181603	6.6396645832219
BA2280	6.36182238595201	7.74536502725477
BA2512	4.68695768946558	2.27310977570549
BA2658	5.76371292639746	3.01238141071871
BA2394	6.73922514739457	10.3745587770136
BA2950	6.02576365304124	6.08318959151969
BA2981	5.64089444218065	5.21743147503023
BA2934	5.56441490975965	3.23073632692797
BA2539	4.88365938121125	4.34458492733121
BA2249	5.48468121276611	7.23036606098158
BA2034	6.11503718341623	7.78401208165605
BA2109	4.87023108953253	5.25385282871793
BA2242	6.03404286985942	8.1981158996604
BA2277	5.97691207859612	7.17358455839536
BA2727	7.10771088589405	8.29820901257083
BA2132	5.91874058491338	8.1336646480907
BA2618	5.46299801814277	5.7443340618491
BA2521	5.49396648422183	7.6685963483501
BA2846	6.49002795768883	6.97731252665637
BA2885	4.92595904339551	0.499201192837283
BA2639	6.29137386576201	7.23126576681474
BA2775	5.60579685194834	8.75396729152058
BA2402	5.17065533146209	7.41497012248878
BA2097	5.66740335166233	6.65845499115322
BA2786	5.58682786591739	4.91685437213902
BA2399	6.16697408993369	7.90654028957083
BA2850	5.53758769155616	7.30676049708217
BA2174	5.56931523967556	6.39165195051498
BA2004	5.79282325358751	7.10612705087253
BA3001	6.55713498264667	9.11460476788528
BA2311	4.78361272995645	4.44334512113552
BA2483	6.25534556152395	7.94314055717551
BA3040	5.54431492495241	6.93954050250455
BA2837	6.13249003882685	7.37675245327076
BA2724	4.79523149626919	5.71100608100859
BA2911	6.13505858445244	7.95452812467512
BA2256	6.07438042977308	7.39540604135448
BA2821	6.06121727575126	5.09181307158236
BA2233	6.75074032756909	7.00565090016862
BA2744	6.69580577134555	8.99906762077278
BA2880	5.14825734566663	4.91721018578494
BA2621	5.31756660169569	4.85056186804303
BA3002	6.11593110685268	7.08521741719084
BA2501	5.71368801694621	7.1646982323911
BA2993	5.68833994254818	7.77161485169371
BA2301	4.60295748096679	4.78361272995645
BA2852	5.42453578520679	5.70872171926613
BA2133	5.51345714323729	5.82429929461363
BA2866	6.36930495814156	6.19563315556883
BA2212	5.89086317810063	5.48915482766383
BA2685	5.40778946397742	7.281719536851
BA2273	5.9773343667847	7.99573716734119
BA2477	6.16697408993369	7.05292631391108
BA2659	5.05963791860408	6.8446685918264
BA2124	6.63383351459938	7.65513327960109
BA2363	6.0344495153559	7.42090370210596
BA2369	5.84631034661227	6.59569193185131
BA2534	7.56679847925559	9.27156918109996
BA2400	5.92432462638165	7.14383843051354
BA2762	6.03732004077161	7.08227901596389
BA2312	6.01745471553114	7.25176192852259
BA2813	5.79446889536676	7.19643196455649
BA2211	6.67837784799198	9.02190186898869
BA2171	5.78002501253586	7.29431703031285
BA2746	4.56145114497437	4.79767961716109
BA2798	4.85230183637924	7.96422079504262
BA2809	6.37079667059363	6.5550219238791
BA2288	6.21760589006463	4.72003247702049
BA2801	5.10733697094661	6.06971777989566
BA3030	5.98792432171399	5.4066422207313
BA2588	6.3730951356739	8.07245680901417
BA2296	6.57772759538865	6.47426873472503
BA2300	6.17423728477739	5.79874599985332
BA2903	5.46260848821559	5.63551782963557
BA2473	4.66541353379402	7.36910502551481
BA2545	5.29014927757584	4.92380795044112
BA2840	5.20757281722967	9.59577094815016
BA2528	5.49025573477232	6.5518017021576
BA2646	6.24227196022735	7.49256176412129
BA3407	4.41937585941747	4.81902834400603
BA2240	5.87772009379433	7.72809482559201
BA2926	5.48685812816546	6.5851771545889
BA2272	5.16389532747044	5.95076318092024
BA2306	6.16229657509821	5.04444275985059
BA2765	5.10733697094661	6.08707291217101
BA2904	6.23081198982986	10.1753003572988
BA2883	5.00552413095077	8.31787605128572
BA2726	5.10142924510394	-0.238630282752338
BA2234	4.09352976766015	1.05164008757557
BA2022	6.00392077224602	7.70330320958059
BA2228	4.73692025392607	5.23174307005196
BA2037	6.37031994316104	8.24717893447311
BA2184	7.44644074627456	8.42083657982967
BA3009	6.32314377198831	7.23636521102564
BA2842	4.54377637973889	4.40802912825966
BA2442	5.54393492602013	7.74132890165977
BA2882	5.05929023106165	3.77959301841516
BA2758	4.51398396735729	4.26323917922153
BA2705	5.54355794441881	7.8210975174081
BA2663	5.4040564998537	4.20873434593167
BA2570	6.3129901827468	5.80572775335192
BA2764	4.16479586623105	5.04210102667198
BA2209	6.20525292176704	5.44603871114775
BA2989	6.26705656087935	8.20818067427413
BA2855	5.04138595893264	4.36015860511768
BA2261	5.32664570587017	7.86519796261888
BA2721	5.42748213274228	6.26118056372206
BA2930	4.32076840742144	5.53979697945933
BA2728	5.46114309064973	7.28525840993051
BA2715	5.13442321095142	6.91854859965898
BA2469	4.04753383160948	5.74011278993299
BA2269	4.81095988420945	4.62036406268975
BA2098	3.59566377043115	3.75076608161682
BA2778	3.69392175101973	2.42732071858121
BA2951	6.93021683662514	8.46922505155083
BA2163	7.03196402344294	7.42519569680361
BA2379	5.14161615451425	5.86210066626784
BA2817	4.73585764384443	1.83042814261167
BA3153	6.35855944709052	8.08335570616425
BA2820	4.82534093200762	5.64240286737973
BA2723	4.46663819123563	5.69915968973013
BA2704	6.19169062886434	8.11104544817006
BA2088	4.23317948236661	4.65333014368695
BA2116	5.36689692587537	6.94294359338222
BA2584	6.19479612483736	2.24349372699526
BA3079	5.95765278561263	6.6100656847185
BA2417	5.79321150053106	3.06113870744397
BA2361	5.50498484264806	4.6932849776624
BA2450	6.67894286315779	8.38100696139026
BA2492	4.23203632866019	3.31109043996003
BA2552	5.91595003127845	7.65148276489013
BA2472	4.56799936889978	5.32411225603459
BA2994	6.38599164256093	8.22036612888066
BA2047	5.70146183160515	7.77846043065093
BA2101	5.79045455115976	4.65120922776301
BA2082	5.53865932247819	3.90728684369565
BA2879	5.11922365704846	6.69192414230504
BA2577	6.7058515766051	7.03196402344294
BA2456	4.85371906563251	2.29791028651136
BA2175	4.99738222665924	6.38261014012489
BA2824	6.40454724548096	8.75098362594822
BA2507	6.74039110508618	6.80545390529169
BA2563	6.49406704275497	7.98067391429632
BA2244	4.96127415225726	5.8045076557668
BA2470	6.2918184227424	7.75780436658957
BA2984	5.62868512576849	8.00780085925266
BA2414	6.58623483162294	6.95751613947387
BA2697	4.61150443110127	4.59081785984696
BA2079	5.08758890657065	3.85600991616853
BA2999	6.39738498406032	6.90096747490557
BA2644	5.65485837851428	6.78194925141946
BA2011	5.32664570587017	6.37975842200095
BA2217	7.20800173217813	8.48656626341456
BA2454	7.33073792117204	10.5981160524102
BA2776	6.74039110508618	8.24717893447311
BA2218	5.91717313414898	8.42321613548815
BA2135	6.06255807626612	5.36438724591077
BA2914	5.77070270325106	7.92045916247849
BA2500	5.48059363504872	6.70193954968785
BA2830	6.85144834736251	6.92050118830241
BA2406	5.29272133823875	3.72560586066794
BA3108	4.66717493535737	8.20616122712402
BA2924	5.31255258978501	7.50647222464875
BA2303	5.28256921751163	5.34973720544744
BA2160	6.655181196516	8.32893113987774
BA2038	4.35906524158071	4.95577043792796
BA2602	4.62321630772693	4.40656431480039
BA2964	4.39407415685903	4.68133985426918
BA2898	5.13692147172974	4.78153410225228
BA3003	5.2450731397095	5.33137556428865
BA2111	5.12563283342855	5.55851041668359
BA2827	5.11569183564456	4.82742292972687
BA2912	5.81007696621955	3.99833496825788
BA2437	5.1122048652643	5.35593989387114
BA2283	5.36221790332293	4.81337176305461
BA2057	5.19592591955162	4.51939484788158
BA2633	5.44569104780308	5.16960938829634
BA3034	5.06279777386113	5.28256921751163
BA2607	4.98230143047781	4.60223859726182
BA2761	5.67432622931416	4.68309897358403
BA2795	5.22927128390671	4.53769799161138
BA2182	5.25109490120941	4.89591757187592
BA2152	5.23965795443685	4.38228741422543
BA2381	6.38306782429477	7.06885426902192
BA2931	5.49691431965408	4.47827685062553
BA2040	4.54056013941107	3.26599227921617
BA2590	6.56990345420697	7.19738153999511
BA3195	6.86838819773824	7.02200264661639
BA2516	5.78615399709568	6.44710159988793
BA2353	7.26851020715081	6.91854859965898
BA3036	6.3850340445232	8.34456564828853
BA2971	6.23664169060856	8.50093062457148
BA3410	5.66279307581164	6.10703701818297
BA3118	5.42234890079115	5.98917879350321
BA3206	6.83601210531875	6.34190143280827
BA3202	4.24693083065817	4.49454936710229
BA3217	6.01664395833904	7.89401548128851
BA3405	5.35117907046834	6.63486341869675
BA3306	5.44067594846619	7.51299557490928
BA3371	4.97317547511932	5.36365751969834
BA3413	6.83843057067482	7.63278489020753
BA3411	5.73738411344192	5.03642055076695
BA3133	6.15921420802907	8.97142354261209
BA3164	5.78192253760815	8.5555137585582
BA3451	4.90254409754431	3.32501250452144
BA3286	5.8761890408473	5.84234806468241
BA3212	6.15834977750935	10.1019627568373
BA3103	5.4040564998537	5.06069232646451
BA3271	5.49289037233673	6.05279557201734
BA3152	5.21327609576147	3.24991105964122
BA3095	6.20098661255903	8.09989277486394
BA3192	5.35415056636227	6.97318609681243
BA3251	6.35399476116952	7.03918975972709
BA3362	5.60540886857144	0.433070764286167
BA3400	5.490635893289	8.33337930026134
BA3135	5.89003355654074	7.08899874190146
BA3408	5.12063498746829	3.38554683036159
BA3187	5.39277292171201	5.11433165880832
BA3098	6.18590754539494	7.02978091514104
BA3435	5.67887021391384	7.93658206656699
BA3261	6.47915200705891	4.68906744298486
BA3203	5.61405116349114	6.52375465899181
BA3174	5.21397119518206	4.59438606664195
BA3317	6.81883552060849	8.17625565039323
BA3299	4.41640814943071	5.26710389157619
BA3221	5.50684581649132	2.71814995189887
BA3347	4.5651470965606	1.4977254366136
BA3235	4.59152669861806	4.24655068383766
BA3126	4.09434749658679	2.64402051124596
BA3380	5.84353133766961	7.18812871773308
BA3089	6.50598160592548	8.04934885751887
BA3109	5.19197507986882	5.95395062623658
BA3114	4.61788631559245	7.18398636132438
BA3418	6.25221507266163	7.28800386009291
BA3245	5.72099925846855	6.84839040918598
BA3085	6.88232132236019	7.11517726354172
BA3128	5.6290939324601	7.30861526987379
BA3423	5.86057748465192	7.7605970351598
BA3173	5.93735639042332	6.07221564365928
BA3171	6.34878143548061	7.37675245327076
BA3277	5.44424859687628	7.2179085684236
BA3210	5.82971849546372	6.4915209071939
BA3157	6.43193622663115	6.68070832768596
BA3433	5.85578814032464	8.30037965468589
BA3322	5.08223929101889	4.34569920053779
BA3374	5.35519815996299	-0.177808519803868
BA3450	5.34219904385068	6.77720928573593
BA3167	4.81095988420945	0.719254707053097
BA3269	4.99738222665924	6.76898394569665
BA3110	5.37014622702408	2.87198103535148
BA3156	5.45234424595149	7.83704881770087
BA3226	6.25000151049301	8.14705635633251
BA3421	4.8864219540017	6.54456958822718
BA3232	6.27426778231287	8.15477520582082
BA3289	4.85971090955896	4.99494706061389
BA3430	5.25385282871793	3.64521772451027
BA3145	6.73922514739457	8.20818067427413
BA3399	4.74148796294472	6.40074858834192
BA3449	4.95086713745968	8.79635277497105
BA3384	5.9563978434584	7.68652733200955
BA3427	5.25714318052804	7.88494695067266
BA3163	4.59152669861806	2.07381903278467
BA3158	6.79581543973709	7.96744532914178
BA3436	6.93827202821145	10.4540502805812
BA3154	6.2850706491728	0.601632895281666
BA3162	5.92513526908082	6.46633469347968
BA3352	6.18861040169558	7.01472936087095
BA3084	5.89359904116522	4.77031077404719
BA3149	5.35709573192361	3.28330883545606
BA3169	4.99738222665924	3.00426499817374
BA3180	5.90885007986137	7.02698040559294
BA3255	5.37928711694374	7.81832288003789
BA3438	5.831768285151	1.59541816670198
BA3345	4.94207214987635	2.11388863910946
BA3403	5.24180259489468	1.97096633043764
BA3431	5.5327793179831	6.16270217963845
BA3181	5.01499035740301	5.21924696123963
BA3341	4.25037031677199	7.60395254604328
BA3191	5.50721271315311	7.06736498172321
BA3197	6.83344544574865	10.0139606390354
BA3448	6.60051001058414	7.76334677298606
BA3453	4.81972624226558	6.94358580230343
BA3406	5.89003355654074	7.62437772428186
BA3308	6.62952631509886	7.41702873174962
BA3186	6.7037023558772	9.9053830477262
BA3334	4.61468245344628	4.22175408993243
BA3447	7.53734841909383	4.59972375526065
BA3116	4.92736106288858	3.24833932522177
BA3280	5.34471469248409	7.63278489020753
BA3185	6.0765385205626	2.28340449654963
BA3094	5.44318329987226	-1.96011964564348
BA3318	4.65263126814038	6.326824292765
BA3216	5.88406214865442	6.47279065497325
BA3332	5.83917770608647	7.36724009431295
BA3214	6.52836297577895	7.99246857024867
BA3099	5.81839607751016	7.75780436658957
BA3141	6.6430484484285	8.84307877151568
BA3373	7.08521741719084	8.43758065182973
BA3319	4.99665147897099	5.9785222997962
BA3328	5.75023036618314	9.1410080593907
BA3339	5.90720734250747	1.3495851994097
BA3240	7.46784096415085	8.91751782379931
BA3142	6.49002795768883	8.68676863894814
BA3333	6.66451367219681	7.37577438257785
BA3381	5.12596382526423	5.08870565418655
BA3290	5.67811655623058	8.19012213724112
BA3207	3.30852387884075	3.02428518304635
BA3296	5.02619905861961	3.53193069811392
BA3305	5.71368801694621	6.50854787129231
BA3434	6.20525292176704	4.82292152807512
BA3189	6.72005859768329	6.86708630662577
BA3264	6.11294027816034	7.17999658780694
BA3329	6.39359148087619	9.23665444981222
BA3417	5.51691886633525	0.207476070123517
BA3367	5.03748167961273	5.72023465218825
BA3225	4.30837790148871	3.92905779716509
BA3183	5.77294291662078	6.73692509275104
BA3222	5.4780108909795	0.578560653385863
BA3139	6.25445222164076	7.81101053195418
BA3397	6.5518017021576	3.03620367997927
BA3311	5.23032944318066	6.35019247071228
BA3422	6.54042498941119	9.65571538111022
BA3228	6.11633596300958	7.8210975174081
BA3213	5.8546289142141	5.6533576160666
BA3270	5.36939086109841	6.34737367069021
BA3415	6.08148760261427	5.82971849546372
BA3324	6.40503611780804	6.87212018212394
BA3194	6.77720928573593	8.2960419873451
BA3335	6.11633596300958	9.2389471182711
BA3199	7.06166102601644	7.05796014084047
BA3326	5.30886708091399	2.88584557978208
BA3285	6.35713479831954	9.61602995658446
BA3297	6.17989946486144	7.82688083190866
BA3227	7.03623900558414	9.60929418124753
BA3394	6.21933467933948	7.53511002571526
BA3412	6.21454243325922	0.439987090282692
BA3293	5.91637612602088	9.06845231152446
BA3250	5.83256616777847	5.42966375134891
BA3177	5.6412866944169	5.13976221148527
BA3315	4.798374704262	3.90901162589946
BA3182	5.85810717843667	5.55510823651463
BA3260	6.02077165309049	4.66398706452937
BA3369	5.69992958447881	4.807111451034
BA3078	5.48023322260474	5.75415496254133
BA3386	6.57509033573893	8.70980864868103
BA3445	4.87235166783045	6.61275930528802
BA3452	5.46001022094073	7.32489473499785
BA3176	6.55914586158058	7.22042069105103
