	RUNX1	WT1
BA2392	8.22240857358487	-0.949108598338083
BA2611	8.24509615455004	-1.34397869390183
BA2506	8.23267071257109	-2.05373083819241
BA2430	8.27031665707811	-1.22174941388341
BA2448	8.26607857536642	-1.15439319370764
BA2730	8.27670009201677	-2.31036330948229
BA2845	8.32671267592458	-1.14118673133773
BA2326	8.31347995218337	-1.31682085580989
BA2341	8.35811493599106	-1.33055940349561
BA2612	8.31347995218337	-1.36720517947145
BA2973	8.32007964073217	-1.51804371313603
BA2390	8.29387857030758	-1.50372570372901
BA3218	8.31347995218337	-1.3568562659869
BA3105	8.24926512843891	-1.72584860763551
BA3402	8.27456876079558	-1.11055379864118
BA3276	8.25764420926654	-1.72584860763551
BA2409	6.75831323775631	2.42527027407431
BA3037	7.64377441186557	5.89603275873882
BA2496	7.0949820634578	-1.85443649196731
BA2172	6.54875546973009	4.30240606521426
BA2865	8.40664550150058	5.13442321095142
BA2923	7.4382687261571	-4.41297117108437
BA2751	9.45155824142257	0.230814197880978
BA2480	9.25110414260315	5.43991302011835
BA2286	7.82833379039141	2.85220606273854
BA2922	8.52958832512444	5.65028439106862
BA2452	8.84624370479657	6.02615955253131
BA3379	7.11145591609312	4.06768255183074
BA2887	7.53303259081949	5.11638292117158
BA2712	7.50436087643108	-4.21691190609306
BA2068	8.0179995830141	5.2868395453686
BA2236	8.79022656584331	5.73442845067299
BA2104	7.2245944685398	-2.90198965929373
BA3124	7.10925539195399	3.08537081267169
BA3395	8.68106286594684	3.48569837262195
BA2921	8.14513423086413	1.83912500107504
BA2449	7.18474506245045	1.62272533517422
BA2003	8.13747585819058	5.76722856076773
BA2360	6.17338143773516	2.83094506139995
BA2802	7.51299557490928	3.47498947045849
BA2235	7.56436701911919	4.54878748959104
BA2858	6.5181383405608	-2.05373083819241
BA3038	7.39635430321553	3.84606667062873
BA3006	8.75098362594822	4.0102959705863
BA2245	9.09600320401444	-0.711977832459023
BA2667	7.40804987020109	3.12161168962479
BA2239	7.09710413510838	2.07076624330663
BA2782	6.67339810625054	2.60775035053937
BA2649	8.91751782379931	5.96386071356046
BA2488	8.48407580140491	6.0908744011171
BA2861	6.18992574647122	2.47226396684629
BA2909	6.91854859965898	2.23163840559511
BA2429	7.12040364606583	2.18540487795531
BA2653	7.68013043810275	4.87551304793432
BA2134	7.06371663624663	-1.26036729993896
BA2947	7.78123623973778	3.46604952680908
BA2032	7.95765939482996	6.35536228255588
BA2162	6.37358566074055	-3.00488579996363
BA2564	7.79663560293131	3.55179272966768
BA2597	7.63393532286626	6.14759404853347
BA3243	7.40609048790591	3.87740393249645
BA2106	8.13938594647296	5.57448750435834
BA2427	7.38560317769133	5.05220075930866
BA2841	6.04647904010288	1.39625212579059
BA2446	6.23342882640082	1.23682676475754
BA2645	6.61649602743193	6.46040057966304
BA2525	5.30060514576655	-2.45561174580429
BA2876	6.16229657509821	-1.03653723642118
BA2357	7.01847365520979	1.53598005102551
BA2546	6.36695225743452	-1.30656643508874
BA2742	7.41889646736553	0.69745683162882
BA2316	7.48163507084779	0.899094483682124
BA2421	7.48695721637732	1.33242763824809
BA2087	6.85707363149716	-2.74343030506397
BA2910	8.25344779136567	6.99719018449603
BA2148	7.50861653894833	6.9848366218031
BA2063	5.38841032189554	-0.311019673586418
BA2329	6.91733301258099	2.56729980684005
BA3178	6.42280633283907	-3.69977436376083
BA2072	8.00619097456886	3.92905779716509
BA3029	7.92364245319313	6.97250726431014
BA2733	7.3212161814573	4.79905769578442
BA2995	9.09230819306279	-1.33761435343488
BA2069	6.86281064555051	-5.52091327378807
BA2100	7.54191215313676	2.94360662853157
BA2681	6.81883552060849	-2.3713037003904
BA2248	7.92526519111295	5.35117907046834
BA2832	7.55189787670547	4.42301685254278
BA2308	7.4382687261571	5.74861209266001
BA2413	7.57003408038875	5.71138116672011
BA2701	6.83843057067482	4.0672793038812
BA2634	7.17761745050204	3.4336264767336
BA2677	7.16795764916514	3.09979908032792
BA2937	7.01983909137586	1.39174765918177
BA2600	7.53197491812839	3.30695131155452
BA2019	7.08227901596389	3.40886684712213
BA2412	6.15187477635529	0.282808392042098
BA2334	7.92699657991781	5.38151536241943
BA2050	8.20213208675208	5.04032746317028
BA3230	7.56567805381962	-1.21505154279673
BA2953	7.79093203959201	2.61162716808333
BA2481	7.40510623344956	2.61955658601987
BA2731	6.17379906817959	-0.387302959250216
BA2294	7.62205873798526	4.4462798870641
BA2418	8.5529001392332	5.79950973684786
BA2816	7.64636707538027	1.00727712946517
BA2656	7.64255001400601	1.56426458726311
BA2814	6.62033484572762	-2.47214238978326
BA2631	7.78123623973778	3.92905779716509
BA2023	7.36910502551481	-4.79464204484053
BA2375	7.95452812467512	3.92287499831834
BA2485	9.12011695971816	5.7175568767915
BA2455	6.33092888167036	-2.78034077718535
BA2025	5.70757619671164	1.76917277909169
