	RUNX1	WT1
BA2636	7.60876718089275	-3.29429542282984
BA2325	6.69807753006718	0.896118049614534
BA2169	7.07180826529373	5.97158629049038
BA2156	6.54978276410253	3.04704895342493
BA2511	6.52072194410879	3.55468554456962
BA2939	7.85486380528094	5.15740286046687
BA2168	8.02685700006077	5.643896541446
BA2505	6.93954050250455	3.83524914634314
BA2860	6.26429986711095	-1.19258977282178
BA2707	8.33337930026134	-1.26036729993896
BA2871	6.24864350807345	-0.399277296625941
BA2655	6.47279065497325	1.33464381417527
BA2227	8.08518191159815	5.05720665133944
BA2125	7.67493502317828	4.20135659440007
BA2523	8.16644533071452	5.39780333094655
BA2603	7.52776715607633	4.06201254185105
BA2808	7.8894951557827	4.89343215555138
BA2282	5.9389872636167	-1.41890702362989
BA2482	8.42559982560594	4.36127695713154
BA2812	6.79581543973709	-1.50022208785386
BA2822	7.91267481802265	3.80773072741873
BA2594	6.62843695703125	0.507602595468108
BA2747	8.62242404966029	5.04409921416931
BA2561	8.58191208164573	-5.29146950758079
BA2567	5.31326361994662	-3.85126035696575
BA2906	6.70639038824238	1.60231574737047
BA2956	7.57003408038875	4.14366264706437
BA2474	7.94466831928416	4.47099076274074
BA2737	7.52879493976561	-4.30318114320644
BA2110	6.84719227215285	2.0116554134637
BA2992	8.06884590575294	4.61150443110127
BA2220	7.60876718089275	4.86534712878217
BA2772	8.03550248502968	4.92736106288858
BA2935	7.26238233832031	3.66845105159953
BA2260	7.81686981561798	3.58742662131399
BA2676	7.29162764738793	1.70326872127497
BA2948	6.31251579014812	2.96409346879
BA2524	7.6685963483501	5.84150393894181
BA2811	9.0307417478067	5.683055970914
BA2540	6.20872841683922	-3.54072073336428
BA2928	6.74268846032395	-4.04278359661597
BA2302	7.28800386009291	3.76902108983222
BA2595	7.4262875873266	5.98011491063707
BA2792	7.46679247570854	4.16205900590607
BA2651	7.59930957213068	4.95506412387923
BA2619	7.5098325342709	4.58691244592694
BA3013	7.94466831928416	4.09676624641316
BA2405	7.79800939146032	2.7380162918585
BA2735	7.74951233053604	4.27308792912525
BA2856	6.69192414230504	4.14600944932061
BA2377	7.60044547310861	-3.73132773416127
BA2499	7.80094268898657	3.56956667884493
BA2463	8.61880009680474	0.234841923860152
BA3023	8.07789379739417	5.08080248801388
BA2095	8.85577669200061	5.66319728629148
BA2901	7.34547705030654	1.87236961151542
BA2275	7.80817251236376	2.95951917174378
BA2387	8.43037965011906	5.85107379352105
BA2962	8.00271116464237	2.81275421711373
BA2195	7.53093612416627	4.70980361858599
BA2688	6.27332825884915	4.16358431723126
BA2787	5.82191269814631	-4.16221322156868
BA2420	8.79635277497105	3.94179623964938
BA2756	7.3875616099495	5.4113491881704
BA2122	7.27378385953679	-1.6782559541387
BA2053	8.23886821722062	5.6154952630376
BA2080	6.46633469347968	4.62926177132124
BA2081	8.83048212173684	3.53338878205588
BA2354	6.98553956904008	1.42234206716286
BA3273	4.90986474335253	0.919835106636856
BA2893	8.69824500910271	4.73904359343724
BA2044	8.37180321609369	3.57238938006016
BA2489	7.10534081557561	-1.97374829109098
BA2309	7.31758513982701	3.41508060163647
BA2720	6.23576326993081	4.01157335883524
BA2908	7.69790613813162	3.715145145311
BA2054	7.42090370210596	2.44926156327769
BA2872	6.4108151402329	-3.36366404396703
BA2526	7.32779530563549	5.67432622931416
BA2041	7.68775219309565	4.90986474335253
BA2464	8.04060780611373	5.40147695209821
BA2902	8.36494157515656	5.28073246291878
BA2541	6.79640967556144	4.01070643303874
BA2143	7.40707286933197	2.54544196723504
BA2094	8.24926512843891	-5.26179066275894
BA2769	6.96352997566574	2.5287380218477
BA2843	1.29229534870093	4.08320598972476
BA2592	7.59808663804993	5.6144197194819
BA2497	7.35957852119331	-4.2593293039235
BA2718	6.84657434431718	3.85471716317187
BA2575	7.07486831392374	3.18055040086097
BA2096	7.48594354331146	3.5589954761134
BA2593	8.74389874448259	3.05037898922433
BA2791	8.54249270039127	5.71798453197329
BA2620	7.11216085325929	1.51028957469975
BA2629	8.3156761580726	3.80689635661131
BA2870	8.28526081080175	2.10589181824348
BA2423	6.69080762366511	-3.2138968635892
BA2682	7.75780436658957	3.98571420800687
BA2276	7.56321071069528	-2.26970788857989
BA2348	6.2114515075537	1.35850244646445
BA2709	7.54085820588458	3.43199360390782
BA2789	8.67821802831458	5.19197507986882
BA2694	8.34681429629083	5.04514940290603
BA2538	7.89563066633541	2.14795123434684
BA2583	8.80867768640892	0.521473783310622
BA2415	6.04734642903678	-5.52091327378807
BA2722	8.33784249776874	4.37013695316732
BA2806	8.94761722776196	6.00261866586335
BA2221	6.1921407741856	-4.44520274654728
BA3025	6.29315264064962	5.54282665462534
BA2514	7.03986452617139	-0.467690122476436
BA2520	8.3311533449718	2.02174840979331
BA2441	6.73745939965324	-0.2940815573697
BA2153	8.06706072393759	2.22782247296683
BA2479	5.70908891657494	1.82959006870799
BA2281	8.68391306436784	5.49981147623839
BA2657	7.77846043065093	0.0966736139010029
BA2932	8.3156761580726	4.90950444103544
BA2123	8.0760787079227	4.53626577730074
BA2844	6.30418081628279	2.58314249436544
BA2660	7.95104961478815	3.26012105846324
BA2836	7.61949698331246	5.49691431965408
BA3027	5.78731556681433	-2.10431960916538
BA2714	7.93658206656699	4.23933489780631
BA2139	6.4489544024993	-0.83667589124871
BA2251	6.1556592421586	3.43509567116173
BA2952	7.40406179513594	-0.14370738490567
BA2440	7.04775148018528	-1.09216466114694
BA2036	9.25517667754352	5.19556313505125
BA2828	7.22543117773692	3.62141192551751
BA2292	6.80845562026412	1.49556026112022
BA2410	8.52190108216259	4.88291011197608
BA2051	7.1956195388029	4.44117628286088
BA2532	7.01060112681321	4.33752896301929
BA2986	7.5075244144456	2.59481330964079
BA2494	7.25790347094091	4.5237112413054
BA2515	6.48803668934059	-1.82157211250373
BA2748	6.5808607051832	3.05203364858804
BA2970	6.1821095995856	1.19828391483052
BA2622	8.03722226484621	-2.24528625370186
BA2839	8.91090509269608	4.44843050304205
BA2052	7.98386019261508	-0.586590827897
BA3011	7.42313394469991	4.97596941537187
BA2868	6.46333894051768	4.4281166894281
BA2510	4.1972207613263	-4.54627919628903
BA2065	8.39027400222105	4.95747206659002
BA2691	7.49358396361658	-2.08150014081258
BA2374	7.02480711295981	4.30351985382614
BA2804	6.75251712721233	1.03724504422622
BA2670	7.57604503702852	1.59446420714529
BA2675	8.07426638068647	5.40039592941304
BA2589	7.26585264294213	5.03186421268284
BA2031	7.6112304020112	-4.59957033850824
BA2198	8.99211218550823	3.21214927956067
BA2066	7.23036606098158	0.244476133616038
BA2344	7.53734841909383	4.61432758787758
BA2459	8.28924318234402	0.745008053589273
BA2229	7.33073792117204	6.86407290374975
BA2559	7.76200686781066	0.907573624801598
BA2093	9.37793858616158	6.05912302323741
BA2000	7.77161485169371	4.36978016763227
BA2425	7.53511002571526	0.946050220237291
BA2905	7.41889646736553	2.29057658536721
BA2304	6.41128456721012	-3.78517780161679
BA2976	7.3212161814573	2.20713040749132
BA2386	8.33337930026134	5.64166399423883
BA2035	8.6306614688285	4.83096192899042
BA2760	6.77834045992494	2.43961255695851
BA2201	7.50539293842063	2.54413689826714
BA2355	7.33250978911574	5.15956280499738
BA2113	7.87430709609213	3.84650283387536
BA2155	6.8911840063889	1.81349408147165
BA2955	7.15876570695721	1.1015901745641
BA2502	7.21053357648558	3.04645928221156
BA2322	8.30691336971867	4.78539668733183
BA2376	6.52836297577895	-0.543214915721396
BA2020	7.44544500262934	4.72354417544082
BA2226	7.86519796261888	3.32603631681627
BA2200	9.16398396797258	5.48468121276611
BA2121	7.67751428719864	1.79218942654284
BA2944	7.84127876561754	3.68217215988785
BA2033	6.83661488155882	2.10138671423736
BA2867	7.90342171341614	4.75868055542246
BA2089	6.3811905938473	-1.24729776016019
BA2224	7.80392510487274	-0.358388935779956
BA2046	8.3513230443853	5.42125052108752
BA2972	6.64684027167279	2.25161428597338
BA2978	6.59622051144561	-1.51459060193487
BA2829	8.5529001392332	4.26475082518245
BA2851	7.33339060020607	1.81871140983335
BA2587	8.5529001392332	4.31365852693905
BA2461	6.3423350524195	-4.90207415836154
BA2695	7.02978091514104	1.27466171665187
BA2623	8.62242404966029	4.65939127413171
BA2024	6.81394894542996	2.5287380218477
BA2426	7.66015357873811	4.4916443156522
BA2271	8.23267071257109	0.480333759445609
BA3004	8.7629529869435	6.02896726775605
BA2579	6.18294422218273	0.923898419999858
BA3010	7.51413414557592	-1.15112312778785
BA2662	7.3212161814573	2.80849620548243
BA2674	8.48158973981744	2.97848915233881
BA2280	9.08862153045619	5.3789226513503
BA2512	6.90877033903166	-0.245480641116488
BA2658	5.53130217583918	-4.09430858942349
BA2394	8.89449191470128	0.434869386245465
BA2950	7.80094268898657	3.5116313094685
BA2981	8.1336646480907	4.71085683477021
BA2934	5.4943411471575	-4.1350893046353
BA2539	6.38171333036269	-5.23207573552585
BA2249	8.27456876079558	4.98372592715582
BA2034	7.878761730409	4.6274902964939
BA2109	6.62086223855277	-2.19345672998365
BA2242	8.21020338316209	5.67202091636779
BA2277	8.14898150925669	4.31178419876392
BA2727	6.82309107200081	3.80075983876638
BA2132	7.631611105114	4.59116887928136
BA2618	7.41308925427417	0.340080738646224
BA2521	8.40194775982719	4.66009956525948
BA2846	8.58457840504288	5.1273934607462
BA2885	7.05570452227078	-2.88217442288734
BA2639	8.7629529869435	5.10037153191854
BA2775	7.98898804212453	4.47902169597731
BA2402	7.68895709467278	3.78046913292847
BA2097	7.66735491479546	-2.80619697770706
BA2786	6.07058706634591	3.31782552417921
BA2399	8.92415796681604	5.14082982502073
BA2850	8.89776108628452	4.61292317521801
BA2174	7.24904224136933	1.60136191099771
BA2004	6.70141361221983	0.338252851402753
BA3001	8.50160207030541	5.67239321044761
BA2311	5.77033121359801	0.585076282677859
BA2483	8.46125654532408	4.43932284602221
BA3040	7.28800386009291	3.145024554735
BA2837	7.20544727648903	3.5970577193442
BA2724	6.84900595542396	3.05833632772676
BA2911	7.6954634086272	3.95847739460523
BA2256	7.88342196520891	5.70411525165464
BA2821	7.89717932578411	4.8980399466675
BA2233	8.23061160269424	5.03856627298611
BA2744	8.27456876079558	5.21184609169853
BA2880	6.38738832095137	-3.78517780161679
BA2621	6.68242645093915	-3.36366404396703
BA3002	8.21405263917023	4.23280074999323
BA2501	8.19611264417946	5.21291531865443
BA2993	8.06147774301482	4.13049769125671
BA2301	6.6441169206914	1.62175301006191
BA2852	6.54204262926234	1.20185386100513
BA2133	5.38803577864658	2.28415307068272
BA2866	7.64895583047878	3.04760276272772
BA2212	7.04918884608735	-2.04413465499093
BA2685	7.15078589361001	4.89626395355883
BA2273	7.87430709609213	5.38659608185088
BA2477	7.94936162159169	5.04032746317028
BA2659	7.52196174027097	2.43004147850229
BA2124	8.25109369476589	4.7551991824947
BA2363	7.72127626045477	0.0598717889754852
BA2369	7.12664090320603	4.49091605473907
BA2534	7.66369633945432	5.72213373131707
BA2400	8.12230223339654	5.14860760321253
BA2762	8.0044307958278	5.99191122538936
BA2312	7.23636521102564	4.46591200459637
BA2813	8.71562351354988	4.66362563596561
BA2211	9.1314039045803	5.88486366591165
BA2171	8.70690950167434	5.13837383282281
BA2746	6.76777472760262	1.81007217009569
BA2798	8.0301567645062	5.19978192962276
BA2809	8.2874098816496	3.05605087787581
BA2288	6.56942061445838	1.17134115218982
BA2801	6.40688318423783	-0.445016850886156
BA3030	6.8958209414819	2.96013126473532
BA2588	7.74666982029682	4.33865898893468
BA2296	6.68242645093915	2.07551474804364
BA2300	7.42090370210596	2.67316258429304
BA2903	5.70452449404762	-1.92600863140393
BA2473	7.19903013947942	3.22280615930821
BA2545	6.40549948389557	-3.89656899425599
BA2840	7.37002936753922	5.9610279397687
BA2528	8.41846114844672	0.886017027727296
BA2646	8.12607789280928	5.95076318092024
BA3407	6.81145766315316	-1.9002011047749
BA2240	8.38331776349613	4.64626652070706
BA2926	6.8791208631907	1.87236961151542
BA2272	6.91521402329812	3.41089377515077
BA2306	7.25527706310904	-0.678720436366109
BA2765	7.17197273809379	1.08462446930952
BA2904	8.04414638908848	5.13368956327964
BA2883	7.68529642962647	4.26019711740886
BA2726	6.53298741802549	-3.06313442854582
BA2234	6.48902852435197	-4.24541320330485
BA2022	8.7214605815193	5.61175957380568
BA2228	6.87718695252014	0.045431040067311
BA2037	7.76884228347361	4.86953629253026
BA2184	6.85025853686514	0.818865101075557
BA3009	7.72809482559201	2.08727891982769
BA2842	6.54204262926234	-3.50410379627379
BA2442	7.97720455656684	4.12413716528858
BA2882	6.12991458455326	0.401247901583782
BA2758	6.93954050250455	-1.87134236175322
BA2705	8.51425498508966	5.3981837734462
BA2663	6.13505858445244	-4.54627919628903
BA2570	7.40305574053771	5.78002501253586
BA2764	6.36086030376613	-3.2626742370293
BA2209	5.2557008751781	3.40232320404657
BA2989	8.91420804405317	7.22379610574448
BA2855	7.08671523409321	-2.3713037003904
BA2261	7.06094242567649	3.49157457610035
BA2721	7.95104961478815	1.84264214892674
BA2930	7.05213628356552	-5.01843058152471
BA2728	7.07845414922519	1.96116361160545
BA2715	8.27031665707811	3.87438735330881
BA2469	6.43146976668751	2.78634530060665
BA2269	6.72932018001604	-1.04532144447794
BA2098	7.45053981568106	1.42445356632705
BA2778	7.28268371584317	-0.502629849930007
BA2951	8.81177412986094	3.35747250812773
BA2163	7.47212920454885	-0.186674284721414
BA2379	6.96912043899967	-0.628608654772086
BA2817	2.99842729770843	-1.24729776016019
BA3153	5.62607242115432	3.89787249471578
BA2820	8.04242466385173	2.72686185532426
BA2723	6.11928256232472	3.58414339703454
BA2704	9.07761127342397	4.89978807487584
BA2088	5.98220791058853	1.71822473873366
BA2116	6.76359470107912	2.20786647422011
BA2584	6.72183111998027	4.15661160010825
BA3079	6.87718695252014	3.2890601366061
BA2417	8.17232215906216	-4.23106940660728
BA2361	6.56065461359229	-2.68981786198312
BA2450	8.57394218930808	4.65477615366599
BA2492	6.17598273714894	1.49232098276003
BA2552	8.25135474465914	5.97812067314416
BA2472	7.70582137825133	1.2450550586815
BA2994	8.904319577833	5.4417363654644
BA2047	7.37002936753922	4.38521059006741
BA2101	7.07770710445007	2.83461003267086
BA2082	6.68127929274665	0.922533427167959
BA2879	7.30768711424343	5.38079659978033
BA2577	6.62413100331839	3.94226157127552
BA2456	6.57560815980456	-4.81543989176866
BA2175	7.30948834304819	4.23018449932999
BA2824	9.22687989289351	4.63953342719534
BA2507	8.60067902691643	5.39347949789235
BA2563	8.93417001363455	4.65156349192333
BA2244	7.50539293842063	4.05362124684688
BA2470	8.27031665707811	0.136800381557917
BA2984	8.46185834013681	4.41056176363704
BA2414	8.26607857536642	4.40032348503011
BA2697	5.85542200416075	-4.08215496684175
BA2079	5.88526249443146	-5.04280924140603
BA2999	8.87824586229709	1.03724504422622
BA2644	6.6795007159625	-1.73745106536545
BA2011	6.00051445317703	-2.25024161031404
BA2217	6.39408540771364	4.2155795317414
BA2454	8.69249597847146	3.75932554703006
BA2776	9.44528028465592	5.5235514118888
BA2218	7.59694470359064	5.88879613535989
BA2135	7.68134464101013	2.15347373817709
BA2914	7.07251029744415	3.07081282165681
BA2500	8.5117153749805	5.52174962133348
BA2830	7.71088637463883	5.02518880255228
BA2406	6.74612605168156	2.21611595199145
BA3108	8.36266215228094	4.92175101940742
BA2924	7.64778904816974	5.41099569804948
BA2303	6.94294359338222	1.7013068862714
BA2160	8.30473182450184	5.18090832776529
BA2038	6.98756290986723	-2.77402372187259
BA2602	6.98419090856441	-3.25498441404272
BA2964	7.1158850415745	-3.57040228180244
BA2898	6.69750566900229	-4.54627919628903
BA3003	6.52889213798317	-3.58001398400949
BA2111	6.8867637487898	-5.89901264481663
BA2827	6.732801148639	-5.32182883491996
BA2912	6.37975842200095	-5.48456512973844
BA2437	6.78618260321054	-5.29146950758079
BA2283	6.46528423305325	-4.73260581696559
BA2057	6.51205995717627	-4.67457207325032
BA2633	6.82908216215166	-3.62823581497859
BA3034	6.61380571566026	-4.92494998809084
BA2607	6.59094704308975	-4.81543989176866
BA2761	6.48462547088391	-4.51188171220191
BA2795	6.58028734101557	-5.32182883491996
BA2182	6.6952290990594	-5.29146950758079
BA2152	6.59569193185131	-3.76376692929786
BA2381	8.32449794408229	-1.20566862139212
BA2931	6.84162430439576	-5.06940152020186
BA2040	6.47228949068298	-4.39675812570909
BA2590	8.70112769787832	5.01358911563759
BA3195	8.60337970015667	2.60775035053937
BA2516	7.54191215313676	-1.91775460540489
BA2353	8.23267071257109	5.10386434450347
BA3036	7.44839655086442	4.65227257820413
BA2971	7.38361760058351	0.426179251835628
BA3410	7.42928783450574	1.69643229602706
BA3118	7.45275636284168	5.00103650264355
BA3206	7.32679901700122	2.02588669433336
BA3202	6.06255807626612	-2.28483384953305
BA3217	8.60337970015667	5.30422441487673
BA3405	7.67359575985668	2.00197026228675
BA3306	7.96744532914178	6.076080299653
BA3371	6.95150045701844	4.60901148734067
BA3413	7.17595663951225	-4.85765657835027
BA3411	6.81811142246577	2.50593451743868
BA3133	7.51630069461518	3.88164907830794
BA3164	8.32671267592458	4.72110255717993
BA3451	7.13359161213086	0.480333759445609
BA3286	7.57724219112205	2.45794339630419
BA3212	7.69023500088856	5.67621163724687
BA3103	8.00271116464237	5.42346427521642
BA3271	8.49406416345013	4.11545446015405
BA3152	6.71035314821396	2.50132753227187
BA3095	8.49657233882556	5.0076178177708
BA3192	8.70112769787832	6.45401948854285
BA3251	7.85205086731265	5.38622445069567
BA3362	6.62413100331839	-3.29429542282984
BA3400	8.13747585819058	6.56119717042577
BA3135	8.09619809378225	5.46114309064973
BA3408	5.26602721557854	-3.80664194981464
BA3187	7.73200199894925	4.68695768946558
BA3098	8.57925061313916	4.37709807675879
BA3435	8.31347995218337	4.40728719351658
BA3261	6.36467185423724	1.11579111852859
BA3203	6.71610247691018	4.39626829820345
BA3174	7.60395254604328	3.25577411362013
BA3317	8.73025810259064	4.64945091473465
BA3299	7.5075244144456	2.51471286851075
BA3221	5.80067915322974	-3.09952930713356
BA3347	6.87589317842963	-5.44980241668477
BA3235	6.86648111845466	0.802541542803928
BA3126	6.89511146582289	-0.874344282646842
BA3380	7.73071674907066	5.61175957380568
BA3089	8.2960419873451	5.83331901871842
BA3109	7.06166102601644	4.21713539157627
BA3114	6.5435898741168	2.8212344806284
BA3418	6.8602531678363	5.55401941905853
BA3245	7.2456266527422	1.46705136474485
BA3085	7.5725144548201	2.81214553611961
BA3128	8.14705635633251	6.30235584618443
BA3423	8.25764420926654	6.85394237356265
BA3173	6.97383568837724	3.78183665697138
BA3171	7.36724009431295	4.91582389660128
BA3277	8.18020169656618	5.54319628882121
BA3210	7.54295367203655	4.31139818183838
BA3157	8.92083445647999	4.58834815635997
BA3433	8.44724078411408	6.59094704308975
BA3322	6.43046914091516	0.655067770643772
BA3374	6.44227342376241	-3.79587739203727
BA3450	7.94145634611773	5.18903133216933
BA3167	7.30768711424343	-3.44128537526743
BA3269	7.33529770605395	5.74901581721608
BA3110	7.27982858914582	1.59633049420931
BA3156	6.32868471625961	0.761761134838423
BA3226	8.77804587995587	4.87132809398228
BA3421	7.03474280183588	3.06916845509247
BA3232	8.35358316301659	4.96757627610674
BA3289	6.92559422045597	2.35005000227063
BA3430	6.39027254472215	1.06072552834851
BA3145	7.77015373984418	6.59418114772064
BA3399	6.76002445528346	2.22263895371536
BA3449	7.70197141870837	3.88759266109837
BA3384	8.0301567645062	4.30874915362319
BA3427	7.18556384102574	-4.1482821722357
BA3163	5.74129207216541	-1.02180568349746
BA3158	7.65513327960109	4.15189910009998
BA3436	8.84307877151568	6.17945197942918
BA3154	6.40549948389557	5.9610279397687
BA3162	8.25554427681065	4.77101825718542
BA3352	8.61607464234973	5.61931055876377
BA3084	7.00146186913291	2.2972229754926
BA3149	8.17428733914348	3.98490830991574
BA3169	6.91326402535282	0.442049233640373
BA3180	8.61968837224666	5.93293802015649
BA3255	8.2409408040855	5.24829517363935
BA3438	7.72809482559201	2.0372110076916
BA3345	6.04484767922597	-2.41345187456505
BA3403	6.73865750312275	-2.26970788857989
BA3431	6.71095851013656	3.6308400704352
BA3181	7.55754763062472	-1.07355268290721
BA3341	7.61949698331246	5.10560874455999
BA3191	7.63278489020753	3.89874814101412
BA3197	8.25764420926654	5.16179139260484
BA3448	7.76884228347361	5.55285643961997
BA3453	7.46894970580743	5.81201009033099
BA3406	7.83268389248944	4.05442369128834
BA3308	9.19120372633416	3.44707594335609
BA3186	7.58065740201547	5.14045385048919
BA3334	7.29431703031285	-2.63015443964561
BA3447	7.14687001357008	1.62856158488449
BA3116	6.41947371786185	-1.22174941388341
BA3280	8.5529001392332	6.34641294876492
BA3185	6.25854276374572	-1.12919609419543
BA3094	6.2379984984627	-4.71341683075557
BA3318	6.87212018212394	1.52871884395893
BA3216	8.0760787079227	5.30385008887993
BA3332	7.93502206043898	3.72423831936426
BA3214	6.59838838471777	2.864896220199
BA3099	8.79635277497105	4.73332796808207
BA3141	8.19611264417946	3.84781880682402
BA3373	7.42090370210596	4.01564420631153
BA3319	7.37299295258264	2.67193525140673
BA3328	7.97388709664949	5.15886081295599
BA3339	5.72866766844001	-1.03349390851114
BA3240	8.17822710034905	4.89307544639423
BA3142	9.10341841676742	2.76537822210362
BA3333	8.32449794408229	5.50571962151203
BA3381	7.30768711424343	1.6503374693223
BA3290	7.12664090320603	0.0926804615502324
BA3207	7.10693286579065	0.354427733094645
BA3296	6.1842076331656	-3.33738366633407
BA3305	7.53093612416627	-0.222304755975519
BA3434	8.49908497066643	2.47499683281725
BA3189	8.68106286594684	4.26475082518245
BA3264	8.41846114844672	6.12432253652151
BA3329	6.64579190444665	5.67621163724687
BA3417	6.54307132156237	-2.13185488071417
BA3367	6.70309367478267	-4.05654798305505
BA3225	7.07025966230358	1.04757167795659
BA3183	7.92699657991781	4.25188785363416
BA3222	6.58940815390926	-4.42855988318268
BA3139	8.70874486254081	5.43474590254893
BA3397	8.06884590575294	4.66469709693692
BA3311	7.08368088883067	3.33591126074654
BA3422	7.98898804212453	6.4204445396971
BA3228	8.3972661940189	3.61153028695549
BA3213	8.09251475928632	3.76410960196055
BA3270	7.18474506245045	2.30441317316503
BA3415	8.672544374331	4.15267733940571
BA3324	7.65148276489013	0.648604039309271
BA3194	6.92239609110895	2.31383516537733
BA3335	8.6697155276332	6.945568125872
BA3199	7.41600983782201	2.19973496912707
BA3326	5.81007696621955	-4.5290964030898
BA3285	8.42744390017979	5.32735211170593
BA3297	8.1981158996604	4.64092236598375
BA3227	8.99211218550823	5.76218019652153
BA3394	7.13831231065164	2.91539060930385
BA3412	5.20189485084995	-4.27362100180234
BA3293	9.22062772367926	5.9931420196416
BA3250	7.63755645913212	3.78709611871678
BA3177	8.54508752883457	5.00727174004895
BA3315	7.10534081557561	2.62419048702299
BA3182	7.62683244469809	3.94517715004268
BA3260	6.00431982068801	-1.72584860763551
