	IDH2	SRSF2
BA2392	9.29647098090766	9.83892848550566
BA2611	9.30906602396076	9.86270964606403
BA2506	9.29647098090766	9.83892848550566
BA2430	9.27569316532541	9.85672905613112
BA2448	9.29229417829056	9.85672905613112
BA2730	9.23491479941431	9.83304132704525
BA2845	9.2109276242084	9.8991027074875
BA2326	9.23089240757758	9.87474271994728
BA2341	9.25517667754352	9.93012293296997
BA2612	9.2109276242084	9.90525526471174
BA2973	9.22287720595147	9.93012293296997
BA2390	9.25517667754352	9.92386690563917
BA3218	9.21490111990201	9.89297540900361
BA3105	9.2429894144776	9.95541459791256
BA3402	9.22687989289351	10.0007468429699
BA3276	9.28397254525379	9.98114720830101
BA2409	6.82851443258156	8.41135949860071
BA3037	8.03722226484621	8.23061160269424
BA2496	8.28311530497155	8.84307877151568
BA2172	9.30485684547982	8.71271331389775
BA2865	7.78959302181462	9.22287720595147
BA2923	7.82688083190866	7.64511152399424
BA2751	8.18796359837961	9.50293364970638
BA2480	8.39960495989321	8.73025810259064
BA2286	8.48158973981744	8.92083445647999
BA2922	8.46430959418229	9.3217592552912
BA2452	9.09230819306279	9.82133532639013
BA3379	8.50160207030541	9.46372381175102
BA2887	8.79635277497105	9.13342062895717
BA2712	8.63894476137773	9.39118419839355
BA2068	8.32228693534529	10.6289390647318
BA2236	8.19211577067672	9.22287720595147
BA2104	7.5725144548201	7.64511152399424
BA3124	7.54733361982974	9.38234175781362
BA3395	8.40664550150058	9.09970659968869
BA2921	8.8525926437112	9.54945587390153
BA2449	9.26335235036244	8.60608533344799
BA2003	7.84883391972247	9.75293118746352
BA2360	9.07761127342397	9.42251934116338
BA2802	8.34007975821985	9.53969913371194
BA2235	7.79956921933088	8.93082572022568
BA2858	8.67537853618004	9.30906602396076
BA3038	7.93502206043898	8.60879594020241
BA3006	8.15090969693391	9.64008823387741
BA2245	8.58992566833602	9.49651930986164
BA2667	8.40664550150058	8.95438322249582
BA2239	7.47952389617521	8.66407371953991
BA2782	7.29077391107671	8.89122942781574
BA2649	8.78108213178214	9.61438474364243
BA2488	7.92699657991781	8.90103696609653
BA2861	8.59798330037588	9.17948259034573
BA2909	7.35673455123978	8.79205235357759
BA2429	7.43426786956565	8.99222936727265
BA2653	8.88978486658959	9.26099325755712
BA2134	7.41497012248878	8.46430959418229
BA2947	8.22627943224245	9.415200229547
BA2032	7.75510135803604	8.73910632748104
BA2162	7.46474071975909	9.18338030789918
BA2564	8.24301678047805	8.9076089453561
BA2597	7.85205086731265	9.50768698561149
BA3243	7.96905854853838	9.04501990946176
BA2106	8.44481942009045	9.17171491689544
BA2427	7.99413751864958	9.16398396797258
BA2841	9.26745559419095	9.67679810675791
BA2446	8.52190108216259	9.47302564786274
BA2645	9.14481502348153	9.12586826213153
BA2525	6.8791208631907	9.18338030789918
BA2876	7.46260985261637	9.19120372633416
BA2357	8.73910632748104	9.26745559419095
BA2546	8.06706072393759	8.86536741111737
BA2742	7.80094268898657	8.66689198102969
BA2316	8.04414638908848	8.95099667095566
BA2421	8.03197078783115	8.268195867683
BA2087	8.4934060566155	8.81980741439546
BA2910	8.50664971851981	8.89776108628452
BA2148	7.08821062221174	8.72438748273975
BA2063	6.611693175134	9.26745559419095
BA2329	8.0095286113404	8.8717935877338
BA3178	8.03550248502968	8.87501645157825
BA2072	8.53215993801742	9.13342062895717
BA3029	7.69921272259806	9.45447558148811
BA2733	8.22650342209935	9.22687989289351
BA2995	8.41846114844672	9.52517542791568
BA2069	8.65565049707964	9.47769688223901
BA2100	7.63755645913212	8.672544374331
BA2681	8.51679913189176	9.19512951707567
BA2248	8.30473182450184	9.36916799017741
BA2832	8.3695120975799	9.60422004710875
BA2308	8.26607857536642	9.75851596885508
BA2413	8.32449794408229	9.62975620855742
BA2701	7.60395254604328	9.05581138653334
BA2634	7.81249915728454	9.3561004357089
BA2677	8.27670009201677	9.48238177689826
BA2937	8.23061160269424	9.27156918109996
BA2600	8.16254296358662	9.04860912314158
BA2019	8.7332018546727	9.52036350053221
BA2412	7.24218373520164	8.75995195431454
BA2334	8.12230223339654	9.56420444046175
BA2050	8.72731998420373	9.94905102299885
BA3230	8.51934782702254	9.08494318011795
BA2953	9.03786515454843	9.20696376307392
BA2481	8.41135949860071	9.8155160837716
BA2731	7.72809482559201	8.78108213178214
BA2294	8.69249597847146	9.60929418124753
BA2418	7.83704881770087	9.45909303825332
BA2816	8.27244095196937	9.36916799017741
BA2656	8.50412364911741	9.94905102299885
BA2814	8.7332018546727	9.10713869224013
BA2631	8.03722226484621	9.26745559419095
BA2023	7.84567146798846	9.01306871894599
BA2375	7.84127876561754	9.27156918109996
BA2485	8.52886682883828	9.67842749251503
BA2455	7.18644077892568	8.8589671548512
BA2025	8.672544374331	9.09600320401444
