	IDH2	SRSF2
BA2636	8.25554427681065	9.04860912314158
BA2325	7.05796014084047	8.45209623715645
BA2169	8.85577669200061	9.50601427714714
BA2156	8.78108213178214	9.38675693832204
BA2511	7.46784096415085	9.36916799017741
BA2939	7.72545959564587	9.13342062895717
BA2168	8.29820901257083	9.73079295605488
BA2505	8.14705635633251	9.39118419839355
BA2860	8.42321613548815	8.71271331389775
BA2707	8.66689198102969	9.20696376307392
BA2871	7.80682500789732	8.99211218550823
BA2655	8.7420670822246	9.60422004710875
BA2227	8.0301567645062	9.59916222255831
BA2125	8.3695120975799	9.41800548205558
BA2523	8.58992566833602	9.53000194332933
BA2603	7.97230357086309	9.12586826213153
BA2808	8.20213208675208	9.17948259034573
BA2282	7.09119041085949	9.02364943472175
BA2482	8.43037965011906	8.91090509269608
BA2812	8.25764420926654	9.70356008854553
BA2822	9.45324250904435	9.31672506964559
BA2594	8.40194775982719	9.22287720595147
BA2747	8.55813210635661	9.47769688223901
BA2561	8.07789379739417	9.93012293296997
BA2567	6.56478809528508	10.0007468429699
BA2906	8.95099667095566	9.91143332054624
BA2956	7.83985748399556	9.90525526471174
BA2474	7.82988769642495	9.00955709168753
BA2737	8.0301567645062	9.80971908397822
BA2110	7.17595663951225	8.73025810259064
BA2992	8.37180321609369	9.14481502348153
BA2220	8.79022656584331	9.40901547409309
BA2772	8.22445433533228	8.71853926395486
BA2935	8.03369173116136	9.17171491689544
BA2260	8.23267071257109	9.12964008242639
BA2676	8.5555137585582	9.23089240757758
BA2948	7.3014086607396	8.6697155276332
BA2524	8.30037965468589	8.98864564355709
BA2811	8.49156043324924	9.24704173883127
BA2540	7.64636707538027	9.04501990946176
BA2928	9.16398396797258	9.36916799017741
BA2302	8.06706072393759	9.39562360946183
BA2595	8.86857724833819	8.68106286594684
BA2792	8.38795127420314	9.54457000922792
BA2651	7.83268389248944	8.92748837970555
BA2619	8.57129520837751	8.7332018546727
BA3013	9.13342062895717	9.50601427714714
BA2405	8.57394218930808	8.70980864868103
BA2735	8.01965582601105	8.59798330037588
BA2856	6.83661488155882	8.92415796681604
BA2377	8.70296361717243	7.83840005803793
BA2499	8.30909856685695	8.81487669872437
BA2463	8.46370355203629	9.52684328251404
BA3023	8.57129520837751	9.00605305286098
BA2095	9.33883912107995	9.61438474364243
BA2901	7.69288267465993	8.45209623715645
BA2275	8.24717893447311	8.70401585675217
BA2387	7.88494695067266	9.30065851731011
BA2962	8.59529250724368	9.36480042798147
BA2195	8.20012237793382	8.97142354261209
BA2688	7.81385914418798	9.00264729477778
BA2787	6.53792906948021	8.94424486652991
BA2420	8.65006116973985	9.4000752436972
BA2756	8.77804587995587	8.61423212805534
BA2122	7.22786001580346	8.73025810259064
BA2053	8.13938594647296	8.71562351354988
BA2080	8.7420670822246	9.34313727945847
BA2081	8.62242404966029	9.50601427714714
BA2354	8.03197078783115	9.03608369232641
BA3273	8.71530617987172	9.00443312215534
BA2893	7.97069985635942	9.85077214115986
BA2044	8.60067902691643	9.3735473533766
BA2489	8.3311533449718	9.57411368730524
BA2309	8.77501554362266	9.39562360946183
BA2720	7.72941398094	8.46249696810185
BA2908	8.46065657230778	8.66493693752935
BA2054	7.90191887122195	9.3217592552912
BA2872	8.7420670822246	9.13720994130471
BA2526	7.97556074370465	9.31328611186612
BA2041	9.11460476788528	9.88079564639631
BA2464	8.03197078783115	8.85577669200061
BA2902	7.84883391972247	10.0680496747685
BA2541	8.09989277486394	9.04860912314158
BA2143	7.95296500400789	9.0307417478067
BA2094	8.51679913189176	9.45909303825332
BA2769	8.45696872743274	8.97485330936457
BA2843	9.00955709168753	9.29229417829056
BA2592	8.77804587995587	9.86871412745455
BA2497	8.52190108216259	8.61423212805534
BA2718	9.77539354132974	9.30906602396076
BA2575	8.0044307958278	8.55813210635661
BA2096	8.90103696609653	10.0958725482412
BA2593	7.29348678773891	10.111511463709
BA2791	7.98067391429632	9.61438474364243
BA2620	7.72809482559201	8.8717935877338
BA2629	8.34906675857089	9.55435683089665
BA2870	8.60608533344799	9.53484314535953
BA2423	7.46260985261637	8.69824500910271
BA2682	8.11478606741055	9.51078302100883
BA2276	8.5872495962732	9.1410080593907
BA2348	7.57949702449786	8.38563253120242
BA2709	8.36722488709977	8.68676863894814
BA2789	8.77501554362266	9.09600320401444
BA2694	7.95452812467512	9.42251934116338
BA2538	8.78108213178214	9.00955709168753
BA2583	8.68676863894814	9.67679810675791
BA2415	7.4333053034535	8.94424486652991
BA2722	8.55813210635661	8.95099667095566
BA2806	8.20012237793382	9.66622107740225
BA2221	8.33560901482561	9.47769688223901
BA3025	9.00255657247606	9.50125973784097
BA2514	8.09800077099819	9.49819442110274
BA2520	8.96458579397726	9.53000194332933
BA2441	8.31347995218337	9.62461563502098
BA2153	7.85777881958234	9.11460476788528
BA2479	7.08297551023298	9.67313133431446
BA2281	8.48906113697349	9.64527993925034
BA2657	7.76200686781066	8.99211218550823
BA2932	8.48906113697349	9.47769688223901
BA2123	9.3735473533766	9.82717700787936
BA2844	8.96800104667789	9.66095938066438
BA2660	8.65565049707964	9.16784487350203
BA2836	8.06147774301482	9.14481502348153
BA3027	7.12040364606583	9.29647098090766
BA2714	7.85633367820174	8.89449191470128
BA2139	6.79931174111644	8.42559982560594
BA2251	9.4000752436972	9.3260124319477
BA2952	7.71347289714959	8.99211218550823
BA2440	7.89883083701412	9.83892848550566
BA2036	7.88793681406652	9.65571538111022
BA2828	8.0095286113404	9.06304565250042
BA2292	9.64008823387741	9.94271473100152
BA2410	8.30255392241405	9.64527993925034
BA2051	7.5032888272442	8.88472441482659
BA2532	7.76614073791854	8.94424486652991
BA2986	8.4424022836884	9.67150060698144
BA2494	8.41135949860071	9.52036350053221
BA2515	8.77804587995587	9.48238177689826
BA2748	8.85577669200061	9.45909303825332
BA2970	8.42798766039968	9.11835064360706
BA2622	7.29431703031285	9.01306871894599
BA2839	8.62516478231551	9.29229417829056
BA2052	8.74800571415782	9.55435683089665
BA3011	7.85205086731265	9.07750677038397
BA2868	8.84624370479657	9.47769688223901
BA2510	8.79942491234482	8.99211218550823
BA2065	8.24509615455004	9.09600320401444
BA2691	7.21224786715344	8.86536741111737
BA2374	9.14863087419242	9.67679810675791
BA2804	8.83362186336888	9.08494318011795
BA2670	6.96289154217268	8.28526081080175
BA2675	8.34456564828853	9.13342062895717
BA2589	7.41008797800013	9.03786515454843
BA2031	7.68134464101013	8.60608533344799
BA2198	8.64171611871059	9.07395764638915
BA2066	7.64377441186557	8.90103696609653
BA2344	8.97142354261209	9.43613726309062
BA2459	8.80432724529814	8.31312330931764
BA2229	7.46065818949753	9.38675693832204
BA2559	7.72417589543797	8.86857724833819
BA2093	8.51679913189176	9.22287720595147
BA2000	9.25517667754352	9.58408544068247
BA2425	8.29571260021178	9.50768698561149
BA2905	8.42798766039968	9.16784487350203
BA2304	7.59101188148724	8.61695773628636
BA2976	8.13938594647296	8.97485330936457
BA2386	8.05626383418968	8.79328666582968
BA2035	8.904319577833	9.22287720595147
BA2760	7.83268389248944	8.49657233882556
BA2201	7.88494695067266	9.08494318011795
BA2355	7.42415546195164	9.52517542791568
BA2113	9.00613487905274	9.44407804044761
BA2155	9.23089240757758	9.88687313292775
BA2955	7.60765864505298	9.09600320401444
BA2502	7.56321071069528	9.14863087419242
BA2322	8.41608983118813	9.160132157513
BA2376	6.9944372976249	8.61423212805534
BA2020	8.87824586229709	9.83892848550566
BA2226	7.35863482899504	8.93417001363455
BA2200	7.94145634611773	9.73079295605488
BA2121	8.45696872743274	8.92415796681604
BA2944	8.7420670822246	9.2389471182711
BA2033	6.87847286019697	9.53484314535953
BA2867	8.68391306436784	9.30065851731011
BA2089	7.5725144548201	8.18416035809344
BA2224	8.09804401257278	9.12964008242639
BA2046	9.16784487350203	9.1872873383188
BA2972	8.54249270039127	9.44070228005406
BA2978	7.48490734822992	8.40194775982719
BA2829	7.62925234894777	8.97485330936457
BA2851	7.99068122497693	9.2592593958878
BA2587	8.42083657982967	9.02364943472175
BA2461	7.51191595859432	9.21490111990201
BA2695	7.10693286579065	9.0468018581655
BA2623	8.50918028997297	9.3217592552912
BA2024	7.248181873002	9.17171491689544
BA2426	8.38795127420314	9.0307417478067
BA2271	8.0301567645062	9.12964008242639
BA3004	8.34007975821985	9.80971908397822
BA2579	7.81538872947805	8.85577669200061
BA3010	8.03884116383771	8.87824586229709
BA2662	8.43758065182973	9.06304565250042
BA2674	7.58991392876001	9.25517667754352
BA2280	7.90803356905227	9.22287720595147
BA2512	7.00146186913291	8.54249270039127
BA2658	7.49358396361658	9.30065851731011
BA2394	7.93502206043898	9.26335235036244
BA2950	7.67625068419832	9.31751716888528
BA2981	8.20818067427413	8.89449191470128
BA2934	6.47279065497325	9.3260124319477
BA2539	7.49256176412129	9.11835064360706
BA2249	7.74263536016322	9.22687989289351
BA2034	7.96905854853838	8.99390471507907
BA2109	7.73332620572976	8.65285322774346
BA2242	7.66613976188412	9.45909303825332
BA2277	7.81538872947805	9.2389471182711
BA2727	7.94145634611773	8.92415796681604
BA2132	8.60067902691643	9.8991027074875
BA2618	7.70961368830257	8.70690950167434
BA2521	8.13747585819058	9.09970659968869
BA2846	8.63341745058943	9.30906602396076
BA2885	7.45866975783138	8.57925061313916
BA2639	8.73910632748104	9.4270458724936
BA2775	8.11853831041796	9.44987135785787
BA2402	7.68775219309565	8.84307877151568
BA2097	7.9003747386446	9.28812805203208
BA2786	8.7332018546727	9.42251934116338
BA2399	8.31787605128572	9.63491369950168
BA2850	7.5552619353094	9.89297540900361
BA2174	8.11104544817006	9.04860912314158
BA2004	7.17275321082541	8.48407580140491
BA3001	8.23061160269424	9.67679810675791
BA2311	7.9609725092348	8.78412431760784
BA2483	8.00271116464237	8.63525880753156
BA3040	9.05581138653334	9.43158515365849
BA2837	8.37639721534742	9.0271917203024
BA2724	7.66369633945432	8.88472441482659
BA2911	7.8210975174081	8.99558616821901
BA2256	8.7420670822246	9.27569316532541
BA2821	8.41372261793503	9.34313727945847
BA2233	8.74800571415782	9.65571538111022
BA2744	8.3972661940189	9.14863087419242
BA2880	8.3311533449718	9.160132157513
BA2621	7.28438406463884	8.9076089453561
BA3002	8.55997698305646	8.69720423583871
BA2501	8.34681429629083	9.40901547409309
BA2993	7.77713213848426	9.35176787188011
BA2301	7.75780436658957	9.0307417478067
BA2852	7.53734841909383	9.3561004357089
BA2133	6.96975356458038	9.2389471182711
BA2866	8.99906762077278	9.8991027074875
BA2212	8.64171611871059	9.33027676031699
BA2685	9.08862153045619	9.26745559419095
BA2273	8.71853926395486	9.98114720830101
BA2477	8.48407580140491	9.26335235036244
BA2659	8.15090969693391	8.52958832512444
BA2124	8.70296361717243	9.87632246618632
BA2363	7.80235955590607	8.26607857536642
BA2369	8.62242404966029	9.25110414260315
BA2534	8.74800571415782	9.34313727945847
BA2400	8.09804401257278	9.43613726309062
BA2762	8.16840116234166	9.34313727945847
BA2312	7.54970729199318	9.53484314535953
BA2813	8.04060780611373	9.78106105276028
BA2211	8.61335419813792	9.85831326849695
BA2171	8.29387857030758	9.64008823387741
BA2746	7.28712238553665	8.98518651350313
BA2798	8.39493145233583	9.27569316532541
BA2809	7.88191833711993	9.39118419839355
BA2288	8.17565360284926	9.98087822775469
BA2801	7.5932544466496	8.83362186336888
BA3030	8.02685700006077	8.61063875058243
BA2588	7.83407017601998	9.60929418124753
BA2296	8.64449262965366	9.36916799017741
BA2300	8.34232080533324	9.88687313292775
BA2903	7.15557221270197	8.3926007250059
BA2473	9.20081280674415	9.93797001113285
BA2545	8.10545619155905	9.17171491689544
BA2840	7.36527517561591	9.22062772367926
BA2528	7.81249915728454	9.30485684547982
BA2646	8.27244095196937	8.95099667095566
BA3407	8.23267071257109	9.38234175781362
BA2240	8.01121552663761	9.28812805203208
BA2926	8.34456564828853	9.26745559419095
BA2272	7.33250978911574	8.97485330936457
BA2306	8.34906675857089	8.7420670822246
BA2765	7.00642277827321	8.55029123602985
BA2904	8.01121552663761	9.13720994130471
BA2883	8.52445890903765	9.01306871894599
BA2726	6.93827202821145	8.54249270039127
BA2234	8.2960419873451	8.97142354261209
BA2022	8.66407371953991	9.75851596885508
BA2228	8.79022656584331	9.25517667754352
BA2037	8.46185834013681	9.23089240757758
BA2184	9.1872873383188	9.45447558148811
BA3009	8.07064998624987	9.76974697360105
BA2842	7.21053357648558	8.61968837224666
BA2442	8.01616932095142	8.9076089453561
BA2882	7.51299557490928	8.5607551950315
BA2758	6.90161368403515	8.76897254396233
BA2705	7.53303259081949	9.20696376307392
BA2663	7.25790347094091	8.62516478231551
BA2570	9.21888429779212	8.79022656584331
BA2764	8.04060780611373	8.18813169577028
BA2209	8.22240857358487	8.67821802831458
BA2989	8.68676863894814	9.10341841676742
BA2855	7.77444024847	8.81487669872437
BA2261	7.99739906746641	8.53400537696188
BA2721	7.80956394588893	8.97829037472744
BA2930	6.82612058067876	8.43517613550052
BA2728	8.15671254170946	8.5373170330564
BA2715	8.06884590575294	9.56420444046175
BA2469	7.12664090320603	8.35811493599106
BA2269	6.99377561399407	8.18416035809344
BA2098	7.65632337592004	9.14863087419242
BA2778	6.68355614720783	8.52190108216259
BA2951	8.49908497066643	9.14863087419242
BA2163	8.23473317956582	9.36044459889599
BA2379	7.06166102601644	8.65845299235754
BA2817	6.97794904447586	8.68189146093676
BA3153	9.30065851731011	9.47302564786274
BA2820	7.60280427832536	8.86216405394702
BA2723	7.51299557490928	9.09600320401444
BA2704	9.01658796485945	9.58408544068247
BA2088	8.46430959418229	9.4917929010063
BA2116	7.1940059259717	8.77199110438686
BA2584	8.98864564355709	10.0475291689068
BA3079	7.71867822819813	10.0007468429699
BA2417	8.95099667095566	9.65571538111022
BA2361	8.13747585819058	9.1755941413251
BA2450	8.1017443875296	9.24704173883127
BA2492	7.47524977931761	8.19611264417946
BA2552	9.0307417478067	9.00955709168753
BA2472	7.93502206043898	8.68106286594684
BA2994	8.49406416345013	9.23491479941431
BA2047	8.45209623715645	9.58909503454725
BA2101	7.70330320958059	9.48238177689826
BA2082	8.94761722776196	8.77804587995587
BA2879	6.90877033903166	9.17171491689544
BA2577	9.16398396797258	9.54457000922792
BA2456	7.34929269675225	8.80250309714617
BA2175	8.4424022836884	9.59412059033195
BA2824	7.878761730409	9.19512951707567
BA2507	8.46922505155083	9.88079564639631
BA2563	8.5373170330564	9.68211371581436
BA2244	7.34929269675225	8.84624370479657
BA2470	8.26607857536642	9.76974697360105
BA2984	7.77015373984418	9.6874475749889
BA2414	8.95777690896205	9.64008823387741
BA2697	6.89968682755392	9.44696832329653
BA2079	6.39786567345431	8.68391306436784
BA2999	8.41846114844672	9.03429954865997
BA2644	7.66495366812555	9.3735473533766
BA2011	7.31127241928996	9.09600320401444
BA2217	9.00955709168753	9.69279982690398
BA2454	8.86216405394702	9.86270964606403
BA2776	8.91751782379931	9.80971908397822
BA2218	8.09619809378225	9.59916222255831
BA2135	7.95296500400789	9.94271473100152
BA2914	7.50002964161751	8.83362186336888
BA2500	8.32893113987774	9.0307417478067
BA2830	8.66407371953991	9.44987135785787
BA2406	7.8894951557827	9.4270458724936
BA3108	9.37793858616158	9.43613726309062
BA2924	7.61362919863888	9.09230819306279
BA2303	7.20465709297985	8.83676787171411
BA2160	8.32007964073217	9.55927298456459
BA2038	8.43998936441936	9.0307417478067
BA2602	7.83268389248944	8.56338303703764
BA2964	8.50160207030541	8.8717935877338
BA2898	7.92215119859177	9.44987135785787
BA3003	7.98220941306141	9.48238177689826
BA2111	8.24717893447311	9.58408544068247
BA2827	8.34681429629083	9.58909503454725
BA2912	7.99739906746641	9.55927298456459
BA2437	8.49908497066643	9.55927298456459
BA2283	7.86671215518685	9.58909503454725
BA2057	8.09619809378225	9.54457000922792
BA2633	8.50412364911741	9.58909503454725
BA3034	8.05288390011611	9.55435683089665
BA2607	8.40664550150058	9.3735473533766
BA2761	7.87281860469351	9.4270458724936
BA2795	7.96577419756633	9.54457000922792
BA2182	8.1336646480907	9.54457000922792
BA2152	8.22036612888066	9.49651930986164
BA2381	9.34313727945847	9.80971908397822
BA2931	8.21020338316209	9.53000194332933
BA2040	7.92364245319313	9.34313727945847
BA2590	9.28812805203208	9.60929418124753
BA3195	8.47910806756512	9.3561004357089
BA2516	8.32191640184945	8.94268168369866
BA2353	8.68676863894814	9.2429894144776
BA3036	8.0095286113404	9.11086746340759
BA2971	8.14502683997756	9.02543573403374
BA3410	7.98220941306141	9.47302564786274
BA3118	8.30691336971867	9.22287720595147
BA3206	8.09804401257278	9.57411368730524
BA3202	8.6279105840654	9.48238177689826
BA3217	8.27670009201677	9.4045391740165
BA3405	7.92364245319313	8.22445433533228
BA3306	8.37180321609369	9.00255657247606
BA3371	8.62516478231551	9.10341841676742
BA3413	8.81487669872437	9.58909503454725
BA3411	7.98898804212453	9.07395764638915
BA3133	8.34232080533324	9.3561004357089
BA3164	8.30255392241405	9.13342062895717
BA3451	7.51413414557592	8.52958832512444
BA3286	8.7361512573159	9.36916799017741
BA3212	8.57865830342714	9.56098320131876
BA3103	8.7361512573159	8.91751782379931
BA3271	7.97894297933459	9.1872873383188
BA3152	7.94314055717551	9.3735473533766
BA3095	8.46430959418229	9.79245962144758
BA3192	8.43998936441936	9.11086746340759
BA3251	8.42798766039968	9.40901547409309
BA3362	8.88653621315296	9.00434706477645
BA3400	8.02508710399741	9.65048894475304
BA3135	8.83676787171411	9.4000752436972
BA3408	7.02274319881886	9.63491369950168
BA3187	8.53215993801742	9.27569316532541
BA3098	8.73025810259064	9.12964008242639
BA3435	7.96744532914178	9.19120372633416
BA3261	8.66407371953991	9.54457000922792
BA3203	8.15090969693391	9.76974697360105
BA3174	7.617186143553	8.89776108628452
BA3317	8.42559982560594	9.33883912107995
BA3299	7.92868137841977	8.75098362594822
BA3221	7.07556396699123	8.78108213178214
BA3347	7.68134464101013	9.43158515365849
BA3235	6.732801148639	8.20012237793382
BA3126	7.15557221270197	8.26607857536642
BA3380	8.41608983118813	9.04143859741613
BA3089	7.89883083701412	9.2389471182711
BA3109	7.04851156959908	8.46185834013681
BA3114	7.58991392876001	9.17171491689544
BA3418	8.19611264417946	8.97829037472744
BA3245	8.05457002396872	9.56915130536806
BA3085	8.11104544817006	9.07761127342397
BA3128	8.78717245605116	9.45909303825332
BA3423	8.29820901257083	9.67679810675791
BA3173	8.84307877151568	9.98114720830101
BA3171	7.27205163282357	8.83048212173684
BA3277	8.56601564488201	9.43158515365849
BA3210	7.80094268898657	9.19120372633416
BA3157	8.51934782702254	9.56420444046175
BA3433	8.27244095196937	9.53969913371194
BA3322	8.17625565039323	9.53484314535953
BA3374	8.43758065182973	8.79328666582968
BA3450	8.52190108216259	9.60422004710875
BA3167	8.40900046313029	8.47663077360064
BA3269	7.24647814947882	9.60929418124753
BA3110	8.54953218061743	9.66259277874038
BA3156	7.51732737025111	9.2592593958878
BA3226	7.87430709609213	9.39118419839355
BA3421	7.45670028367566	8.95777690896205
BA3232	8.16840116234166	9.27569316532541
BA3289	6.86648111845466	8.61423212805534
BA3430	7.16953610700443	8.38747453651413
BA3145	8.21629115879124	9.30906602396076
BA3399	7.41107466475047	8.96117775713075
BA3449	8.19012213724112	9.09230819306279
BA3384	8.16059641320183	9.17948259034573
BA3427	7.3548407117676	9.28812805203208
BA3163	7.550843282623	8.52958832512444
BA3158	8.81487669872437	9.55927298456459
BA3436	8.18416035809344	9.61438474364243
BA3154	7.9003747386446	9.62258533258528
BA3162	8.3558471237735	8.12230223339654
BA3352	8.70008120144039	8.92264013919218
BA3084	8.8717935877338	9.31751716888528
BA3149	7.40108920011618	8.71853926395486
BA3169	8.25974759702626	8.9076089453561
BA3180	8.81487669872437	9.2109276242084
BA3255	8.01284698319857	9.41350421836705
BA3438	8.57394218930808	9.62975620855742
BA3345	7.574849932275	8.94087956106744
BA3403	7.99413751864958	8.47415784691615
BA3431	7.06807720975175	8.42559982560594
BA3181	7.3445927403943	8.03722226484621
BA3341	7.9003747386446	8.96458579397726
BA3191	7.47212920454885	8.77804587995587
BA3197	8.78412431760784	9.16398396797258
BA3448	8.37180321609369	9.38234175781362
BA3453	8.23473317956582	9.12586826213153
BA3406	7.99246857024867	9.82133532639013
BA3308	8.69824500910271	9.17948259034573
BA3186	8.55765692487222	9.40240975182614
BA3334	8.08518191159815	8.65565049707964
BA3447	8.22036612888066	9.52036350053221
BA3116	8.28956252610494	8.97485330936457
BA3280	7.69790613813162	9.53969913371194
BA3185	8.60337970015667	9.19906475607931
BA3094	7.97720455656684	8.6697155276332
BA3318	8.21629115879124	8.42559982560594
BA3216	7.72417589543797	9.40901547409309
BA3332	8.97829037472744	9.41800548205558
BA3214	8.59445024196475	9.25691151442812
BA3099	8.24926512843891	9.4045391740165
BA3141	8.30691336971867	9.39562360946183
BA3373	8.59260663428802	9.3217592552912
BA3319	7.78401208165605	8.43037965011906
BA3328	7.99915514777274	9.28812805203208
BA3339	7.35673455123978	9.732408696693
BA3240	9.43158515365849	9.08127310626888
BA3142	7.7605970351598	9.44070228005406
BA3333	8.61968837224666	9.46372381175102
BA3381	8.58992566833602	8.74800571415782
BA3290	7.82549928808227	8.8879736022598
BA3207	6.40170617544637	7.93502206043898
BA3296	7.7045927999637	8.8879736022598
BA3305	8.25554427681065	8.82110029202306
BA3434	8.25554427681065	9.27569316532541
BA3189	8.30909856685695	9.08862153045619
BA3264	8.7361512573159	9.55435683089665
BA3329	9.25691151442812	9.48406046211483
BA3417	8.12986534537924	9.23491479941431
BA3367	7.43931413643912	8.60436299215519
BA3225	7.00991256129177	8.11666073243668
BA3183	8.19411260375688	9.04143859741613
BA3222	8.79635277497105	9.08494318011795
BA3139	10.1620355969132	8.88653621315296
BA3397	9.07395764638915	9.64527993925034
BA3311	6.91793209354363	8.07971165578759
BA3422	8.37409825216549	10.0888662099127
BA3228	8.40429460371975	8.68391306436784
BA3213	8.42083657982967	9.26335235036244
BA3270	7.35764711965898	8.8717935877338
BA3415	9.74736666094391	9.34744684153524
BA3324	8.53215993801742	8.8525926437112
BA3194	8.85577669200061	9.68211371581436
BA3335	7.63878607715114	9.96822468421139
BA3199	9.50125973784097	9.4917929010063
BA3326	7.66495366812555	9.27569316532541
BA3285	9.89455064759087	8.72329447406972
BA3297	8.18217944661747	9.09230819306279
BA3227	8.58457840504288	9.11460476788528
BA3394	7.31937809888862	8.65006116973985
BA3412	8.90103696609653	8.93752128537319
BA3293	8.31751248525734	9.44239146973819
BA3250	8.3926007250059	9.21888429779212
BA3177	8.9076089453561	9.47769688223901
BA3315	7.91895915389096	8.96117775713075
BA3182	8.45453034732936	8.91751782379931
BA3260	7.54625616208849	8.43758065182973
BA3369	8.32893113987774	9.24704173883127
BA3078	8.65749029731641	9.20475662343021
BA3386	8.57129520837751	9.71984209806913
BA3445	8.04765964150367	9.4000752436972
BA3452	8.40429460371975	8.57129520837751
BA3176	8.16644533071452	9.29229417829056
BA3258	7.69023500088856	8.64449262965366
BA3295	8.38100696139026	8.76897254396233
