	KIT	DNMT3A
BA2731	6.4137172012398	5.42234890079115
BA2294	8.904319577833	7.17520302946663
BA2418	5.42857060288721	6.01373604526196
BA2816	5.36072833704901	5.11433165880832
BA2656	3.65263152336696	6.45897655908302
BA2814	4.23701647161103	5.02974000658284
BA2631	7.37396310701658	6.2167212997473
BA2023	-0.425828695317915	4.72738279030256
BA2375	7.47830743039593	6.08536052540414
BA2485	7.17116786854616	6.78074983432615
BA2455	0.213349457050806	4.69855961142677
BA2025	5.99479766689368	5.23673966789925
BA2636	6.64186594668035	5.92637395893393
BA2325	4.27232629182903	4.04879675825088
BA2169	7.30411511402805	6.19606446047222
BA2156	8.99558616821901	6.79640967556144
BA2511	4.81690090080098	5.26710389157619
BA2939	7.64377441186557	6.0158165147387
BA2168	3.54447318338801	6.41510646424492
BA2505	6.69861654752334	5.62195033213407
BA2860	6.10105446354612	6.33509433573957
BA2707	4.47937233979517	6.18632897661868
BA2871	6.4442145827922	5.96907627794874
BA2655	6.1522898333018	4.77872894002383
BA2227	6.87084783224833	6.55232565838748
BA2125	7.24473994098098	6.10829331712153
BA2523	8.62516478231551	5.74395799798389
BA2603	6.26033254809805	5.47138243938151
BA2808	6.80486837491	6.31675170697475
BA2282	0.275450535390316	4.80111971961835
BA2482	8.51425498508966	6.17641644366945
BA2812	0.390163792184238	4.99775683802712
BA2822	6.64684027167279	5.98054442725547
BA2594	7.31665510949842	5.81201009033099
BA2747	6.53543485984192	6.18950223686314
BA2561	1.51130448384538	5.94641278080618
BA2567	1.72847085742469	5.34433907396084
BA2906	6.151452910791	4.74957774721697
BA2956	5.88606180557595	5.64166399423883
BA2474	7.37771038448057	6.09936975927192
BA2737	3.93165864889064	5.70872171926613
BA2110	3.98774117772589	4.74182984575756
BA2992	5.40957494113667	5.05504885396523
BA2220	5.05504885396523	5.65448355973944
BA2772	5.93332587992066	6.0781745380856
BA2935	6.4108151402329	5.28177179122875
BA2260	4.5552347102947	5.01183343730558
BA2676	7.74536502725477	5.36293986474154
BA2948	7.64255001400601	5.85542200416075
BA2524	7.27555120012057	5.52135062216325
BA2811	5.21501701134356	6.24912819394912
BA2540	5.98011491063707	3.86156811832603
BA2928	6.05650405294687	5.34151860321391
BA2302	6.56685915377229	5.53940253028108
BA2595	7.36047250037276	5.14967422759909
BA2792	6.66177361256097	5.02056262861089
BA2651	6.88867708372879	6.03566200297907
BA2619	8.67821802831458	6.44227342376241
BA3013	5.69333061318898	6.16865049658773
BA2405	5.94473215258657	5.67317843136018
BA2735	5.40147695209821	5.32233498083344
BA2856	5.36476332195428	4.20674974606089
BA2377	6.32635613681556	4.1940893457466
BA2499	8.03722226484621	5.81959741153124
BA2463	-0.256578476181957	6.22329037773919
BA3023	5.91320591729895	5.20440021667154
BA2095	5.73627139725326	6.14672505812723
BA2901	4.75201016058728	5.08758890657065
BA2275	7.82833379039141	5.75302384911337
BA2387	8.6279105840654	4.47173241334974
BA2962	6.10621461216555	5.58010200112807
BA2195	6.92111028015582	5.51500276467509
BA2688	5.64352989350398	4.72354417544082
BA2787	3.13490199455068	4.78223236558204
BA2420	7.9003747386446	5.5603638318114
BA2756	6.19822146547957	4.01681712942243
BA2122	4.4543011664344	4.87096387518994
BA2053	7.50105244518025	5.84787957757678
BA2080	8.30255392241405	5.86901047120639
BA2081	8.48656626341456	5.77033121359801
BA2354	9.28155652487085	6.23533588980149
BA3273	0.651829022283505	4.71789490848166
BA2893	6.14672505812723	6.19299832162761
BA2044	7.70961368830257	5.54245080282141
BA2489	5.95233629524957	4.74182984575756
BA2309	7.13359161213086	4.97387498404503
BA2720	5.0932101529727	4.52153193566258
BA2908	7.7071077714624	6.4243136710677
BA2054	5.13193342655662	5.07550246590364
BA2872	6.41806054956223	5.31756660169569
BA2526	5.60348204059795	4.92943275175156
BA2041	6.14889515620208	4.60901148734067
BA2464	7.70197141870837	6.09645228197541
BA2902	5.85341733924409	5.39890865222561
BA2541	7.62080780455831	6.22378350328208
BA2143	7.12590219224429	5.09390910729551
BA2094	0.162179847700664	5.80146381261149
BA2769	6.82369230677028	5.91953516934334
BA2843	7.68775219309565	7.04918884608735
BA2592	6.28328278970437	5.39347949789235
BA2497	-1.79323399416306	4.53554304554111
BA2718	7.99739906746641	7.87584460904621
BA2575	5.99724316529864	4.84562521936661
BA2096	6.21496669116308	4.66610967820232
BA2593	5.69295647546023	5.2635303158332
BA2791	6.3688389446517	5.91758639573652
BA2620	7.19985683529985	5.72903451515424
BA2629	5.91637612602088	6.23533588980149
BA2870	2.62348222679061	6.38599164256093
BA2423	2.36769406332286	4.43352231435234
BA2682	7.64895583047878	5.44640808199127
BA2276	5.42161592263156	5.42530018626189
BA2348	2.91773529558035	4.75764062057754
BA2709	6.00841658197255	5.2868395453686
BA2789	8.25344779136567	5.88684341274268
BA2694	6.30006188044534	6.22675882110798
BA2538	5.37928711694374	6.25807759133934
BA2583	7.81538872947805	6.36648969189247
BA2415	4.50065722085035	4.81585561124571
BA2722	7.10612705087253	5.89048099649459
BA2806	7.51084212363206	5.91595003127845
BA2221	4.19332061557143	4.65687977223113
BA3025	7.20800173217813	7.31039812260742
BA2514	5.86940153677441	5.17241204196236
BA2520	4.68486735962429	6.93890773932704
BA2441	7.72277870826456	6.92239609110895
BA2153	8.99906762077278	6.39926285688665
BA2479	3.64055833212888	5.61780736228049
BA2281	4.88780360986739	6.1921407741856
BA2657	4.35206524028425	6.04691526295528
BA2932	7.52657913903788	6.14718029862126
BA2123	6.19874995357892	4.48731198029739
BA2844	7.31484141146978	5.36000471761652
BA2660	5.87260128091849	5.62419273985357
BA2836	7.15078589361001	5.62530338833762
BA3027	2.43277955517649	5.36514025423526
BA2714	7.35673455123978	5.21363189314042
BA2139	1.49445405603774	4.53197710730373
BA2251	7.64135506224067	7.54970729199318
BA2952	4.05764463767079	4.36608295505138
BA2440	5.83560892628546	4.78017722753487
BA2036	5.0083041453619	6.25807759133934
BA2828	7.44544500262934	5.75062167266173
BA2292	5.99724316529864	4.11937931431274
BA2410	7.51527675972318	5.75415496254133
BA2051	5.25714318052804	4.68591344454784
BA2532	4.7790741086654	4.96266025809675
BA2986	8.01965582601105	5.59662502172316
BA2494	6.43793151264448	5.24647301398251
BA2515	6.68127929274665	5.18055221298724
BA2748	7.62437772428186	6.79158437688518
BA2970	5.98303645552473	5.58383676402354
BA2622	4.83724303208421	4.81831316874204
BA2839	7.48490734822992	4.66151584498319
BA2052	5.78192253760815	6.34832965907228
BA3011	3.98080879790434	5.11433165880832
BA2868	6.52324588492183	7.18812871773308
BA2510	6.50804753914762	5.21924696123963
BA2065	8.25974759702626	6.17379906817959
BA2691	1.42234206716286	4.77982414410044
BA2374	7.01983909137586	5.51691886633525
BA2804	5.98220791058853	5.82541777312417
BA2670	5.55778136463102	5.45893049861312
BA2675	7.92045916247849	6.34832965907228
BA2589	5.29733962996603	7.27555120012057
BA2031	4.36276075031951	5.12702075468941
BA2198	6.53495824677914	6.54928934120065
BA2066	5.94221717949707	4.56478976898356
BA2344	5.28107931681894	6.75597489483719
BA2459	5.17241204196236	5.41754429750073
BA2229	7.33250978911574	6.2290430058542
BA2559	4.47062750328023	5.02728430921221
BA2093	8.6697155276332	6.36086030376613
BA2000	7.94314055717551	5.82859548893421
BA2425	5.65372634921578	6.12637853560869
BA2905	7.50539293842063	5.90555861314736
BA2304	-0.736047992509252	4.5391313162393
BA2976	6.62737493861003	5.89878476046271
BA2386	6.41227021268222	5.76181699229763
BA2035	5.79487700443781	7.38848640256579
BA2760	5.5985184260425	5.22317063501282
BA2201	5.93777047922961	4.76005725019894
BA2355	4.98897342757444	5.02764204989782
BA2113	8.53327685252825	5.95559861955689
BA2155	7.62437772428186	6.54150806703429
BA2955	4.5391313162393	4.80814964517647
BA2502	5.85381815948029	4.91792245118013
BA2322	7.97894297933459	6.24013217204255
BA2376	3.16972930293428	4.81549079833473
BA2020	5.28216189346069	5.67811655623058
BA2226	5.88838394030345	5.69683059962592
BA2200	6.80486837491	6.16950493399515
BA2121	5.77488348222962	5.97608438156721
BA2944	6.94758145894243	7.24218373520164
BA2033	5.59251221721887	4.56407532031905
BA2867	8.57394218930808	6.13725593051751
BA2089	3.23189129338738	4.27079096532492
BA2224	8.09067732991193	6.16479221189801
BA2046	7.94314055717551	4.60401552568644
BA2972	8.02685700006077	6.61484329859941
BA2978	4.44482165400227	5.38151536241943
BA2829	7.62320575204897	5.66740335166233
BA2851	8.58992566833602	6.02615955253131
BA2587	8.15284092667829	5.97523061949623
BA2461	4.86570889780568	5.15668163101419
BA2695	4.77523727497609	4.65902094233579
BA2623	7.62925234894777	6.63758201438047
BA2024	6.07479305709891	5.40260210506482
BA2426	6.97110220501606	5.91240742486635
BA2271	-0.425828695317915	5.10834862967978
BA3004	6.43437499992686	6.38888273500531
BA2579	4.6788765540465	5.66051919592254
BA3010	4.41460197309359	5.53426887614694
BA2662	5.59027419096801	5.34255610443151
BA2674	9.2429894144776	6.40360502181603
BA2280	7.13433489569232	6.36182238595201
BA2512	2.98186111032531	4.68695768946558
BA2658	5.58159000678894	5.76371292639746
BA2394	6.89644993218602	6.73922514739457
BA2950	4.65477615366599	6.02576365304124
BA2981	4.87586349576247	5.64089444218065
BA2934	2.17173440950598	5.56441490975965
BA2539	4.04879675825088	4.88365938121125
BA2249	7.01472936087095	5.48468121276611
BA2034	8.61607464234973	6.11503718341623
BA2109	4.81867438751018	4.87023108953253
BA2242	4.90326139384486	6.03404286985942
BA2277	8.35358316301659	5.97691207859612
BA2727	7.28438406463884	7.10771088589405
BA2132	6.09600230844392	5.91874058491338
BA2618	6.99925381802676	5.46299801814277
BA2521	6.90558799283489	5.49396648422183
BA2846	7.00565090016862	6.49002795768883
BA2885	1.13209845200278	4.92595904339551
BA2639	8.95438322249582	6.29137386576201
BA2775	3.52621202722456	5.60579685194834
BA2402	6.7630173908565	5.17065533146209
BA2097	7.10771088589405	5.66740335166233
BA2786	2.25371361358042	5.58682786591739
BA2399	6.48220324595878	6.16697408993369
BA2850	6.27245301532753	5.53758769155616
BA2174	6.06843510757967	5.56931523967556
BA2004	7.08821062221174	5.79282325358751
BA3001	7.12590219224429	6.55713498264667
BA2311	4.39292391038912	4.78361272995645
BA2483	3.32807645348226	6.25534556152395
BA3040	7.90803356905227	5.54431492495241
BA2837	7.52987979374564	6.13249003882685
BA2724	4.5990180150559	4.79523149626919
BA2911	6.75946045637828	6.13505858445244
BA2256	7.01129464656936	6.07438042977308
BA2821	8.00107447892983	6.06121727575126
BA2233	6.24592732813786	6.75074032756909
BA2744	6.45401948854285	6.69580577134555
BA2880	4.97805997780333	5.14825734566663
BA2621	3.5362979263788	5.31756660169569
BA3002	2.97228864719493	6.11593110685268
BA2501	5.07976129224881	5.71368801694621
BA2993	6.26748667871903	5.68833994254818
BA2301	3.86710818348133	4.60295748096679
BA2852	4.67708963797245	5.42453578520679
BA2133	4.28927616177022	5.51345714323729
BA2866	6.35306835134338	6.36930495814156
BA2212	6.32036876736161	5.89086317810063
BA2685	5.48468121276611	5.40778946397742
BA2273	7.37675245327076	5.9773343667847
BA2477	8.57659398663682	6.16697408993369
BA2659	7.88793681406652	5.05963791860408
BA2124	6.65845499115322	6.63383351459938
BA2363	6.91665453342353	6.0344495153559
BA2369	6.92764387831615	5.84631034661227
BA2534	6.74557828155057	7.56679847925559
BA2400	8.25764420926654	5.92432462638165
BA2762	7.60044547310861	6.03732004077161
BA2312	7.8894951557827	6.01745471553114
BA2813	6.33918453468976	5.79446889536676
BA2211	5.28073246291878	6.67837784799198
BA2171	6.40503611780804	5.78002501253586
BA2746	4.63527142594282	4.56145114497437
BA2798	7.01129464656936	4.85230183637924
BA2809	9.26335235036244	6.37079667059363
BA2288	6.31720357778214	6.21760589006463
BA2801	4.13824319852488	5.10733697094661
BA3030	7.15557221270197	5.98792432171399
BA2588	7.66735491479546	6.3730951356739
BA2296	7.55867055300222	6.57772759538865
BA2300	6.90492530830845	6.17423728477739
BA2903	2.6560583580885	5.46260848821559
BA2473	5.65139228908545	4.66541353379402
BA2545	5.62868512576849	5.29014927757584
BA2840	4.79032535890257	5.20757281722967
BA2528	6.79158437688518	5.49025573477232
BA2646	7.53867754134672	6.24227196022735
BA3407	4.94668602882429	4.41937585941747
BA2240	7.7729524118183	5.87772009379433
BA2926	7.01543819204674	5.48685812816546
BA2272	6.3423350524195	5.16389532747044
BA2306	5.04621645682115	6.16229657509821
BA2765	3.98649459567883	5.10733697094661
BA2904	7.79663560293131	6.23081198982986
BA2883	5.99890598903284	5.00552413095077
BA2726	-1.00974723907371	5.10142924510394
BA2234	2.12152501264232	4.09352976766015
BA2022	6.15311168314809	6.00392077224602
BA2228	5.62043017440298	4.73692025392607
BA2037	9.4045391740165	6.37031994316104
BA2184	8.44966638628301	7.44644074627456
BA3009	5.96264354381231	6.32314377198831
BA2842	2.25911507046517	4.54377637973889
BA2442	6.41897137635364	5.54393492602013
BA2882	3.53291440511488	5.05929023106165
BA2758	2.4978306958102	4.51398396735729
BA2705	6.8576823032308	5.54355794441881
BA2663	3.17350672344865	5.4040564998537
BA2570	7.24138386390375	6.3129901827468
BA2764	5.17699814732324	4.16479586623105
BA2209	7.02415111976065	6.20525292176704
BA2989	7.32679901700122	6.26705656087935
BA2855	4.85724763111666	5.04138595893264
BA2261	7.74808252538179	5.32664570587017
BA2721	6.34190143280827	5.42748213274228
BA2930	2.84242237772409	4.32076840742144
BA2728	6.63655252284443	5.46114309064973
BA2715	6.53249965977741	5.13442321095142
BA2469	5.80492505261512	4.04753383160948
BA2269	3.10489818725874	4.81095988420945
BA2098	4.7941665840707	3.59566377043115
BA2778	3.17944274470636	3.69392175101973
BA2951	6.73467335194796	6.93021683662514
BA2163	5.72978046990601	7.03196402344294
BA2379	5.43621855884092	5.14161615451425
BA2817	3.81521123693014	4.73585764384443
BA3153	5.02619905861961	6.35855944709052
BA2820	6.19646958807837	4.82534093200762
BA2723	5.3277279235139	4.46663819123563
BA2704	7.27022547665066	6.19169062886434
BA2088	5.81570333041158	4.23317948236661
BA2116	6.54042498941119	5.36689692587537
BA2584	3.43900565903568	6.19479612483736
BA3079	6.59785150913547	5.95765278561263
BA2417	1.25696002199891	5.79321150053106
BA2361	5.51462217129908	5.50498484264806
BA2450	5.06562997256811	6.67894286315779
BA2492	3.30695131155452	4.23203632866019
BA2552	5.54506701473391	5.91595003127845
BA2472	4.23625755420962	4.56799936889978
BA2994	4.69471321352097	6.38599164256093
BA2047	5.53758769155616	5.70146183160515
BA2101	7.01271335596315	5.79045455115976
BA2082	8.0179995830141	5.53865932247819
BA2879	5.92036694036748	5.11922365704846
BA2577	8.44724078411408	6.7058515766051
BA2456	0.240701063558228	4.85371906563251
BA2175	5.41173058943586	4.99738222665924
BA2824	4.91302715387873	6.40454724548096
BA2507	7.49457772487061	6.74039110508618
BA2563	3.16152901437988	6.49406704275497
BA2244	8.04591780353771	4.96127415225726
BA2470	8.74800571415782	6.2918184227424
BA2984	5.55778136463102	5.62868512576849
BA2414	8.45696872743274	6.58623483162294
BA2697	3.02935460711532	4.61150443110127
BA2079	2.04428550060962	5.08758890657065
BA2999	8.99906762077278	6.39738498406032
BA2644	6.33046496181519	5.65485837851428
BA2011	4.6706843537504	5.32664570587017
BA2217	8.64449262965366	7.20800173217813
BA2454	7.15951987646114	7.33073792117204
BA2776	5.87139334737162	6.74039110508618
BA2218	3.9200316734717	5.91717313414898
BA2135	7.52987979374564	6.06255807626612
BA2914	4.80249649532499	5.77070270325106
BA2500	5.25002967084118	5.48059363504872
BA2830	7.40017541649469	6.85144834736251
BA2406	5.17988483740919	5.29272133823875
BA3108	9.03429954865997	4.66717493535737
BA2924	6.97518866229435	5.31255258978501
BA2303	3.81737153202812	5.28256921751163
BA2160	7.32489473499785	6.655181196516
BA2038	5.26497574003642	4.35906524158071
BA2602	5.31033947454173	4.62321630772693
BA2964	5.53350703365187	4.39407415685903
BA2898	5.73858169391831	5.13692147172974
BA3003	5.15703871631077	5.2450731397095
BA2111	6.09048118374774	5.12563283342855
BA2827	5.60231976530737	5.11569183564456
BA2912	4.7189671068174	5.81007696621955
BA2437	5.57895756058083	5.1122048652643
BA2283	5.17806224044823	5.36221790332293
BA2057	5.10629601616429	5.19592591955162
BA2633	5.33399944565982	5.44569104780308
BA3034	5.34471469248409	5.06279777386113
BA2607	5.58195119803049	4.98230143047781
BA2761	5.04377519736749	5.67432622931416
BA2795	4.93540010442141	5.22927128390671
BA2182	5.4501485597404	5.25109490120941
BA2152	5.45636731851438	5.23965795443685
BA2381	8.43517613550052	6.38306782429477
BA2931	5.82897025310715	5.49691431965408
BA2040	4.10430197787171	4.54056013941107
BA2590	7.03196402344294	6.56990345420697
BA3195	7.83268389248944	6.86838819773824
BA2516	6.90032088066256	5.78615399709568
BA2353	8.40664550150058	7.26851020715081
BA3036	7.26503778677364	6.3850340445232
BA2971	8.84806156927188	6.23664169060856
BA3410	6.36512999451549	5.66279307581164
BA3118	6.67724465459247	5.42234890079115
BA3206	9.08862153045619	6.83601210531875
BA3202	4.94702787792631	4.24693083065817
BA3217	4.81514527019492	6.01664395833904
BA3405	5.70948396756837	5.35117907046834
BA3306	4.17828103107484	5.44067594846619
BA3371	6.16270217963845	4.97317547511932
BA3413	8.43037965011906	6.83843057067482
BA3411	7.23805703314362	5.73738411344192
BA3133	8.44966638628301	6.15921420802907
BA3164	5.95559861955689	5.78192253760815
BA3451	4.06401487195903	4.90254409754431
BA3286	7.00490622738367	5.8761890408473
BA3212	1.8338629705864	6.15834977750935
BA3103	7.43138197639579	5.4040564998537
BA3271	7.53974354156668	5.49289037233673
BA3152	5.91992653150053	5.21327609576147
BA3095	7.10160504306164	6.20098661255903
BA3192	8.52190108216259	5.35415056636227
BA3251	6.08621852980205	6.35399476116952
BA3362	5.42125052108752	5.60540886857144
BA3400	5.89003355654074	5.490635893289
BA3135	6.26881149847343	5.89003355654074
BA3408	2.57836343869641	5.12063498746829
BA3187	6.4417602152858	5.39277292171201
BA3098	8.32449794408229	6.18590754539494
BA3435	9.3735473533766	5.67887021391384
BA3261	8.07426638068647	6.47915200705891
BA3203	6.97250726431014	5.61405116349114
BA3174	5.73207630464099	5.21397119518206
BA3317	8.78412431760784	6.81883552060849
BA3299	4.04672215210504	4.41640814943071
BA3221	-0.38969003685215	5.50684581649132
BA3347	1.22944543113974	4.5651470965606
BA3235	1.81606762523089	4.59152669861806
BA3126	3.2401351714745	4.09434749658679
BA3380	6.34190143280827	5.84353133766961
BA3089	8.79022656584331	6.50598160592548
BA3109	5.96945929693027	5.19197507986882
BA3114	5.7641069155357	4.61788631559245
BA3418	6.62357481456438	6.25221507266163
BA3245	6.97993778438247	5.72099925846855
BA3085	7.56321071069528	6.88232132236019
BA3128	7.00991256129177	5.6290939324601
BA3423	5.53058601108242	5.86057748465192
BA3173	7.1445927897216	5.93735639042332
BA3171	9.14481502348153	6.34878143548061
BA3277	6.44947039282618	5.44424859687628
BA3210	5.28864753312789	5.82971849546372
BA3157	8.42559982560594	6.43193622663115
BA3433	5.70146183160515	5.85578814032464
BA3322	4.93470537442066	5.08223929101889
BA3374	5.53239656043462	5.35519815996299
BA3450	6.72640507458581	5.34219904385068
BA3167	8.40194775982719	4.81095988420945
BA3269	7.55189787670547	4.99738222665924
BA3110	3.17892025585561	5.37014622702408
BA3156	6.61592394796106	5.45234424595149
BA3226	7.7045927999637	6.25000151049301
BA3421	5.05080635120384	4.8864219540017
BA3232	7.12266775163133	6.27426778231287
BA3289	5.08151823941693	4.85971090955896
BA3430	2.4702039958371	5.25385282871793
BA3145	7.58759859001841	6.73922514739457
BA3399	5.58084969783205	4.74148796294472
BA3449	5.95439094102815	4.95086713745968
BA3384	7.56567805381962	5.9563978434584
BA3427	7.66369633945432	5.25714318052804
BA3163	1.17134115218982	4.59152669861806
BA3158	7.45963779857083	6.79581543973709
BA3436	8.47663077360064	6.93827202821145
BA3154	-0.227067223199409	6.2850706491728
BA3162	8.49657233882556	5.92513526908082
BA3352	6.99719018449603	6.18861040169558
BA3084	6.95213438220586	5.89359904116522
BA3149	5.90555861314736	5.35709573192361
BA3169	2.62283712368534	4.99738222665924
BA3180	7.79093203959201	5.90885007986137
BA3255	6.40926123688896	5.37928711694374
BA3438	3.9216388561837	5.831768285151
BA3345	2.02417937472789	4.94207214987635
BA3403	4.68063578286025	5.24180259489468
BA3431	5.74901581721608	5.5327793179831
BA3181	4.39774491020096	5.01499035740301
BA3341	5.75832214709053	4.25037031677199
BA3191	6.79520689964912	5.50721271315311
BA3197	5.66936167999459	6.83344544574865
BA3448	8.51679913189176	6.60051001058414
BA3453	7.12738803665014	4.81972624226558
BA3406	6.73404028171299	5.89003355654074
BA3308	7.55977224878375	6.62952631509886
BA3186	8.10894763837049	6.7037023558772
BA3334	5.02586431491849	4.61468245344628
BA3447	5.94021025458643	7.53734841909383
BA3116	5.85542200416075	4.92736106288858
BA3280	6.01005588113279	5.34471469248409
BA3185	5.6098838682387	6.0765385205626
BA3094	5.75137733831877	5.44318329987226
BA3318	7.574849932275	4.65263126814038
BA3216	6.67285627660237	5.88406214865442
BA3332	6.47025472959033	5.83917770608647
BA3214	5.9785222997962	6.52836297577895
BA3099	7.20386734649371	5.81839607751016
BA3141	7.23894729675129	6.6430484484285
BA3373	7.56206988956539	7.08521741719084
BA3319	6.19521896796153	4.99665147897099
BA3328	4.62535414272787	5.75023036618314
BA3339	-0.08887661487244	5.90720734250747
BA3240	7.69023500088856	7.46784096415085
BA3142	5.56967790109069	6.49002795768883
BA3333	6.99516443206292	6.66451367219681
BA3381	6.39210318114874	5.12596382526423
BA3290	5.14045385048919	5.67811655623058
BA3207	3.08252840570975	3.30852387884075
BA3296	4.19910119394124	5.02619905861961
BA3305	3.81612780124423	5.71368801694621
BA3434	7.19312453230448	6.20525292176704
BA3189	7.06371663624663	6.72005859768329
BA3264	7.54625616208849	6.11294027816034
BA3329	8.05115312612603	6.39359148087619
BA3417	-1.04532144447794	5.51691886633525
BA3367	0.962688765366786	5.03748167961273
BA3225	2.72493519321927	4.30837790148871
BA3183	7.48057619109315	5.77294291662078
BA3222	4.25414001013237	5.4780108909795
BA3139	6.63599137571399	6.25445222164076
BA3397	7.35390839708449	6.5518017021576
BA3311	5.94099029232779	5.23032944318066
BA3422	5.54020534264446	6.54042498941119
BA3228	7.17116786854616	6.11633596300958
BA3213	7.8503248353151	5.8546289142141
BA3270	5.48358277984793	5.36939086109841
BA3415	9.88079564639631	6.08148760261427
BA3324	7.81101053195418	6.40503611780804
BA3194	6.63330728837913	6.77720928573593
BA3335	6.17773554711095	6.11633596300958
BA3199	7.59808663804993	7.06166102601644
BA3326	-0.0006124782671186	5.30886708091399
BA3285	7.78681257977187	6.35713479831954
BA3297	6.74447949059254	6.17989946486144
BA3227	7.40017541649469	7.03623900558414
BA3394	5.43546904513176	6.21933467933948
BA3412	4.96266025809675	6.21454243325922
BA3293	3.4550470720229	5.91637612602088
BA3250	7.12738803665014	5.83256616777847
BA3177	7.40108920011618	5.6412866944169
BA3315	5.33868120504246	4.798374704262
BA3182	7.4382687261571	5.85810717843667
BA3260	4.43026354617328	6.02077165309049
BA3369	8.1073163967498	5.69992958447881
BA3078	8.74983670146495	5.48023322260474
BA3386	6.99516443206292	6.57509033573893
BA3445	2.9652424467697	4.87235166783045
BA3452	7.80094268898657	5.46001022094073
BA3176	8.42321613548815	6.55914586158058
BA3258	1.45644363841645	4.16634381840989
