	KIT	DNMT3A
BA2392	8.48407580140491	6.55027156269161
BA2611	8.46430959418229	6.42139457326444
BA2506	8.46185834013681	6.38837422038712
BA2430	8.48906113697349	6.42233932973963
BA2448	8.46676516104844	6.36982886713941
BA2730	8.46922505155083	6.4369045674542
BA2845	8.53990253916599	6.55451548155805
BA2326	8.52702131941912	6.59041781660964
BA2341	8.54768703664719	6.54307132156237
BA2612	8.50160207030541	6.57247167015578
BA2973	8.53215993801742	6.54150806703429
BA2390	8.49657233882556	6.56633757408764
BA3218	8.48906113697349	6.52170608095191
BA3105	8.45209623715645	6.40170617544637
BA3402	8.44966638628301	6.40737616847402
BA3276	8.40194775982719	6.46333894051768
BA2409	6.89778124838191	4.92558404139259
BA3037	5.49725940478877	4.90640898586377
BA2496	5.51241676925768	5.03856627298611
BA2172	4.37272792121348	5.90037022570554
BA2865	8.38563253120242	6.44802101478473
BA2923	-1.83754692529431	5.58458887284863
BA2751	2.3627073872351	5.98996157877142
BA2480	5.00103650264355	5.89765135115317
BA2286	8.5872495962732	5.42089748568897
BA2922	9.77539354132974	6.6639864599992
BA2452	9.0271917203024	5.90353378741165
BA3379	8.66689198102969	6.22675882110798
BA2887	8.0301567645062	6.29652207810065
BA2712	0.402949581289092	4.84562521936661
BA2068	6.7421473941764	5.85144934754927
BA2236	8.09435501163422	5.92513526908082
BA2104	0.598455727053896	4.27532548252001
BA3124	6.29048213777498	6.23033780733241
BA3395	6.84399982384708	4.90361056525495
BA2921	9.60422004710875	5.99605530428902
BA2449	6.87788091401863	5.3715755453953
BA2003	5.06527754778608	5.33364015180298
BA2360	7.94635895319707	6.90753952267277
BA2802	9.09230819306279	6.43335604753767
BA2235	8.0044307958278	4.92771047103252
BA2858	6.02698748997862	4.35648958622004
BA3038	7.71347289714959	5.29082273845723
BA3006	5.2871864159011	5.99970534098919
BA2245	9.85077214115986	6.01005588113279
BA2667	8.75396729152058	6.36134230536283
BA2239	5.0610421966443	5.21813047946163
BA2782	5.3063518272781	5.27325382286629
BA2649	6.45042558800672	5.99890598903284
BA2488	7.52428329559334	5.55888193371954
BA2861	7.79956921933088	6.61117532741348
BA2909	6.47866220517702	6.01784200578308
BA2429	6.57560815980456	5.69757983119209
BA2653	0.779913057719338	5.46484401503758
BA2134	6.16187946786899	4.6827458552578
BA2947	6.64131489127646	6.7903869995291
BA2032	6.53646349390772	6.13853683580785
BA2162	8.27031665707811	6.25945312566298
BA2564	6.76240903317338	5.50870400018428
BA2597	5.54658259376352	5.76760186750385
BA3243	7.38062061343463	5.43042530271375
BA2106	7.77713213848426	5.67317843136018
BA2427	5.71100608100859	5.48059363504872
BA2841	6.71667600372627	5.45711106423954
BA2446	2.69090003434147	4.90083067720818
BA2645	10.0958725482412	6.82793872143045
BA2525	4.05402094746754	4.89058431526758
BA2876	6.00881830211778	5.44640808199127
BA2357	5.46954197713849	5.02235718099048
BA2546	6.5518017021576	5.51500276467509
BA2742	3.1321279031107	4.92841190922266
BA2316	3.27431420538309	4.98581237116735
BA2421	1.76094876809065	4.63033110918827
BA2087	8.58375614592974	5.13368956327964
BA2910	7.45571345371651	6.40025463094879
BA2148	7.71472395965624	6.0688553647905
BA2063	2.4375086335962	5.18021866658889
BA2329	6.61117532741348	5.09075247446604
BA3178	6.71780036034788	4.99923632979666
BA2072	7.31397253852267	5.4391470099726
BA3029	6.52375465899181	5.38508153742644
BA2733	7.2371970090631	5.37965871348939
BA2995	5.70643173596218	6.74268846032395
BA2069	4.07958610816328	4.77701262518198
BA2100	5.76256437697443	4.98409448643986
BA2681	6.69356109841864	6.51154576024005
BA2248	5.93163668749835	6.0444352624309
BA2832	7.30411511402805	6.12682630802195
BA2308	7.60989112051761	6.22113787930576
BA2413	7.69420627031986	6.16609369248211
BA2701	6.3314194986068	5.64618047026692
BA2634	6.86903485569995	6.25091484872834
BA2677	6.69580577134555	5.69566002369261
BA2937	7.32489473499785	5.79045455115976
BA2600	5.59027419096801	5.50315192004078
BA2019	-0.780448523359928	5.65448355973944
BA2412	5.79950973684786	4.71932990142095
BA2334	4.93436696034119	6.20697852343694
BA2050	6.1180523945273	5.92596043186298
BA3230	6.93827202821145	5.17381001168529
BA2953	6.81086164089737	5.84669771952697
BA2481	5.46628439479905	5.03079434015524
