#Résultats bruts de l'abondance de mutation du gène TET2 selon la feature manuscript_inhibitor, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.038567 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression manuscript_inhibitor
103.896552 7.460806e+09             13.925648                  yes
580.482759 1.121204e+10             51.773156                  yes
166.333333 7.970342e+09             20.869032                  yes
114.655172 9.399235e+09             12.198351                  yes
119.448276 6.844100e+09             17.452737                  yes
135.275862 1.246479e+10             10.852639                  yes
 13.896552 5.578305e+09              2.491178                  yes
 24.137931 5.670167e+09              4.257005                   no
 23.517241 6.675530e+09              3.522902                   no
 16.896552 5.989376e+09              2.821087                   no
 11.758621 8.914914e+09              1.318983                  yes
 35.275862 6.623609e+09              5.325777                   no
 23.517241 9.686832e+09              2.427754                  yes
 69.448276 1.219810e+10              5.693368                  yes
 38.034483 1.285754e+10              2.958146                  yes
 46.142857 9.022035e+09              5.114462                  yes
199.551724 8.843945e+09             22.563655                  yes
 31.827586 8.738210e+09              3.642346                  yes
 11.758621 7.467501e+09              1.574639                  yes
 53.137931 1.293085e+10              4.109393                  yes
 15.551724 7.004248e+09              2.220327                   no
 47.655172 9.036584e+09              5.273583                  yes
 41.172414 8.673760e+09              4.746778                   no
 62.206897 1.233472e+10              5.043237                  yes
 30.896552 1.179849e+10              2.618686                  yes
118.259259 5.429623e+09             21.780382                  yes
 61.448276 5.786196e+09             10.619806                  yes
 50.034483 6.033548e+09              8.292713                  yes
 54.689655 6.572317e+09              8.321213                  yes
 81.862069 6.313854e+09             12.965468                   no
 35.275862 8.150876e+09              4.327861                  yes
 63.586207 7.646813e+09              8.315386                  yes
 77.551724 8.115899e+09              9.555531                  yes
 64.931034 1.269244e+10              5.115726                  yes
 44.965517 5.578305e+09              8.060785                  yes
105.000000 5.670167e+09             18.517972                   no
 91.206897 6.675530e+09             13.662869                   no
 42.931034 5.989376e+09              7.167864                   no
 91.379310 8.914914e+09             10.250161                  yes
 12.862069 3.358283e+09              3.829954                  yes
 18.172414 6.623609e+09              2.743582                   no
 65.310345 9.686832e+09              6.742178                  yes
143.034483 1.219810e+10             11.725963                  yes
 78.517241 1.285754e+10              6.106707                  yes
 15.896552 8.141680e+09              1.952490                  yes
 24.068966 1.098682e+10              2.190713                   no
 34.172414 6.204715e+09              5.507491                   no
151.620690 1.086433e+10             13.955822                   no
 15.896552 9.682106e+09              1.641848                  yes
 55.482759 6.217670e+09              8.923400                  yes
135.586207 7.970342e+09             17.011340                  yes
104.034483 9.245606e+09             11.252316                  yes
 11.758621 6.907665e+09              1.702257                   no
 30.896552 6.829888e+09              4.523728                   no
 10.068966 8.350758e+09              1.205755                   no
 33.137931 9.483174e+09              3.494392                   no
 52.379310 8.531157e+09              6.139766                   no
 17.344828 8.812339e+09              1.968243                   no
 36.517241 9.492673e+09              3.846887                  yes
 63.137931 1.143744e+10              5.520286                  yes
 18.172414 5.860219e+09              3.100979                  yes
 43.482759 8.340798e+09              5.213261                   no
 17.103448 8.011331e+09              2.134907                  yes
 61.862069 6.152350e+09             10.055032                  yes
 39.862069 8.617071e+09              4.625942                  yes
 38.482759 8.579946e+09              4.485198                  yes
 17.103448 7.958003e+09              2.149214                   no
 39.620690 7.232959e+09              5.477798                   no
 49.310345 5.670167e+09              8.696453                   no
 58.896552 6.124994e+09              9.615773                  yes
 19.241379 7.132607e+09              2.697664                  yes
 51.827586 7.355166e+09              7.046420                   no
 11.379310 1.245375e+10              0.913725                  yes
 60.827586 1.428796e+10              4.257262                  yes
 26.724138 4.588512e+09              5.824140                  yes
 25.620690 9.008421e+09              2.844082                  yes
 11.758621 7.588827e+09              1.549465                  yes
 18.206897 5.350324e+09              3.402952                  yes
179.724138 1.419232e+10             12.663476                  yes
 20.896552 9.053483e+09              2.308123                  yes
129.896552 1.121204e+10             11.585451                  yes
 28.310345 6.968782e+09              4.062452                  yes
 19.241379 7.974097e+09              2.412985                   no
 76.793103 1.207313e+10              6.360661                   no
 40.000000 6.675530e+09              5.992033                   no
 21.482759 6.443114e+09              3.334220                   no
 48.103448 8.933638e+09              5.384531                  yes
 84.275862 9.250500e+09              9.110411                   no
 42.034483 8.486195e+09              4.953278                  yes
 34.206897 8.495132e+09              4.026647                  yes
 34.103448 5.633341e+09              6.053859                   no
 43.827586 5.835413e+09              7.510622                   no
 59.241379 7.859985e+09              7.537086                  yes
 15.724138 6.505110e+09              2.417198                  yes
 12.827586 6.424575e+09              1.996644                  yes
 64.448276 9.429462e+09              6.834778                  yes
 31.137931 9.177622e+09              3.392810                   no
 33.137931 6.832622e+09              4.849958                  yes
 23.517241 6.861597e+09              3.427372                  yes
104.931034 1.369088e+10              7.664301                  yes
 17.103448 4.867079e+09              3.514110                   no
 17.103448 6.490190e+09              2.635277                   no
 35.275862 8.857558e+09              3.982572                  yes
 74.137931 9.789722e+09              7.573038                  yes
 31.000000 8.496488e+09              3.648566                  yes
 50.241379 7.182719e+09              6.994758                  yes
 16.586207 9.170928e+09              1.808564                  yes
 25.655172 8.712778e+09              2.944546                  yes
 33.137931 7.183179e+09              4.613268                   no
 23.862069 7.145735e+09              3.339344                  yes
 17.103448 6.517612e+09              2.624189                   no
 33.172414 6.229103e+09              5.325392                  yes
 10.827586 5.952865e+09              1.818887                  yes
 40.655172 5.463356e+09              7.441429                  yes
 47.034483 1.019550e+10              4.613261                  yes
 84.586207 1.227116e+10              6.893090                  yes
 53.896552 9.825842e+09              5.485184                   no
 18.172414 7.400454e+09              2.455581                   no
 57.413793 9.607272e+09              5.976076                   no
 65.896552 6.058733e+09             10.876293                  yes
 52.896552 7.004248e+09              7.552067                   no
 19.241379 8.254983e+09              2.330881                  yes
 13.896552 7.863224e+09              1.767284                  yes
 42.551724 4.761447e+09              8.936721                  yes
 49.793103 6.892596e+09              7.224143                  yes
 24.586207 8.690531e+09              2.829080                  yes
 70.689655 8.178035e+09              8.643844                  yes
 66.379310 5.786196e+09             11.472013                  yes
 23.517241 8.864826e+09              2.652871                   no
 43.241379 7.420922e+09              5.826955                  yes
 13.896552 4.643957e+09              2.992395                   no
 46.551724 6.979146e+09              6.670117                  yes
 40.758621 8.405221e+09              4.849203                   no
 35.275862 9.795604e+09              3.601193                  yes
 26.206897 5.190688e+09              5.048829                  yes
 38.068966 6.701910e+09              5.680315                   no
 36.137931 9.291569e+09              3.889325                  yes
 18.172414 4.572093e+09              3.974638                  yes
 47.034483 7.201539e+09              6.531171                  yes
 55.068966 6.302852e+09              8.737151                  yes
 21.413793 9.534414e+09              2.245948                   no
 24.137931 5.843420e+09              4.130788                   no
 44.482759 6.970849e+09              6.381254                  yes
 36.482759 7.309448e+09              4.991178                  yes
 26.862069 5.717269e+09              4.698409                  yes
 53.413793 7.654277e+09              6.978293                  yes
 58.896552 7.451200e+09              7.904305                   no
 64.068966 8.251345e+09              7.764670                   no
 13.896552 5.270370e+09              2.636732                   no
 59.103448 8.138126e+09              7.262538                  yes
 68.172414 8.656098e+09              7.875652                  yes
 49.103448 7.990536e+09              6.145201                  yes
 60.689655 6.623305e+09              9.163047                  yes
140.482759 1.000280e+10             14.044347                  yes
 61.275862 8.457004e+09              7.245576                  yes
 55.586207 6.259413e+09              8.880418                  yes
 12.827586 8.592370e+09              1.492904                   no
