	KIT	NPM1
BA2392	8.48407580140491	9.6874475749889
BA2611	8.46430959418229	9.60929418124753
BA2506	8.46185834013681	9.61949185438657
BA2430	8.48906113697349	9.61949185438657
BA2448	8.46676516104844	9.61438474364243
BA2730	8.46922505155083	9.62461563502098
BA2845	8.53990253916599	9.57909169555586
BA2326	8.52702131941912	9.58408544068247
BA2341	8.54768703664719	9.58909503454725
BA2612	8.50160207030541	9.55927298456459
BA2973	8.53215993801742	9.56915130536806
BA2390	8.49657233882556	9.55927298456459
BA3218	8.48906113697349	9.56420444046175
BA3105	8.45209623715645	9.53000194332933
BA3402	8.44966638628301	9.53484314535953
BA3276	8.40194775982719	9.51556606369543
BA2409	6.89778124838191	7.88494695067266
BA3037	5.49725940478877	9.1755941413251
BA2496	5.51241676925768	8.3156761580726
BA2172	4.37272792121348	9.2592593958878
BA2865	8.38563253120242	9.53484314535953
BA2923	-1.83754692529431	6.98208266015901
BA2751	2.3627073872351	9.13897207935234
BA2480	5.00103650264355	8.38563253120242
BA2286	8.5872495962732	9.51078302100883
BA2922	9.77539354132974	9.78674968596522
BA2452	9.0271917203024	9.33027676031699
BA3379	8.66689198102969	9.31328611186612
BA2887	8.0301567645062	9.06304565250042
BA2712	0.402949581289092	7.82549928808227
BA2068	6.7421473941764	8.67821802831458
BA2236	8.09435501163422	8.75995195431454
BA2104	0.598455727053896	6.91599118004167
BA3124	6.29048213777498	8.84307877151568
BA3395	6.84399982384708	8.58457840504288
BA2921	9.60422004710875	9.00605305286098
BA2449	6.87788091401863	9.52036350053221
BA2003	5.06527754778608	9.04501990946176
BA2360	7.94635895319707	9.4000752436972
BA2802	9.09230819306279	7.15633759792086
BA2235	8.0044307958278	8.83362186336888
BA2858	6.02698748997862	8.91420804405317
BA3038	7.71347289714959	7.73462168625585
BA3006	5.2871864159011	9.15245565249128
BA2245	9.85077214115986	9.0307417478067
BA2667	8.75396729152058	9.13720994130471
BA2239	5.0610421966443	8.17428733914348
BA2782	5.3063518272781	7.59101188148724
BA2649	6.45042558800672	9.2429894144776
BA2488	7.52428329559334	7.91111348596979
BA2861	7.79956921933088	9.11460476788528
BA2909	6.47866220517702	7.83704881770087
BA2429	6.57560815980456	8.66493693752935
BA2653	0.779913057719338	8.41556616709075
BA2134	6.16187946786899	8.30037965468589
BA2947	6.64131489127646	9.91920628125652
BA2032	6.53646349390772	9.3735473533766
BA2162	8.27031665707811	8.85577669200061
BA2564	6.76240903317338	8.74800571415782
BA2597	5.54658259376352	8.13547459853116
BA3243	7.38062061343463	8.84307877151568
BA2106	7.77713213848426	9.54945587390153
BA2427	5.71100608100859	8.91090509269608
BA2841	6.71667600372627	9.13342062895717
BA2446	2.69090003434147	8.33784249776874
BA2645	10.0958725482412	8.42798766039968
BA2525	4.05402094746754	8.34456564828853
BA2876	6.00881830211778	8.61151153389318
BA2357	5.46954197713849	8.95777690896205
BA2546	6.5518017021576	8.0301567645062
BA2742	3.1321279031107	7.87584460904621
BA2316	3.27431420538309	8.22855584188171
BA2421	1.76094876809065	8.28526081080175
BA2087	8.58375614592974	9.10147698629206
BA2910	7.45571345371651	9.22287720595147
BA2148	7.71472395965624	7.95609226155088
BA2063	2.4375086335962	8.34232080533324
BA2329	6.61117532741348	8.3972661940189
BA3178	6.71780036034788	8.76897254396233
BA2072	7.31397253852267	8.41135949860071
BA3029	6.52375465899181	8.78717245605116
BA2733	7.2371970090631	8.96458579397726
BA2995	5.70643173596218	8.45209623715645
BA2069	4.07958610816328	8.46185834013681
BA2100	5.76256437697443	8.70690950167434
BA2681	6.69356109841864	9.52517542791568
BA2248	5.93163668749835	9.19906475607931
BA2832	7.30411511402805	8.18813169577028
BA2308	7.60989112051761	9.48708042008341
BA2413	7.69420627031986	9.4045391740165
BA2701	6.3314194986068	8.7361512573159
BA2634	6.86903485569995	8.22240857358487
BA2677	6.69580577134555	8.79635277497105
BA2937	7.32489473499785	8.25344779136567
BA2600	5.59027419096801	9.2429894144776
BA2019	-0.780448523359928	8.12986534537924
BA2412	5.79950973684786	6.82309107200081
BA2334	4.93436696034119	8.94087956106744
BA2050	6.1180523945273	9.34744684153524
BA3230	6.93827202821145	8.78108213178214
BA2953	6.81086164089737	9.69817061599593
BA2481	5.46628439479905	8.58191208164573
BA2731	6.4137172012398	8.46185834013681
BA2294	8.904319577833	9.25517667754352
BA2418	5.42857060288721	9.1410080593907
BA2816	5.36072833704901	9.14863087419242
BA2656	3.65263152336696	8.93082572022568
BA2814	4.23701647161103	7.63755645913212
BA2631	7.37396310701658	9.3561004357089
BA2023	-0.425828695317915	8.3311533449718
BA2375	7.47830743039593	8.84941498844258
BA2485	7.17116786854616	8.78899864293157
BA2455	0.213349457050806	8.3156761580726
BA2025	5.99479766689368	8.56338303703764
BA2636	6.64186594668035	9.10713869224013
BA2325	4.27232629182903	7.29687122589928
BA2169	7.30411511402805	8.51934782702254
BA2156	8.99558616821901	9.48238177689826
BA2511	4.81690090080098	8.46430959418229
BA2939	7.64377441186557	9.41350421836705
BA2168	3.54447318338801	9.20300948929151
BA2505	6.69861654752334	9.09230819306279
BA2860	6.10105446354612	8.97485330936457
BA2707	4.47937233979517	9.12210512882866
BA2871	6.4442145827922	8.66689198102969
BA2655	6.1522898333018	9.36916799017741
BA2227	6.87084783224833	9.42251934116338
BA2125	7.24473994098098	7.76334677298606
BA2523	8.62516478231551	9.33455230246716
BA2603	6.26033254809805	8.99558616821901
BA2808	6.80486837491	8.70112769787832
BA2282	0.275450535390316	7.26503778677364
BA2482	8.51425498508966	9.04501990946176
BA2812	0.390163792184238	8.81487669872437
BA2822	6.64684027167279	7.14998539597838
BA2594	7.31665510949842	8.42798766039968
BA2747	6.53543485984192	9.35176787188011
BA2561	1.51130448384538	9.09970659968869
BA2567	1.72847085742469	7.54085820588458
BA2906	6.151452910791	8.80250309714617
BA2956	5.88606180557595	8.11104544817006
BA2474	7.37771038448057	9.08127310626888
BA2737	3.93165864889064	8.02685700006077
BA2110	3.98774117772589	7.71347289714959
BA2992	5.40957494113667	9.18338030789918
BA2220	5.05504885396523	9.00955709168753
BA2772	5.93332587992066	9.42251934116338
BA2935	6.4108151402329	8.55029123602985
BA2260	4.5552347102947	8.75098362594822
BA2676	7.74536502725477	8.7361512573159
BA2948	7.64255001400601	7.55189787670547
BA2524	7.27555120012057	9.2592593958878
BA2811	5.21501701134356	8.83676787171411
BA2540	5.98011491063707	8.86857724833819
BA2928	6.05650405294687	8.7214605815193
BA2302	6.56685915377229	9.38234175781362
BA2595	7.36047250037276	9.09230819306279
BA2792	6.66177361256097	8.66689198102969
BA2651	6.88867708372879	9.17948259034573
BA2619	8.67821802831458	7.88191833711993
BA3013	5.69333061318898	9.54457000922792
BA2405	5.94473215258657	9.64008823387741
BA2735	5.40147695209821	9.08494318011795
BA2856	5.36476332195428	7.56206988956539
BA2377	6.32635613681556	8.74389874448259
BA2499	8.03722226484621	9.66095938066438
BA2463	-0.256578476181957	8.4179334910987
BA3023	5.91320591729895	9.17948259034573
BA2095	5.73627139725326	9.13342062895717
BA2901	4.75201016058728	8.51425498508966
BA2275	7.82833379039141	6.9401836518602
BA2387	8.6279105840654	8.68106286594684
BA2962	6.10621461216555	9.73079295605488
BA2195	6.92111028015582	8.69249597847146
BA2688	5.64352989350398	8.77262692606308
BA2787	3.13490199455068	6.35352478320916
BA2420	7.9003747386446	9.09970659968869
BA2756	6.19822146547957	9.56420444046175
BA2122	4.4543011664344	7.70840071464408
BA2053	7.50105244518025	9.16784487350203
BA2080	8.30255392241405	8.92748837970555
BA2081	8.48656626341456	9.00255657247606
BA2354	9.28155652487085	9.30238239860393
BA3273	0.651829022283505	7.24904224136933
BA2893	6.14672505812723	9.50601427714714
BA2044	7.70961368830257	8.43758065182973
BA2489	5.95233629524957	9.15628939970288
BA2309	7.13359161213086	9.05942450247106
BA2720	5.0932101529727	7.7605970351598
BA2908	7.7071077714624	9.83621907237271
BA2054	5.13193342655662	8.54508752883457
BA2872	6.41806054956223	8.00271116464237
BA2526	5.60348204059795	9.09600320401444
BA2041	6.14889515620208	9.02011485988608
BA2464	7.70197141870837	9.07395764638915
BA2902	5.85341733924409	8.82734862624236
BA2541	7.62080780455831	9.18338030789918
BA2143	7.12590219224429	7.22867709025789
BA2094	0.162179847700664	7.79956921933088
BA2769	6.82369230677028	8.904319577833
BA2843	7.68775219309565	8.88148184246882
BA2592	6.28328278970437	9.57909169555586
BA2497	-1.79323399416306	8.09067732991193
BA2718	7.99739906746641	8.61151153389318
BA2575	5.99724316529864	7.3614587281193
BA2096	6.21496669116308	9.4000752436972
BA2593	5.69295647546023	10.3090915070605
BA2791	6.3688389446517	9.14481502348153
BA2620	7.19985683529985	8.61695773628636
BA2629	5.91637612602088	9.4000752436972
BA2870	2.62348222679061	9.26745559419095
BA2423	2.36769406332286	7.73861349646242
BA2682	7.64895583047878	9.14863087419242
BA2276	5.42161592263156	8.91090509269608
