	ABL1	NRAS
BA2000	0.0146845710165825	4.977407957956781
BA2003	0.0095313626532083	10.378106789139272
BA2004	0.0112418889689978	4.309692902463786
BA2006	0.0060003604902667	6.53429209237046
BA2011	0.0100919250180245	6.305855834453703
BA2019	0.0196629416005767	7.683258011643504
BA2020	0.0263392213410237	10.39127109040281
BA2022	0.0168979812545061	7.738823251199297
BA2023	0.0098017303532804	4.289699350593618
BA2024	0.0110868781542898	4.9531936785324815
BA2025	0.0185724585436193	5.9521664556209615
BA2031	0.0146377072819033	4.080783668876522
BA2032	0.0132462148521989	8.392403893539017
BA2033	0.0081723143475126	21.37478588402929
BA2034	0.0197494592645998	8.979115565791345
BA2035	0.0183687815428983	6.727531139662342
BA2036	0.0147530641672674	5.934715464511269
BA2037	0.0234264599855803	8.260916277002451
BA2041	0.01598774333093	10.094054849863708
BA2044	0.0127793799567411	4.681616635899111
BA2046	0.0203460706560922	8.854899994967417
BA2047	0.0213968997837058	7.347596011370686
BA2050	0.0107462148521989	3.9785758600384673
BA2051	0.0223882480173035	20.73723620937169
BA2052	0.013585075702956	8.752718991292838
BA2053	0.0078983417447728	8.852562329030027
BA2054	0.0082660418168709	3.515860693818209
BA2055	0.0044250180245133	1.6205372590719074
BA2063	0.033361571737563	5.350787035025199
BA2065	0.0192790194664744	7.023166606159928
BA2066	0.0210976928622927	9.782239133895803
BA2068	0.0152397260273972	6.187871165249966
BA2069	0.0120782263878875	5.3957333165018735
BA2072	0.0101243691420331	3.8210129539376334
BA2079	0.0053911319394376	3.5294450576446743
BA2080	0.0201568132660418	9.878145856600993
BA2081	0.012382840663302	4.179393584635819
BA2082	0.0226405912040374	11.731220331663746
BA2087	0.0131452775775054	9.117185989902234
BA2088	0.016995313626532	12.878374079081128
BA2089	0.0200973323720259	13.054417524559554
BA2093	0.0109012256669069	3.827776216496951
BA2094	0.0125342465753424	9.6390475285274
BA2095	0.0175198269646719	6.061237265904907
BA2096	0.0067429704397981	6.6068912880086526
BA2097	0.0227577505407354	13.674146580910463
BA2098	0.012664023071377	10.266431574490376
BA2100	0.0066240086517664	4.543064926548401
BA2101	0.0096467195385724	5.946668472978523
BA2104	0.0069358327325162	5.080683697667679
BA2106	0.0121449170872386	10.007669712996668
BA2109	0.0096160778658976	7.039233683930336
BA2110	0.005677721701514	3.3453509387215696
BA2113	0.0232191780821917	7.04770706449596
BA2116	0.0132804614275414	11.405725789144409
BA2121	0.0142231434751261	8.26786786484733
BA2122	0.0042213410237923	3.9589373674952215
BA2123	0.0203028118240807	14.675523222265186
BA2124	0.0179434030281182	5.097984815532236
BA2125	0.0150955299206921	6.551273349854395
BA2132	0.0178821196827685	7.137095582078997
BA2133	0.0063211968276856	5.535598178943483
BA2134	0.0074351117519826	3.115658505018978
BA2135	0.0098558038932948	9.783992890664743
BA2139	0.0064852198990627	3.937168839238281
BA2143	0.0127180966113914	11.211201675444864
BA2148	0.0149242970439798	7.146090488182422
BA2153	0.0082390050468637	7.706519876418026
BA2155	0.012382840663302	4.091556754627389
BA2156	0.0208399423215573	4.827776540884438
BA2162	0.0132804614275414	4.06912810161036
BA2163	0.0161968276856524	7.33157595141015
BA2168	0.0087941600576784	5.23584537424075
BA2169	0.0112076423936553	8.61528969234325
BA2171	0.0253118240807498	7.166857455387078
BA2172	0.0166528478731074	7.618505782588487
BA2174	0.0147224224945926	5.753365263394096
BA2175	0.019388968997837	12.319976682553234
BA2184	0.046326604181687	13.897201670264671
BA2195	0.0100342465753424	8.659167377592544
BA2198	0.0141474405191059	6.490850615788523
BA2200	0.0183453496755587	7.617195271879612
BA2201	0.0077883922134102	3.134627223196208
BA2209	0.0153947368421052	13.415385737550771
BA2211	0.0313320115356885	6.329236387985916
BA2212	0.0161824080749819	8.573049220352605
BA2217	0.0262707281903388	5.055421103508041
BA2218	0.0069124008651766	8.836851417208933
BA2220	0.0089419610670511	6.488506103008245
BA2221	0.0084661139149242	6.117354301578535
BA2224	0.0088914924297043	5.1473837673843565
BA2226	0.0220944484498918	13.403340535153449
BA2227	0.0209408795962509	14.239787794923668
BA2228	0.0196377072819033	13.69731441699434
BA2229	0.0153713049747656	10.63273859043751
BA2233	0.0236860129776496	8.745946667983972
BA2234	0.0152505407354001	7.738737245612007
BA2235	0.0130641672674837	5.689533394266742
BA2236	0.018817591925018	5.379816736011445
BA2239	0.0091726748377793	3.5390439670533724
BA2240	0.0207876712328767	12.492189100711094
BA2242	0.0155587599134823	6.225558622907862
BA2244	0.0166348233597692	5.633309590119055
BA2245	0.0197404470079307	6.154679171687048
BA2248	0.00905010814708	6.076093352608996
BA2249	0.012557678442682	8.272336869037682
BA2251	0.0230894015861571	9.69653434530954
BA2256	0.0136391492429704	9.173216502492416
BA2260	0.0076297764960346	5.0212703464211215
BA2261	0.0063482335976928	4.80379495130423
BA2269	0.006685291997116	3.822012991401081
BA2271	0.0136319394376351	11.981020135494042
BA2272	0.01	4.965517920118519
