	NPM1	SUZ12
BA2000	528.2932619271585	3.127830327275005
BA2003	717.8183224076506	1.9897729220379268
BA2004	320.01547932986267	2.9885659244700227
BA2006	9.679478408126416	0.0403253332674297
BA2011	348.4981285240867	0.9734490953058302
BA2019	583.7827086691859	1.2399991765125562
BA2020	1236.507877965909	5.410218223310362
BA2022	916.0964949426144	3.635013446641551
BA2023	431.7839587624408	1.4651172880334655
BA2024	372.1842389270018	2.291373309078383
BA2025	722.395881374441	3.202348019563759
BA2031	803.0149785649028	2.5493204194381933
BA2032	795.6408037215438	1.6091133385267329
BA2033	257.718883807176	1.653335750440858
BA2034	810.0015144990998	1.8781243195275104
BA2035	899.358854303508	2.5802866833736795
BA2036	778.587533687972	2.469460560667649
BA2037	1902.128477513421	4.839582910411648
BA2041	845.8378095871379	1.9772036795494177
BA2044	585.7529247149646	2.4437007040504404
BA2046	1115.1507214086078	1.4391194558498173
BA2047	676.9878108900025	3.210441763125257
BA2050	742.1408316925888	1.4751655995006565
BA2051	484.6791957324424	1.462993139513989
BA2052	1122.4581187120564	2.642294597990864
BA2053	856.5360596182228	1.5539922220589095
BA2054	797.1291493537034	3.4258783439006293
BA2055	43.55371897587268	0.0680672964487119
BA2063	583.6395872324669	1.4735926234789565
BA2065	1202.664762511015	2.7529233098619983
BA2066	819.6683643642182	4.243602127364825
BA2068	590.7969803002536	0.8916736487306525
BA2069	668.3880927899144	3.2772561657351744
BA2072	443.6027357455251	1.8153801069337148
BA2079	148.52736696454153	1.6962565597810768
BA2080	828.9284153651536	1.8946995163090905
BA2081	596.8647857517421	1.9577304839315357
BA2082	1003.8557661222746	1.7413423599021498
BA2087	645.4585078280003	0.9289504437414918
BA2088	647.6525682652436	2.680796174136961
BA2089	803.116732804619	3.8986554187489593
BA2093	717.9466283105468	1.9034261400418249
BA2094	773.6307073311818	3.365203634616329
BA2095	742.4000933575526	2.6560847809736363
BA2096	843.435358552685	1.3294732400029006
BA2097	1869.086592927769	3.6209976865347273
BA2098	446.6952569238338	0.5892429276099934
BA2100	459.57170926115145	1.12844237143569
BA2101	480.9915091065376	1.866316057361916
BA2104	158.38864555593398	1.2955052923862032
BA2106	1086.0029372840947	1.1707934243479547
BA2109	352.7594132324559	1.688508390622985
BA2110	227.9689532482417	1.1705870185481446
BA2113	618.1909565783855	3.867898798698029
BA2116	203.9687913848749	3.799043848585787
BA2121	828.9494792055228	2.60854990045021
BA2122	309.0625568800445	1.160381576624371
BA2123	1943.4570022489283	3.161244497684301
