	NPM1	MYD88
BA2906	8.80250309714617	7.72809482559201
BA2956	8.11104544817006	8.72438748273975
BA2474	9.08127310626888	7.81385914418798
BA2737	8.02685700006077	8.03550248502968
BA2110	7.71347289714959	8.7361512573159
BA2992	9.18338030789918	8.28956252610494
BA2220	9.00955709168753	6.62789754750857
BA2772	9.42251934116338	6.61753222574519
BA2935	8.55029123602985	7.84883391972247
BA2260	8.75098362594822	8.42559982560594
BA2676	8.7361512573159	7.53197491812839
BA2948	7.55189787670547	7.8210975174081
BA2524	9.2592593958878	8.31347995218337
BA2811	8.83676787171411	6.64966424428309
BA2540	8.86857724833819	6.79345158499426
BA2928	8.7214605815193	7.90342171341614
BA2302	9.38234175781362	6.70639038824238
BA2595	9.09230819306279	7.67751428719864
BA2792	8.66689198102969	7.60876718089275
BA2651	9.17948259034573	6.81453593095305
BA2619	7.88191833711993	7.07486831392374
BA3013	9.54457000922792	7.15158559200513
BA2405	9.64008823387741	6.42189529871828
BA2735	9.08494318011795	6.2796317403598
BA2856	7.56206988956539	7.01613705435711
BA2377	8.74389874448259	6.44995385247277
BA2499	9.66095938066438	6.54307132156237
BA2463	8.4179334910987	8.27427248278834
BA3023	9.17948259034573	7.72941398094
BA2095	9.13342062895717	6.80787905159787
BA2901	8.51425498508966	7.6577402686387
BA2275	6.9401836518602	8.41135949860071
BA2387	8.68106286594684	7.50002964161751
BA2962	9.73079295605488	6.98275640527684
BA2195	8.69249597847146	7.91267481802265
BA2688	8.77262692606308	7.12115659158764
BA2787	6.35352478320916	9.21888429779212
BA2420	9.09970659968869	7.46163860381834
BA2756	9.56420444046175	6.35117266997331
BA2122	7.70840071464408	7.48057619109315
BA2053	9.16784487350203	7.3548407117676
BA2080	8.92748837970555	7.28525840993051
BA2081	9.00255657247606	8.13176351189552
BA2354	9.30238239860393	7.54970729199318
BA3273	7.24904224136933	6.36512999451549
BA2893	9.50601427714714	6.806661857708
BA2044	8.43758065182973	7.91111348596979
BA2489	9.15628939970288	6.95751613947387
BA2309	9.05942450247106	7.60161963856079
BA2720	7.7605970351598	6.07438042977308
BA2908	9.83621907237271	7.29599106177635
BA2054	8.54508752883457	7.20152351501227
BA2872	8.00271116464237	8.12797014139423
BA2526	9.09600320401444	7.24138386390375
BA2041	9.02011485988608	6.89778124838191
BA2464	9.07395764638915	6.97731252665637
BA2902	8.82734862624236	7.65022254150033
BA2541	9.18338030789918	7.28438406463884
BA2143	7.22867709025789	7.94466831928416
BA2094	7.79956921933088	7.46577618872004
BA2769	8.904319577833	7.9003747386446
BA2843	8.88148184246882	6.71268468403438
BA2592	9.57909169555586	7.08741196449123
BA2497	8.09067732991193	7.65632337592004
BA2718	8.61151153389318	7.36252362510307
BA2575	7.3614587281193	9.46836798648192
BA2096	9.4000752436972	6.87589317842963
BA2593	10.3090915070605	6.76123286144052
BA2791	9.14481502348153	6.69580577134555
BA2620	8.61695773628636	8.47168927654288
BA2629	9.4000752436972	7.51849616731086
BA2870	9.26745559419095	7.12814379144502
BA2423	7.73861349646242	9.2429894144776
BA2682	9.14863087419242	7.67233847579442
BA2276	8.91090509269608	6.94945791531145
BA2348	7.52987979374564	8.51425498508966
BA2709	8.81177412986094	8.19611264417946
BA2789	9.36480042798147	7.48382605156173
BA2694	8.92748837970555	7.89108706846145
BA2538	8.40429460371975	7.2245944685398
BA2583	9.44070228005406	6.7789181692916
BA2415	7.67493502317828	8.51425498508966
BA2722	7.0623479587219	7.64377441186557
BA2806	9.01306871894599	7.38361760058351
BA2221	7.99413751864958	8.22036612888066
