#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature totalDrug, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000868 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression totalDrug
212.620690 7.001288e+09             30.368796         n
141.758621 7.267595e+09             19.505574         y
221.862069 8.933638e+09             24.834459         y
 65.275862 9.470333e+09              6.892668         y
 45.965517 9.250500e+09              4.968976         n
 12.827586 7.196731e+09              1.782419         y
149.655172 6.171712e+09             24.248568         y
146.896552 8.486195e+09             17.310062         y
 90.413793 8.472738e+09             10.671143         y
209.620690 6.827333e+09             30.703159         y
132.068966 7.871317e+09             16.778510         y
 79.206897 8.495132e+09              9.323799         y
 86.034483 5.633341e+09             15.272374         n
133.931034 8.510533e+09             15.737092         y
110.724138 5.835413e+09             18.974515         y
198.551724 6.245514e+09             31.791094         y
 86.068966 6.648606e+09             12.945415         y
187.103448 7.031968e+09             26.607552         y
 24.034483 7.859985e+09              3.057828         y
 14.862069 5.449456e+09              2.727257         y
231.344828 8.873211e+09             26.072279         y
483.758621 7.191314e+09             67.269849         y
 28.137931 9.429462e+09              2.984044         y
 64.931034 3.538080e+09             18.352052         y
 80.344828 9.854434e+09              8.153165         y
500.965517 9.177622e+09             54.585549         n
210.379310 7.726760e+09             27.227363         y
313.482759 1.422772e+10             22.033242         y
 38.241379 8.546911e+09              4.474292         y
 19.241379 8.002611e+09              2.404388         y
 35.034483 9.399235e+09              3.727376         y
325.758621 6.832622e+09             47.676953         y
205.034483 1.180402e+10             17.369882         y
109.000000 6.861597e+09             15.885516         y
236.344828 1.369088e+10             17.262937         y
141.448276 8.054348e+09             17.561728         y
 39.551724 4.867079e+09              8.126379         n
309.931034 6.550759e+09             47.312235         y
 65.310345 9.689788e+09              6.740121         n
 40.172414 8.512059e+09              4.719471         y
898.931034 1.074916e+10             83.628049         y
 98.758621 6.353539e+09             15.543877         n
 96.793103 8.466130e+09             11.432980         y
 90.103448 6.463080e+09             13.941256         n
284.413793 5.989376e+09             47.486378         n
 86.482759 7.207653e+09             11.998741         y
 22.448276 8.405521e+09              2.670658         n
142.310345 7.188095e+09             19.798061         y
 48.931034 6.490190e+09              7.539230         n
 23.517241 5.938861e+09              3.959891         n
184.482759 7.857823e+09             23.477591         n
645.620690 9.789722e+09             65.948830         y
251.758621 8.496488e+09             29.630905         y
246.275862 7.182719e+09             34.287276         y
 52.379310 9.170928e+09              5.711451         y
479.758621 7.426742e+09             64.598799         y
179.758621 6.601048e+09             27.231831         y
645.448276 8.712778e+09             74.080656         y
107.206897 6.313854e+09             16.979630         n
 42.620690 7.091594e+09              6.010029         y
 30.068966 6.033397e+09              4.983754         n
 80.551724 1.026081e+10              7.850427         n
 32.068966 8.738938e+09              3.669664         y
225.448276 7.183179e+09             31.385587         n
 59.758621 7.895416e+09              7.568774         y
135.172414 7.145735e+09             18.916517         y
475.482759 9.272545e+09             51.278558         y
 19.517241 6.517612e+09              2.994539         n
122.034483 7.301011e+09             16.714737         y
 41.689655 5.689568e+09              7.327385         y
190.413793 7.219227e+09             26.375927         y
362.241379 9.142983e+09             39.619605         y
174.620690 6.779597e+09             25.756796         n
 11.758621 5.952865e+09              1.975288         y
 38.482759 9.136029e+09              4.212198         n
134.275862 5.463356e+09             24.577544         y
132.551724 5.429623e+09             24.412694         y
