	ASXL1	STAG2
BA2889	0.0	0.0
BA2744	0.004414696667616	0.0131728736379899
BA3076	0.004414696667616	0.0348024068954301
BA3008	0.0048419253773853	0.005204098227354
BA2923	0.0059812019367701	0.0216295332574402
BA2363	0.0059812019367701	0.017401203447715
BA2860	0.0064084306465394	0.0302488209464953
BA3447	0.0065508402164625	0.0087819157586599
BA2348	0.0066932497863856	0.017401203447715
BA2731	0.0068356593563087	0.0152870385428524
BA2787	0.007262888066078	0.0400065051227841
BA2575	0.0074052976360011	0.0294356805984712
BA2269	0.0074052976360011	0.0413075296796227
BA2415	0.0078325263457704	0.0365913156610831
BA2104	0.0078325263457704	0.0203285087006017
BA2903	0.0078325263457704	0.0364286875914782
BA2956	0.0082597550555397	0.0196779964221824
BA2496	0.0082597550555397	0.0271588876240039
BA3049	0.0082597550555397	0.0443974630021141
BA2701	0.0084021646254628	0.0177264595869247
BA3374	0.0084021646254628	0.0305740770857049
BA2709	0.0084021646254628	0.0203285087006017
BA2304	0.0085445741953859	0.0250447227191413
BA2134	0.008686983765309	0.0255326069279557
BA2139	0.0089718029051552	0.031387217433729
BA2455	0.0091142124750783	0.0213042771182306
BA2901	0.0091142124750783	0.0284599121808424
BA2201	0.0092566220450014	0.0304114490161001
BA2122	0.0093990316149245	0.0398438770531793
BA2737	0.0093990316149245	0.0258578630671653
BA2660	0.0093990316149245	0.0295983086680761
BA3430	0.0093990316149245	0.0300861928768905
BA2681	0.0093990316149245	0.0361034314522686
BA2350	0.0095414411848476	0.0234184420230931
BA2561	0.0098262603246938	0.017401203447715
BA2814	0.0098262603246938	0.0263457472759798
BA2325	0.0098262603246938	0.023581070092698
BA2087	0.0099686698946169	0.0258578630671653
BA2110	0.0099686698946169	0.0291104244592616
BA2921	0.01011107946454	0.0221174174662546
BA2481	0.01011107946454	0.0196779964221824
BA3421	0.0102534890344631	0.0271588876240039
BA3029	0.0105383081743093	0.0222800455358594
BA3043	0.0105383081743093	0.0354529191738494
BA3211	0.0105383081743093	0.0483005366726296
BA2772	0.0106807177442324	0.0286225402504472
BA2497	0.0106807177442324	0.0294356805984712
BA2316	0.0108231273141555	0.0307367051553098
BA3116	0.0108231273141555	0.031387217433729
BA2079	0.0108231273141555	0.0591966173361522
BA3235	0.0108231273141555	0.040169133192389
BA2239	0.0108231273141555	0.033176126199382
BA2540	0.0109655368840786	0.0273215156936087
BA3178	0.0109655368840786	0.026183119206375
BA2023	0.0109655368840786	0.0211416490486257
BA2733	0.0109655368840786	0.0247194665799316
BA2828	0.0109655368840786	0.026996259554399
BA2260	0.0111079464540017	0.0242315823711172
BA2072	0.0111079464540017	0.0289477963896568
BA2050	0.0111079464540017	0.0213042771182306
BA3289	0.0111079464540017	0.0417954138884371
BA2620	0.0111079464540017	0.0512278419255163
BA2412	0.0111079464540017	0.0351276630346397
BA2804	0.0112503560239248	0.0258578630671653
BA2928	0.0112503560239248	0.0346397788258253
BA3126	0.0112503560239248	0.0164254350300861
BA2792	0.0112503560239248	0.0320377297121483
BA2778	0.0112503560239248	0.0304114490161001
BA3438	0.0112503560239248	0.057570336640104
BA2564	0.0112503560239248	0.0312245893641242
BA2871	0.0113927655938479	0.0450479752805334
BA2055	0.0113927655938479	0.0203285087006017
BA2993	0.0113927655938479	0.0204911367702065
BA2418	0.0113927655938479	0.0178890876565295
BA2724	0.0116775847336941	0.0213042771182306
BA2276	0.0116775847336941	0.033176126199382
BA2515	0.0116775847336941	0.0297609367376809
BA2524	0.0118199943036172	0.0299235648072857
BA2098	0.0118199943036172	0.0201658806309969
BA2697	0.0118199943036172	0.0325256139209627
BA2935	0.0119624038735403	0.0278093999024231
BA2344	0.0119624038735403	0.033176126199382
BA2492	0.0119624038735403	0.0535046348999837
BA2109	0.0121048134434634	0.0491136770206537
BA2747	0.0121048134434634	0.0226053016750691
BA2813	0.0122472230133865	0.0227679297446739
BA2248	0.0122472230133865	0.0187022280045535
BA2953	0.0122472230133865	0.0172385753781102
BA2261	0.0123896325833095	0.0413075296796227
BA3073	0.0123896325833095	0.0258578630671653
BA2329	0.0123896325833095	0.0302488209464953
BA2712	0.0123896325833095	0.021792161327045
BA3181	0.0123896325833095	0.0169133192389006
BA2915	0.0123896325833095	0.012197105220361
BA2469	0.0125320421532326	0.0630996910066677
BA2502	0.0125320421532326	0.0494389331598633
BA2880	0.0125320421532326	0.0456984875589526
BA2463	0.0125320421532326	0.0388681086355504
BA2347	0.0126744517231557	0.0538298910391933
BA3431	0.0126744517231557	0.0494389331598633
BA2593	0.0126744517231557	0.0188648560741584
BA2651	0.0126744517231557	0.0372418279395023
BA2939	0.0126744517231557	0.0203285087006017
BA2426	0.0126744517231557	0.0305740770857049
BA2054	0.0126744517231557	0.0422832980972515
BA2409	0.0128168612930788	0.0452106033501382
BA2858	0.0128168612930788	0.0351276630346397
BA2546	0.0128168612930788	0.0403317612619938
BA2726	0.0129592708630019	0.0265083753455846
BA2962	0.0129592708630019	0.0390307367051553
BA2148	0.013101680432925	0.0273215156936087
BA2756	0.013101680432925	0.0325256139209627
BA2812	0.013101680432925	0.0219547893966498
BA2053	0.013101680432925	0.0393559928443649
BA3451	0.013101680432925	0.0456984875589526
BA3399	0.013101680432925	0.0395186209139697
BA2909	0.013101680432925	0.033989266547406
BA2510	0.013101680432925	0.0177264595869247
BA2096	0.013101680432925	0.024394210440722
BA2594	0.013101680432925	0.0404943893315986
BA2682	0.0132440900028481	0.0180517157261343
BA2836	0.0132440900028481	0.0172385753781102
BA2505	0.0132440900028481	0.0211416490486257
BA2937	0.0132440900028481	0.0378923402179216
BA3006	0.0132440900028481	0.0245568385103268
BA3191	0.0132440900028481	0.0465116279069767
BA2902	0.0132440900028481	0.0226053016750691
BA2981	0.0132440900028481	0.0526914945519596
BA2172	0.0133864995727712	0.0336640104081964
BA3347	0.0133864995727712	0.0297609367376809
BA2842	0.0133864995727712	0.0458611156285574
BA2619	0.0133864995727712	0.0577329647097088
BA2597	0.0133864995727712	0.0323629858513579
BA2220	0.0135289091426943	0.0416327858188323
BA2656	0.0135289091426943	0.0161001788908765
BA2765	0.0135289091426943	0.0668401366075784
BA3352	0.0135289091426943	0.0318751016425435
BA2031	0.0135289091426943	0.0066677508537973
BA2861	0.0135289091426943	0.0344771507562205
BA2235	0.0136713187126174	0.0476500243942104
BA2541	0.0136713187126174	0.0356155472434542
BA2100	0.0136713187126174	0.0308993332249146
BA3251	0.0136713187126174	0.0242315823711172
BA2539	0.0136713187126174	0.061961294519434
BA3217	0.0136713187126174	0.0162628069604813
BA3326	0.0138137282825405	0.0247194665799316
BA2951	0.0138137282825405	0.0349650349650349
BA3390	0.0138137282825405	0.0260204911367702
BA2801	0.0138137282825405	0.035778175313059
BA2221	0.0138137282825405	0.0297609367376809
BA2081	0.0139561378524636	0.028785168320052
BA2168	0.0139561378524636	0.0139860139860139
BA2523	0.0139561378524636	0.0346397788258253
BA2499	0.0139561378524636	0.0154496666124573
BA3051	0.0139561378524636	0.0310619612945194
BA2376	0.0139561378524636	0.0434216945844852
BA2742	0.0140985474223867	0.0562693120832655
BA3169	0.0140985474223867	0.047162140185396
BA2806	0.0140985474223867	0.0255326069279557
BA2670	0.0140985474223867	0.0652138559115303
BA3013	0.0142409569923098	0.033176126199382
BA2520	0.0142409569923098	0.0138233859164091
BA3388	0.0142409569923098	0.0398438770531793
BA2720	0.0142409569923098	0.0416327858188323
BA2659	0.0142409569923098	0.0583834769881281
BA2872	0.0142409569923098	0.0548056594568222
BA2482	0.0142409569923098	0.0456984875589526
BA2385	0.0143833665622329	0.0598471296145714
BA2387	0.0143833665622329	0.0460237436981623
BA2474	0.0143833665622329	0.0320377297121483
BA3023	0.0143833665622329	0.0460237436981623
BA3380	0.0143833665622329	0.0260204911367702
BA3395	0.0143833665622329	0.0422832980972515
BA2595	0.014525776132156	0.0308993332249146
BA2751	0.014525776132156	0.0460237436981623
BA3070	0.014525776132156	0.0494389331598633
BA3025	0.0146681857020791	0.0375670840787119
BA2746	0.0146681857020791	0.0359408033826638
BA2272	0.0146681857020791	0.0509025857863067
BA2636	0.0146681857020791	0.0352902911042445
BA2334	0.0146681857020791	0.0221174174662546
BA2224	0.0146681857020791	0.0406570174012034
BA2399	0.0148105952720022	0.0307367051553098
BA2405	0.0148105952720022	0.0169133192389006
BA3306	0.0148105952720022	0.0359408033826638
BA2634	0.0148105952720022	0.0193527402829728
BA2032	0.0149530048419253	0.0380549682875264
BA2309	0.0149530048419253	0.0398438770531793
BA2722	0.0149530048419253	0.0559440559440559
BA3075	0.0149530048419253	0.0292730525288664
BA3118	0.0149530048419253	0.033989266547406
BA2489	0.0149530048419253	0.0196779964221824
BA2791	0.0149530048419253	0.0404943893315986
BA2311	0.0150954144118484	0.0343145226866157
BA2994	0.0150954144118484	0.0274841437632135
BA2893	0.0150954144118484	0.0300861928768905
BA2676	0.0150954144118484	0.040169133192389
BA3367	0.0150954144118484	0.0439095787932997
BA2970	0.0150954144118484	0.0300861928768905
BA3163	0.0150954144118484	0.0351276630346397
BA2446	0.0152378239817715	0.0367539437306879
BA3203	0.0152378239817715	0.0289477963896568
BA2044	0.0152378239817715	0.0426085542364612
BA2714	0.0152378239817715	0.0509025857863067
BA2695	0.0152378239817715	0.042771182306066
BA2782	0.0152378239817715	0.0487884208814441
BA2198	0.0153802335516946	0.0556187998048463
BA2882	0.0153802335516946	0.0364286875914782
BA2339	0.0153802335516946	0.0391933647747601
BA2420	0.0153802335516946	0.0424459261668564
BA3167	0.0153802335516946	0.0469995121157911
BA2675	0.0155226431216177	0.0473247682550008
BA2406	0.0155226431216177	0.0312245893641242
BA2003	0.0155226431216177	0.0190274841437632
BA2421	0.0155226431216177	0.0609855261018051
BA2667	0.0155226431216177	0.0463489998373719
BA2218	0.0155226431216177	0.0292730525288664
BA3084	0.0156650526915408	0.0113839648723369
BA3175	0.0156650526915408	0.0377297121483168
BA2830	0.0156650526915408	0.0274841437632135
BA2068	0.0156650526915408	0.0367539437306879
BA3237	0.0156650526915408	0.0476500243942104
BA2000	0.0156650526915408	0.045373231419743
BA2195	0.0156650526915408	0.0369165718002927
BA2865	0.0158074622614639	0.0377297121483168
BA3384	0.0158074622614639	0.0502520735078874
BA2910	0.015949871831387	0.0489510489510489
BA3130	0.015949871831387	0.0317124735729386
BA3375	0.015949871831387	0.0354529191738494
BA2485	0.015949871831387	0.0278093999024231
BA2025	0.015949871831387	0.0416327858188323
BA2236	0.015949871831387	0.0422832980972515
BA2891	0.015949871831387	0.038380224426736
BA2427	0.0160922814013101	0.0248820946495365
BA2856	0.0160922814013101	0.0500894454382826
BA2011	0.0160922814013101	0.040169133192389
BA2106	0.0160922814013101	0.0279720279720279
BA2769	0.0160922814013101	0.0305740770857049
BA2735	0.0160922814013101	0.0326882419905675
BA2423	0.0162346909712332	0.023581070092698
BA2762	0.0162346909712332	0.0292730525288664
BA2244	0.0162346909712332	0.0578955927793137
BA2303	0.0162346909712332	0.0432590665148804
BA2662	0.0162346909712332	0.0447227191413237
BA2691	0.0162346909712332	0.0426085542364612
BA3325	0.0162346909712332	0.0338266384778012
BA3299	0.0162346909712332	0.0364286875914782
BA2808	0.0162346909712332	0.0282972841112375
BA3219	0.0162346909712332	0.0530167506911693
BA2155	0.0163771005411563	0.0278093999024231
BA2631	0.0165195101110794	0.0429338103756708
BA2924	0.0165195101110794	0.0403317612619938
BA3410	0.0165195101110794	0.0391933647747601
BA3059	0.0165195101110794	0.0417954138884371
BA2855	0.0165195101110794	0.0587087331273377
BA2256	0.0166619196810025	0.0286225402504472
BA2282	0.0166619196810025	0.0426085542364612
BA2600	0.0166619196810025	0.0292730525288664
BA3232	0.0166619196810025	0.0544804033176126
BA2360	0.0166619196810025	0.0411449016100178
BA2932	0.0166619196810025	0.0476500243942104
BA2820	0.0166619196810025	0.0510652138559115
BA2511	0.0166619196810025	0.0175638315173198
BA2621	0.0166619196810025	0.0320377297121483
BA2603	0.0166619196810025	0.0548056594568222
BA2885	0.0168043292509256	0.0492763050902585
BA3011	0.0168043292509256	0.0504147015774922
BA2094	0.0168043292509256	0.0351276630346397
BA3077	0.0168043292509256	0.0644007155635062
BA3098	0.0169467388208487	0.0564319401528703
BA3197	0.0169467388208487	0.0391933647747601
BA2844	0.0169467388208487	0.0268336314847942
BA2837	0.0169467388208487	0.0370791998698975
BA2677	0.0170891483907718	0.0322003577817531
BA3010	0.0170891483907718	0.0125223613595706
BA3334	0.0170891483907718	0.0474873963246056
BA2069	0.0170891483907718	0.0377297121483168
BA3261	0.0172315579606949	0.0489510489510489
BA2162	0.0172315579606949	0.0489510489510489
BA2906	0.0172315579606949	0.0526914945519596
BA3255	0.0172315579606949	0.0442348349325093
BA3027	0.0172315579606949	0.0271588876240039
BA2764	0.0172315579606949	0.0564319401528703
BA3103	0.0172315579606949	0.0596845015449666
BA3453	0.017373967530618	0.04358432265409
BA2663	0.017373967530618	0.0411449016100178
BA2760	0.017373967530618	0.0551309155960318
BA2559	0.017373967530618	0.0626118067978533
BA2095	0.017373967530618	0.0396812489835745
BA2080	0.017373967530618	0.0250447227191413
BA2040	0.017373967530618	0.0422832980972515
BA3305	0.0175163771005411	0.0481379086030248
BA3042	0.0175163771005411	0.0378923402179216
BA2657	0.0175163771005411	0.0463489998373719
BA2811	0.0175163771005411	0.0388681086355504
BA2472	0.0175163771005411	0.0458611156285574
BA2143	0.0176587866704642	0.0361034314522686
BA2868	0.0176587866704642	0.035778175313059
BA3225	0.0176587866704642	0.0518783542039356
BA3207	0.0178011962403873	0.0297609367376809
BA3128	0.0178011962403873	0.0365913156610831
BA2926	0.0178011962403873	0.0452106033501382
BA2887	0.0178011962403873	0.047162140185396
BA2082	0.0178011962403873	0.0456984875589526
BA3146	0.0178011962403873	0.0522036103431452
BA2644	0.0178011962403873	0.0502520735078874
BA2786	0.0178011962403873	0.0307367051553098
BA2488	0.0178011962403873	0.0590339892665474
BA2306	0.0178011962403873	0.0469995121157911
BA2286	0.0179436058103104	0.0536672629695885
BA3385	0.0179436058103104	0.0596845015449666
BA3405	0.0179436058103104	0.0551309155960318
BA2618	0.0180860153802335	0.0248820946495365
BA3286	0.0180860153802335	0.0570824524312896
