	SF3B1	TP53
BA2000	5.868488939678021	8.06307340091042
BA2003	2.198908352987511	2.2260197873263383
BA2004	4.138880806726062	7.673631869747613
BA2006	2.325123064804804	7.428197079696779
BA2011	0.1380198320917367	1.1963063819805329
BA2019	2.591253168618399	6.224170045462047
BA2020	3.566717303735739	21.520381567447888
BA2022	1.6333312272570373	9.45684986281421
BA2023	0.695618182813505	6.434672541888756
BA2024	2.2570122608614995	6.510640280236593
BA2025	1.0662814523867092	10.394921412662669
BA2031	4.244904914836965	8.495527625696191
BA2032	0.544077751470832	2.499893151699212
BA2033	0.5207126749297848	1.7986397277922732
BA2034	3.739892901838597	10.402330525568503
BA2035	6.2327003775731	5.694807242052163
BA2036	9.325854998547795	7.951478653704009
BA2037	5.232376171077262	13.456446138821162
BA2041	0.8686250591145965	4.012876279461654
BA2044	2.7103441419906	12.997143664324703
BA2046	0.0966780257929719	2.618085774132732
BA2047	2.5434799755482262	6.872806555198192
BA2050	1.5773960837625316	5.023659216923838
BA2051	1.9603346228298677	0.9779779714778264
BA2052	2.2125302187734275	4.334996906915623
BA2053	0.5596398153343644	2.357057989901253
BA2054	2.902457441292173	3.190998846688494
BA2055	1.3580618091575545	8.735408391437288
BA2063	1.0228629180029227	2.152309015331881
BA2065	3.3052441831997457	9.459880976324264
BA2066	1.1212745563173925	20.073948076003976
BA2068	1.42080896899582	3.486147991478991
BA2069	1.6861525559554815	15.409996932172731
BA2072	0.7505739552112843	6.954497290282092
BA2079	0.6569010874044472	2.0472781137670544
BA2080	0.7577356790613439	2.4647671501971486
BA2081	1.987437057210764	9.149696405407012
BA2082	0.0575538570088242	1.7753601682942917
BA2087	1.0741895787999471	4.855407453197315
BA2088	1.1964608794427185	2.4632406685354358
BA2089	2.2429851844755566	9.676104817049987
BA2093	2.504220728960906	2.2386160646417284
BA2094	4.874152863123288	12.051290934790956
BA2095	2.000770656654821	9.865156313761132
BA2096	1.4035218689792446	6.77397549750367
BA2097	5.529201492957189	6.33159715116314
BA2098	3.7885589952267344	22.683107122235867
BA2100	0.3885650929638804	0.4942224100471776
BA2101	1.4843159585840475	3.382179169574317
BA2104	1.4249106856380802	4.151746644592918
BA2106	2.635120076761539	3.0315719050191947
BA2109	0.1013629278870352	1.2120564008482917
BA2110	1.195629336654395	2.3221181476454724
BA2113	1.3489537058579335	11.35363658872494
BA2116	0.7321046849173004	0.5147534372218869
BA2121	0.9023855229683968	10.948348696573852
BA2122	0.6417203906201293	1.4582446731011915
BA2123	3.840240130713588	7.1946210352410045
BA2124	5.547385135207057	13.386270032709085
BA2125	3.133815191424848	9.790402798354815
BA2132	2.629895091549692	2.7211224761939943
BA2133	1.889343444020188	0.8131475906953063
BA2134	1.3858377241602684	4.913494345748131
BA2135	1.0282469461893704	3.617560816574061
BA2139	2.3384103077608533	4.057071783339983
BA2143	0.7740416288409281	6.514813997712446
BA2148	0.0754874236072144	0.3308884751012781
BA2153	5.116721417047205	3.840478484261512
BA2155	0.0402624383953675	3.973317728058916
BA2156	2.5846917601475625	11.453174911166562
BA2162	5.054337551568456	3.729057553001509
BA2163	4.424902398189839	13.44292850019923
BA2168	2.459866336385243	3.962430004021511
BA2169	2.2605231584757783	2.463700853323531
BA2171	3.878938050944237	9.666398457499485
BA2172	0.1033096950979363	7.090263077576619
BA2174	4.125021798269824	7.701079162073331
BA2175	1.6714606133319954	0.1872753030153418
BA2184	10.628341810860665	17.996746811177232
BA2195	0.8517477544056531	2.976163189395368
BA2198	9.032062076788913	8.39156345831227
BA2200	5.909373552547744	15.684640945538904
BA2201	0.7405867057165145	4.41294067160597
BA2209	1.939924439760896	1.465524528992165
BA2211	3.478055240024269	12.411770235404097
BA2212	1.9117243822809795	2.4205216520142714
BA2217	1.8505187182282803	11.168413297451291
BA2218	0.084710669215247	1.038135953656088
BA2220	1.6409310910083468	12.09187166983528
BA2221	2.243354454921604	3.7294796059077866
BA2224	2.0797450735301943	3.4475879150133317
BA2226	3.1108793742900542	17.966876274753428
BA2227	4.466729377559415	8.633700414487945
BA2228	1.4107074971754248	3.5815397430923976
BA2229	2.299403410170904	2.330314829985168
BA2233	3.843300609317525	1.7360063685079294
BA2234	4.0845688398028654	7.468947578959061
BA2235	3.773219992974677	9.810041962650772
BA2236	3.873751378073389	8.041259177085172
BA2239	1.4644137048543158	6.382578515078404
BA2240	5.302351818144493	6.585321450190121
BA2242	5.217936721911253	4.786006647623127
BA2244	2.109603304943121	7.660004573789163
BA2245	3.715063303939503	11.92861108727505
BA2248	0.5876281095038024	1.91740617487652
BA2249	3.458310637890213	10.192757805463216
BA2251	12.00484402870346	17.372493996154333
BA2256	2.33433740710835	6.06297834540103
BA2260	1.5779240094218403	4.670202188582755
BA2261	0.0481531079451538	0.6409563579015518
BA2269	0.0224406991260923	0.8857144743382452
BA2271	3.761306094239691	10.088486978018516
BA2272	2.964975913177955	6.287866561641059
BA2273	3.045841981931842	2.283128458890182
BA2275	2.7853284034421044	9.24833161681508
BA2276	3.42152463196887	5.41916237255576
BA2277	6.531068769093444	11.29872493643386
