	ABL1	PMS2
BA2000	0.0146845710165825	0.8205114868647727
BA2003	0.0095313626532083	0.511206245662547
BA2004	0.0112418889689978	0.5443394497424306
BA2006	0.0060003604902667	0.1718834324091908
BA2011	0.0100919250180245	0.4565598570965142
BA2019	0.0196629416005767	0.7521910327632322
BA2020	0.0263392213410237	1.7284648270310838
BA2022	0.0168979812545061	1.0825712442739135
BA2023	0.0098017303532804	0.445401703499271
BA2024	0.0110868781542898	0.8915353118669229
BA2025	0.0185724585436193	0.6923224577773314
BA2031	0.0146377072819033	0.8279210854745712
BA2032	0.0132462148521989	0.5510804318728619
BA2033	0.0081723143475126	0.2865199225235745
BA2034	0.0197494592645998	1.126406809728043
BA2035	0.0183687815428983	0.93783250611184
BA2036	0.0147530641672674	0.4823887346650357
BA2037	0.0234264599855803	0.6574814189556454
BA2041	0.01598774333093	0.4328636154352379
BA2044	0.0127793799567411	0.7566786162701764
BA2046	0.0203460706560922	0.7785242181252341
BA2047	0.0213968997837058	1.0206917911525326
BA2050	0.0107462148521989	0.3695265689212942
BA2051	0.0223882480173035	0.5918041026609739
BA2052	0.013585075702956	0.4557832010576882
BA2053	0.0078983417447728	0.3504934854642079
BA2054	0.0082660418168709	0.5528573884898026
BA2055	0.0044250180245133	0.1356417963848228
BA2063	0.033361571737563	1.185464298006797
BA2065	0.0192790194664744	0.8784865628719378
BA2066	0.0210976928622927	1.466734810201585
BA2068	0.0152397260273972	0.6014862766675596
BA2069	0.0120782263878875	0.8385091386823864
BA2072	0.0101243691420331	0.5736343041424015
BA2079	0.0053911319394376	0.3872945296724606
BA2080	0.0201568132660418	0.476080042662754
BA2081	0.012382840663302	0.4957772469487923
BA2082	0.0226405912040374	0.3310130564242152
BA2087	0.0131452775775054	0.5599077343250529
BA2088	0.016995313626532	0.2998155640131167
BA2089	0.0200973323720259	0.8226309061621938
BA2093	0.0109012256669069	0.7699546087700958
BA2094	0.0125342465753424	1.045837868691803
BA2095	0.0175198269646719	0.86486664784574
BA2096	0.0067429704397981	0.3711748867171734
BA2097	0.0227577505407354	1.505161133148951
BA2098	0.012664023071377	0.2980099062905422
BA2100	0.0066240086517664	0.4213215441822987
BA2101	0.0096467195385724	0.6549722623418025
BA2104	0.0069358327325162	0.4269520062769447
BA2106	0.0121449170872386	0.3729659261958754
BA2109	0.0096160778658976	0.304407862940253
BA2110	0.005677721701514	0.3402031029408774
BA2113	0.0232191780821917	0.9022803832356896
BA2116	0.0132804614275414	0.3523550835636846
BA2121	0.0142231434751261	0.8686225795829875
BA2122	0.0042213410237923	0.3526590734425684
BA2123	0.0203028118240807	0.5854791272653582
BA2124	0.0179434030281182	1.1104392395832805
BA2125	0.0150955299206921	0.715423444748481
BA2132	0.0178821196827685	0.6302660695047921
BA2133	0.0063211968276856	0.2933741428320208
BA2134	0.0074351117519826	0.352297997903974
BA2135	0.0098558038932948	0.3335400575495705
BA2139	0.0064852198990627	0.4952631026140647
BA2143	0.0127180966113914	0.515400001650834
BA2148	0.0149242970439798	0.2304881370571952
BA2153	0.0082390050468637	0.5322095006721335
BA2155	0.012382840663302	0.7056493903579254
BA2156	0.0208399423215573	0.950898086758578
BA2162	0.0132804614275414	0.3212898974066229
BA2163	0.0161968276856524	1.3328273986380714
BA2168	0.0087941600576784	0.4296236686800944
BA2169	0.0112076423936553	0.5525570249317008
BA2171	0.0253118240807498	1.2502611745818262
BA2172	0.0166528478731074	0.6333560209399607
BA2174	0.0147224224945926	0.7204452441314549
BA2175	0.019388968997837	0.5914788523018434
BA2184	0.046326604181687	2.136395467419977
BA2195	0.0100342465753424	0.3918194915821418
BA2198	0.0141474405191059	1.014761139654119
BA2200	0.0183453496755587	1.5600800856836838
BA2201	0.0077883922134102	0.5001021061866299
BA2209	0.0153947368421052	0.6020833937824416
BA2211	0.0313320115356885	1.3333915411603472
BA2212	0.0161824080749819	0.554583841603956
BA2217	0.0262707281903388	1.030409891232849
BA2218	0.0069124008651766	0.3805944743003741
BA2220	0.0089419610670511	0.3253103807797017
BA2221	0.0084661139149242	0.374515599161943
BA2224	0.0088914924297043	0.7540411813099145
BA2226	0.0220944484498918	1.4653537948716244
BA2227	0.0209408795962509	1.069456676352991
BA2228	0.0196377072819033	0.4159973768814986
BA2229	0.0153713049747656	0.9482154101859632
BA2233	0.0236860129776496	0.5506387208485549
BA2234	0.0152505407354001	0.9329180200759826
BA2235	0.0130641672674837	0.854090339421294
BA2236	0.018817591925018	1.0063690567743289
BA2239	0.0091726748377793	0.6505124007888855
BA2240	0.0207876712328767	1.4241830300484042
BA2242	0.0155587599134823	0.98131210725922
BA2244	0.0166348233597692	0.7566815393270196
BA2245	0.0197404470079307	1.0584935214501778
BA2248	0.00905010814708	0.4449902691822697
BA2249	0.012557678442682	0.8920173394868923
BA2251	0.0230894015861571	0.9869318616596934
BA2256	0.0136391492429704	0.5650820632538229
BA2260	0.0076297764960346	0.4137353970298498
BA2261	0.0063482335976928	0.2971380521584849
BA2269	0.006685291997116	0.2835740402030665
BA2271	0.0136319394376351	0.9434787803236844
BA2272	0.01	0.7554833669994342
BA2273	0.0184607065609228	0.5273576175751633
BA2275	0.0184697188175919	0.9987808422818192
BA2276	0.0092519826964671	0.4112695175447068
BA2277	0.0193421052631578	1.2379681296232363
BA2280	0.0273449891852919	1.5545592749197064
BA2281	0.0179271809661139	0.7999002895041359
BA2282	0.0063031723143475	0.8225926283120162
BA2286	0.0208507570295602	0.7335779090166638
BA2288	0.0124134823359769	0.4113537731034107
BA2292	0.0175486661860129	0.5789232477134648
BA2294	0.0140573179524152	0.8157621958174419
BA2296	0.0239365537130497	0.9556333575973418
BA2300	0.0072584715212689	1.4381615680401636
BA2301	0.0100739005046863	0.351093954000909
BA2302	0.0157948810382119	0.3851919430787739
BA2304	0.0063734679163662	0.3620427896550311
BA2306	0.0136121124729632	0.5215654987590905
BA2308	0.0117321557317952	0.2826447744081962
BA2309	0.0130984138428262	0.5432469321275393
BA2311	0.0107876712328767	0.442027373013692
BA2312	0.009127613554434	0.7836616805400372
BA2316	0.0084282624369142	0.5381802052752499
BA2322	0.0178568853640951	0.6675731286101693
BA2325	0.0081506849315068	0.3851960075058876
BA2329	0.0087815428983417	0.5190787860229358
BA2334	0.0099639509733237	0.4766079140687194
BA2339	0.0048882480173035	0.2283922478824477
BA2344	0.0139077144917087	0.758474012899369
BA2347	0.0055064888248017	0.1540940527490426
BA2348	0.0043727469358327	0.097405848734869
BA2350	0.0045818312905551	0.1434542468249743
BA2354	0.0157534246575342	0.8759312648015631
BA2355	0.0216312184571016	0.6039641747426221
BA2357	0.0130569574621485	0.2674971239812856
BA2360	0.0196322999279019	1.0762919093120518
BA2361	0.0122873107426099	0.4486931740020894
BA2363	0.0046250901225666	0.3013111443051452
BA2369	0.0189221341023792	0.5808186736163212
BA2374	0.0208489545782263	1.1854385429778505
BA2375	0.0116131939437635	0.4037044649529528
BA2376	0.0086265320836337	0.8626990211796368
