	SRSF2	SF3B1
BA2392	9.83892848550566	8.6472743085318
BA2611	9.86270964606403	8.66407371953991
BA2506	9.83892848550566	8.70980864868103
BA2430	9.85672905613112	8.70401585675217
BA2448	9.85672905613112	8.69536777456055
BA2730	9.83304132704525	8.68676863894814
BA2845	9.8991027074875	8.53215993801742
BA2326	9.87474271994728	8.58457840504288
BA2341	9.93012293296997	8.5607551950315
BA2612	9.90525526471174	8.58992566833602
BA2973	9.93012293296997	8.57394218930808
BA2390	9.92386690563917	8.58191208164573
BA3218	9.89297540900361	8.58191208164573
BA3105	9.95541459791256	8.70401585675217
BA3402	10.0007468429699	8.69824500910271
BA3276	9.98114720830101	8.67821802831458
BA2409	8.41135949860071	7.98898804212453
BA3037	8.23061160269424	9.39562360946183
BA2496	8.84307877151568	8.43277580504712
BA2172	8.71271331389775	8.51934782702254
BA2865	9.22287720595147	8.81487669872437
BA2923	7.64511152399424	8.16644533071452
BA2751	9.50293364970638	8.91601487826164
BA2480	8.73025810259064	8.67821802831458
BA2286	8.92083445647999	8.69824500910271
BA2922	9.3217592552912	8.73910632748104
BA2452	9.82133532639013	8.40900046313029
BA3379	9.46372381175102	8.44724078411408
BA2887	9.13342062895717	8.81798541280226
BA2712	9.39118419839355	8.73025810259064
BA2068	10.6289390647318	8.7629529869435
BA2236	9.22287720595147	8.6279105840654
BA2104	7.64511152399424	8.3558471237735
BA3124	9.38234175781362	8.99211218550823
BA3395	9.09970659968869	8.42321613548815
BA2921	9.54945587390153	8.93752128537319
BA2449	8.60608533344799	9.01658796485945
BA2003	9.75293118746352	9.14863087419242
BA2360	9.42251934116338	8.84307877151568
BA2802	9.53969913371194	9.38234175781362
BA2235	8.93082572022568	8.69536777456055
BA2858	9.30906602396076	8.31347995218337
BA3038	8.60879594020241	8.23679901175147
BA3006	9.64008823387741	9.04860912314158
BA2245	9.49651930986164	8.77501554362266
BA2667	8.95438322249582	8.6472743085318
BA2239	8.66407371953991	8.33337930026134
BA2782	8.89122942781574	8.42559982560594
BA2649	9.61438474364243	8.40900046313029
BA2488	8.90103696609653	8.52190108216259
BA2861	9.17948259034573	8.59260663428802
BA2909	8.79205235357759	8.37135302575124
BA2429	8.99222936727265	8.96137230818784
BA2653	9.26099325755712	8.40379071339591
BA2134	8.46430959418229	8.42321613548815
BA2947	9.415200229547	8.88329417040296
BA2032	8.73910632748104	9.08494318011795
BA2162	9.18338030789918	8.75995195431454
BA2564	8.9076089453561	8.37870011521958
BA2597	9.50768698561149	9.18123516021677
BA3243	9.04501990946176	8.50664971851981
BA2106	9.17171491689544	9.12210512882866
BA2427	9.16398396797258	8.68391306436784
BA2841	9.67679810675791	9.02011485988608
BA2446	9.47302564786274	8.48407580140491
BA2645	9.12586826213153	9.00605305286098
BA2525	9.18338030789918	9.52036350053221
BA2876	9.19120372633416	9.10341841676742
BA2357	9.26745559419095	8.45209623715645
BA2546	8.86536741111737	8.268195867683
BA2742	8.66689198102969	8.43037965011906
BA2316	8.95099667095566	8.30255392241405
BA2421	8.268195867683	8.57925061313916
BA2087	8.81980741439546	8.54953218061743
BA2910	8.89776108628452	8.86216405394702
BA2148	8.72438748273975	8.32893113987774
BA2063	9.26745559419095	9.23491479941431
BA2329	8.8717935877338	8.04242466385173
BA3178	8.87501645157825	8.67537853618004
BA2072	9.13342062895717	8.39493145233583
BA3029	9.45447558148811	9.19512951707567
BA2733	9.22687989289351	8.8879736022598
BA2995	9.52517542791568	9.4045391740165
BA2069	9.47769688223901	8.19411260375688
BA2100	8.672544374331	8.3695120975799
BA2681	9.19512951707567	8.75098362594822
