	NRAS	BCOR
BA2000	5.043675734302264	0.0347677842970251
BA2003	10.560686431397826	0.0171595779870121
BA2004	4.441235364145998	0.037920978392253
BA2006	6.575705504189619	0.0023649980291683
BA2011	6.488344675152857	0.0545436322464494
BA2019	7.803800858255831	0.0936744772560194
BA2020	10.709729421914986	0.0911532425463582
BA2022	8.019621620352721	0.0308737068466182
BA2023	4.375188854380848	0.0139315669678408
BA2024	5.175163513879563	0.0422907785477338
BA2025	6.074731218320892	0.0736877940309664
BA2031	4.219114009776729	0.0466605787032146
BA2032	8.583705251658827	0.084601912034605
BA2033	21.634045078260016	0.1197568500062294
BA2034	9.198614997934929	0.0628754507230147
BA2035	6.8581726405028185	0.0387365420610455
BA2036	5.895456678640012	0.0339658361244341
BA2037	8.474187163433587	0.0527020794642252
BA2041	10.108074498986811	0.048488652599567
BA2044	4.7535644907408665	0.0300243093528167
BA2046	9.160481901497343	0.034740553304622
BA2047	7.613271283589593	0.0391714182775149
BA2050	4.103686476329206	0.0131772047267902
BA2051	20.82227021965971	0.041604357177361
BA2052	8.803722359895055	0.1265800806110234
BA2053	9.031640140409914	0.0279786607378997
BA2054	3.633549237992189	0.0291135738209435
BA2055	1.6282099596913011	0.0041387465510445
BA2063	5.453141679979542	0.0493993881314402
BA2065	7.008120709963036	0.03705796540225
BA2066	10.10974543956892	0.0708470732967242
BA2068	6.301531117480288	0.024200110089711
BA2069	5.418720571825874	0.0411967119532945
BA2072	3.975963751875416	0.0188314152028718
BA2079	3.637880412457246	0.01383639510476
BA2080	10.09782677520544	0.0417879614605866
BA2081	4.296904604494646	0.0327902131631156
BA2082	11.946301068824308	0.0342648305995481
BA2087	9.334338474733304	0.0360930411062303
BA2088	13.1502236881413	0.0362220467943202
BA2089	13.279025182733749	0.0788933761840472
BA2093	3.900351353768402	0.0307445645481986
BA2094	9.744641884173047	0.102502373376796
BA2095	6.152794819771235	0.0200478846527948
BA2096	6.715911213656165	0.0162218846833955
BA2097	13.917958079878336	0.0438062424727708
BA2098	10.387971166225924	0.0221275037030506
BA2100	4.6475452234853565	0.0199187423543752
BA2101	6.084070489319454	0.0182401656955797
BA2104	5.135247990444217	0.019803215552157
BA2106	10.134436245830772	0.0210400399412174
BA2109	7.168784406456207	0.0242613115174529
BA2110	3.345155971053532	0.0148014560111095
BA2113	7.355297822797085	0.0628687112800788
BA2116	11.5696457912037	0.0298746755049299
BA2121	8.496779176483521	0.0252331118667382
BA2122	4.026122374469674	0.0250156737585035
BA2123	14.704105196105951	0.0717576722182676
BA2124	5.235737433920034	0.0418762572704017
BA2125	6.58007623618558	0.0477954917862583
BA2132	7.287418557176935	0.0529671035040003
BA2133	5.569103779560801	0.0097724654776589
BA2134	3.1951470189520976	0.0133879033920891
BA2135	10.07866878646148	0.039708205800001
BA2139	3.987310125081623	0.0225827348586574
BA2143	11.295737558973652	0.0242749270136544
BA2148	7.237628309278444	0.0236700620101608
BA2153	7.725737990865466	0.0325183130700749
BA2155	4.1905827771309205	0.0326881652467692
BA2156	4.879492323703967	0.0405306455220591
BA2162	4.131192099621418	0.0328648934767292
BA2163	7.40084545361058	0.0425421870913074
BA2168	5.304324475960764	0.0198371859874959
BA2169	8.809693564752845	0.0399257805185655
BA2171	7.35983570213583	0.0454984346277678
BA2172	7.799454036850744	0.0809050543636253
BA2174	5.846511858146845	0.0364803313911594
BA2175	12.59926604192168	0.0530621387567512
BA2184	14.021418300866742	0.0830524776742291
BA2195	8.728201249493587	0.0278971043710205
BA2198	6.621456516309619	0.0259398881762484
BA2200	7.825270796632329	0.0617201827008335
BA2201	3.210905042782101	0.023160368869748
