	NPM1	GATA2
BA2134	8.30037965468589	5.66361114365051
BA2947	9.91920628125652	8.5971359914493
BA2032	9.3735473533766	9.91143332054624
BA2162	8.85577669200061	9.31751716888528
BA2564	8.74800571415782	4.70523791699629
BA2597	8.13547459853116	9.36650856672567
BA3243	8.84307877151568	9.58909503454725
BA2106	9.54945587390153	7.01200936090574
BA2427	8.91090509269608	4.33903266779967
BA2841	9.13342062895717	5.94099029232779
BA2446	8.33784249776874	2.31812232252383
BA2645	8.42798766039968	9.64008823387741
BA2525	8.34456564828853	5.24865361107735
BA2876	8.61151153389318	5.79758031043752
BA2357	8.95777690896205	5.50571962151203
BA2546	8.0301567645062	3.0112376490771
BA2742	7.87584460904621	3.66797907398221
BA2316	8.22855584188171	3.22495437973645
BA2421	8.28526081080175	2.45065051871032
BA2087	9.10147698629206	2.55585093682386
BA2910	9.22287720595147	10.2053241381792
BA2148	7.95609226155088	8.16059641320183
BA2063	8.34232080533324	3.02935460711532
BA2329	8.3972661940189	7.2245944685398
BA3178	8.76897254396233	-0.106092733460167
BA2072	8.41135949860071	5.14543140849029
BA3029	8.78717245605116	8.92748837970555
BA2733	8.96458579397726	5.32125964978542
BA2995	8.45209623715645	1.87147539953468
BA2069	8.46185834013681	1.06756511195893
BA2100	8.70690950167434	6.69027313849037
BA2681	9.52517542791568	7.58759859001841
BA2248	9.19906475607931	6.88553914900191
BA2832	8.18813169577028	8.69249597847146
BA2308	9.48708042008341	7.87732006412967
BA2413	9.4045391740165	7.29077391107671
BA2701	8.7361512573159	5.76256437697443
BA2634	8.22240857358487	6.61275930528802
BA2677	8.79635277497105	7.25790347094091
BA2937	8.25344779136567	8.40664550150058
BA2600	9.2429894144776	6.59949061589029
BA2019	8.12986534537924	9.64527993925034
BA2412	6.82309107200081	6.57041549701901
BA2334	8.94087956106744	7.64511152399424
BA2050	9.34744684153524	7.30591810989836
BA3230	8.78108213178214	7.22951525991334
BA2953	9.69817061599593	5.74281190993701
BA2481	8.58191208164573	6.26652649814407
BA2731	8.46185834013681	4.76216052725516
BA2294	9.25517667754352	7.90950778255697
BA2418	9.1410080593907	7.77713213848426
BA2816	9.14863087419242	1.63244056607344
BA2656	8.93082572022568	8.15865294170913
BA2814	7.63755645913212	5.88643954120856
BA2631	9.3561004357089	8.0760787079227
BA2023	8.3311533449718	-0.126036792393191
BA2375	8.84941498844258	7.68273154484305
BA2485	8.78899864293157	9.30657970599922
BA2455	8.3156761580726	4.2507446186302
BA2025	8.56338303703764	2.32043052645812
BA2636	9.10713869224013	9.22287720595147
BA2325	7.29687122589928	4.5269559134182
BA2169	8.51934782702254	7.0623479587219
BA2156	9.48238177689826	8.22650342209935
BA2511	8.46430959418229	7.6112304020112
BA2939	9.41350421836705	8.22855584188171
BA2168	9.20300948929151	7.27636680044251
BA2505	9.09230819306279	7.27462693268534
BA2860	8.97485330936457	8.5529001392332
BA2707	9.12210512882866	6.27202284935672
BA2871	8.66689198102969	3.03505636097059
BA2655	9.36916799017741	5.94796425199258
BA2227	9.42251934116338	7.50002964161751
BA2125	7.76334677298606	6.27380663380772
BA2523	9.33455230246716	6.52219766315803
BA2603	8.99558616821901	7.93187727167438
BA2808	8.70112769787832	8.47415784691615
BA2282	7.26503778677364	2.39603844730184
BA2482	9.04501990946176	8.45696872743274
BA2812	8.81487669872437	2.68530372380301
BA2822	7.14998539597838	6.10829331712153
BA2594	8.42798766039968	4.34871319583887
BA2747	9.35176787188011	8.01284698319857
BA2561	9.09970659968869	0.106733079748621
BA2567	7.54085820588458	3.87651804611081
BA2906	8.80250309714617	2.27825644198579
BA2956	8.11104544817006	3.23073632692797
BA2474	9.08127310626888	8.0044307958278
BA2737	8.02685700006077	0.583388534420479
BA2110	7.71347289714959	4.92630002359127
BA2992	9.18338030789918	3.78491798790536
BA2220	9.00955709168753	9.160132157513
BA2772	9.42251934116338	8.79942491234482
BA2935	8.55029123602985	6.05993013058661
BA2260	8.75098362594822	4.49346190383121
BA2676	8.7361512573159	5.78078023650693
BA2948	7.55189787670547	8.35358316301659
BA2524	9.2592593958878	4.83023871763674
BA2811	8.83676787171411	8.47663077360064
BA2540	8.86857724833819	4.68836796933157
BA2928	8.7214605815193	4.17753260382741
BA2302	9.38234175781362	7.19225834495813
BA2595	9.09230819306279	5.88961440143981
BA2792	8.66689198102969	7.17761745050204
BA2651	9.17948259034573	6.92432887364054
BA2619	7.88191833711993	9.4917929010063
BA3013	9.54457000922792	5.87965665517008
BA2405	9.64008823387741	7.40510623344956
BA2735	9.08494318011795	8.43517613550052
BA2856	7.56206988956539	8.63894476137773
BA2377	8.74389874448259	2.36843137715683
BA2499	9.66095938066438	7.8503248353151
BA2463	8.4179334910987	2.17929512084737
BA3023	9.17948259034573	7.81686981561798
BA2095	9.13342062895717	8.05288390011611
BA2901	8.51425498508966	6.08192723673296
BA2275	6.9401836518602	6.35757561884313
BA2387	8.68106286594684	7.77444024847
BA2962	9.73079295605488	6.61649602743193
BA2195	8.69249597847146	8.31347995218337
BA2688	8.77262692606308	7.560948520145
BA2787	6.35352478320916	3.12103519528401
BA2420	9.09970659968869	6.08362235286883
BA2756	9.56420444046175	5.8081471591439
BA2122	7.70840071464408	4.82431105237604
BA2053	9.16784487350203	7.02841397070837
BA2080	8.92748837970555	5.89999571306857
BA2081	9.00255657247606	5.76181699229763
BA2354	9.30238239860393	5.88722354181861
BA3273	7.24904224136933	1.71633530219167
BA2893	9.50601427714714	8.07971165578759
BA2044	8.43758065182973	4.90950444103544
BA2489	9.15628939970288	5.30096102579671
BA2309	9.05942450247106	8.01457218763256
BA2720	7.7605970351598	7.5552619353094
BA2908	9.83621907237271	8.34151708484093
BA2054	8.54508752883457	5.69876878834828
BA2872	8.00271116464237	6.13505858445244
BA2526	9.09600320401444	8.34681429629083
BA2041	9.02011485988608	7.08598210070988
BA2464	9.07395764638915	7.31579076602089
BA2902	8.82734862624236	7.50436087643108
BA2541	9.18338030789918	7.65276972214058
BA2143	7.22867709025789	6.08318959151969
BA2094	7.79956921933088	-1.9002011047749
BA2769	8.904319577833	7.3370513303313
BA2843	8.88148184246882	5.51382815263466
BA2592	9.57909169555586	5.87139334737162
BA2497	8.09067732991193	-0.200351841889843
BA2718	8.61151153389318	9.71984209806913
BA2575	7.3614587281193	5.35965803846691
BA2096	9.4000752436972	6.33465501524617
BA2593	10.3090915070605	6.50598160592548
BA2791	9.14481502348153	7.2245944685398
BA2620	8.61695773628636	6.6396645832219
BA2629	9.4000752436972	6.5105672693692
BA2870	9.26745559419095	1.06894896681523
BA2423	7.73861349646242	3.54497964521433
BA2682	9.14863087419242	7.53511002571526
BA2276	8.91090509269608	6.88553914900191
BA2348	7.52987979374564	4.47099076274074
BA2709	8.81177412986094	4.71407158331364
BA2789	9.36480042798147	8.85577669200061
BA2694	8.92748837970555	7.01613705435711
BA2538	8.40429460371975	6.04021038079235
BA2583	9.44070228005406	5.53534040119425
BA2415	7.67493502317828	3.41140290286834
BA2722	7.0623479587219	7.49794707202402
BA2806	9.01306871894599	7.96744532914178
BA2221	7.99413751864958	2.52007957747602
BA3025	9.2389471182711	9.53969913371194
BA2514	8.62153057515291	5.72754939375197
BA2520	9.08127310626888	2.91242066204713
BA2441	7.40108920011618	7.28268371584317
BA2153	9.57909169555586	5.7983454299058
BA2479	8.22832881693221	4.7941665840707
BA2281	9.01658796485945	7.82261702082019
BA2657	8.33560901482561	9.2429894144776
BA2932	9.12210512882866	7.63041516939983
BA2123	9.57909169555586	7.50105244518025
BA2844	9.22687989289351	4.95919380929034
BA2660	9.06304565250042	7.34370807957505
BA2836	8.74800571415782	6.93954050250455
BA3027	7.63041516939983	4.29639716866503
BA2714	8.89122942781574	7.06807720975175
BA2139	6.80299244523417	1.76917277909169
BA2251	8.32671267592458	10.3660086756332
BA2952	8.16254296358662	6.43493754543007
BA2440	8.39493145233583	5.98220791058853
BA2036	8.75695672842528	9.97467175015227
BA2828	8.09804401257278	7.70840071464408
BA2292	8.98173476670244	7.06020993945392
BA2410	9.34313727945847	7.93187727167438
BA2051	7.46363654414575	4.75937775414095
BA2532	7.45571345371651	7.83554388846121
BA2986	8.95099667095566	5.50315192004078
BA2494	8.39027400222105	9.8991027074875
BA2515	8.66407371953991	4.95086713745968
BA2748	9.33883912107995	7.63278489020753
BA2970	8.8589671548512	5.95193817538216
BA2622	8.65006116973985	4.99389750199927
BA2839	8.72438748273975	6.50494854074967
BA2052	9.10713869224013	4.39995076697618
BA3011	8.50277388292747	7.33163994376767
BA2868	9.00255657247606	9.1872873383188
BA2510	9.01658796485945	0.277265117709438
BA2065	9.20696376307392	8.15477520582082
BA2691	8.11104544817006	2.91665615356007
BA2374	8.21222936163239	6.50348265468803
BA2804	8.8879736022598	5.14161615451425
BA2670	7.93824432889201	5.72023465218825
BA2675	9.08494318011795	8.26396477173174
BA2589	8.38563253120242	9.2592593958878
BA2031	8.87824586229709	4.02452335153635
BA2198	9.39118419839355	6.44613094518311
BA2066	8.28097335559112	4.44555299237497
BA2344	9.57411368730524	7.58759859001841
BA2459	9.38404554334867	6.76898394569665
BA2229	8.53473617000875	6.60156923670466
BA2559	8.68391306436784	6.88867708372879
BA2093	9.23491479941431	9.38234175781362
BA2000	8.08701091285537	7.13121480456278
BA2425	8.47600328572046	9.81131500696184
BA2905	9.22687989289351	7.50647222464875
BA2304	7.16215175411855	-0.0150693070758923
BA2976	8.65285322774346	6.37878971540536
BA2386	9.09970659968869	9.44987135785787
BA2035	9.33455230246716	9.13342062895717
BA2760	8.29820901257083	5.61668949030342
BA2201	8.89776108628452	6.36792449266188
BA2355	8.59260663428802	5.32233498083344
BA2113	8.50026123971081	6.40170617544637
BA2155	8.99906762077278	10.332335723606
BA2955	8.07971165578759	3.4170840126625
BA2502	8.05457002396872	5.81083073745061
BA2322	8.93082572022568	7.08974258985974
BA2376	6.97993778438247	3.41561286956515
BA2020	9.15245565249128	7.53405377993628
BA2226	8.81487669872437	7.24647814947882
BA2200	9.30065851731011	8.3603866090308
BA2121	8.92748837970555	5.70530146482159
BA2944	9.90525526471174	8.14513423086413
BA2033	7.17761745050204	6.26705656087935
BA2867	8.66126072825912	6.47866220517702
BA2089	7.65513327960109	3.08537081267169
BA2224	8.38331776349613	7.33529770605395
BA2046	9.3217592552912	7.13433489569232
BA2972	9.160132157513	6.63915578339387
BA2978	7.85205086731265	5.22173396238009
BA2829	8.79635277497105	7.55977224878375
BA2851	8.5529001392332	6.59041781660964
BA2587	8.72438748273975	5.15207050393233
BA2461	7.94314055717551	4.04229195612943
BA2695	7.68652733200955	6.21316864027758
BA2623	9.57411368730524	6.63383351459938
BA2024	7.58759859001841	5.51691886633525
BA2426	8.88148184246882	6.73745939965324
BA2271	7.95452812467512	5.03254935299147
BA3004	8.57129520837751	8.19012213724112
BA2579	7.85633367820174	3.94179623964938
BA3010	9.00605305286098	5.94914872700359
BA2662	8.34232080533324	5.1312402648846
BA2674	9.15245565249128	6.6396645832219
BA2280	8.50160207030541	7.74536502725477
BA2512	6.81629782268832	2.27310977570549
BA2658	9.070312190258	3.01238141071871
BA2394	8.21222936163239	10.3745587770136
BA2950	9.49651930986164	6.08318959151969
BA2981	8.63894476137773	5.21743147503023
BA2934	7.22625304922136	3.23073632692797
BA2539	7.8925772722697	4.34458492733121
BA2249	8.63894476137773	7.23036606098158
BA2034	8.94268168369866	7.78401208165605
BA2109	7.61245153291675	5.25385282871793
BA2242	8.12041880838799	8.1981158996604
BA2277	8.68676863894814	7.17358455839536
BA2727	9.83304132704525	8.29820901257083
BA2132	8.672544374331	8.1336646480907
BA2618	8.61151153389318	5.7443340618491
BA2521	8.672544374331	7.6685963483501
BA2846	9.1755941413251	6.97731252665637
BA2885	8.02142525655183	0.499201192837283
BA2639	9.04860912314158	7.23126576681474
BA2775	8.84941498844258	8.75396729152058
BA2402	9.26335235036244	7.41497012248878
BA2097	9.44070228005406	6.65845499115322
BA2786	9.34313727945847	4.91685437213902
BA2399	9.44070228005406	7.90654028957083
BA2850	8.91090509269608	7.30676049708217
BA2174	8.34232080533324	6.39165195051498
BA2004	7.48933909555342	7.10612705087253
BA3001	9.69817061599593	9.11460476788528
BA2311	7.93028682049466	4.44334512113552
BA2483	8.48343527695382	7.94314055717551
BA3040	9.00605305286098	6.93954050250455
BA2837	9.37793858616158	7.37675245327076
BA2724	8.5607551950315	5.71100608100859
BA2911	9.35176787188011	7.95452812467512
BA2256	9.43613726309062	7.39540604135448
BA2821	9.69817061599593	5.09181307158236
BA2233	9.19906475607931	7.00565090016862
BA2744	9.34313727945847	8.99906762077278
BA2880	8.34906675857089	4.91721018578494
BA2621	8.28097335559112	4.85056186804303
BA3002	8.42744390017979	7.08521741719084
BA2501	8.48407580140491	7.1646982323911
BA2993	8.84624370479657	7.77161485169371
BA2301	8.06147774301482	4.78361272995645
BA2852	8.29820901257083	5.70872171926613
BA2133	7.83554388846121	5.82429929461363
BA2866	9.19906475607931	6.19563315556883
BA2212	9.33455230246716	5.48915482766383
BA2685	9.39562360946183	7.281719536851
BA2273	8.83362186336888	7.99573716734119
BA2477	9.29229417829056	7.05292631391108
BA2659	8.45453034732936	6.8446685918264
BA2124	9.49819442110274	7.65513327960109
BA2363	8.84941498844258	7.42090370210596
BA2369	8.79328666582968	6.59569193185131
BA2534	9.0271917203024	9.27156918109996
BA2400	9.46836798648192	7.14383843051354
BA2762	8.96117775713075	7.08227901596389
BA2312	8.79635277497105	7.25176192852259
BA2813	9.54457000922792	7.19643196455649
BA2211	9.17734760232419	9.02190186898869
BA2171	9.17171491689544	7.29431703031285
BA2746	7.89401548128851	4.79767961716109
BA2798	9.67679810675791	7.96422079504262
BA2809	9.1872873383188	6.5550219238791
BA2288	8.55505298542423	4.72003247702049
BA2801	8.32449794408229	6.06971777989566
BA3030	8.66873090783595	5.4066422207313
BA2588	9.44070228005406	8.07245680901417
BA2296	9.28397254525379	6.47426873472503
BA2300	8.69249597847146	5.79874599985332
BA2903	6.47376016789819	5.63551782963557
BA2473	9.13518361120238	7.36910502551481
BA2545	8.25764420926654	4.92380795044112
BA2840	8.5971359914493	9.59577094815016
BA2528	9.14863087419242	6.5518017021576
BA2646	8.84941498844258	7.49256176412129
BA3407	8.40429460371975	4.81902834400603
BA2240	8.25554427681065	7.72809482559201
BA2926	9.48238177689826	6.5851771545889
BA2272	8.26607857536642	5.95076318092024
BA2306	8.87501645157825	5.04444275985059
BA2765	7.08068398565122	6.08707291217101
BA2904	8.52958832512444	10.1753003572988
BA2883	9.05581138653334	8.31787605128572
BA2726	6.49846429425474	-0.238630282752338
BA2234	7.19816924570359	1.05164008757557
BA2022	8.91751782379931	7.70330320958059
BA2228	8.48906113697349	5.23174307005196
BA2037	9.49651930986164	8.24717893447311
BA2184	9.2592593958878	8.42083657982967
BA3009	9.06304565250042	7.23636521102564
BA2842	7.37484847247432	4.40802912825966
BA2442	8.86536741111737	7.74132890165977
BA2882	7.69790613813162	3.77959301841516
BA2758	8.01121552663761	4.26323917922153
BA2705	8.4594113881339	7.8210975174081
BA2663	7.58640399756741	4.20873434593167
BA2570	9.070312190258	5.80572775335192
BA2764	7.86519796261888	5.04210102667198
BA2209	8.23267071257109	5.44603871114775
BA2989	8.87824586229709	8.20818067427413
BA2855	7.70582137825133	4.36015860511768
BA2261	7.49565796423242	7.86519796261888
BA2721	8.41608983118813	6.26118056372206
BA2930	7.75371580805874	5.53979697945933
BA2728	7.74132890165977	7.28525840993051
BA2715	7.71215406681609	6.91854859965898
BA2469	7.96260346447077	5.74011278993299
BA2269	7.15633759792086	4.62036406268975
BA2098	8.09251475928632	3.75076608161682
BA2778	6.98621603600523	2.42732071858121
BA2951	9.78674968596522	8.46922505155083
BA2163	7.09568366825665	7.42519569680361
BA2379	7.31397253852267	5.86210066626784
BA2817	7.86671215518685	1.83042814261167
BA3153	7.92699657991781	8.08335570616425
BA2820	8.20414503388581	5.64240286737973
BA2723	8.22445433533228	5.69915968973013
BA2704	9.23491479941431	8.11104544817006
BA2088	8.3972661940189	4.65333014368695
BA2116	6.78491577385659	6.94294359338222
BA2584	7.87430709609213	2.24349372699526
BA3079	8.24717893447311	6.6100656847185
BA2417	8.47910806756512	3.06113870744397
BA2361	8.09067732991193	4.6932849776624
BA2450	8.75995195431454	8.38100696139026
BA2492	7.35202275514424	3.31109043996003
BA2552	9.4270458724936	7.65148276489013
BA2472	8.04060780611373	5.32411225603459
BA2994	9.04501990946176	8.22036612888066
BA2047	8.54249270039127	7.77846043065093
BA2101	8.5117153749805	4.65120922776301
BA2082	8.97829037472744	3.90728684369565
BA2879	7.48057619109315	6.69192414230504
BA2577	9.4000752436972	7.03196402344294
BA2456	8.22445433533228	2.29791028651136
BA2175	6.84399982384708	6.38261014012489
BA2824	8.58457840504288	8.75098362594822
BA2507	9.15245565249128	6.80545390529169
BA2563	9.21888429779212	7.98067391429632
BA2244	8.44966638628301	5.8045076557668
BA2470	8.66407371953991	7.75780436658957
BA2984	8.74503353869987	8.00780085925266
BA2414	9.11835064360706	6.95751613947387
BA2697	7.00782899353321	4.59081785984696
BA2079	6.63915578339387	3.85600991616853
BA2999	8.59529250724368	6.90096747490557
BA2644	8.30909856685695	6.78194925141946
BA2011	8.00619097456886	6.37975842200095
BA2217	9.35176787188011	8.48656626341456
BA2454	9.13720994130471	10.5981160524102
BA2776	9.1872873383188	8.24717893447311
BA2218	9.47302564786274	8.42321613548815
BA2135	9.53000194332933	5.36438724591077
BA2914	7.96905854853838	7.92045916247849
BA2500	7.68775219309565	6.70193954968785
BA2830	9.79819104218496	6.92050118830241
BA2406	8.13176351189552	3.72560586066794
BA3108	9.44528028465592	8.20616122712402
BA2924	8.76595984417136	7.50647222464875
BA2303	7.93352218493006	5.34973720544744
BA2160	8.82110029202306	8.32893113987774
BA2038	8.40194775982719	4.95577043792796
BA2602	8.32893113987774	4.40656431480039
BA2964	7.878761730409	4.68133985426918
BA2898	7.94635895319707	4.78153410225228
BA3003	7.88191833711993	5.33137556428865
BA2111	8.01457218763256	5.55851041668359
BA2827	8.18020169656618	4.82742292972687
BA2912	8.18217944661747	3.99833496825788
BA2437	8.21832699326225	5.35593989387114
BA2283	7.92868137841977	4.81337176305461
BA2057	7.89563066633541	4.51939484788158
BA2633	8.3603866090308	5.16960938829634
BA3034	7.97720455656684	5.28256921751163
BA2607	8.18813169577028	4.60223859726182
BA2761	8.40194775982719	4.68309897358403
BA2795	8.00271116464237	4.53769799161138
BA2182	8.19411260375688	4.89591757187592
BA2152	7.89401548128851	4.38228741422543
BA2381	9.55927298456459	7.06885426902192
BA2931	8.34456564828853	4.47827685062553
BA2040	7.72277870826456	3.26599227921617
BA2590	9.34744684153524	7.19738153999511
BA3195	9.4045391740165	7.02200264661639
BA2516	9.40177461105289	6.44710159988793
BA2353	9.62461563502098	6.91854859965898
BA3036	9.44070228005406	8.34456564828853
BA2971	8.05801802157941	8.50093062457148
BA3410	7.99739906746641	6.10703701818297
BA3118	8.8525926437112	5.98917879350321
BA3206	9.09600320401444	6.34190143280827
BA3202	8.84307877151568	4.49454936710229
BA3217	9.33455230246716	7.89401548128851
BA3405	7.61245153291675	6.63486341869675
BA3306	9.27982760161886	7.51299557490928
BA3371	8.91420804405317	5.36365751969834
BA3413	9.33027676031699	7.63278489020753
BA3411	8.88148184246882	5.03642055076695
BA3133	7.55977224878375	8.97142354261209
BA3164	8.77804587995587	8.5555137585582
BA3451	7.44242521067177	3.32501250452144
BA3286	8.50412364911741	5.84234806468241
BA3212	7.50105244518025	10.1019627568373
BA3103	8.7420670822246	5.06069232646451
BA3271	8.92748837970555	6.05279557201734
BA3152	7.13359161213086	3.24991105964122
BA3095	8.61695773628636	8.09989277486394
BA3192	9.4000752436972	6.97318609681243
BA3251	8.7420670822246	7.03918975972709
BA3362	7.81686981561798	0.433070764286167
BA3400	8.15477520582082	8.33337930026134
BA3135	9.25517667754352	7.08899874190146
BA3408	8.42321613548815	3.38554683036159
BA3187	8.65006116973985	5.11433165880832
BA3098	8.77804587995587	7.02978091514104
BA3435	9.4000752436972	7.93658206656699
BA3261	9.06667487040862	4.68906744298486
BA3203	7.19738153999511	6.52375465899181
BA3174	7.89563066633541	4.59438606664195
BA3317	9.90525526471174	8.17625565039323
BA3299	8.268195867683	5.26710389157619
BA3221	7.54085820588458	2.71814995189887
BA3347	7.9003747386446	1.4977254366136
BA3235	6.9965338713589	4.24655068383766
BA3126	7.65148276489013	2.64402051124596
BA3380	9.05220627117217	7.18812871773308
BA3089	9.4917929010063	8.04934885751887
BA3109	7.91267481802265	5.95395062623658
BA3114	8.27456876079558	7.18398636132438
BA3418	9.1755941413251	7.28800386009291
BA3245	6.72876764999848	6.84839040918598
BA3085	9.2109276242084	7.11517726354172
BA3128	9.4045391740165	7.30861526987379
BA3423	9.59916222255831	7.7605970351598
BA3173	9.26335235036244	6.07221564365928
BA3171	7.55754763062472	7.37675245327076
BA3277	8.79022656584331	7.2179085684236
BA3210	8.24301678047805	6.4915209071939
BA3157	10.1099887487995	6.68070832768596
BA3433	8.7214605815193	8.30037965468589
BA3322	8.25554427681065	4.34569920053779
BA3374	8.92415796681604	-0.177808519803868
BA3450	8.63894476137773	6.77720928573593
BA3167	9.04501990946176	0.719254707053097
BA3269	7.80392510487274	6.76898394569665
BA3110	9.20870997646767	2.87198103535148
BA3156	9.73079295605488	7.83704881770087
BA3226	9.55927298456459	8.14705635633251
BA3421	8.25344779136567	6.54456958822718
BA3232	9.03786515454843	8.15477520582082
BA3289	7.61833712147791	4.99494706061389
BA3430	7.74666982029682	3.64521772451027
BA3145	8.61695773628636	8.20818067427413
BA3399	7.84567146798846	6.40074858834192
BA3449	9.45447558148811	8.79635277497105
BA3384	8.824221356442	7.68652733200955
BA3427	7.21134659078952	7.88494695067266
BA3163	7.08148396341999	2.07381903278467
BA3158	9.2592593958878	7.96744532914178
BA3436	9.67679810675791	10.4540502805812
BA3154	7.76749698582267	0.601632895281666
BA3162	8.60337970015667	6.46633469347968
BA3352	9.67313133431446	7.01472936087095
BA3084	8.78717245605116	4.77031077404719
BA3149	7.8210975174081	3.28330883545606
BA3169	8.24301678047805	3.00426499817374
BA3180	9.11460476788528	7.02698040559294
BA3255	8.64449262965366	7.81832288003789
BA3438	9.3735473533766	1.59541816670198
BA3345	7.67751428719864	2.11388863910946
BA3403	8.41372261793503	1.97096633043764
BA3431	7.86519796261888	6.16270217963845
BA3181	8.39960495989321	5.21924696123963
BA3341	7.99413751864958	7.60395254604328
BA3191	8.36494157515656	7.06736498172321
BA3197	8.97829037472744	10.0139606390354
BA3448	9.08494318011795	7.76334677298606
BA3453	8.80867768640892	6.94358580230343
BA3406	8.79635277497105	7.62437772428186
BA3308	9.38675693832204	7.41702873174962
BA3186	8.48399844841995	9.9053830477262
BA3334	8.7214605815193	4.22175408993243
BA3447	9.60422004710875	4.59972375526065
BA3116	8.70401585675217	3.24833932522177
BA3280	9.25110414260315	7.63278489020753
BA3185	8.5373170330564	2.28340449654963
BA3094	8.59798330037588	-1.96011964564348
BA3318	8.47663077360064	6.326824292765
BA3216	8.8879736022598	6.47279065497325
BA3332	9.36916799017741	7.36724009431295
BA3214	9.51245452204643	7.99246857024867
BA3099	8.8717935877338	7.75780436658957
BA3141	9.43158515365849	8.84307877151568
BA3373	8.78108213178214	8.43758065182973
BA3319	7.51413414557592	5.9785222997962
BA3328	8.07971165578759	9.1410080593907
BA3339	8.07425460403884	1.3495851994097
BA3240	8.97485330936457	8.91751782379931
BA3142	8.62516478231551	8.68676863894814
BA3333	8.98864564355709	7.37577438257785
BA3381	8.18217944661747	5.08870565418655
BA3290	8.25344779136567	8.19012213724112
BA3207	7.11965805588277	3.02428518304635
BA3296	7.05061628699762	3.53193069811392
BA3305	8.59260663428802	6.50854787129231
BA3434	9.18338030789918	4.82292152807512
BA3189	8.87824586229709	6.86708630662577
BA3264	8.69536777456055	7.17999658780694
BA3329	9.45616130594571	9.23665444981222
BA3417	8.57925061313916	0.207476070123517
BA3367	7.38257507273258	5.72023465218825
BA3225	6.41555515164963	3.92905779716509
BA3183	8.88148184246882	6.73692509275104
BA3222	8.70401585675217	0.578560653385863
BA3139	7.46894970580743	7.81101053195418
BA3397	6.732801148639	3.03620367997927
BA3311	7.04704814373678	6.35019247071228
BA3422	9.02011485988608	9.65571538111022
BA3228	8.92415796681604	7.8210975174081
BA3213	8.62516478231551	5.6533576160666
BA3270	8.31787605128572	6.34737367069021
BA3415	7.56784611916855	5.82971849546372
BA3324	8.5607551950315	6.87212018212394
BA3194	8.68106286594684	8.2960419873451
BA3335	8.19211577067672	9.2389471182711
BA3199	9.4000752436972	7.05796014084047
BA3326	8.22036612888066	2.88584557978208
BA3285	7.61362919863888	9.61602995658446
BA3297	8.05288390011611	7.82688083190866
BA3227	8.79022656584331	9.60929418124753
BA3394	9.39118419839355	7.53511002571526
BA3412	7.81249915728454	0.439987090282692
BA3293	8.85123237146193	9.06845231152446
BA3250	7.96260346447077	5.42966375134891
BA3177	8.77199110438686	5.13976221148527
BA3315	8.34906675857089	3.90901162589946
BA3182	7.94936162159169	5.55510823651463
BA3260	7.42825345365406	4.66398706452937
BA3369	8.66407371953991	4.807111451034
BA3078	8.96297616127633	5.75415496254133
BA3386	8.89776108628452	8.70980864868103
BA3445	8.25135474465914	6.61275930528802
BA3452	8.77199110438686	7.32489473499785
BA3176	9.21490111990201	7.22042069105103
BA3258	7.18983138735934	1.26994075255518
