	NPM1	GATA2
BA2392	9.6874475749889	7.41600983782201
BA2611	9.60929418124753	7.34547705030654
BA2506	9.61949185438657	7.41107466475047
BA2430	9.61949185438657	7.37299295258264
BA2448	9.61438474364243	7.42721767032965
BA2730	9.62461563502098	7.37967634115988
BA2845	9.57909169555586	7.31758513982701
BA2326	9.58408544068247	7.3445927403943
BA2341	9.58909503454725	7.3614587281193
BA2612	9.55927298456459	7.32489473499785
BA2973	9.56915130536806	7.31665510949842
BA2390	9.55927298456459	7.3634906067475
BA3218	9.56420444046175	7.31484141146978
BA3105	9.53000194332933	7.26503778677364
BA3402	9.53484314535953	7.27805701193436
BA3276	9.51556606369543	7.29968056370735
BA2409	7.88494695067266	4.08953411027778
BA3037	9.1755941413251	9.22687989289351
BA2496	8.3156761580726	4.22136650202706
BA2172	9.2592593958878	7.72672331348077
BA2865	9.53484314535953	10.0543370402648
BA2923	6.98208266015901	-0.905814060314707
BA2751	9.13897207935234	6.91069984449294
BA2480	8.38563253120242	8.44966638628301
BA2286	9.51078302100883	6.84098754890722
BA2922	9.78674968596522	6.95344802847081
BA2452	9.33027676031699	7.2808607611199
BA3379	9.31328611186612	6.11039522609915
BA2887	9.06304565250042	5.05929023106165
BA2712	7.82549928808227	2.26275670492429
BA2068	8.67821802831458	8.95777690896205
BA2236	8.75995195431454	8.58457840504288
BA2104	6.91599118004167	0.732935262992316
BA3124	8.84307877151568	5.77221027466017
BA3395	8.58457840504288	7.45571345371651
BA2921	9.00605305286098	7.41497012248878
BA2449	9.52036350053221	5.21327609576147
BA2003	9.04501990946176	7.37771038448057
BA2360	9.4000752436972	8.58992566833602
BA2802	7.15633759792086	7.40900238551148
BA2235	8.83362186336888	6.83214250556656
BA2858	8.91420804405317	4.24617468927424
BA3038	7.73462168625585	6.41227021268222
BA3006	9.15245565249128	7.99915514777274
BA2245	9.0307417478067	7.66369633945432
BA2667	9.13720994130471	6.50152491798344
BA2239	8.17428733914348	4.89696755761679
BA2782	7.59101188148724	5.97890641593254
BA2649	9.2429894144776	7.15798365655759
BA2488	7.91111348596979	8.16840116234166
BA2861	9.11460476788528	7.44839655086442
BA2909	7.83704881770087	7.51630069461518
BA2429	8.66493693752935	6.13853683580785
BA2653	8.41556616709075	8.67721676583393
