	JAK2	NPM1
BA2709	6.86903485569995	8.81177412986094
BA2789	5.99072677808467	9.36480042798147
BA2694	6.26338772089894	8.92748837970555
BA2538	5.79321150053106	8.40429460371975
BA2583	6.64247138255774	9.44070228005406
BA2415	7.09047728148948	7.67493502317828
BA2722	6.31022816211408	7.0623479587219
BA2806	5.72213373131707	9.01306871894599
BA2221	6.72582978047913	7.99413751864958
BA3025	5.87851415939896	9.2389471182711
BA2514	6.08490728340658	8.62153057515291
BA2520	5.56477795201106	9.08127310626888
BA2441	5.93816710389573	7.40108920011618
BA2153	6.22989744594561	9.57909169555586
BA2479	5.30597429477844	8.22832881693221
BA2281	5.42125052108752	9.01658796485945
BA2657	6.24956354515351	8.33560901482561
BA2932	5.53058601108242	9.12210512882866
BA2123	5.56596083132182	9.57909169555586
BA2844	6.23969161748368	9.22687989289351
BA2660	6.65069612456278	9.06304565250042
BA2836	6.24592732813786	8.74800571415782
BA3027	6.4243136710677	7.63041516939983
BA2714	6.71155130794723	8.89122942781574
BA2139	7.48490734822992	6.80299244523417
BA2251	6.21013178100069	8.32671267592458
BA2952	6.74039110508618	8.16254296358662
BA2440	6.35211013226828	8.39493145233583
BA2036	6.2787278602742	8.75695672842528
BA2828	6.99030175438279	8.09804401257278
BA2292	5.80891216118178	8.98173476670244
BA2410	5.65448355973944	9.34313727945847
BA2051	6.42575430557831	7.46363654414575
BA2532	5.66778894823137	7.45571345371651
BA2986	5.47397012091034	8.95099667095566
BA2494	5.70182427600488	8.39027400222105
BA2515	5.65599688789121	8.66407371953991
BA2748	6.1036718931718	9.33883912107995
BA2970	5.71100608100859	8.8589671548512
BA2622	6.79404595569359	8.65006116973985
BA2839	5.66361114365051	8.72438748273975
BA2052	6.08362235286883	9.10713869224013
BA3011	4.84562521936661	8.50277388292747
BA2868	6.22503632366675	9.00255657247606
BA2510	6.05237874936092	9.01658796485945
BA2065	6.06468755944282	9.20696376307392
BA2691	6.88299295533337	8.11104544817006
BA2374	5.79758031043752	8.21222936163239
BA2804	5.92833030401015	8.8879736022598
BA2670	6.12302701419306	7.93824432889201
BA2675	5.83602224066433	9.08494318011795
BA2589	5.43221485285193	8.38563253120242
BA2031	6.62521439483861	8.87824586229709
BA2198	6.20481541845022	9.39118419839355
BA2066	7.10006965724524	8.28097335559112
BA2344	6.01664395833904	9.57411368730524
BA2459	5.03358349696303	9.38404554334867
BA2229	5.68079307995248	8.53473617000875
BA2559	5.76218019652153	8.68391306436784
BA2093	5.28216189346069	9.23491479941431
BA2000	6.36792449266188	8.08701091285537
BA2425	6.80239867331755	8.47600328572046
BA2905	5.6590072041356	9.22687989289351
BA2304	6.82970946742006	7.16215175411855
BA2976	7.05796014084047	8.65285322774346
BA2386	5.84508987578304	9.09970659968869
BA2035	5.57338620444232	9.33455230246716
BA2760	6.54928934120065	8.29820901257083
BA2201	6.97450183109637	8.89776108628452
BA2355	5.39854887648757	8.59260663428802
BA2113	6.46286097671524	8.50026123971081
BA2155	5.6571193282783	8.99906762077278
BA2955	7.87120844454502	8.07971165578759
BA2502	7.16215175411855	8.05457002396872
BA2322	6.59785150913547	8.93082572022568
BA2376	7.550843282623	6.97993778438247
BA2020	6.2445717796939	9.15245565249128
BA2226	6.67894286315779	8.81487669872437
BA2200	5.67963455085071	9.30065851731011
BA2121	6.05279557201734	8.92748837970555
BA2944	6.18463805749781	9.90525526471174
BA2033	6.93558317816731	7.17761745050204
BA2867	5.83331901871842	8.66126072825912
BA2089	6.75887216800442	7.65513327960109
BA2224	6.32729837510952	8.38331776349613
BA2046	5.39854887648757	9.3217592552912
BA2972	6.19690129645258	9.160132157513
BA2978	7.11517726354172	7.85205086731265
BA2829	5.8395569214379	8.79635277497105
BA2851	5.91798611999628	8.5529001392332
BA2587	6.99925381802676	8.72438748273975
BA2461	6.78009238710876	7.94314055717551
BA2695	6.28139967131455	7.68652733200955
BA2623	6.6601420957489	9.57411368730524
BA2024	7.14221254704718	7.58759859001841
BA2426	6.82550917357801	8.88148184246882
BA2271	5.98054442725547	7.95452812467512
BA3004	5.66014078206684	8.57129520837751
BA2579	6.50248754607679	7.85633367820174
BA3010	6.71501245136813	9.00605305286098
BA2662	6.6897450758778	8.34232080533324
BA2674	6.4369045674542	9.15245565249128
BA2280	5.94221717949707	8.50160207030541
BA2512	7.0168789681798	6.81629782268832
BA2658	6.92174677642902	9.070312190258
BA2394	7.33890799019329	8.21222936163239
BA2950	6.31205444786469	9.49651930986164
BA2981	5.69992958447881	8.63894476137773
BA2934	6.09808877325888	7.22625304922136
BA2539	6.90423057855148	7.8925772722697
BA2249	6.62086223855277	8.63894476137773
BA2034	6.09980072152953	8.94268168369866
BA2109	6.45249909303564	7.61245153291675
BA2242	6.29606229973496	8.12041880838799
BA2277	7.01759724929549	8.68676863894814
BA2727	5.64425897367774	9.83304132704525
BA2132	6.48655837104488	8.672544374331
BA2618	6.74612605168156	8.61151153389318
BA2521	6.436391484782	8.672544374331
BA2846	6.18549348202673	9.1755941413251
BA2885	6.87847286019697	8.02142525655183
BA2639	6.60634523087502	9.04860912314158
BA2775	6.26652649814407	8.84941498844258
BA2402	6.19966591698805	9.26335235036244
BA2097	6.00680494194609	9.44070228005406
BA2786	6.03523832777957	9.34313727945847
BA2399	5.37564857832482	9.44070228005406
BA2850	5.77107077621508	8.91090509269608
BA2174	7.42825345365406	8.34232080533324
BA2004	6.67837784799198	7.48933909555342
BA3001	5.92959760650397	9.69817061599593
BA2311	7.71215406681609	7.93028682049466
BA2483	6.50103892537921	8.48343527695382
BA3040	6.21630928183059	9.00605305286098
BA2837	6.25896920678185	9.37793858616158
BA2724	6.42672024198766	8.5607551950315
BA2911	6.14800492227439	9.35176787188011
BA2256	5.26850269480577	9.43613726309062
BA2821	5.98627491229184	9.69817061599593
BA2233	5.92432462638165	9.19906475607931
BA2744	5.77808284388984	9.34313727945847
BA2880	6.60743103833352	8.34906675857089
BA2621	7.31665510949842	8.28097335559112
BA3002	6.6897450758778	8.42744390017979
BA2501	5.83716487793583	8.48407580140491
BA2993	5.98835302463094	8.84624370479657
BA2301	6.76898394569665	8.06147774301482
BA2852	5.6765932151773	8.29820901257083
BA2133	6.49504433110095	7.83554388846121
BA2866	6.10747462593212	9.19906475607931
BA2212	5.90436368867117	9.33455230246716
BA2685	5.4219819546052	9.39562360946183
BA2273	5.97440821051446	8.83362186336888
BA2477	6.12637853560869	9.29229417829056
BA2659	6.76359470107912	8.45453034732936
BA2124	5.76568700898176	9.49819442110274
BA2363	7.22705513643141	8.84941498844258
BA2369	6.55763968463611	8.79328666582968
BA2534	5.81482124558208	9.0271917203024
BA2400	6.44802101478473	9.46836798648192
BA2762	5.94139776988852	8.96117775713075
BA2312	6.76594892950594	8.79635277497105
BA2813	5.32629384115804	9.54457000922792
BA2211	5.4113491881704	9.17734760232419
BA2171	5.69370906216796	9.17171491689544
BA2746	7.10612705087253	7.89401548128851
BA2798	6.39121229400113	9.67679810675791
BA2809	6.49897356885038	9.1872873383188
BA2288	5.77182174756257	8.55505298542423
BA2801	6.84596201012783	8.32449794408229
BA3030	6.50904089235684	8.66873090783595
BA2588	6.30142372411484	9.44070228005406
BA2296	6.14630933784289	9.28397254525379
BA2300	5.65258967329686	8.69249597847146
BA2903	7.65022254150033	6.47376016789819
BA2473	5.28216189346069	9.13518361120238
BA2545	6.72757025712009	8.25764420926654
BA2840	6.34783039381028	8.5971359914493
BA2528	6.11717160296269	9.14863087419242
BA2646	5.68685508446053	8.84941498844258
BA3407	5.35378122072143	8.40429460371975
BA2240	6.00800870736247	8.25554427681065
BA2926	6.21887740590051	9.48238177689826
BA2272	7.55754763062472	8.26607857536642
BA2306	6.53495824677914	8.87501645157825
BA2765	7.09710413510838	7.08068398565122
BA2904	7.33618294917006	8.52958832512444
BA2883	6.42479012495369	9.05581138653334
BA2726	6.16739291737488	6.49846429425474
BA2234	6.55863333147361	7.19816924570359
BA2022	5.46734103839207	8.91751782379931
BA2228	5.616270357549	8.48906113697349
BA2037	5.95316910567884	9.49651930986164
BA2184	5.98343537244457	9.2592593958878
BA3009	5.97812067314416	9.06304565250042
BA2842	5.97321758321267	7.37484847247432
BA2442	6.0158165147387	8.86536741111737
BA2882	7.49256176412129	7.69790613813162
BA2758	6.92369940347749	8.01121552663761
BA2705	6.33191637769617	8.4594113881339
BA2663	7.21542521128511	7.58640399756741
BA2570	5.69757983119209	9.070312190258
BA2764	5.95600036566632	7.86519796261888
BA2209	6.03612422779332	8.23267071257109
BA2989	5.34151860321391	8.87824586229709
BA2855	5.55474564087748	7.70582137825133
BA2261	6.389795387917	7.49565796423242
BA2721	6.68298551627202	8.41608983118813
BA2930	7.03196402344294	7.75371580805874
BA2728	7.20712924024302	7.74132890165977
BA2715	5.88248029384315	7.71215406681609
BA2469	5.83678289113702	7.96260346447077
BA2269	6.33826437905032	7.15633759792086
BA2098	6.22462023570249	8.09251475928632
BA2778	6.91326402535282	6.98621603600523
BA2951	6.3764431266369	9.78674968596522
BA2163	6.20697852343694	7.09568366825665
BA2379	6.10703701818297	7.31397253852267
BA2817	5.77331420543403	7.86671215518685
BA3153	5.82076176816399	7.92699657991781
BA2820	6.92174677642902	8.20414503388581
BA2723	5.35814543619648	8.22445433533228
BA2704	5.33791952921801	9.23491479941431
BA2088	5.7725785925433	8.3972661940189
BA2116	6.69408720379773	6.78491577385659
BA2584	7.16876088952225	7.87430709609213
BA3079	6.94421494122577	8.24717893447311
BA2417	6.33280116885594	8.47910806756512
BA2361	6.49454808629482	8.09067732991193
BA2450	5.88961440143981	8.75995195431454
BA2492	5.94641278080618	7.35202275514424
BA2552	5.43258320293738	9.4270458724936
BA2472	5.63243748418652	8.04060780611373
BA2994	5.70032456019922	9.04501990946176
BA2047	6.04647904010288	8.54249270039127
BA2101	6.49406704275497	8.5117153749805
BA2082	6.34457703412125	8.97829037472744
BA2879	6.04401665671066	7.48057619109315
BA2577	5.91437229465113	9.4000752436972
BA2456	5.88085174617523	8.22445433533228
BA2175	6.57670086749662	6.84399982384708
BA2824	5.46520959762875	8.58457840504288
BA2507	6.0921968661524	9.15245565249128
BA2563	5.31682531575163	9.21888429779212
BA2244	7.27898774790875	8.44966638628301
BA2470	5.95983280142242	8.66407371953991
BA2984	6.17686048502122	8.74503353869987
BA2414	5.87965665517008	9.11835064360706
BA2697	7.51191595859432	7.00782899353321
BA2079	7.24647814947882	6.63915578339387
BA2999	6.44128835620157	8.59529250724368
BA2644	7.44741351807287	8.30909856685695
BA2011	6.90096747490557	8.00619097456886
BA2217	5.80299550783759	9.35176787188011
BA2454	6.4417602152858	9.13720994130471
BA2776	4.99354110892251	9.1872873383188
BA2218	5.25497927017155	9.47302564786274
BA2135	6.1167480511433	9.53000194332933
BA2914	6.78194925141946	7.96905854853838
BA2500	5.93735639042332	7.68775219309565
BA2830	6.11847233502019	9.79819104218496
BA2406	6.45648309857568	8.13176351189552
BA3108	5.57935496877716	9.44528028465592
BA2924	5.77728199716427	8.76595984417136
BA2303	7.25611345915688	7.93352218493006
BA2160	6.50152491798344	8.82110029202306
BA2038	4.74673296350921	8.40194775982719
BA2602	5.04444275985059	8.32893113987774
BA2964	5.48241842021019	7.878761730409
BA2898	6.59418114772064	7.94635895319707
BA3003	6.22945844028102	7.88191833711993
BA2111	6.20697852343694	8.01457218763256
BA2827	6.5851771545889	8.18020169656618
BA2912	5.9785222997962	8.18217944661747
BA2437	6.14502031934272	8.21832699326225
BA2283	6.52630500155159	7.92868137841977
BA2057	6.27158031478995	7.89563066633541
BA2633	6.13853683580785	8.3603866090308
BA3034	6.28908084563445	7.97720455656684
BA2607	6.24819820835326	8.18813169577028
BA2761	6.11161537904966	8.40194775982719
BA2795	6.49248354368901	8.00271116464237
BA2182	6.29410623448101	8.19411260375688
BA2152	6.41274177487418	7.89401548128851
BA2381	5.57747658361311	9.55927298456459
BA2931	6.31115381839613	8.34456564828853
BA2040	6.68810200399149	7.72277870826456
BA2590	5.23746872667208	9.34744684153524
BA3195	6.54096638153352	9.4045391740165
BA2516	5.98386136715206	9.40177461105289
BA2353	6.25534556152395	9.62461563502098
BA3036	6.03732004077161	9.44070228005406
BA2971	6.98137959105818	8.05801802157941
BA3410	6.71325528813671	7.99739906746641
BA3118	6.58253832351054	8.8525926437112
BA3206	6.10662293034719	9.09600320401444
BA3202	6.08794135772437	8.84307877151568
BA3217	6.0072209431505	9.33455230246716
BA3405	7.62806217739621	7.61245153291675
BA3306	5.22065849428954	9.27982760161886
BA3371	5.53534040119425	8.91420804405317
BA3413	5.96585962161822	9.33027676031699
BA3411	6.13165710493441	8.88148184246882
BA3133	6.17121351437265	7.55977224878375
BA3164	5.25926318349682	8.77804587995587
BA3451	7.19903013947942	7.44242521067177
BA3286	6.68698956921182	8.50412364911741
BA3212	6.05912302323741	7.50105244518025
BA3103	5.70986425222156	8.7420670822246
BA3271	6.70809549173072	8.92748837970555
BA3152	7.00853195755675	7.13359161213086
BA3095	5.50942414006277	8.61695773628636
BA3192	4.88537399325768	9.4000752436972
BA3251	6.09345357181028	8.7420670822246
BA3362	6.12385981288499	7.81686981561798
BA3400	5.63782453216305	8.15477520582082
BA3135	5.72328663310628	9.25517667754352
BA3408	6.15187477635529	8.42321613548815
BA3187	6.65737778697747	8.65006116973985
BA3098	7.34547705030654	8.77804587995587
BA3435	6.32729837510952	9.4000752436972
BA3261	6.16141096550525	9.06667487040862
BA3203	6.56532526138634	7.19738153999511
BA3174	6.33002794213348	7.89563066633541
BA3317	5.33173488154361	9.90525526471174
BA3299	6.01623506432676	8.268195867683
BA3221	7.01200936090574	7.54085820588458
BA3347	6.29137386576201	7.9003747386446
BA3235	7.62320575204897	6.9965338713589
BA3126	6.51657057172327	7.65148276489013
BA3380	5.98180577093432	9.05220627117217
BA3089	6.16824009925269	9.4917929010063
BA3109	6.4204445396971	7.91267481802265
BA3114	6.5272776299756	8.27456876079558
BA3418	5.87139334737162	9.1755941413251
BA3245	5.67089201714434	6.72876764999848
BA3085	6.00513768153823	9.2109276242084
BA3128	5.55924075077695	9.4045391740165
BA3423	5.35265544520885	9.59916222255831
BA3173	5.83602224066433	9.26335235036244
BA3171	7.23310611857777	7.55754763062472
BA3277	5.73207630464099	8.79022656584331
BA3210	5.60803848500502	8.24301678047805
BA3157	5.50353774574014	10.1099887487995
BA3433	5.53426887614694	8.7214605815193
BA3322	5.72941496772039	8.25554427681065
BA3374	6.98137959105818	8.92415796681604
BA3450	5.63398998851589	8.63894476137773
BA3167	6.40549948389557	9.04501990946176
BA3269	6.22719727634407	7.80392510487274
BA3110	5.83640380634386	9.20870997646767
BA3156	5.73627139725326	9.73079295605488
BA3226	5.81122081776697	9.55927298456459
BA3421	6.33963983784712	8.25344779136567
BA3232	6.1188645712048	9.03786515454843
BA3289	5.80028394350004	7.61833712147791
BA3430	6.15059869214172	7.74666982029682
BA3145	6.08192723673296	8.61695773628636
BA3399	6.24592732813786	7.84567146798846
BA3449	6.13249003882685	9.45447558148811
BA3384	6.26972531039322	8.824221356442
BA3427	6.65242333740906	7.21134659078952
BA3163	6.801788717217	7.08148396341999
BA3158	6.37031994316104	9.2592593958878
BA3436	6.37595873118392	9.67679810675791
BA3154	4.79068369995582	7.76749698582267
BA3162	6.4338606092369	8.60337970015667
BA3352	5.15632938242022	9.67313133431446
BA3084	5.90720734250747	8.78717245605116
BA3149	5.79160717030847	7.8210975174081
BA3169	6.55863333147361	8.24301678047805
BA3180	5.58682786591739	9.11460476788528
BA3255	6.19299832162761	8.64449262965366
BA3438	5.77488348222962	9.3735473533766
BA3345	7.42928783450574	7.67751428719864
BA3403	6.95411223232461	8.41372261793503
BA3431	6.43046914091516	7.86519796261888
BA3181	6.95085389521077	8.39960495989321
BA3341	5.52461336373262	7.99413751864958
BA3191	7.17275321082541	8.36494157515656
BA3197	5.90799934087277	8.97829037472744
BA3448	5.93982972127244	9.08494318011795
BA3453	5.51950702685712	8.80867768640892
BA3406	6.50649211862862	8.79635277497105
BA3308	6.3129901827468	9.38675693832204
BA3186	6.61224021519215	8.48399844841995
BA3334	6.14235074085009	8.7214605815193
BA3447	6.52120608932454	9.60422004710875
BA3116	5.69566002369261	8.70401585675217
BA3280	5.52576079897821	9.25110414260315
BA3185	6.70422977407013	8.5373170330564
BA3094	7.2588778562729	8.59798330037588
BA3318	5.46337307822737	8.47663077360064
BA3216	6.2171644897831	8.8879736022598
BA3332	5.91677233397116	9.36916799017741
BA3214	5.21114894759575	9.51245452204643
BA3099	6.0506842235686	8.8717935877338
BA3141	5.41282200225543	9.43158515365849
BA3373	5.43585497001994	8.78108213178214
BA3319	7.67493502317828	7.51413414557592
BA3328	6.41128456721012	8.07971165578759
BA3339	5.94431286144935	8.07425460403884
BA3240	6.67612658139253	8.97485330936457
BA3142	6.22807535432375	8.62516478231551
BA3333	6.1058059803294	8.98864564355709
BA3381	6.79813530726845	8.18217944661747
BA3290	6.64358377452482	8.25344779136567
BA3207	7.25008508374438	7.11965805588277
BA3296	6.64131489127646	7.05061628699762
BA3305	6.39359148087619	8.59260663428802
BA3434	6.57613558769718	9.18338030789918
BA3189	6.38261014012489	8.87824586229709
BA3264	6.10872354813756	8.69536777456055
BA3329	5.74548824228958	9.45616130594571
BA3417	6.45750445904916	8.57925061313916
BA3367	6.55131094202148	7.38257507273258
BA3225	7.32583087724775	6.41555515164963
BA3183	5.89960125866496	8.88148184246882
BA3222	7.08368088883067	8.70401585675217
BA3139	6.23394092312001	7.46894970580743
BA3397	6.04113685727626	6.732801148639
BA3311	7.11661408634118	7.04704814373678
BA3422	5.37638785070633	9.02011485988608
BA3228	6.41993290039897	8.92415796681604
BA3213	6.97450183109637	8.62516478231551
BA3270	6.92174677642902	8.31787605128572
BA3415	6.40025463094879	7.56784611916855
BA3324	6.11161537904966	8.5607551950315
BA3194	6.47764595644109	8.68106286594684
BA3335	5.66090400314826	8.19211577067672
BA3199	5.74510782456024	9.4000752436972
BA3326	6.47182200391892	8.22036612888066
BA3285	6.26972531039322	7.61362919863888
BA3297	6.7037023558772	8.05288390011611
BA3227	5.38984631837511	8.79022656584331
BA3394	6.33780634376445	9.39118419839355
BA3412	6.54307132156237	7.81249915728454
BA3293	4.64271832053246	8.85123237146193
BA3250	7.54733361982974	7.96260346447077
BA3177	6.75483486169623	8.77199110438686
BA3315	5.49981147623839	8.34906675857089
BA3182	7.41795204933222	7.94936162159169
BA3260	6.46333894051768	7.42825345365406
BA3369	7.43037850226792	8.66407371953991
BA3078	7.10612705087253	8.96297616127633
BA3386	5.62490937512472	8.89776108628452
BA3445	6.16524477136675	8.25135474465914
BA3452	6.89180239315318	8.77199110438686
BA3176	5.99436956978052	9.21490111990201
BA3258	7.53867754134672	7.18983138735934
