	ASXL1	DNMT3A
BA2000	0.0156650526915408	0.3903477782106476
BA2003	0.0155226431216177	0.2200672016907105
BA2004	0.0254913130162346	1.7421872222743082
BA2006	0.0561093705497009	0.3787236170572983
BA2011	0.0160922814013101	0.5217608164496809
BA2019	0.0243520364568499	0.4474708417173635
BA2020	0.0357448020506978	0.6765599205677996
BA2022	0.021646254628311	1.035164212553083
BA2023	0.0109655368840786	0.1201300703143848
BA2024	0.0190828823696952	0.4794653993658658
BA2025	0.015949871831387	0.2548711482159886
BA2031	0.0135289091426943	0.2223031448406812
BA2032	0.0149530048419253	0.2822289193149458
BA2033	0.0229279407576189	0.1425292972381716
BA2034	0.026060951295927	0.5984234647814147
BA2035	0.0195101110794645	0.8654681646619956
BA2036	0.0197949302193107	0.4402468738806289
BA2037	0.0299060096838507	0.783361127172473
BA2041	0.0200797493591569	0.1026100021630555
BA2044	0.0152378239817715	0.3145954640236001
BA2046	0.0294787809740814	0.1527200400277926
BA2047	0.0254913130162346	1.1000234462904164
BA2050	0.0111079464540017	0.2208361160071591
BA2051	0.0209342067786955	0.1202876109750209
BA2052	0.0364568499003133	0.4628891424904828
BA2053	0.013101680432925	0.2357331583528511
BA2054	0.0126744517231557	0.1897970889603141
BA2055	0.0113927655938479	0.1016623185336721
BA2063	0.0438621475363144	0.2337397032375142
BA2065	0.0190828823696952	0.4009166650099477
BA2066	0.0259185417260039	0.3777119351024847
BA2068	0.0156650526915408	0.2375133220008568
BA2069	0.0170891483907718	0.1693877031808799
BA2072	0.0111079464540017	0.2069594922820808
BA2079	0.0108231273141555	0.2431485328158669
BA2080	0.017373967530618	0.2891593639359263
BA2081	0.0139561378524636	0.2574487849552282
BA2082	0.0178011962403873	0.3355754225575059
BA2087	0.0099686698946169	0.1543080697173639
BA2088	0.0226431216177727	0.0833651298577288
BA2089	0.0229279407576189	0.2758816049602879
BA2093	0.028909142694389	0.4683773986052874
BA2094	0.0168043292509256	0.4592247829364606
BA2095	0.017373967530618	0.3875435221016316
BA2096	0.013101680432925	0.1225796696216249
BA2097	0.0350327542010823	0.6727738141640198
BA2098	0.0118199943036172	0.4725877035538304
BA2100	0.0136713187126174	0.1089824664887933
BA2101	0.027485046995158	0.6971560439731584
BA2104	0.0078325263457704	0.053740668846797
BA2106	0.0160922814013101	0.2311583327849795
BA2109	0.0121048134434634	0.1313450186921277
BA2110	0.0099686698946169	0.0840286651574152
BA2113	0.0313301053830817	0.6525721360605183
BA2116	0.0273426374252349	0.2417840970771943
BA2121	0.0250640843064653	0.6760584898167601
BA2122	0.0093990316149245	0.0656029871370471
BA2123	0.0227855311876958	0.0959275918604528
BA2124	0.0197949302193107	0.6896924988931303
BA2125	0.0186556536599259	0.4016538372629313
BA2132	0.0225007120478496	0.5098245010712235
BA2133	0.0262033608658501	0.2320013726547507
BA2134	0.008686983765309	0.0978162703224511
BA2135	0.0264881800056963	0.5230946747168397
BA2139	0.0089718029051552	0.094658854443762
BA2143	0.0176587866704642	0.1901286905887505
BA2148	0.013101680432925	0.1653780428761621
BA2153	0.0196525206493876	0.5962602133140623
BA2155	0.0163771005411563	0.325684159573431
BA2156	0.0186556536599259	0.6192501045771407
BA2162	0.0172315579606949	0.5336746564791711
