	SF3B1	SRSF2
BA2392	8.6472743085318	9.83892848550566
BA2611	8.66407371953991	9.86270964606403
BA2506	8.70980864868103	9.83892848550566
BA2430	8.70401585675217	9.85672905613112
BA2448	8.69536777456055	9.85672905613112
BA2730	8.68676863894814	9.83304132704525
BA2845	8.53215993801742	9.8991027074875
BA2326	8.58457840504288	9.87474271994728
BA2341	8.5607551950315	9.93012293296997
BA2612	8.58992566833602	9.90525526471174
BA2973	8.57394218930808	9.93012293296997
BA2390	8.58191208164573	9.92386690563917
BA3218	8.58191208164573	9.89297540900361
BA3105	8.70401585675217	9.95541459791256
BA3402	8.69824500910271	10.0007468429699
BA3276	8.67821802831458	9.98114720830101
BA2409	7.98898804212453	8.41135949860071
BA3037	9.39562360946183	8.23061160269424
BA2496	8.43277580504712	8.84307877151568
BA2172	8.51934782702254	8.71271331389775
BA2865	8.81487669872437	9.22287720595147
BA2923	8.16644533071452	7.64511152399424
BA2751	8.91601487826164	9.50293364970638
BA2480	8.67821802831458	8.73025810259064
BA2286	8.69824500910271	8.92083445647999
BA2922	8.73910632748104	9.3217592552912
BA2452	8.40900046313029	9.82133532639013
BA3379	8.44724078411408	9.46372381175102
BA2887	8.81798541280226	9.13342062895717
BA2712	8.73025810259064	9.39118419839355
BA2068	8.7629529869435	10.6289390647318
BA2236	8.6279105840654	9.22287720595147
BA2104	8.3558471237735	7.64511152399424
BA3124	8.99211218550823	9.38234175781362
BA3395	8.42321613548815	9.09970659968869
BA2921	8.93752128537319	9.54945587390153
BA2449	9.01658796485945	8.60608533344799
BA2003	9.14863087419242	9.75293118746352
BA2360	8.84307877151568	9.42251934116338
BA2802	9.38234175781362	9.53969913371194
BA2235	8.69536777456055	8.93082572022568
BA2858	8.31347995218337	9.30906602396076
BA3038	8.23679901175147	8.60879594020241
BA3006	9.04860912314158	9.64008823387741
BA2245	8.77501554362266	9.49651930986164
BA2667	8.6472743085318	8.95438322249582
BA2239	8.33337930026134	8.66407371953991
BA2782	8.42559982560594	8.89122942781574
BA2649	8.40900046313029	9.61438474364243
BA2488	8.52190108216259	8.90103696609653
BA2861	8.59260663428802	9.17948259034573
BA2909	8.37135302575124	8.79205235357759
BA2429	8.96137230818784	8.99222936727265
BA2653	8.40379071339591	9.26099325755712
BA2134	8.42321613548815	8.46430959418229
BA2947	8.88329417040296	9.415200229547
BA2032	9.08494318011795	8.73910632748104
BA2162	8.75995195431454	9.18338030789918
BA2564	8.37870011521958	8.9076089453561
BA2597	9.18123516021677	9.50768698561149
BA3243	8.50664971851981	9.04501990946176
BA2106	9.12210512882866	9.17171491689544
BA2427	8.68391306436784	9.16398396797258
BA2841	9.02011485988608	9.67679810675791
BA2446	8.48407580140491	9.47302564786274
BA2645	9.00605305286098	9.12586826213153
BA2525	9.52036350053221	9.18338030789918
BA2876	9.10341841676742	9.19120372633416
BA2357	8.45209623715645	9.26745559419095
BA2546	8.268195867683	8.86536741111737
BA2742	8.43037965011906	8.66689198102969
BA2316	8.30255392241405	8.95099667095566
BA2421	8.57925061313916	8.268195867683
BA2087	8.54953218061743	8.81980741439546
BA2910	8.86216405394702	8.89776108628452
BA2148	8.32893113987774	8.72438748273975
BA2063	9.23491479941431	9.26745559419095
BA2329	8.04242466385173	8.8717935877338
BA3178	8.67537853618004	8.87501645157825
BA2072	8.39493145233583	9.13342062895717
BA3029	9.19512951707567	9.45447558148811
BA2733	8.8879736022598	9.22687989289351
BA2995	9.4045391740165	9.52517542791568
BA2069	8.19411260375688	9.47769688223901
BA2100	8.3695120975799	8.672544374331
BA2681	8.75098362594822	9.19512951707567
BA2248	9.01658796485945	9.36916799017741
BA2832	8.90103696609653	9.60422004710875
BA2308	9.16784487350203	9.75851596885508
BA2413	9.08494318011795	9.62975620855742
BA2701	9.1410080593907	9.05581138653334
BA2634	8.75098362594822	9.3561004357089
BA2677	8.40664550150058	9.48238177689826
BA2937	8.53215993801742	9.27156918109996
BA2600	9.00605305286098	9.04860912314158
BA2019	8.09804401257278	9.52036350053221
BA2412	8.65285322774346	8.75995195431454
BA2334	9.02011485988608	9.56420444046175
BA2050	8.68676863894814	9.94905102299885
BA3230	8.54249270039127	9.08494318011795
BA2953	8.54508752883457	9.20696376307392
BA2481	8.27670009201677	9.8155160837716
BA2731	8.55813210635661	8.78108213178214
BA2294	8.74800571415782	9.60929418124753
BA2418	9.08494318011795	9.45909303825332
BA2816	8.66407371953991	9.36916799017741
BA2656	8.8879736022598	9.94905102299885
BA2814	8.28956252610494	9.10713869224013
BA2631	8.79942491234482	9.26745559419095
BA2023	8.18614443860235	9.01306871894599
BA2375	8.3558471237735	9.27156918109996
BA2485	8.89630209786589	9.67842749251503
BA2455	8.75695672842528	8.8589671548512
BA2025	8.26396477173174	9.09600320401444
BA2636	8.672544374331	9.04860912314158
BA2325	8.27883495411433	8.45209623715645
BA2169	9.160132157513	9.50601427714714
BA2156	8.70980864868103	9.38675693832204
BA2511	8.92415796681604	9.36916799017741
BA2939	9.27569316532541	9.13342062895717
BA2168	9.47302564786274	9.73079295605488
BA2505	8.82734862624236	9.39118419839355
BA2860	8.58457840504288	8.71271331389775
BA2707	9.00955709168753	9.20696376307392
BA2871	8.8879736022598	8.99211218550823
BA2655	8.60608533344799	9.60422004710875
BA2227	8.94424486652991	9.59916222255831
BA2125	8.76595984417136	9.41800548205558
BA2523	8.50664971851981	9.53000194332933
BA2603	8.60067902691643	9.12586826213153
BA2808	8.48906113697349	9.17948259034573
BA2282	8.60608533344799	9.02364943472175
BA2482	8.8525926437112	8.91090509269608
BA2812	8.67537853618004	9.70356008854553
BA2822	8.57233967558565	9.31672506964559
BA2594	8.61151153389318	9.22287720595147
BA2747	9.03429954865997	9.47769688223901
BA2561	8.3603866090308	9.93012293296997
BA2567	8.71271331389775	10.0007468429699
BA2906	9.160132157513	9.91143332054624
BA2956	9.18338030789918	9.90525526471174
BA2474	9.14863087419242	9.00955709168753
BA2737	9.02011485988608	9.80971908397822
BA2110	8.67537853618004	8.73025810259064
BA2992	8.69536777456055	9.14481502348153
BA2220	8.20818067427413	9.40901547409309
BA2772	9.12210512882866	8.71853926395486
BA2935	8.824221356442	9.17171491689544
BA2260	8.39960495989321	9.12964008242639
BA2676	8.70980864868103	9.23089240757758
BA2948	8.73910632748104	8.6697155276332
BA2524	8.71562351354988	8.98864564355709
BA2811	8.65285322774346	9.24704173883127
BA2540	8.97142354261209	9.04501990946176
BA2928	8.51679913189176	9.36916799017741
BA2302	9.1755941413251	9.39562360946183
BA2595	8.59798330037588	8.68106286594684
BA2792	8.48407580140491	9.54457000922792
BA2651	8.92415796681604	8.92748837970555
BA2619	8.8879736022598	8.7332018546727
BA3013	8.84624370479657	9.50601427714714
BA2405	8.81798541280226	8.70980864868103
BA2735	9.28812805203208	8.59798330037588
BA2856	8.61151153389318	8.92415796681604
BA2377	8.11098473910268	7.83840005803793
BA2499	8.8525926437112	8.81487669872437
BA2463	9.1314039045803	9.52684328251404
BA3023	8.77199110438686	9.00605305286098
BA2095	8.43517613550052	9.61438474364243
BA2901	8.13938594647296	8.45209623715645
BA2275	8.21629115879124	8.70401585675217
BA2387	8.8525926437112	9.30065851731011
BA2962	8.59798330037588	9.36480042798147
BA2195	8.74800571415782	8.97142354261209
BA2688	8.99569456808485	9.00264729477778
BA2787	8.43517613550052	8.94424486652991
BA2420	8.91420804405317	9.4000752436972
BA2756	8.86536741111737	8.61423212805534
BA2122	8.57659398663682	8.73025810259064
BA2053	8.46922505155083	8.71562351354988
BA2080	8.75695672842528	9.34313727945847
BA2081	8.79022656584331	9.50601427714714
BA2354	8.38979342299319	9.03608369232641
BA3273	9.1087191158229	9.00443312215534
BA2893	9.11460476788528	9.85077214115986
BA2044	8.54508752883457	9.3735473533766
BA2489	8.5872495962732	9.57411368730524
BA2309	8.57394218930808	9.39562360946183
BA2720	8.83907321261343	8.46249696810185
BA2908	8.50277388292747	8.66493693752935
BA2054	8.3695120975799	9.3217592552912
BA2872	8.3156761580726	9.13720994130471
BA2526	8.34906675857089	9.31328611186612
BA2041	8.83676787171411	9.88079564639631
BA2464	8.18416035809344	8.85577669200061
BA2902	8.99906762077278	10.0680496747685
BA2541	8.94087956106744	9.04860912314158
BA2143	8.77804587995587	9.0307417478067
BA2094	8.34007975821985	9.45909303825332
BA2769	8.59529250724368	8.97485330936457
BA2843	9.4045391740165	9.29229417829056
BA2592	8.81798541280226	9.86871412745455
BA2497	8.15284092667829	8.61423212805534
BA2718	8.63894476137773	9.30906602396076
BA2575	8.21629115879124	8.55813210635661
BA2096	8.5529001392332	10.0958725482412
BA2593	9.64691731252063	10.111511463709
BA2791	8.90103696609653	9.61438474364243
BA2620	8.44966638628301	8.8717935877338
BA2629	9.40901547409309	9.55435683089665
BA2870	8.47910806756512	9.53484314535953
BA2423	8.71562351354988	8.69824500910271
BA2682	8.84624370479657	9.51078302100883
BA2276	8.70401585675217	9.1410080593907
BA2348	8.03550248502968	8.38563253120242
BA2709	8.63894476137773	8.68676863894814
BA2789	9.21490111990201	9.09600320401444
BA2694	9.09600320401444	9.42251934116338
BA2538	9.1872873383188	9.00955709168753
BA2583	8.79635277497105	9.67679810675791
BA2415	8.63341745058943	8.94424486652991
BA2722	8.59529250724368	8.95099667095566
BA2806	9.11835064360706	9.66622107740225
BA2221	8.40664550150058	9.47769688223901
BA3025	8.97142354261209	9.50125973784097
BA2514	8.66029258022104	9.49819442110274
BA2520	8.88148184246882	9.53000194332933
BA2441	9.30065851731011	9.62461563502098
BA2153	9.19512951707567	9.11460476788528
BA2479	9.26099325755712	9.67313133431446
BA2281	8.57394218930808	9.64527993925034
BA2657	8.51425498508966	8.99211218550823
BA2932	8.75995195431454	9.47769688223901
BA2123	8.94761722776196	9.82717700787936
BA2844	8.73025810259064	9.66095938066438
BA2660	8.70112769787832	9.16784487350203
BA2836	8.61423212805534	9.14481502348153
BA3027	8.79328666582968	9.29647098090766
BA2714	8.60879594020241	8.89449191470128
BA2139	8.68676863894814	8.42559982560594
BA2251	9.08127310626888	9.3260124319477
BA2952	7.98067391429632	8.99211218550823
BA2440	8.60337970015667	9.83892848550566
BA2036	8.97829037472744	9.65571538111022
BA2828	8.82110029202306	9.06304565250042
BA2292	8.44966638628301	9.94271473100152
BA2410	9.07761127342397	9.64527993925034
BA2051	8.71271331389775	8.88472441482659
BA2532	9.05220627117217	8.94424486652991
BA2986	8.8879736022598	9.67150060698144
BA2494	8.88148184246882	9.52036350053221
BA2515	8.824221356442	9.48238177689826
BA2748	8.74800571415782	9.45909303825332
BA2970	8.79328666582968	9.11835064360706
BA2622	8.7332018546727	9.01306871894599
BA2839	9.07761127342397	9.29229417829056
BA2052	8.86216405394702	9.55435683089665
BA3011	8.47784635337876	9.07750677038397
BA2868	8.8717935877338	9.47769688223901
BA2510	9.00255657247606	8.99211218550823
BA2065	8.67821802831458	9.09600320401444
BA2691	8.56601564488201	8.86536741111737
BA2374	8.41372261793503	9.67679810675791
BA2804	8.08518191159815	9.08494318011795
BA2670	7.92868137841977	8.28526081080175
BA2675	8.75396729152058	9.13342062895717
BA2589	8.41135949860071	9.03786515454843
BA2031	8.42559982560594	8.60608533344799
BA2198	8.64449262965366	9.07395764638915
BA2066	8.31787605128572	8.90103696609653
BA2344	8.67537853618004	9.43613726309062
BA2459	8.37364430583731	8.31312330931764
BA2229	8.56865303112435	9.38675693832204
BA2559	8.56338303703764	8.86857724833819
BA2093	8.21629115879124	9.22287720595147
BA2000	8.46430959418229	9.58408544068247
BA2425	8.62153057515291	9.50768698561149
BA2905	8.58457840504288	9.16784487350203
BA2304	8.3695120975799	8.61695773628636
BA2976	8.21222936163239	8.97485330936457
BA2386	8.93752128537319	8.79328666582968
BA2035	9.08862153045619	9.22287720595147
BA2760	8.34232080533324	8.49657233882556
BA2201	8.03884116383771	9.08494318011795
BA2355	9.01306871894599	9.52517542791568
BA2113	8.13348180994884	9.44407804044761
BA2155	8.5373170330564	9.88687313292775
BA2955	8.6697155276332	9.09600320401444
BA2502	8.51934782702254	9.14863087419242
BA2322	8.36266215228094	9.160132157513
BA2376	8.59798330037588	8.61423212805534
BA2020	8.43037965011906	9.83892848550566
BA2226	8.57129520837751	8.93417001363455
BA2200	8.85577669200061	9.73079295605488
BA2121	8.36722488709977	8.92415796681604
BA2944	8.49657233882556	9.2389471182711
BA2033	8.5117153749805	9.53484314535953
BA2867	8.17036010262912	9.30065851731011
BA2089	8.15090969693391	8.18416035809344
BA2224	8.7629529869435	9.12964008242639
BA2046	9.0307417478067	9.1872873383188
BA2972	8.77804587995587	9.44070228005406
BA2978	8.13747585819058	8.40194775982719
BA2829	8.68106286594684	8.97485330936457
BA2851	8.55029123602985	9.2592593958878
BA2587	8.20414503388581	9.02364943472175
BA2461	8.46676516104844	9.21490111990201
BA2695	8.54953218061743	9.0468018581655
BA2623	8.45453034732936	9.3217592552912
BA2024	8.08335570616425	9.17171491689544
BA2426	8.60879594020241	9.0307417478067
BA2271	8.55813210635661	9.12964008242639
BA3004	8.92415796681604	9.80971908397822
BA2579	8.81177412986094	8.85577669200061
BA3010	8.56338303703764	8.87824586229709
BA2662	8.20414503388581	9.06304565250042
BA2674	8.672544374331	9.25517667754352
BA2280	8.60608533344799	9.22287720595147
BA2512	8.42798766039968	8.54249270039127
BA2658	9.05942450247106	9.30065851731011
BA2394	8.99211218550823	9.26335235036244
BA2950	8.5529001392332	9.31751716888528
BA2981	8.6306614688285	8.89449191470128
BA2934	8.98518651350313	9.3260124319477
BA2539	8.44966638628301	9.11835064360706
BA2249	8.81487669872437	9.22687989289351
BA2034	8.55213631852216	8.99390471507907
BA2109	8.27244095196937	8.65285322774346
BA2242	9.26745559419095	9.45909303825332
BA2277	8.83362186336888	9.2389471182711
BA2727	8.62242404966029	8.92415796681604
BA2132	8.99906762077278	9.8991027074875
BA2618	8.35358316301659	8.70690950167434
BA2521	8.69249597847146	9.09970659968869
BA2846	8.77501554362266	9.30906602396076
