	SF3B1	SRSF2
BA2885	8.17625565039323	8.57925061313916
BA2639	8.48158973981744	9.4270458724936
BA2775	8.8879736022598	9.44987135785787
BA2402	8.74800571415782	8.84307877151568
BA2097	9.03429954865997	9.28812805203208
BA2786	8.57659398663682	9.42251934116338
BA2399	9.160132157513	9.63491369950168
BA2850	9.2429894144776	9.89297540900361
BA2174	8.61695773628636	9.04860912314158
BA2004	8.824221356442	8.48407580140491
BA3001	8.8717935877338	9.67679810675791
BA2311	8.672544374331	8.78412431760784
BA2483	8.61063875058243	8.63525880753156
BA3040	8.43998936441936	9.43158515365849
BA2837	8.47168927654288	9.0271917203024
BA2724	8.79328666582968	8.88472441482659
BA2911	8.86857724833819	8.99558616821901
BA2256	8.86857724833819	9.27569316532541
BA2821	8.67537853618004	9.34313727945847
BA2233	8.85577669200061	9.65571538111022
BA2744	8.96117775713075	9.14863087419242
BA2880	8.38563253120242	9.160132157513
BA2621	8.69536777456055	8.9076089453561
BA3002	8.34640463577494	8.69720423583871
BA2501	8.68106286594684	9.40901547409309
BA2993	9.18338030789918	9.35176787188011
BA2301	8.6361785433996	9.0307417478067
BA2852	9.10341841676742	9.3561004357089
BA2133	8.97829037472744	9.2389471182711
BA2866	8.73025810259064	9.8991027074875
BA2212	8.80250309714617	9.33027676031699
BA2685	8.68391306436784	9.26745559419095
BA2273	8.99558616821901	9.98114720830101
BA2477	8.48906113697349	9.26335235036244
BA2659	8.15865294170913	8.52958832512444
BA2124	8.84806156927188	9.87632246618632
BA2363	8.8525926437112	8.26607857536642
BA2369	8.2960419873451	9.25110414260315
BA2534	8.51425498508966	9.34313727945847
BA2400	8.89122942781574	9.43613726309062
BA2762	9.04143859741613	9.34313727945847
BA2312	8.99558616821901	9.53484314535953
BA2813	9.12210512882866	9.78106105276028
BA2211	8.96297616127633	9.85831326849695
BA2171	8.68106286594684	9.64008823387741
BA2746	8.81487669872437	8.98518651350313
BA2798	8.99906762077278	9.27569316532541
BA2809	9.0271917203024	9.39118419839355
BA2288	9.05931205682652	9.98087822775469
BA2801	8.42798766039968	8.83362186336888
BA3030	8.52630444852913	8.61063875058243
BA2588	8.77501554362266	9.60929418124753
BA2296	8.75396729152058	9.36916799017741
BA2300	8.83362186336888	9.88687313292775
BA2903	8.34906675857089	8.3926007250059
BA2473	8.94941812849735	9.93797001113285
BA2545	8.59260663428802	9.17171491689544
BA2840	8.50849537330422	9.22062772367926
BA2528	8.80250309714617	9.30485684547982
BA2646	8.38563253120242	8.95099667095566
BA3407	8.824221356442	9.38234175781362
BA2240	8.86216405394702	9.28812805203208
BA2926	8.824221356442	9.26745559419095
BA2272	8.86216405394702	8.97485330936457
BA2306	8.80250309714617	8.7420670822246
BA2765	8.18614443860235	8.55029123602985
BA2904	8.8525926437112	9.13720994130471
BA2883	8.69536777456055	9.01306871894599
BA2726	8.268195867683	8.54249270039127
BA2234	8.2409408040855	8.97142354261209
BA2022	8.47663077360064	9.75851596885508
BA2228	8.50918028997297	9.25517667754352
BA2037	8.3156761580726	9.23089240757758
BA2184	8.91420804405317	9.45447558148811
BA3009	9.4917929010063	9.76974697360105
BA2842	8.5529001392332	8.61968837224666
BA2442	8.62516478231551	8.9076089453561
BA2882	8.73910632748104	8.5607551950315
BA2758	8.79328666582968	8.76897254396233
BA2705	9.12964008242639	9.20696376307392
BA2663	8.31787605128572	8.62516478231551
BA2570	8.68391306436784	8.79022656584331
BA2764	8.36722488709977	8.18813169577028
BA2209	9.18338030789918	8.67821802831458
BA2989	8.92083445647999	9.10341841676742
BA2855	8.43277580504712	8.81487669872437
BA2261	8.0688412152041	8.53400537696188
BA2721	8.92415796681604	8.97829037472744
BA2930	8.44481942009045	8.43517613550052
BA2728	8.16059641320183	8.5373170330564
BA2715	8.66407371953991	9.56420444046175
BA2469	7.79384765019346	8.35811493599106
BA2269	7.70582137825133	8.18416035809344
BA2098	8.268195867683	9.14863087419242
BA2778	8.3972661940189	8.52190108216259
BA2951	8.82734862624236	9.14863087419242
BA2163	9.09970659968869	9.36044459889599
BA2379	8.09067732991193	8.65845299235754
BA2817	8.64817132846837	8.68189146093676
BA3153	9.2389471182711	9.47302564786274
BA2820	8.52702131941912	8.86216405394702
BA2723	9.08127310626888	9.09600320401444
BA2704	9.09600320401444	9.58408544068247
BA2088	8.50664971851981	9.4917929010063
BA2116	8.48407580140491	8.77199110438686
BA2584	8.63341745058943	10.0475291689068
BA3079	8.6472743085318	10.0007468429699
BA2417	8.6279105840654	9.65571538111022
BA2361	8.5555137585582	9.1755941413251
BA2450	8.93417001363455	9.24704173883127
BA2492	8.60337970015667	8.19611264417946
BA2552	9.13720994130471	9.00955709168753
BA2472	8.7214605815193	8.68106286594684
BA2994	9.11835064360706	9.23491479941431
BA2047	8.46676516104844	9.58909503454725
BA2101	9.27569316532541	9.48238177689826
BA2082	8.46185834013681	8.77804587995587
BA2879	8.96458579397726	9.17171491689544
BA2577	8.62242404966029	9.54457000922792
BA2456	9.07761127342397	8.80250309714617
BA2175	8.79942491234482	9.59412059033195
BA2824	8.28311530497155	9.19512951707567
BA2507	8.58992566833602	9.88079564639631
BA2563	8.77501554362266	9.68211371581436
BA2244	8.11478606741055	8.84624370479657
BA2470	8.57394218930808	9.76974697360105
BA2984	8.66126072825912	9.6874475749889
BA2414	8.63894476137773	9.64008823387741
BA2697	8.33299115221922	9.44696832329653
BA2079	8.37870011521958	8.68391306436784
BA2999	8.23267071257109	9.03429954865997
BA2644	8.54768703664719	9.3735473533766
BA2011	8.66126072825912	9.09600320401444
BA2217	8.60067902691643	9.69279982690398
BA2454	8.89449191470128	9.86270964606403
BA2776	8.61151153389318	9.80971908397822
BA2218	8.79635277497105	9.59916222255831
BA2135	8.92415796681604	9.94271473100152
BA2914	8.3156761580726	8.83362186336888
BA2500	8.38100696139026	9.0307417478067
BA2830	9.26745559419095	9.44987135785787
BA2406	8.41846114844672	9.4270458724936
BA3108	8.71271331389775	9.43613726309062
BA2924	9.0307417478067	9.09230819306279
BA2303	8.65285322774346	8.83676787171411
BA2160	9.0307417478067	9.55927298456459
BA2038	8.43277580504712	9.0307417478067
BA2602	8.34007975821985	8.56338303703764
BA2964	8.11291430832213	8.8717935877338
BA2898	8.7629529869435	9.44987135785787
BA3003	8.67821802831458	9.48238177689826
BA2111	8.66126072825912	9.58408544068247
BA2827	8.62516478231551	9.58909503454725
BA2912	8.92083445647999	9.55927298456459
BA2437	8.66126072825912	9.55927298456459
BA2283	8.65285322774346	9.58909503454725
BA2057	8.69536777456055	9.54457000922792
BA2633	8.7214605815193	9.58909503454725
BA3034	8.64449262965366	9.55435683089665
BA2607	8.68391306436784	9.3735473533766
BA2761	8.83048212173684	9.4270458724936
BA2795	8.76595984417136	9.54457000922792
BA2182	8.66689198102969	9.54457000922792
BA2152	8.52702131941912	9.49651930986164
BA2381	8.22240857358487	9.80971908397822
BA2931	8.58457840504288	9.53000194332933
BA2040	8.43277580504712	9.34313727945847
BA2590	8.8717935877338	9.60929418124753
BA3195	8.86536741111737	9.3561004357089
BA2516	8.71164372414843	8.94268168369866
BA2353	8.86857724833819	9.2429894144776
BA3036	9.17171491689544	9.11086746340759
BA2971	8.67155422607777	9.02543573403374
BA3410	8.69824500910271	9.47302564786274
BA3118	8.86536741111737	9.22287720595147
BA3206	8.93417001363455	9.57411368730524
BA3202	8.7214605815193	9.48238177689826
BA3217	8.99906762077278	9.4045391740165
BA3405	8.52958832512444	8.22445433533228
BA3306	9.23089240757758	9.00255657247606
BA3371	8.20616122712402	9.10341841676742
BA3413	8.51425498508966	9.58909503454725
BA3411	8.16644533071452	9.07395764638915
BA3133	8.32671267592458	9.3561004357089
BA3164	8.51934782702254	9.13342062895717
BA3451	8.30909856685695	8.52958832512444
BA3286	8.47415784691615	9.36916799017741
BA3212	8.44735380092582	9.56098320131876
BA3103	8.98864564355709	8.91751782379931
BA3271	8.63894476137773	9.1872873383188
BA3152	8.58191208164573	9.3735473533766
BA3095	8.72438748273975	9.79245962144758
BA3192	9.06667487040862	9.11086746340759
BA3251	8.60608533344799	9.40901547409309
BA3362	8.0301567645062	9.00434706477645
BA3400	9.26745559419095	9.65048894475304
BA3135	9.11086746340759	9.4000752436972
BA3408	9.23491479941431	9.63491369950168
BA3187	8.52958832512444	9.27569316532541
BA3098	8.41608983118813	9.12964008242639
BA3435	8.63894476137773	9.19120372633416
BA3261	8.75995195431454	9.54457000922792
BA3203	8.84624370479657	9.76974697360105
BA3174	8.60608533344799	8.89776108628452
BA3317	8.67821802831458	9.33883912107995
BA3299	8.48158973981744	8.75098362594822
BA3221	8.7361512573159	8.78108213178214
BA3347	8.75695672842528	9.43158515365849
BA3235	8.02685700006077	8.20012237793382
BA3126	8.40900046313029	8.26607857536642
BA3380	9.19512951707567	9.04143859741613
BA3089	8.92415796681604	9.2389471182711
BA3109	8.75098362594822	8.46185834013681
BA3114	8.72438748273975	9.17171491689544
BA3418	8.80558734868936	8.97829037472744
BA3245	9.47302564786274	9.56915130536806
BA3085	8.78717245605116	9.07761127342397
BA3128	9.14481502348153	9.45909303825332
BA3423	9.03786515454843	9.67679810675791
BA3173	8.83676787171411	9.98114720830101
BA3171	8.68962960513866	8.83048212173684
BA3277	8.59529250724368	9.43158515365849
BA3210	8.42321613548815	9.19120372633416
BA3157	8.92748837970555	9.56420444046175
BA3433	9.16784487350203	9.53969913371194
BA3322	8.81177412986094	9.53484314535953
BA3374	8.17428733914348	8.79328666582968
BA3450	8.59260663428802	9.60422004710875
BA3167	8.70690950167434	8.47663077360064
BA3269	9.28397254525379	9.60929418124753
BA3110	9.11263542064792	9.66259277874038
BA3156	9.50125973784097	9.2592593958878
BA3226	8.97142354261209	9.39118419839355
BA3421	8.64171611871059	8.95777690896205
BA3232	8.70690950167434	9.27569316532541
BA3289	8.20213208675208	8.61423212805534
BA3430	8.15658900411538	8.38747453651413
BA3145	9.1755941413251	9.30906602396076
BA3399	7.64636707538027	8.96117775713075
BA3449	8.8717935877338	9.09230819306279
BA3384	8.7361512573159	9.17948259034573
BA3427	9.09230819306279	9.28812805203208
BA3163	8.21222936163239	8.52958832512444
BA3158	8.80250309714617	9.55927298456459
BA3436	8.95777690896205	9.61438474364243
BA3154	9.19601450198036	9.62258533258528
BA3162	8.61151153389318	8.12230223339654
BA3352	8.58909343968652	8.92264013919218
BA3084	8.5529001392332	9.31751716888528
BA3149	8.35811493599106	8.71853926395486
BA3169	8.5373170330564	8.9076089453561
BA3180	8.91090509269608	9.2109276242084
BA3255	8.7629529869435	9.41350421836705
BA3438	8.38100696139026	9.62975620855742
BA3345	8.58457840504288	8.94087956106744
BA3403	7.86231924501854	8.47415784691615
BA3431	8.47415784691615	8.42559982560594
BA3181	8.49908497066643	8.03722226484621
BA3341	9.00605305286098	8.96458579397726
BA3191	8.672544374331	8.77804587995587
BA3197	8.95777690896205	9.16398396797258
BA3448	9.07395764638915	9.38234175781362
BA3453	8.68106286594684	9.12586826213153
BA3406	9.0271917203024	9.82133532639013
BA3308	8.7420670822246	9.17948259034573
BA3186	8.47905668041636	9.40240975182614
BA3334	8.23679901175147	8.65565049707964
BA3447	8.73025810259064	9.52036350053221
BA3116	8.53990253916599	8.97485330936457
BA3280	9.08494318011795	9.53969913371194
BA3185	9.41350421836705	9.19906475607931
BA3094	9.17171491689544	8.6697155276332
BA3318	8.52702131941912	8.42559982560594
BA3216	9.53000194332933	9.40901547409309
BA3332	8.69824500910271	9.41800548205558
BA3214	9.09777439177087	9.25691151442812
BA3099	8.68962960513866	9.4045391740165
BA3141	8.78717245605116	9.39562360946183
BA3373	9.13342062895717	9.3217592552912
BA3319	8.50412364911741	8.43037965011906
BA3328	9.06304565250042	9.28812805203208
BA3339	9.18513198239908	9.732408696693
BA3240	8.99558616821901	9.08127310626888
BA3142	8.92083445647999	9.44070228005406
BA3333	8.8879736022598	9.46372381175102
BA3381	8.39027400222105	8.74800571415782
BA3290	8.68106286594684	8.8879736022598
BA3207	8.34232080533324	7.93502206043898
BA3296	8.43998936441936	8.8879736022598
BA3305	8.68676863894814	8.82110029202306
BA3434	8.96117775713075	9.27569316532541
BA3189	7.60510330404292	9.08862153045619
BA3264	8.7420670822246	9.55435683089665
BA3329	8.93932401235183	9.48406046211483
BA3417	8.6279105840654	9.23491479941431
BA3367	8.51286918159344	8.60436299215519
BA3225	8.31787605128572	8.11666073243668
BA3183	8.75396729152058	9.04143859741613
BA3222	8.15671254170946	9.08494318011795
BA3139	8.40613768193266	8.88653621315296
BA3397	9.12964008242639	9.64527993925034
BA3311	8.20616122712402	8.07971165578759
BA3422	8.91420804405317	10.0888662099127
BA3228	8.53215993801742	8.68391306436784
BA3213	8.49908497066643	9.26335235036244
BA3270	8.79942491234482	8.8717935877338
BA3415	8.18813169577028	9.34744684153524
BA3324	8.5373170330564	8.8525926437112
BA3194	8.87824586229709	9.68211371581436
BA3335	9.63491369950168	9.96822468421139
BA3199	8.8879736022598	9.4917929010063
BA3326	8.93082572022568	9.27569316532541
BA3285	8.54693273074337	8.72329447406972
BA3297	8.66689198102969	9.09230819306279
BA3227	8.91090509269608	9.11460476788528
BA3394	8.6472743085318	8.65006116973985
BA3412	8.13176351189552	8.93752128537319
BA3293	8.8385871543889	9.44239146973819
BA3250	8.56601564488201	9.21888429779212
BA3177	8.24509615455004	9.47769688223901
BA3315	8.7214605815193	8.96117775713075
BA3182	8.49657233882556	8.91751782379931
BA3260	7.69023500088856	8.43758065182973
BA3369	8.67537853618004	9.24704173883127
BA3078	8.57843825701648	9.20475662343021
BA3386	9.10341841676742	9.71984209806913
BA3445	8.51934782702254	9.4000752436972
BA3452	8.66689198102969	8.57129520837751
BA3176	8.904319577833	9.29229417829056
BA3258	8.46430959418229	8.64449262965366
BA3295	8.3972661940189	8.76897254396233
